file,time,quality
mglcs_10_100_2_0.txt.out,0.0629878,11
mglcs_10_100_2_1.txt.out,0.0502205,9
mglcs_10_100_2_2.txt.out,0.0508615,9
mglcs_10_100_2_3.txt.out,0.110696,14
mglcs_10_100_2_4.txt.out,0.0692852,12
mglcs_10_100_2_5.txt.out,0.0655572,11
mglcs_10_100_2_6.txt.out,0.0552768,8
mglcs_10_100_2_7.txt.out,0.0515191,11
mglcs_10_100_2_8.txt.out,0.0575186,10
mglcs_10_100_2_9.txt.out,0.0937373,9
mglcs_10_100_4_0.txt.out,0.109784,5
mglcs_10_100_4_1.txt.out,0.113261,6
mglcs_10_100_4_2.txt.out,0.112219,7
mglcs_10_100_4_3.txt.out,0.134811,7
mglcs_10_100_4_4.txt.out,0.129699,8
mglcs_10_100_4_5.txt.out,0.136221,7
mglcs_10_100_4_6.txt.out,0.12111,7
mglcs_10_100_4_7.txt.out,0.12025,9
mglcs_10_100_4_8.txt.out,0.126084,6
mglcs_10_100_4_9.txt.out,0.159666,8
mglcs_10_200_2_0.txt.out,0.0890752,9
mglcs_10_200_2_1.txt.out,0.08474,8
mglcs_10_200_2_2.txt.out,0.0924443,11
mglcs_10_200_2_3.txt.out,0.0612974,10
mglcs_10_200_2_4.txt.out,0.0598804,13
mglcs_10_200_2_5.txt.out,0.0557057,12
mglcs_10_200_2_6.txt.out,0.0640782,11
mglcs_10_200_2_7.txt.out,0.0664771,12
mglcs_10_200_2_8.txt.out,0.0728196,19
mglcs_10_200_2_9.txt.out,0.0540091,9
mglcs_10_200_4_0.txt.out,0.132095,6
mglcs_10_200_4_1.txt.out,0.108469,6
mglcs_10_200_4_2.txt.out,0.112097,7
mglcs_10_200_4_3.txt.out,0.108562,10
mglcs_10_200_4_4.txt.out,0.134908,9
mglcs_10_200_4_5.txt.out,0.129168,7
mglcs_10_200_4_6.txt.out,0.105687,8
mglcs_10_200_4_7.txt.out,0.104345,6
mglcs_10_200_4_8.txt.out,0.155615,6
mglcs_10_200_4_9.txt.out,0.161455,8
mglcs_10_500_2_0.txt.out,0.104747,12
mglcs_10_500_2_1.txt.out,0.116967,14
mglcs_10_500_2_2.txt.out,0.0940268,13
mglcs_10_500_2_3.txt.out,0.0936549,8
mglcs_10_500_2_4.txt.out,0.0952082,14
mglcs_10_500_2_5.txt.out,0.0703966,14
mglcs_10_500_2_6.txt.out,0.0735558,15
mglcs_10_500_2_7.txt.out,0.0647693,8
mglcs_10_500_2_8.txt.out,0.0542834,10
mglcs_10_500_2_9.txt.out,0.0706981,10
mglcs_10_500_4_0.txt.out,0.151785,5
