file,time,quality
mglcs_10_100_2_0.txt.out,0.101128,11
mglcs_10_100_2_1.txt.out,0.0703451,9
mglcs_10_100_2_2.txt.out,0.0734361,9
mglcs_10_100_2_3.txt.out,0.0907248,14
mglcs_10_100_2_4.txt.out,0.107443,12
mglcs_10_100_2_5.txt.out,0.0857934,11
mglcs_10_100_2_6.txt.out,0.0710333,8
mglcs_10_100_2_7.txt.out,0.0721799,11
mglcs_10_100_2_8.txt.out,0.0879233,10
mglcs_10_100_2_9.txt.out,0.0755605,9
mglcs_10_100_4_0.txt.out,0.125236,5
mglcs_10_100_4_1.txt.out,0.170705,6
mglcs_10_100_4_2.txt.out,0.145829,7
mglcs_10_100_4_3.txt.out,0.163029,7
mglcs_10_100_4_4.txt.out,0.171108,8
mglcs_10_100_4_5.txt.out,0.147935,7
mglcs_10_100_4_6.txt.out,0.147212,7
mglcs_10_100_4_7.txt.out,0.138221,9
mglcs_10_100_4_8.txt.out,0.158153,6
mglcs_10_100_4_9.txt.out,0.149232,8
mglcs_10_200_2_0.txt.out,0.0869058,9
mglcs_10_200_2_1.txt.out,0.0811788,8
mglcs_10_200_2_2.txt.out,0.0962078,11
mglcs_10_200_2_3.txt.out,0.118044,10
mglcs_10_200_2_4.txt.out,0.112228,13
mglcs_10_200_2_5.txt.out,0.107794,12
mglcs_10_200_2_6.txt.out,0.132957,11
mglcs_10_200_2_7.txt.out,0.129285,12
mglcs_10_200_2_8.txt.out,0.153362,19
mglcs_10_200_2_9.txt.out,0.077591,9
mglcs_10_200_4_0.txt.out,0.139554,6
mglcs_10_200_4_1.txt.out,0.1358,6
mglcs_10_200_4_2.txt.out,0.285482,7
mglcs_10_200_4_3.txt.out,0.162693,10
mglcs_10_200_4_4.txt.out,0.15112,9
mglcs_10_200_4_5.txt.out,0.153138,7
mglcs_10_200_4_6.txt.out,0.145296,8
mglcs_10_200_4_7.txt.out,0.143479,6
mglcs_10_200_4_8.txt.out,0.170727,6
mglcs_10_200_4_9.txt.out,0.18914,8
mglcs_10_500_2_0.txt.out,0.231056,12
mglcs_10_500_2_1.txt.out,0.330433,14
mglcs_10_500_2_2.txt.out,0.184184,13
mglcs_10_500_2_3.txt.out,0.200532,8
mglcs_10_500_2_4.txt.out,0.516525,14
mglcs_10_500_2_5.txt.out,0.352235,14
mglcs_10_500_2_6.txt.out,0.289575,15
mglcs_10_500_2_7.txt.out,0.146683,8
mglcs_10_500_2_8.txt.out,0.161765,10
mglcs_10_500_2_9.txt.out,0.308643,10
mglcs_10_500_4_0.txt.out,0.223149,5
mglcs_10_500_4_1.txt.out,0.199701,6
mglcs_10_500_4_2.txt.out,0.32642,8
mglcs_10_500_4_3.txt.out,0.253268,8
mglcs_10_500_4_4.txt.out,0.231148,9
mglcs_10_500_4_5.txt.out,0.245148,6
mglcs_10_500_4_6.txt.out,0.249328,8
mglcs_10_500_4_7.txt.out,0.258643,7
mglcs_10_500_4_8.txt.out,0.208648,6
mglcs_10_500_4_9.txt.out,0.199083,6
mglcs_10_50_2_0.txt.out,0.123526,14
mglcs_10_50_2_1.txt.out,0.118689,9
mglcs_10_50_2_2.txt.out,0.0974659,9
mglcs_10_50_2_3.txt.out,0.116972,12
mglcs_10_50_2_4.txt.out,0.0884176,8
mglcs_10_50_2_5.txt.out,0.12312,14
mglcs_10_50_2_6.txt.out,0.127065,10
mglcs_10_50_2_7.txt.out,0.061014,12
mglcs_10_50_2_8.txt.out,0.0569421,9
mglcs_10_50_2_9.txt.out,0.0863938,14
mglcs_10_50_4_0.txt.out,0.0970602,8
mglcs_10_50_4_1.txt.out,0.114853,6
mglcs_10_50_4_2.txt.out,0.122159,7
mglcs_10_50_4_3.txt.out,0.139766,10
mglcs_10_50_4_4.txt.out,0.104056,6
mglcs_10_50_4_5.txt.out,0.15496,5
mglcs_10_50_4_6.txt.out,0.119703,6
mglcs_10_50_4_7.txt.out,0.124253,6
mglcs_10_50_4_8.txt.out,0.171845,6
mglcs_10_50_4_9.txt.out,0.156862,7
mglcs_2_100_2_0.txt.out,0.32058,80
mglcs_2_100_2_1.txt.out,0.0537563,54
mglcs_2_100_2_2.txt.out,0.243509,70
mglcs_2_100_2_3.txt.out,0.501381,78
mglcs_2_100_2_4.txt.out,0.273778,70
mglcs_2_100_2_5.txt.out,0.22043,76
mglcs_2_100_2_6.txt.out,0.366016,76
mglcs_2_100_2_7.txt.out,0.174889,72
mglcs_2_100_2_8.txt.out,0.335644,75
mglcs_2_100_2_9.txt.out,0.26317,76
mglcs_2_100_4_0.txt.out,0.2229,62
mglcs_2_100_4_1.txt.out,0.230432,61
mglcs_2_100_4_2.txt.out,0.234413,62
mglcs_2_100_4_3.txt.out,0.382134,61
mglcs_2_100_4_4.txt.out,0.402935,63
mglcs_2_100_4_5.txt.out,0.217178,62
mglcs_2_100_4_6.txt.out,0.39103,60
mglcs_2_100_4_7.txt.out,0.410938,63
mglcs_2_100_4_8.txt.out,0.204801,62
mglcs_2_100_4_9.txt.out,0.41594,62
mglcs_2_200_2_0.txt.out,1.51955,95
mglcs_2_200_2_1.txt.out,1.9961,127
mglcs_2_200_2_2.txt.out,1.92114,144
mglcs_2_200_2_3.txt.out,2.02393,147
mglcs_2_200_2_4.txt.out,1.84033,160
mglcs_2_200_2_5.txt.out,2.49061,154
mglcs_2_200_2_6.txt.out,1.15353,139
mglcs_2_200_2_7.txt.out,2.23406,148
mglcs_2_200_2_8.txt.out,1.79589,138
mglcs_2_200_2_9.txt.out,1.06521,141
mglcs_2_200_4_0.txt.out,1.40206,122
mglcs_2_200_4_1.txt.out,2.06511,124
mglcs_2_200_4_2.txt.out,2.96497,123
mglcs_2_200_4_3.txt.out,2.33267,122
mglcs_2_200_4_4.txt.out,0.574642,114
mglcs_2_200_4_5.txt.out,2.17617,112
mglcs_2_200_4_6.txt.out,2.18697,126
mglcs_2_200_4_7.txt.out,1.22596,126
mglcs_2_200_4_8.txt.out,1.85033,125
mglcs_2_200_4_9.txt.out,1.75301,126
mglcs_2_500_2_0.txt.out,31.5197,215
mglcs_2_500_2_1.txt.out,39.611,232
mglcs_2_500_2_2.txt.out,29.9081,203
mglcs_2_500_2_3.txt.out,26.9156,331
mglcs_2_500_2_4.txt.out,40.696,302
mglcs_2_500_2_5.txt.out,49.8261,294
mglcs_2_500_2_6.txt.out,33.4059,298
mglcs_2_500_2_7.txt.out,28.667,317
mglcs_2_500_2_8.txt.out,46.9411,321
mglcs_2_500_2_9.txt.out,23.2534,247
mglcs_2_500_4_0.txt.out,7.17172,308
mglcs_2_500_4_1.txt.out,20.3263,297
mglcs_2_500_4_2.txt.out,25.1429,292
mglcs_2_500_4_3.txt.out,21.8688,305
mglcs_2_500_4_4.txt.out,28.4369,301
mglcs_2_500_4_5.txt.out,11.6752,301
mglcs_2_500_4_6.txt.out,23.8792,299
mglcs_2_500_4_7.txt.out,20.2388,283
mglcs_2_500_4_8.txt.out,32.2295,299
mglcs_2_500_4_9.txt.out,33.8927,279
mglcs_2_50_2_0.txt.out,0.00390253,36
mglcs_2_50_2_1.txt.out,0.0428269,37
mglcs_2_50_2_2.txt.out,0.00487771,39
mglcs_2_50_2_3.txt.out,0.00881568,38
mglcs_2_50_2_4.txt.out,0.00335221,37
mglcs_2_50_2_5.txt.out,0.0234488,36
mglcs_2_50_2_6.txt.out,0.00363339,39
mglcs_2_50_2_7.txt.out,0.00470281,39
mglcs_2_50_2_8.txt.out,0.00245461,38
mglcs_2_50_2_9.txt.out,0.0101934,38
mglcs_2_50_4_0.txt.out,0.0333129,29
mglcs_2_50_4_1.txt.out,0.0696556,31
mglcs_2_50_4_2.txt.out,0.0472738,31
mglcs_2_50_4_3.txt.out,0.0543706,30
mglcs_2_50_4_4.txt.out,0.0371859,32
mglcs_2_50_4_5.txt.out,0.0538322,30
mglcs_2_50_4_6.txt.out,0.0376847,30
mglcs_2_50_4_7.txt.out,0.0119853,30
mglcs_2_50_4_8.txt.out,0.0391842,30
mglcs_2_50_4_9.txt.out,0.0052934,28
mglcs_3_100_2_0.txt.out,0.917907,64
mglcs_3_100_2_1.txt.out,1.34376,64
mglcs_3_100_2_2.txt.out,0.332562,61
mglcs_3_100_2_3.txt.out,0.31934,59
mglcs_3_100_2_4.txt.out,0.13404,65
mglcs_3_100_2_5.txt.out,0.602433,56
mglcs_3_100_2_6.txt.out,0.519916,64
mglcs_3_100_2_7.txt.out,0.445378,46
mglcs_3_100_2_8.txt.out,0.115304,41
mglcs_3_100_2_9.txt.out,0.969931,65
mglcs_3_100_4_0.txt.out,0.584185,45
mglcs_3_100_4_1.txt.out,1.7648,49
mglcs_3_100_4_2.txt.out,1.55275,48
mglcs_3_100_4_3.txt.out,0.384802,47
mglcs_3_100_4_4.txt.out,0.909681,52
mglcs_3_100_4_5.txt.out,0.924961,51
mglcs_3_100_4_6.txt.out,2.03936,51
mglcs_3_100_4_7.txt.out,1.76741,46
mglcs_3_100_4_8.txt.out,1.72149,46
mglcs_3_100_4_9.txt.out,0.916175,50
mglcs_3_200_2_0.txt.out,38.7806,125
mglcs_3_200_2_1.txt.out,34.6677,114
mglcs_3_200_2_2.txt.out,39.3766,134
mglcs_3_200_2_3.txt.out,5.06797,97
mglcs_3_200_2_4.txt.out,33.0597,110
mglcs_3_200_2_5.txt.out,5.11922,106
mglcs_3_200_2_6.txt.out,3.58034,75
mglcs_3_200_2_7.txt.out,2.31468,65
mglcs_3_200_2_8.txt.out,18.3243,109
mglcs_3_200_2_9.txt.out,27.5829,104
mglcs_3_200_4_0.txt.out,69.1906,98
mglcs_3_200_4_1.txt.out,40.1911,102
mglcs_3_200_4_2.txt.out,57.2554,102
mglcs_3_200_4_3.txt.out,66.7594,99
mglcs_3_200_4_4.txt.out,33.0012,100
mglcs_3_200_4_5.txt.out,72.3805,97
mglcs_3_200_4_6.txt.out,26.0496,86
mglcs_3_200_4_7.txt.out,70.4667,101
mglcs_3_200_4_8.txt.out,43.9304,100
mglcs_3_200_4_9.txt.out,36.6677,96
mglcs_3_500_2_0.txt.out,5.42748,73
mglcs_3_500_2_1.txt.out,86.793,150
mglcs_3_500_2_2.txt.out,8.42314,145
mglcs_3_500_2_3.txt.out,43.4299,121
mglcs_3_500_2_4.txt.out,170.135,160
mglcs_3_500_2_5.txt.out,66.3889,95
mglcs_3_500_2_6.txt.out,34.0803,105
mglcs_3_500_2_7.txt.out,38.9761,145
mglcs_3_500_2_8.txt.out,27.6042,103
mglcs_3_500_2_9.txt.out,137.935,214
mglcs_3_500_4_0.txt.out,671.373,221
mglcs_3_500_4_1.txt.out,515.611,241
mglcs_3_500_4_2.txt.out,285.078,198
mglcs_3_500_4_3.txt.out,480.483,237
mglcs_3_500_4_4.txt.out,397.021,228
mglcs_3_500_4_5.txt.out,156.582,221
mglcs_3_500_4_6.txt.out,187.879,175
mglcs_3_500_4_7.txt.out,417.042,235
mglcs_3_500_4_8.txt.out,659.771,230
mglcs_3_500_4_9.txt.out,500.59,234
mglcs_3_50_2_0.txt.out,0.0453871,32
mglcs_3_50_2_1.txt.out,0.0139058,32
mglcs_3_50_2_2.txt.out,0.041426,36
mglcs_3_50_2_3.txt.out,0.0113217,25
mglcs_3_50_2_4.txt.out,0.0199565,33
mglcs_3_50_2_5.txt.out,0.00528021,31
mglcs_3_50_2_6.txt.out,0.012572,33
mglcs_3_50_2_7.txt.out,0.0181969,32
mglcs_3_50_2_8.txt.out,0.0169891,30
mglcs_3_50_2_9.txt.out,0.00999652,28
mglcs_3_50_4_0.txt.out,0.0444869,23
mglcs_3_50_4_1.txt.out,0.0640599,24
mglcs_3_50_4_2.txt.out,0.00598569,21
mglcs_3_50_4_3.txt.out,0.0113534,23
mglcs_3_50_4_4.txt.out,0.0201844,22
mglcs_3_50_4_5.txt.out,0.0108626,23
mglcs_3_50_4_6.txt.out,0.0920892,25
mglcs_3_50_4_7.txt.out,0.0130347,21
mglcs_3_50_4_8.txt.out,0.0213985,24
mglcs_3_50_4_9.txt.out,0.0187501,23
mglcs_5_100_2_0.txt.out,0.140806,27
mglcs_5_100_2_1.txt.out,0.590196,45
mglcs_5_100_2_2.txt.out,0.289396,32
mglcs_5_100_2_3.txt.out,0.280498,35
mglcs_5_100_2_4.txt.out,0.108621,23
mglcs_5_100_2_5.txt.out,0.195439,33
mglcs_5_100_2_6.txt.out,0.252751,25
mglcs_5_100_2_7.txt.out,0.166752,21
mglcs_5_100_2_8.txt.out,0.163261,24
mglcs_5_100_2_9.txt.out,0.288191,33
mglcs_5_100_4_0.txt.out,0.19081,22
mglcs_5_100_4_1.txt.out,0.204702,17
mglcs_5_100_4_2.txt.out,0.219334,18
mglcs_5_100_4_3.txt.out,0.217607,27
mglcs_5_100_4_4.txt.out,0.377779,21
mglcs_5_100_4_5.txt.out,0.221635,27
mglcs_5_100_4_6.txt.out,0.540253,35
mglcs_5_100_4_7.txt.out,0.594383,25
mglcs_5_100_4_8.txt.out,0.599698,35
mglcs_5_100_4_9.txt.out,0.228125,25
mglcs_5_200_2_0.txt.out,0.205946,31
mglcs_5_200_2_1.txt.out,0.176907,27
mglcs_5_200_2_2.txt.out,0.176843,24
mglcs_5_200_2_3.txt.out,0.249531,33
mglcs_5_200_2_4.txt.out,0.860096,37
mglcs_5_200_2_5.txt.out,0.174918,25
mglcs_5_200_2_6.txt.out,3.18591,39
mglcs_5_200_2_7.txt.out,0.5529,41
mglcs_5_200_2_8.txt.out,0.348275,49
mglcs_5_200_2_9.txt.out,0.380219,35
mglcs_5_200_4_0.txt.out,1.07492,62
mglcs_5_200_4_1.txt.out,0.184144,15
mglcs_5_200_4_2.txt.out,1.07243,37
mglcs_5_200_4_3.txt.out,0.290878,26
mglcs_5_200_4_4.txt.out,0.485878,28
mglcs_5_200_4_5.txt.out,0.304426,34
mglcs_5_200_4_6.txt.out,0.849283,45
mglcs_5_200_4_7.txt.out,0.34762,24
mglcs_5_200_4_8.txt.out,0.641048,31
mglcs_5_200_4_9.txt.out,0.680802,30
mglcs_5_500_2_0.txt.out,1.37727,53
mglcs_5_500_2_1.txt.out,0.473208,28
mglcs_5_500_2_2.txt.out,0.531141,25
mglcs_5_500_2_3.txt.out,0.480394,24
mglcs_5_500_2_4.txt.out,0.299486,21
mglcs_5_500_2_5.txt.out,0.8405,38
mglcs_5_500_2_6.txt.out,0.449326,26
mglcs_5_500_2_7.txt.out,1.0108,34
mglcs_5_500_2_8.txt.out,0.563541,25
mglcs_5_500_2_9.txt.out,0.327111,24
mglcs_5_500_4_0.txt.out,0.481852,19
mglcs_5_500_4_1.txt.out,0.792402,42
mglcs_5_500_4_2.txt.out,0.563699,43
mglcs_5_500_4_3.txt.out,0.368753,25
mglcs_5_500_4_4.txt.out,0.320752,23
mglcs_5_500_4_5.txt.out,1.3566,31
mglcs_5_500_4_6.txt.out,0.576345,26
mglcs_5_500_4_7.txt.out,1.83327,41
mglcs_5_500_4_8.txt.out,2.11852,31
mglcs_5_500_4_9.txt.out,1.92117,36
mglcs_5_50_2_0.txt.out,0.0476672,28
mglcs_5_50_2_1.txt.out,0.0475439,24
mglcs_5_50_2_2.txt.out,0.0140472,19
mglcs_5_50_2_3.txt.out,0.0282821,17
mglcs_5_50_2_4.txt.out,0.0249454,24
mglcs_5_50_2_5.txt.out,0.0226771,17
mglcs_5_50_2_6.txt.out,0.0246739,16
mglcs_5_50_2_7.txt.out,0.017993,20
mglcs_5_50_2_8.txt.out,0.0453527,23
mglcs_5_50_2_9.txt.out,0.022607,17
mglcs_5_50_4_0.txt.out,0.0141185,16
mglcs_5_50_4_1.txt.out,0.0253467,15
mglcs_5_50_4_2.txt.out,0.0176515,16
mglcs_5_50_4_3.txt.out,0.0287137,17
mglcs_5_50_4_4.txt.out,0.119768,19
mglcs_5_50_4_5.txt.out,0.0692241,12
mglcs_5_50_4_6.txt.out,0.0966596,14
mglcs_5_50_4_7.txt.out,0.121506,13
mglcs_5_50_4_8.txt.out,0.0523195,11
mglcs_5_50_4_9.txt.out,0.0759772,20
