file,time,quality
mglcs_10_100_2_0.txt.out,0.0211368,7
mglcs_10_100_2_1.txt.out,0.020489,8
mglcs_10_100_2_2.txt.out,0.0202227,8
mglcs_10_100_2_3.txt.out,0.0217887,9
mglcs_10_100_2_4.txt.out,0.025904,12
mglcs_10_100_2_5.txt.out,0.0275117,10
mglcs_10_100_2_6.txt.out,0.0183539,8
mglcs_10_100_2_7.txt.out,0.0160289,8
mglcs_10_100_2_8.txt.out,0.0169738,10
mglcs_10_100_2_9.txt.out,0.0177312,7
mglcs_10_100_4_0.txt.out,0.020508,4
mglcs_10_100_4_1.txt.out,0.0199147,6
mglcs_10_100_4_2.txt.out,0.0206934,6
mglcs_10_100_4_3.txt.out,0.0247762,6
mglcs_10_100_4_4.txt.out,0.0322518,8
mglcs_10_100_4_5.txt.out,0.0250806,7
mglcs_10_100_4_6.txt.out,0.0262772,7
mglcs_10_100_4_7.txt.out,0.0302471,5
mglcs_10_100_4_8.txt.out,0.0231073,5
mglcs_10_100_4_9.txt.out,0.0248403,8
mglcs_10_200_2_0.txt.out,0.0215265,6
mglcs_10_200_2_1.txt.out,0.0121905,8
mglcs_10_200_2_2.txt.out,0.0184357,10
mglcs_10_200_2_3.txt.out,0.0199541,10
mglcs_10_200_2_4.txt.out,0.0142805,13
mglcs_10_200_2_5.txt.out,0.0245657,12
mglcs_10_200_2_6.txt.out,0.0199292,11
mglcs_10_200_2_7.txt.out,0.0176606,10
mglcs_10_200_2_8.txt.out,0.0349457,14
mglcs_10_200_2_9.txt.out,0.0144542,9
mglcs_10_200_4_0.txt.out,0.0160449,5
mglcs_10_200_4_1.txt.out,0.0161366,6
mglcs_10_200_4_2.txt.out,0.0184947,6
mglcs_10_200_4_3.txt.out,0.0185317,10
mglcs_10_200_4_4.txt.out,0.0189972,6
mglcs_10_200_4_5.txt.out,0.0188583,6
mglcs_10_200_4_6.txt.out,0.0212976,7
mglcs_10_200_4_7.txt.out,0.0172907,4
mglcs_10_200_4_8.txt.out,0.022169,5
mglcs_10_200_4_9.txt.out,0.0215944,7
mglcs_10_500_2_0.txt.out,0.0366887,10
mglcs_10_500_2_1.txt.out,0.0777264,11
mglcs_10_500_2_2.txt.out,0.039344,12
mglcs_10_500_2_3.txt.out,0.0363532,8
mglcs_10_500_2_4.txt.out,0.0609014,13
mglcs_10_500_2_5.txt.out,0.0452335,9
mglcs_10_500_2_6.txt.out,0.0330086,12
mglcs_10_500_2_7.txt.out,0.0179654,6
mglcs_10_500_2_8.txt.out,0.0248165,8
mglcs_10_500_2_9.txt.out,0.0289641,7
mglcs_10_500_4_0.txt.out,0.0194282,5
mglcs_10_500_4_1.txt.out,0.02323,6
mglcs_10_500_4_2.txt.out,0.0468359,8
mglcs_10_500_4_3.txt.out,0.0304334,7
mglcs_10_500_4_4.txt.out,0.0298766,8
mglcs_10_500_4_5.txt.out,0.0258006,5
mglcs_10_500_4_6.txt.out,0.0588946,5
mglcs_10_500_4_7.txt.out,0.0385893,7
mglcs_10_500_4_8.txt.out,0.0250701,5
mglcs_10_500_4_9.txt.out,0.0201782,5
mglcs_10_50_2_0.txt.out,0.0106525,12
mglcs_10_50_2_1.txt.out,0.0109243,9
mglcs_10_50_2_2.txt.out,0.00967402,8
mglcs_10_50_2_3.txt.out,0.0124654,9
mglcs_10_50_2_4.txt.out,0.0102438,7
mglcs_10_50_2_5.txt.out,0.0251374,12
mglcs_10_50_2_6.txt.out,0.0212634,8
mglcs_10_50_2_7.txt.out,0.0177832,9
mglcs_10_50_2_8.txt.out,0.0176177,7
mglcs_10_50_2_9.txt.out,0.0235497,10
mglcs_10_50_4_0.txt.out,0.0238932,7
mglcs_10_50_4_1.txt.out,0.021159,5
mglcs_10_50_4_2.txt.out,0.0230312,7
mglcs_10_50_4_3.txt.out,0.0275045,8
mglcs_10_50_4_4.txt.out,0.0223082,5
mglcs_10_50_4_5.txt.out,0.0144767,5
mglcs_10_50_4_6.txt.out,0.0242494,5
mglcs_10_50_4_7.txt.out,0.0140317,6
mglcs_10_50_4_8.txt.out,0.0251152,6
mglcs_10_50_4_9.txt.out,0.0231181,6
mglcs_2_100_2_0.txt.out,0.202827,80
mglcs_2_100_2_1.txt.out,0.0486982,54
mglcs_2_100_2_2.txt.out,0.157484,70
mglcs_2_100_2_3.txt.out,0.283012,78
mglcs_2_100_2_4.txt.out,0.15223,70
mglcs_2_100_2_5.txt.out,0.139067,76
mglcs_2_100_2_6.txt.out,0.233308,76
mglcs_2_100_2_7.txt.out,0.1275,72
mglcs_2_100_2_8.txt.out,0.239105,75
mglcs_2_100_2_9.txt.out,0.187987,76
mglcs_2_100_4_0.txt.out,0.126897,62
mglcs_2_100_4_1.txt.out,0.131821,61
mglcs_2_100_4_2.txt.out,0.112771,62
mglcs_2_100_4_3.txt.out,0.193516,60
mglcs_2_100_4_4.txt.out,0.230939,63
mglcs_2_100_4_5.txt.out,0.112453,62
mglcs_2_100_4_6.txt.out,0.217902,60
mglcs_2_100_4_7.txt.out,0.202067,63
mglcs_2_100_4_8.txt.out,0.116688,62
mglcs_2_100_4_9.txt.out,0.255301,62
mglcs_2_200_2_0.txt.out,1.07468,95
mglcs_2_200_2_1.txt.out,1.26763,127
mglcs_2_200_2_2.txt.out,0.987639,144
mglcs_2_200_2_3.txt.out,1.42654,144
mglcs_2_200_2_4.txt.out,1.1613,159
mglcs_2_200_2_5.txt.out,1.50496,154
mglcs_2_200_2_6.txt.out,0.859467,143
mglcs_2_200_2_7.txt.out,1.35312,154
mglcs_2_200_2_8.txt.out,1.10212,138
mglcs_2_200_2_9.txt.out,0.687783,145
mglcs_2_200_4_0.txt.out,0.776071,122
mglcs_2_200_4_1.txt.out,1.04049,124
mglcs_2_200_4_2.txt.out,1.72049,118
mglcs_2_200_4_3.txt.out,1.44243,122
mglcs_2_200_4_4.txt.out,0.300113,111
mglcs_2_200_4_5.txt.out,1.1069,110
mglcs_2_200_4_6.txt.out,1.12379,126
mglcs_2_200_4_7.txt.out,0.711097,126
mglcs_2_200_4_8.txt.out,1.22031,125
mglcs_2_200_4_9.txt.out,1.11048,126
mglcs_2_500_2_0.txt.out,15.7707,200
mglcs_2_500_2_1.txt.out,12.9648,231
mglcs_2_500_2_2.txt.out,13.2409,203
mglcs_2_500_2_3.txt.out,13.0219,331
mglcs_2_500_2_4.txt.out,19.4232,302
mglcs_2_500_2_5.txt.out,22.2156,318
mglcs_2_500_2_6.txt.out,18.699,271
mglcs_2_500_2_7.txt.out,12.1253,317
mglcs_2_500_2_8.txt.out,17.5653,321
mglcs_2_500_2_9.txt.out,10.9204,247
mglcs_2_500_4_0.txt.out,2.21932,303
mglcs_2_500_4_1.txt.out,11.4037,301
mglcs_2_500_4_2.txt.out,11.4229,296
mglcs_2_500_4_3.txt.out,3.37631,149
mglcs_2_500_4_4.txt.out,13.4016,282
mglcs_2_500_4_5.txt.out,8.54361,282
mglcs_2_500_4_6.txt.out,12.9548,299
mglcs_2_500_4_7.txt.out,13.7203,275
