file,time,quality
mglcs_10_100_2_0.txt.out,0.0126364,7
mglcs_10_100_2_1.txt.out,0.0113783,8
mglcs_10_100_2_2.txt.out,0.0105996,8
mglcs_10_100_2_3.txt.out,0.0126251,9
mglcs_10_100_2_4.txt.out,0.019101,12
mglcs_10_100_2_5.txt.out,0.0181785,10
mglcs_10_100_2_6.txt.out,0.0180633,8
mglcs_10_100_2_7.txt.out,0.0166425,8
mglcs_10_100_2_8.txt.out,0.0180174,10
mglcs_10_100_2_9.txt.out,0.0187541,7
mglcs_10_100_4_0.txt.out,0.0215819,4
mglcs_10_100_4_1.txt.out,0.0222916,6
mglcs_10_100_4_2.txt.out,0.0233575,6
mglcs_10_100_4_3.txt.out,0.0239314,6
mglcs_10_100_4_4.txt.out,0.0189883,8
mglcs_10_100_4_5.txt.out,0.0208693,7
mglcs_10_100_4_6.txt.out,0.0254406,7
mglcs_10_100_4_7.txt.out,0.0215303,5
mglcs_10_100_4_8.txt.out,0.0220952,5
mglcs_10_100_4_9.txt.out,0.0230783,8
mglcs_10_200_2_0.txt.out,0.0309974,6
mglcs_10_200_2_1.txt.out,0.0200589,8
mglcs_10_200_2_2.txt.out,0.0255698,10
mglcs_10_200_2_3.txt.out,0.0277277,10
mglcs_10_200_2_4.txt.out,0.0202036,13
mglcs_10_200_2_5.txt.out,0.023049,12
mglcs_10_200_2_6.txt.out,0.0209235,11
mglcs_10_200_2_7.txt.out,0.0181863,10
mglcs_10_200_2_8.txt.out,0.0303369,14
mglcs_10_200_2_9.txt.out,0.0140485,9
mglcs_10_200_4_0.txt.out,0.0146731,5
mglcs_10_200_4_1.txt.out,0.0161168,6
mglcs_10_200_4_2.txt.out,0.0178672,5
mglcs_10_200_4_3.txt.out,0.0178403,10
mglcs_10_200_4_4.txt.out,0.0182373,6
mglcs_10_200_4_5.txt.out,0.0184761,6
mglcs_10_200_4_6.txt.out,0.0199671,7
mglcs_10_200_4_7.txt.out,0.0152467,4
mglcs_10_200_4_8.txt.out,0.0272347,5
mglcs_10_200_4_9.txt.out,0.0242422,7
mglcs_10_500_2_0.txt.out,0.0371977,10
mglcs_10_500_2_1.txt.out,0.0805906,11
mglcs_10_500_2_2.txt.out,0.0400385,12
mglcs_10_500_2_3.txt.out,0.0401846,8
mglcs_10_500_2_4.txt.out,0.0624226,12
mglcs_10_500_2_5.txt.out,0.0474108,9
mglcs_10_500_2_6.txt.out,0.0340443,12
mglcs_10_500_2_7.txt.out,0.0175499,6
mglcs_10_500_2_8.txt.out,0.0250065,7
mglcs_10_500_2_9.txt.out,0.0294733,7
mglcs_10_500_4_0.txt.out,0.0189202,5
mglcs_10_500_4_1.txt.out,0.0227345,6
mglcs_10_500_4_2.txt.out,0.0395498,8
mglcs_10_500_4_3.txt.out,0.0290862,7
mglcs_10_500_4_4.txt.out,0.0291615,8
mglcs_10_500_4_5.txt.out,0.0271782,5
mglcs_10_500_4_6.txt.out,0.0272361,5
mglcs_10_500_4_7.txt.out,0.035219,7
mglcs_10_500_4_8.txt.out,0.0225849,5
mglcs_10_500_4_9.txt.out,0.0224609,5
mglcs_10_50_2_0.txt.out,0.0124966,12
mglcs_10_50_2_1.txt.out,0.0104077,9
mglcs_10_50_2_2.txt.out,0.00963508,8
mglcs_10_50_2_3.txt.out,0.0110054,9
mglcs_10_50_2_4.txt.out,0.00961871,7
mglcs_10_50_2_5.txt.out,0.0156948,12
mglcs_10_50_2_6.txt.out,0.0134892,8
mglcs_10_50_2_7.txt.out,0.00963481,9
mglcs_10_50_2_8.txt.out,0.0118355,7
mglcs_10_50_2_9.txt.out,0.0150932,10
mglcs_10_50_4_0.txt.out,0.0164919,7
mglcs_10_50_4_1.txt.out,0.0158738,5
mglcs_10_50_4_2.txt.out,0.0148357,7
mglcs_10_50_4_3.txt.out,0.018493,8
mglcs_10_50_4_4.txt.out,0.0146534,6
mglcs_10_50_4_5.txt.out,0.0138385,5
mglcs_10_50_4_6.txt.out,0.0149429,5
mglcs_10_50_4_7.txt.out,0.0142026,6
mglcs_10_50_4_8.txt.out,0.0138021,6
mglcs_10_50_4_9.txt.out,0.0154657,6
mglcs_2_100_2_0.txt.out,0.156558,80
mglcs_2_100_2_1.txt.out,0.0431409,54
mglcs_2_100_2_2.txt.out,0.138799,70
mglcs_2_100_2_3.txt.out,0.232385,77
mglcs_2_100_2_4.txt.out,0.127176,70
mglcs_2_100_2_5.txt.out,0.123244,76
mglcs_2_100_2_6.txt.out,0.189673,76
mglcs_2_100_2_7.txt.out,0.115357,72
mglcs_2_100_2_8.txt.out,0.196684,75
mglcs_2_100_2_9.txt.out,0.160717,76
mglcs_2_100_4_0.txt.out,0.107703,60
mglcs_2_100_4_1.txt.out,0.112756,59
mglcs_2_100_4_2.txt.out,0.115527,62
mglcs_2_100_4_3.txt.out,0.18672,60
mglcs_2_100_4_4.txt.out,0.19163,63
mglcs_2_100_4_5.txt.out,0.101306,62
mglcs_2_100_4_6.txt.out,0.195384,60
mglcs_2_100_4_7.txt.out,0.176629,62
mglcs_2_100_4_8.txt.out,0.09879,62
mglcs_2_100_4_9.txt.out,0.231346,62
mglcs_2_200_2_0.txt.out,0.980192,95
mglcs_2_200_2_1.txt.out,1.17233,127
mglcs_2_200_2_2.txt.out,0.936915,138
mglcs_2_200_2_3.txt.out,1.26951,144
mglcs_2_200_2_4.txt.out,1.06283,157
mglcs_2_200_2_5.txt.out,1.41393,154
mglcs_2_200_2_6.txt.out,0.790426,139
mglcs_2_200_2_7.txt.out,1.23404,154
mglcs_2_200_2_8.txt.out,1.00794,138
mglcs_2_200_2_9.txt.out,0.632456,145
mglcs_2_200_4_0.txt.out,0.722703,113
mglcs_2_200_4_1.txt.out,1.07201,120
mglcs_2_200_4_2.txt.out,1.54356,118
mglcs_2_200_4_3.txt.out,1.32278,120
mglcs_2_200_4_4.txt.out,0.287227,114
mglcs_2_200_4_5.txt.out,0.943299,110
mglcs_2_200_4_6.txt.out,0.922312,126
mglcs_2_200_4_7.txt.out,0.576593,126
mglcs_2_200_4_8.txt.out,0.979052,125
mglcs_2_200_4_9.txt.out,0.886463,126
mglcs_2_500_2_0.txt.out,12.5598,283
mglcs_2_500_2_1.txt.out,10.0656,179
mglcs_2_500_2_2.txt.out,10.5403,203
mglcs_2_500_2_3.txt.out,11.1418,331
mglcs_2_500_2_4.txt.out,17.8086,302
mglcs_2_500_2_5.txt.out,21.1979,314
mglcs_2_500_2_6.txt.out,17.3232,260
mglcs_2_500_2_7.txt.out,13.1401,317
mglcs_2_500_2_8.txt.out,16.9764,321
mglcs_2_500_2_9.txt.out,9.04127,247
mglcs_2_500_4_0.txt.out,2.2223,309
mglcs_2_500_4_1.txt.out,9.02073,297
mglcs_2_500_4_2.txt.out,9.65355,298
mglcs_2_500_4_3.txt.out,3.25361,149
mglcs_2_500_4_4.txt.out,12.9227,290
mglcs_2_500_4_5.txt.out,9.14675,301
mglcs_2_500_4_6.txt.out,12.4657,298
mglcs_2_500_4_7.txt.out,12.5193,281
mglcs_2_500_4_8.txt.out,12.9424,296
mglcs_2_500_4_9.txt.out,14.4002,286
mglcs_2_50_2_0.txt.out,0.0040398,36
mglcs_2_50_2_1.txt.out,0.0308579,37
mglcs_2_50_2_2.txt.out,0.00415068,39
mglcs_2_50_2_3.txt.out,0.00774592,38
mglcs_2_50_2_4.txt.out,0.00277945,37
mglcs_2_50_2_5.txt.out,0.0166823,36
mglcs_2_50_2_6.txt.out,0.00396444,39
mglcs_2_50_2_7.txt.out,0.00464707,39
mglcs_2_50_2_8.txt.out,0.00224819,38
mglcs_2_50_2_9.txt.out,0.00954024,38
mglcs_2_50_4_0.txt.out,0.0199103,29
mglcs_2_50_4_1.txt.out,0.0392604,31
mglcs_2_50_4_2.txt.out,0.0245706,30
mglcs_2_50_4_3.txt.out,0.0274055,28
mglcs_2_50_4_4.txt.out,0.0229087,32
mglcs_2_50_4_5.txt.out,0.0687116,30
mglcs_2_50_4_6.txt.out,0.0241044,30
mglcs_2_50_4_7.txt.out,0.0115131,30
mglcs_2_50_4_8.txt.out,0.0231225,30
mglcs_2_50_4_9.txt.out,0.0049078,28
mglcs_3_100_2_0.txt.out,0.65492,64
mglcs_3_100_2_1.txt.out,0.863054,64
mglcs_3_100_2_2.txt.out,0.283763,61
mglcs_3_100_2_3.txt.out,0.216616,59
mglcs_3_100_2_4.txt.out,0.113587,65
mglcs_3_100_2_5.txt.out,0.480056,56
mglcs_3_100_2_6.txt.out,0.401767,64
mglcs_3_100_2_7.txt.out,0.321385,46
mglcs_3_100_2_8.txt.out,0.101143,41
mglcs_3_100_2_9.txt.out,0.71446,65
mglcs_3_100_4_0.txt.out,0.48321,45
mglcs_3_100_4_1.txt.out,1.05999,49
mglcs_3_100_4_2.txt.out,0.886806,48
mglcs_3_100_4_3.txt.out,0.322289,47
mglcs_3_100_4_4.txt.out,0.473881,50
mglcs_3_100_4_5.txt.out,0.642261,51
mglcs_3_100_4_6.txt.out,1.11616,51
mglcs_3_100_4_7.txt.out,1.12482,45
mglcs_3_100_4_8.txt.out,1.0697,44
mglcs_3_100_4_9.txt.out,0.618776,50
mglcs_3_200_2_0.txt.out,9.39444,125
mglcs_3_200_2_1.txt.out,5.84729,110
mglcs_3_200_2_2.txt.out,3.57157,134
mglcs_3_200_2_3.txt.out,2.04215,88
mglcs_3_200_2_4.txt.out,7.0954,110
mglcs_3_200_2_5.txt.out,1.66597,106
mglcs_3_200_2_6.txt.out,0.337274,59
mglcs_3_200_2_7.txt.out,0.356423,41
mglcs_3_200_2_8.txt.out,1.27616,102
mglcs_3_200_2_9.txt.out,0.257718,41
mglcs_3_200_4_0.txt.out,15.8095,98
mglcs_3_200_4_1.txt.out,13.4555,100
mglcs_3_200_4_2.txt.out,15.0617,101
mglcs_3_200_4_3.txt.out,12.0775,99
mglcs_3_200_4_4.txt.out,8.61113,99
mglcs_3_200_4_5.txt.out,11.8678,94
mglcs_3_200_4_6.txt.out,2.59903,85
mglcs_3_200_4_7.txt.out,14.3723,101
mglcs_3_200_4_8.txt.out,9.67006,100
mglcs_3_200_4_9.txt.out,10.908,96
mglcs_3_500_2_0.txt.out,0.57716,34
mglcs_3_500_2_1.txt.out,5.13545,150
mglcs_3_500_2_2.txt.out,4.5248,91
mglcs_3_500_2_3.txt.out,6.76829,120
mglcs_3_500_2_4.txt.out,6.49224,145
mglcs_3_500_2_5.txt.out,2.27115,94
mglcs_3_500_2_6.txt.out,12.8108,105
mglcs_3_500_2_7.txt.out,3.09929,99
mglcs_3_500_2_8.txt.out,1.13367,50
mglcs_3_500_2_9.txt.out,1.30147,69
mglcs_3_500_4_0.txt.out,66.0795,186
mglcs_3_500_4_1.txt.out,51.6793,242
mglcs_3_500_4_2.txt.out,45.5674,181
mglcs_3_500_4_3.txt.out,44.6872,224
mglcs_3_500_4_4.txt.out,38.2581,201
mglcs_3_500_4_5.txt.out,27.9871,100
mglcs_3_500_4_6.txt.out,6.02584,112
