file,time,quality
mglcs_10_100_2_0.txt.out,0.00896433,7
mglcs_10_100_2_1.txt.out,0.00880612,8
mglcs_10_100_2_2.txt.out,0.00851158,8
mglcs_10_100_2_3.txt.out,0.00915925,9
mglcs_10_100_2_4.txt.out,0.0180609,12
mglcs_10_100_2_5.txt.out,0.0118708,10
mglcs_10_100_2_6.txt.out,0.0164556,8
mglcs_10_100_2_7.txt.out,0.00820841,8
mglcs_10_100_2_8.txt.out,0.00859384,9
mglcs_10_100_2_9.txt.out,0.00895001,7
mglcs_10_100_4_0.txt.out,0.0149367,4
mglcs_10_100_4_1.txt.out,0.0143376,6
mglcs_10_100_4_2.txt.out,0.0147563,6
mglcs_10_100_4_3.txt.out,0.0148825,5
mglcs_10_100_4_4.txt.out,0.0244055,8
mglcs_10_100_4_5.txt.out,0.0147047,7
mglcs_10_100_4_6.txt.out,0.0150399,7
mglcs_10_100_4_7.txt.out,0.0140358,5
mglcs_10_100_4_8.txt.out,0.0143715,6
mglcs_10_100_4_9.txt.out,0.0149925,8
mglcs_10_200_2_0.txt.out,0.0103873,6
mglcs_10_200_2_1.txt.out,0.0166546,8
mglcs_10_200_2_2.txt.out,0.0197967,10
mglcs_10_200_2_3.txt.out,0.0174584,10
mglcs_10_200_2_4.txt.out,0.0155351,13
mglcs_10_200_2_5.txt.out,0.021701,12
mglcs_10_200_2_6.txt.out,0.0204047,11
mglcs_10_200_2_7.txt.out,0.0188446,10
mglcs_10_200_2_8.txt.out,0.0244594,14
mglcs_10_200_2_9.txt.out,0.00867223,9
mglcs_10_200_4_0.txt.out,0.0140594,5
mglcs_10_200_4_1.txt.out,0.0139588,6
mglcs_10_200_4_2.txt.out,0.0151341,6
mglcs_10_200_4_3.txt.out,0.0224614,10
mglcs_10_200_4_4.txt.out,0.0212351,6
mglcs_10_200_4_5.txt.out,0.0161544,6
mglcs_10_200_4_6.txt.out,0.0160938,7
mglcs_10_200_4_7.txt.out,0.0141733,4
mglcs_10_200_4_8.txt.out,0.019581,5
mglcs_10_200_4_9.txt.out,0.0148147,7
mglcs_10_500_2_0.txt.out,0.00869775,10
mglcs_10_500_2_1.txt.out,0.0121354,11
mglcs_10_500_2_2.txt.out,0.00860544,12
mglcs_10_500_2_3.txt.out,0.00854117,8
mglcs_10_500_2_4.txt.out,0.00968958,12
mglcs_10_500_2_5.txt.out,0.00983114,9
mglcs_10_500_2_6.txt.out,0.00891984,12
mglcs_10_500_2_7.txt.out,0.00747666,6
mglcs_10_500_2_8.txt.out,0.00845668,8
mglcs_10_500_2_9.txt.out,0.00930193,7
mglcs_10_500_4_0.txt.out,0.0140552,5
mglcs_10_500_4_1.txt.out,0.0143968,6
