file,time,quality
mglcs_10_100_2_0.txt.out,0.0215362,7
mglcs_10_100_2_1.txt.out,0.012609,8
mglcs_10_100_2_2.txt.out,0.0113767,8
mglcs_10_100_2_3.txt.out,0.0140053,9
mglcs_10_100_2_4.txt.out,0.0260544,12
mglcs_10_100_2_5.txt.out,0.0299345,10
mglcs_10_100_2_6.txt.out,0.0189926,8
mglcs_10_100_2_7.txt.out,0.0174209,8
mglcs_10_100_2_8.txt.out,0.0195921,9
mglcs_10_100_2_9.txt.out,0.0203646,7
mglcs_10_100_4_0.txt.out,0.0142075,4
mglcs_10_100_4_1.txt.out,0.0158815,6
mglcs_10_100_4_2.txt.out,0.0173711,6
mglcs_10_100_4_3.txt.out,0.0193494,6
mglcs_10_100_4_4.txt.out,0.0227086,8
mglcs_10_100_4_5.txt.out,0.0166102,7
mglcs_10_100_4_6.txt.out,0.0181628,7
mglcs_10_100_4_7.txt.out,0.0152985,5
mglcs_10_100_4_8.txt.out,0.0221577,6
mglcs_10_100_4_9.txt.out,0.0242333,8
mglcs_10_200_2_0.txt.out,0.0319031,6
mglcs_10_200_2_1.txt.out,0.0210427,8
mglcs_10_200_2_2.txt.out,0.0269997,10
mglcs_10_200_2_3.txt.out,0.0272447,10
mglcs_10_200_2_4.txt.out,0.0207506,13
mglcs_10_200_2_5.txt.out,0.0359231,12
mglcs_10_200_2_6.txt.out,0.020933,11
mglcs_10_200_2_7.txt.out,0.0179273,10
mglcs_10_200_2_8.txt.out,0.0414633,14
mglcs_10_200_2_9.txt.out,0.0228186,9
mglcs_10_200_4_0.txt.out,0.0217872,5
mglcs_10_200_4_1.txt.out,0.0167928,6
mglcs_10_200_4_2.txt.out,0.0196524,5
mglcs_10_200_4_3.txt.out,0.0192964,10
mglcs_10_200_4_4.txt.out,0.0185642,6
mglcs_10_200_4_5.txt.out,0.0183044,6
mglcs_10_200_4_6.txt.out,0.0216449,7
mglcs_10_200_4_7.txt.out,0.023484,4
mglcs_10_200_4_8.txt.out,0.0298536,5
mglcs_10_200_4_9.txt.out,0.0313818,7
mglcs_10_500_2_0.txt.out,0.0459323,10
mglcs_10_500_2_1.txt.out,0.0909887,11
mglcs_10_500_2_2.txt.out,0.0427237,12
mglcs_10_500_2_3.txt.out,0.0373092,8
mglcs_10_500_2_4.txt.out,0.0531983,13
mglcs_10_500_2_5.txt.out,0.0468258,9
mglcs_10_500_2_6.txt.out,0.0375816,12
mglcs_10_500_2_7.txt.out,0.0192007,6
mglcs_10_500_2_8.txt.out,0.0239513,7
mglcs_10_500_2_9.txt.out,0.028719,7
mglcs_10_500_4_0.txt.out,0.0193266,5
mglcs_10_500_4_1.txt.out,0.0228622,6
mglcs_10_500_4_2.txt.out,0.0479841,8
mglcs_10_500_4_3.txt.out,0.037293,7
mglcs_10_500_4_4.txt.out,0.0381392,8
mglcs_10_500_4_5.txt.out,0.0341062,5
mglcs_10_500_4_6.txt.out,0.0346971,5
mglcs_10_500_4_7.txt.out,0.0392948,7
mglcs_10_500_4_8.txt.out,0.0237458,5
mglcs_10_500_4_9.txt.out,0.0224273,5
mglcs_10_50_2_0.txt.out,0.0127911,12
mglcs_10_50_2_1.txt.out,0.0106808,9
mglcs_10_50_2_2.txt.out,0.00979318,8
mglcs_10_50_2_3.txt.out,0.0132217,9
mglcs_10_50_2_4.txt.out,0.0101973,7
mglcs_10_50_2_5.txt.out,0.0190502,12
mglcs_10_50_2_6.txt.out,0.0139689,8
mglcs_10_50_2_7.txt.out,0.00962523,9
mglcs_10_50_2_8.txt.out,0.0109809,7
mglcs_10_50_2_9.txt.out,0.0156339,10
mglcs_10_50_4_0.txt.out,0.0168783,7
mglcs_10_50_4_1.txt.out,0.0148997,5
mglcs_10_50_4_2.txt.out,0.0160773,7
mglcs_10_50_4_3.txt.out,0.0204147,8
mglcs_10_50_4_4.txt.out,0.0155007,5
mglcs_10_50_4_5.txt.out,0.0151552,5
mglcs_10_50_4_6.txt.out,0.0172613,5
mglcs_10_50_4_7.txt.out,0.0160003,6
mglcs_10_50_4_8.txt.out,0.0222108,6
mglcs_10_50_4_9.txt.out,0.0245672,6
mglcs_2_100_2_0.txt.out,0.202157,80
mglcs_2_100_2_1.txt.out,0.0434898,54
mglcs_2_100_2_2.txt.out,0.149255,70
mglcs_2_100_2_3.txt.out,0.257182,77
mglcs_2_100_2_4.txt.out,0.130905,69
mglcs_2_100_2_5.txt.out,0.132256,76
mglcs_2_100_2_6.txt.out,0.182686,75
mglcs_2_100_2_7.txt.out,0.106173,72
mglcs_2_100_2_8.txt.out,0.195556,74
mglcs_2_100_2_9.txt.out,0.177997,76
mglcs_2_100_4_0.txt.out,0.11728,60
mglcs_2_100_4_1.txt.out,0.119974,59
mglcs_2_100_4_2.txt.out,0.121661,62
mglcs_2_100_4_3.txt.out,0.199184,60
mglcs_2_100_4_4.txt.out,0.208567,63
mglcs_2_100_4_5.txt.out,0.107304,62
mglcs_2_100_4_6.txt.out,0.207234,60
mglcs_2_100_4_7.txt.out,0.201458,61
mglcs_2_100_4_8.txt.out,0.105242,62
mglcs_2_100_4_9.txt.out,0.260348,62
