file,time,quality
mglcs_10_100_2_0.txt.out,1.16201,14
mglcs_10_100_2_1.txt.out,0.943232,10
mglcs_10_100_2_2.txt.out,0.916316,14
mglcs_10_100_2_3.txt.out,1.09025,16
mglcs_10_100_2_4.txt.out,0.994284,12
mglcs_10_100_2_5.txt.out,0.977284,14
mglcs_10_100_2_6.txt.out,0.976395,15
mglcs_10_100_2_7.txt.out,1.0209,14
mglcs_10_100_2_8.txt.out,0.972766,11
mglcs_10_100_2_9.txt.out,1.31608,11
mglcs_10_100_4_0.txt.out,3.8185,8
mglcs_10_100_4_1.txt.out,5.496,8
mglcs_10_100_4_2.txt.out,5.75593,10
mglcs_10_100_4_3.txt.out,6.11715,13
mglcs_10_100_4_4.txt.out,5.94658,9
mglcs_10_100_4_5.txt.out,5.45966,10
mglcs_10_100_4_6.txt.out,5.48794,9
mglcs_10_100_4_7.txt.out,5.56083,10
mglcs_10_100_4_8.txt.out,4.62129,9
mglcs_10_100_4_9.txt.out,4.73378,11
mglcs_10_200_2_0.txt.out,1.29839,11
mglcs_10_200_2_1.txt.out,1.23611,12
mglcs_10_200_2_2.txt.out,1.30957,12
mglcs_10_200_2_3.txt.out,1.28496,12
mglcs_10_200_2_4.txt.out,1.02297,13
mglcs_10_200_2_5.txt.out,0.971498,17
mglcs_10_200_2_6.txt.out,1.01017,18
mglcs_10_200_2_7.txt.out,1.03529,14
mglcs_10_200_2_8.txt.out,1.038,19
mglcs_10_200_2_9.txt.out,0.893914,10
mglcs_10_200_4_0.txt.out,3.25555,9
mglcs_10_200_4_1.txt.out,4.76133,9
mglcs_10_200_4_2.txt.out,5.95197,8
mglcs_10_200_4_3.txt.out,4.34751,11
mglcs_10_200_4_4.txt.out,4.36041,9
mglcs_10_200_4_5.txt.out,4.38461,9
mglcs_10_200_4_6.txt.out,4.28294,9
mglcs_10_200_4_7.txt.out,5.06855,8
mglcs_10_200_4_8.txt.out,3.75547,8
mglcs_10_200_4_9.txt.out,3.78507,8
mglcs_10_500_2_0.txt.out,1.19535,13
mglcs_10_500_2_1.txt.out,0.909291,14
mglcs_10_500_2_2.txt.out,0.95433,13
mglcs_10_500_2_3.txt.out,1.04863,13
mglcs_10_500_2_4.txt.out,1.05621,14
mglcs_10_500_2_5.txt.out,1.0589,14
mglcs_10_500_2_6.txt.out,1.06415,15
mglcs_10_500_2_7.txt.out,1.01454,12
mglcs_10_500_2_8.txt.out,0.956488,18
mglcs_10_500_2_9.txt.out,1.0125,14
mglcs_10_500_4_0.txt.out,4.72549,8
mglcs_10_500_4_1.txt.out,4.65733,7
mglcs_10_500_4_2.txt.out,4.94059,12
mglcs_10_500_4_3.txt.out,4.77072,10
mglcs_10_500_4_4.txt.out,4.64999,9
mglcs_10_500_4_5.txt.out,4.6963,8
mglcs_10_500_4_6.txt.out,5.16397,11
mglcs_10_500_4_7.txt.out,5.1791,9
mglcs_10_500_4_8.txt.out,5.30118,12
mglcs_10_500_4_9.txt.out,5.22357,11
mglcs_10_50_2_0.txt.out,0.379239,14
mglcs_10_50_2_1.txt.out,0.328761,9
mglcs_10_50_2_2.txt.out,0.495758,9
mglcs_10_50_2_3.txt.out,0.452227,13
mglcs_10_50_2_4.txt.out,0.324104,8
mglcs_10_50_2_5.txt.out,0.216086,14
mglcs_10_50_2_6.txt.out,0.407664,11
mglcs_10_50_2_7.txt.out,0.388417,12
mglcs_10_50_2_8.txt.out,0.457782,10
mglcs_10_50_2_9.txt.out,0.207392,14
mglcs_10_50_4_0.txt.out,0.376997,8
mglcs_10_50_4_1.txt.out,1.04091,6
mglcs_10_50_4_2.txt.out,1.02419,8
mglcs_10_50_4_3.txt.out,0.987185,10
mglcs_10_50_4_4.txt.out,0.357697,8
mglcs_10_50_4_5.txt.out,0.760014,7
mglcs_10_50_4_6.txt.out,0.511116,6
mglcs_10_50_4_7.txt.out,0.891041,6
mglcs_10_50_4_8.txt.out,0.59324,6
mglcs_10_50_4_9.txt.out,0.355608,7
mglcs_2_100_2_0.txt.out,0.195702,79
mglcs_2_100_2_1.txt.out,0.0419406,55
mglcs_2_100_2_2.txt.out,0.212465,70
mglcs_2_100_2_3.txt.out,0.345261,78
mglcs_2_100_2_4.txt.out,0.16179,70
mglcs_2_100_2_5.txt.out,0.141385,74
