file,time,quality
mglcs_10_100_2_0.txt.out,0.00929723,11
mglcs_10_100_2_1.txt.out,0.00782977,8
mglcs_10_100_2_2.txt.out,0.00941334,10
mglcs_10_100_2_3.txt.out,0.00879529,11
mglcs_10_100_2_4.txt.out,0.00927469,10
mglcs_10_100_2_5.txt.out,0.00901899,8
mglcs_10_100_2_6.txt.out,0.00752642,8
mglcs_10_100_2_7.txt.out,0.00727516,8
mglcs_10_100_2_8.txt.out,0.00898334,9
mglcs_10_100_2_9.txt.out,0.008859,10
mglcs_10_100_4_0.txt.out,0.0125097,7
mglcs_10_100_4_1.txt.out,0.0140397,7
mglcs_10_100_4_2.txt.out,0.0126016,7
mglcs_10_100_4_3.txt.out,0.0142372,10
mglcs_10_100_4_4.txt.out,0.0132334,8
mglcs_10_100_4_5.txt.out,0.0123738,7
mglcs_10_100_4_6.txt.out,0.0138996,7
mglcs_10_100_4_7.txt.out,0.0127387,7
mglcs_10_100_4_8.txt.out,0.0123006,6
mglcs_10_100_4_9.txt.out,0.0139799,10
mglcs_10_200_2_0.txt.out,0.00878017,8
mglcs_10_200_2_1.txt.out,0.0079669,12
mglcs_10_200_2_2.txt.out,0.0086996,10
mglcs_10_200_2_3.txt.out,0.0093919,10
mglcs_10_200_2_4.txt.out,0.00909421,13
mglcs_10_200_2_5.txt.out,0.0095256,12
mglcs_10_200_2_6.txt.out,0.00976949,11
mglcs_10_200_2_7.txt.out,0.00958457,10
mglcs_10_200_2_8.txt.out,0.011975,16
mglcs_10_200_2_9.txt.out,0.00792531,8
mglcs_10_200_4_0.txt.out,0.0125928,8
mglcs_10_200_4_1.txt.out,0.0116529,5
mglcs_10_200_4_2.txt.out,0.012396,5
mglcs_10_200_4_3.txt.out,0.0132703,9
mglcs_10_200_4_4.txt.out,0.0138409,8
mglcs_10_200_4_5.txt.out,0.012407,7
mglcs_10_200_4_6.txt.out,0.0128303,7
mglcs_10_200_4_7.txt.out,0.011743,5
mglcs_10_200_4_8.txt.out,0.0126207,6
mglcs_10_200_4_9.txt.out,0.0122993,6
mglcs_10_500_2_0.txt.out,0.00868654,11
mglcs_10_500_2_1.txt.out,0.0108747,11
mglcs_10_500_2_2.txt.out,0.00853896,12
mglcs_10_500_2_3.txt.out,0.00803137,8
mglcs_10_500_2_4.txt.out,0.0106433,13
mglcs_10_500_2_5.txt.out,0.00948729,9
mglcs_10_500_2_6.txt.out,0.00948671,11
mglcs_10_500_2_7.txt.out,0.0073804,9
mglcs_10_500_2_8.txt.out,0.00755799,8
mglcs_10_500_2_9.txt.out,0.00851758,9
mglcs_10_500_4_0.txt.out,0.0117949,5
mglcs_10_500_4_1.txt.out,0.0149943,6
mglcs_10_500_4_2.txt.out,0.0143858,7
mglcs_10_500_4_3.txt.out,0.0134823,7
mglcs_10_500_4_4.txt.out,0.0127846,8
mglcs_10_500_4_5.txt.out,0.0125096,7
mglcs_10_500_4_6.txt.out,0.013181,7
mglcs_10_500_4_7.txt.out,0.0132793,7
mglcs_10_500_4_8.txt.out,0.0123145,9
mglcs_10_500_4_9.txt.out,0.0129035,6
mglcs_10_50_2_0.txt.out,0.00840709,12
mglcs_10_50_2_1.txt.out,0.00750018,8
mglcs_10_50_2_2.txt.out,0.00711661,8
mglcs_10_50_2_3.txt.out,0.00881341,11
mglcs_10_50_2_4.txt.out,0.00667194,7
mglcs_10_50_2_5.txt.out,0.00983421,14
mglcs_10_50_2_6.txt.out,0.00807287,11
mglcs_10_50_2_7.txt.out,0.00739596,8
mglcs_10_50_2_8.txt.out,0.00719447,7
mglcs_10_50_2_9.txt.out,0.0102974,12
mglcs_10_50_4_0.txt.out,0.0108278,7
mglcs_10_50_4_1.txt.out,0.0110851,6
mglcs_10_50_4_2.txt.out,0.0120482,6
mglcs_10_50_4_3.txt.out,0.0138816,9
mglcs_10_50_4_4.txt.out,0.0104902,7
mglcs_10_50_4_5.txt.out,0.0102881,5
mglcs_10_50_4_6.txt.out,0.0107639,5
mglcs_10_50_4_7.txt.out,0.0105667,4
mglcs_10_50_4_8.txt.out,0.0115922,6
mglcs_10_50_4_9.txt.out,0.00982422,6
mglcs_2_100_2_0.txt.out,0.107114,80
mglcs_2_100_2_1.txt.out,0.0311404,54
mglcs_2_100_2_2.txt.out,0.117935,70
mglcs_2_100_2_3.txt.out,0.18782,79
mglcs_2_100_2_4.txt.out,0.079733,66
mglcs_2_100_2_5.txt.out,0.101091,76
mglcs_2_100_2_6.txt.out,0.128713,72
mglcs_2_100_2_7.txt.out,0.111595,72
mglcs_2_100_2_8.txt.out,0.16598,74
mglcs_2_100_2_9.txt.out,0.128525,76
mglcs_2_100_4_0.txt.out,0.0372236,46
mglcs_2_100_4_1.txt.out,0.0415609,45
mglcs_2_100_4_2.txt.out,0.0413445,40
mglcs_2_100_4_3.txt.out,0.14023,60
mglcs_2_100_4_4.txt.out,0.0775873,41
mglcs_2_100_4_5.txt.out,0.0510691,58
mglcs_2_100_4_6.txt.out,0.169485,59
mglcs_2_100_4_7.txt.out,0.084279,49
mglcs_2_100_4_8.txt.out,0.050981,54
mglcs_2_100_4_9.txt.out,0.179747,62
mglcs_2_200_2_0.txt.out,0.714436,95
mglcs_2_200_2_1.txt.out,0.696379,94
mglcs_2_200_2_2.txt.out,1.08483,136
mglcs_2_200_2_3.txt.out,0.899675,140
mglcs_2_200_2_4.txt.out,1.05285,157
mglcs_2_200_2_5.txt.out,0.714661,137
mglcs_2_200_2_6.txt.out,0.73469,134
mglcs_2_200_2_7.txt.out,0.729779,126
mglcs_2_200_2_8.txt.out,1.0251,127
mglcs_2_200_2_9.txt.out,0.813626,132
mglcs_2_200_4_0.txt.out,0.359696,98
mglcs_2_200_4_1.txt.out,0.522676,113
mglcs_2_200_4_2.txt.out,0.821563,99
mglcs_2_200_4_3.txt.out,0.660295,99
mglcs_2_200_4_4.txt.out,0.127538,84
mglcs_2_200_4_5.txt.out,0.485291,100
mglcs_2_200_4_6.txt.out,0.937991,113
mglcs_2_200_4_7.txt.out,0.121547,94
mglcs_2_200_4_8.txt.out,0.546778,101
mglcs_2_200_4_9.txt.out,0.921544,126
mglcs_2_500_2_0.txt.out,3.67799,176
mglcs_2_500_2_1.txt.out,6.42713,162
mglcs_2_500_2_2.txt.out,4.61283,186
mglcs_2_500_2_3.txt.out,4.76354,260
mglcs_2_500_2_4.txt.out,6.23879,218
mglcs_2_500_2_5.txt.out,5.61188,246
mglcs_2_500_2_6.txt.out,6.65655,240
mglcs_2_500_2_7.txt.out,5.95059,214
mglcs_2_500_2_8.txt.out,6.29375,241
mglcs_2_500_2_9.txt.out,3.1542,244
mglcs_2_500_4_0.txt.out,0.33272,263
mglcs_2_500_4_1.txt.out,5.39787,279
mglcs_2_500_4_2.txt.out,1.69383,218
mglcs_2_500_4_3.txt.out,3.84635,262
mglcs_2_500_4_4.txt.out,5.10795,282
mglcs_2_500_4_5.txt.out,5.53513,247
mglcs_2_500_4_6.txt.out,6.99644,286
mglcs_2_500_4_7.txt.out,3.39411,240
mglcs_2_500_4_8.txt.out,3.78135,213
mglcs_2_500_4_9.txt.out,5.5657,152
mglcs_2_50_2_0.txt.out,0.00288014,36
mglcs_2_50_2_1.txt.out,0.0268227,37
mglcs_2_50_2_2.txt.out,0.00323721,39
mglcs_2_50_2_3.txt.out,0.00672547,38
mglcs_2_50_2_4.txt.out,0.00270472,37
mglcs_2_50_2_5.txt.out,0.0163889,36
mglcs_2_50_2_6.txt.out,0.00350155,39
mglcs_2_50_2_7.txt.out,0.00367126,39
mglcs_2_50_2_8.txt.out,0.00156814,38
mglcs_2_50_2_9.txt.out,0.0097548,38
mglcs_2_50_4_0.txt.out,0.0114226,24
mglcs_2_50_4_1.txt.out,0.0284446,31
mglcs_2_50_4_2.txt.out,0.0162693,28
mglcs_2_50_4_3.txt.out,0.0222619,29
mglcs_2_50_4_4.txt.out,0.0182578,32
mglcs_2_50_4_5.txt.out,0.0159631,29
mglcs_2_50_4_6.txt.out,0.0199744,30
mglcs_2_50_4_7.txt.out,0.00938981,30
mglcs_2_50_4_8.txt.out,0.0152528,30
mglcs_2_50_4_9.txt.out,0.00390426,28
mglcs_3_100_2_0.txt.out,0.61391,64
mglcs_3_100_2_1.txt.out,0.872325,64
mglcs_3_100_2_2.txt.out,0.185075,61
mglcs_3_100_2_3.txt.out,0.171088,56
mglcs_3_100_2_4.txt.out,0.109552,65
mglcs_3_100_2_5.txt.out,0.249728,55
mglcs_3_100_2_6.txt.out,0.31308,64
mglcs_3_100_2_7.txt.out,0.233783,46
mglcs_3_100_2_8.txt.out,0.0842245,41
mglcs_3_100_2_9.txt.out,0.515259,65
mglcs_3_100_4_0.txt.out,0.424649,44
mglcs_3_100_4_1.txt.out,1.2741,49
mglcs_3_100_4_2.txt.out,1.27731,47
mglcs_3_100_4_3.txt.out,0.226715,47
mglcs_3_100_4_4.txt.out,0.747528,49
mglcs_3_100_4_5.txt.out,0.693004,51
mglcs_3_100_4_6.txt.out,1.29571,48
mglcs_3_100_4_7.txt.out,0.913252,46
