file,time,quality
mglcs_10_100_2_0.txt.out,1.23147,16
mglcs_10_100_2_1.txt.out,1.06069,11
mglcs_10_100_2_2.txt.out,1.31828,14
mglcs_10_100_2_3.txt.out,1.49755,16
mglcs_10_100_2_4.txt.out,1.37701,12
mglcs_10_100_2_5.txt.out,1.3635,14
mglcs_10_100_2_6.txt.out,1.41998,16
mglcs_10_100_2_7.txt.out,1.14708,14
mglcs_10_100_2_8.txt.out,1.08546,11
mglcs_10_100_2_9.txt.out,1.01086,11
mglcs_10_100_4_0.txt.out,3.48082,11
mglcs_10_100_4_1.txt.out,3.95308,8
mglcs_10_100_4_2.txt.out,3.94103,8
mglcs_10_100_4_3.txt.out,5.84818,12
mglcs_10_100_4_4.txt.out,5.63616,8
mglcs_10_100_4_5.txt.out,5.59695,9
mglcs_10_100_4_6.txt.out,5.60059,9
mglcs_10_100_4_7.txt.out,3.4271,10
mglcs_10_100_4_8.txt.out,4.33274,8
mglcs_10_100_4_9.txt.out,4.38099,13
mglcs_10_200_2_0.txt.out,0.965591,11
mglcs_10_200_2_1.txt.out,0.899887,13
mglcs_10_200_2_2.txt.out,1.01916,12
mglcs_10_200_2_3.txt.out,0.981746,12
mglcs_10_200_2_4.txt.out,0.993733,14
mglcs_10_200_2_5.txt.out,0.999291,16
mglcs_10_200_2_6.txt.out,1.03632,19
mglcs_10_200_2_7.txt.out,1.06975,14
mglcs_10_200_2_8.txt.out,1.09037,19
mglcs_10_200_2_9.txt.out,0.950791,11
mglcs_10_200_4_0.txt.out,5.14028,9
mglcs_10_200_4_1.txt.out,4.99882,9
mglcs_10_200_4_2.txt.out,5.07642,8
mglcs_10_200_4_3.txt.out,5.2016,11
mglcs_10_200_4_4.txt.out,5.28638,10
mglcs_10_200_4_5.txt.out,5.38044,10
mglcs_10_200_4_6.txt.out,5.26273,10
mglcs_10_200_4_7.txt.out,5.28624,8
mglcs_10_200_4_8.txt.out,4.16198,8
mglcs_10_200_4_9.txt.out,4.11405,9
mglcs_10_500_2_0.txt.out,1.29123,15
mglcs_10_500_2_1.txt.out,1.21632,14
mglcs_10_500_2_2.txt.out,1.24437,12
mglcs_10_500_2_3.txt.out,1.41859,14
mglcs_10_500_2_4.txt.out,1.35009,15
mglcs_10_500_2_5.txt.out,1.30781,14
mglcs_10_500_2_6.txt.out,1.3523,18
mglcs_10_500_2_7.txt.out,1.27803,15
mglcs_10_500_2_8.txt.out,1.24297,15
mglcs_10_500_2_9.txt.out,1.23991,14
mglcs_10_500_4_0.txt.out,3.75176,8
mglcs_10_500_4_1.txt.out,4.66265,7
mglcs_10_500_4_2.txt.out,4.88394,12
mglcs_10_500_4_3.txt.out,4.86915,9
mglcs_10_500_4_4.txt.out,4.65991,9
mglcs_10_500_4_5.txt.out,4.96491,9
mglcs_10_500_4_6.txt.out,5.05111,11
mglcs_10_500_4_7.txt.out,5.02488,11
mglcs_10_500_4_8.txt.out,3.41379,11
mglcs_10_500_4_9.txt.out,3.66442,11
mglcs_10_50_2_0.txt.out,0.34493,14
mglcs_10_50_2_1.txt.out,0.301153,9
mglcs_10_50_2_2.txt.out,0.50509,9
mglcs_10_50_2_3.txt.out,0.434923,14
mglcs_10_50_2_4.txt.out,0.329517,8
mglcs_10_50_2_5.txt.out,0.20355,14
mglcs_10_50_2_6.txt.out,0.40499,11
mglcs_10_50_2_7.txt.out,0.414287,12
mglcs_10_50_2_8.txt.out,0.472665,10
mglcs_10_50_2_9.txt.out,0.205596,14
mglcs_10_50_4_0.txt.out,0.400899,8
mglcs_10_50_4_1.txt.out,1.00746,6
mglcs_10_50_4_2.txt.out,1.02315,7
mglcs_10_50_4_3.txt.out,1.02821,10
mglcs_10_50_4_4.txt.out,0.431487,8
mglcs_10_50_4_5.txt.out,0.852814,7
mglcs_10_50_4_6.txt.out,0.533594,7
mglcs_10_50_4_7.txt.out,0.846125,7
mglcs_10_50_4_8.txt.out,0.670603,7
mglcs_10_50_4_9.txt.out,0.393421,7
mglcs_2_100_2_0.txt.out,0.150531,80
mglcs_2_100_2_1.txt.out,0.035477,54
mglcs_2_100_2_2.txt.out,0.128818,70
mglcs_2_100_2_3.txt.out,0.231283,76
mglcs_2_100_2_4.txt.out,0.114281,68
mglcs_2_100_2_5.txt.out,0.114327,76
mglcs_2_100_2_6.txt.out,0.153943,75
mglcs_2_100_2_7.txt.out,0.101844,72
mglcs_2_100_2_8.txt.out,0.166093,75
mglcs_2_100_2_9.txt.out,0.123613,76
mglcs_2_100_4_0.txt.out,0.07185,56
mglcs_2_100_4_1.txt.out,0.084919,55
mglcs_2_100_4_2.txt.out,0.0700272,64
mglcs_2_100_4_3.txt.out,0.160686,60
mglcs_2_100_4_4.txt.out,0.100863,56
mglcs_2_100_4_5.txt.out,0.0711223,62
mglcs_2_100_4_6.txt.out,0.217392,60
mglcs_2_100_4_7.txt.out,0.110407,62
mglcs_2_100_4_8.txt.out,0.0672108,62
mglcs_2_100_4_9.txt.out,0.186313,62
mglcs_2_200_2_0.txt.out,0.620175,95
mglcs_2_200_2_1.txt.out,0.925835,127
mglcs_2_200_2_2.txt.out,1.78283,142
mglcs_2_200_2_3.txt.out,1.20546,145
mglcs_2_200_2_4.txt.out,1.47057,159
mglcs_2_200_2_5.txt.out,1.50815,150
mglcs_2_200_2_6.txt.out,0.959185,138
mglcs_2_200_2_7.txt.out,1.5362,150
mglcs_2_200_2_8.txt.out,1.59896,136
mglcs_2_200_2_9.txt.out,0.963285,143
mglcs_2_200_4_0.txt.out,0.363851,124
mglcs_2_200_4_1.txt.out,0.870629,117
mglcs_2_200_4_2.txt.out,1.36969,123
mglcs_2_200_4_3.txt.out,0.820826,111
mglcs_2_200_4_4.txt.out,0.438531,125
mglcs_2_200_4_5.txt.out,0.890934,110
mglcs_2_200_4_6.txt.out,0.915549,125
mglcs_2_200_4_7.txt.out,0.482145,124
mglcs_2_200_4_8.txt.out,0.826226,122
mglcs_2_200_4_9.txt.out,0.687701,126
mglcs_2_500_2_0.txt.out,12.8749,282
mglcs_2_500_2_1.txt.out,14.3367,232
mglcs_2_500_2_2.txt.out,11.8111,281
mglcs_2_500_2_3.txt.out,13.5768,327
mglcs_2_500_2_4.txt.out,18.3755,293
mglcs_2_500_2_5.txt.out,20.6588,322
mglcs_2_500_2_6.txt.out,14.776,334
mglcs_2_500_2_7.txt.out,11.8427,362
mglcs_2_500_2_8.txt.out,13.5194,312
mglcs_2_500_2_9.txt.out,8.1078,247
mglcs_2_500_4_0.txt.out,7.8602,307
mglcs_2_500_4_1.txt.out,8.85172,290
mglcs_2_500_4_2.txt.out,10.0604,263
mglcs_2_500_4_3.txt.out,8.5639,283
mglcs_2_500_4_4.txt.out,9.35076,285
mglcs_2_500_4_5.txt.out,10.2551,297
mglcs_2_500_4_6.txt.out,14.8323,296
mglcs_2_500_4_7.txt.out,13.4751,277
mglcs_2_500_4_8.txt.out,12.2041,285
mglcs_2_500_4_9.txt.out,12.6964,274
mglcs_2_50_2_0.txt.out,0.00316891,36
mglcs_2_50_2_1.txt.out,0.0265537,37
mglcs_2_50_2_2.txt.out,0.00318693,39
mglcs_2_50_2_3.txt.out,0.00645997,38
mglcs_2_50_2_4.txt.out,0.00205699,37
mglcs_2_50_2_5.txt.out,0.0148298,36
mglcs_2_50_2_6.txt.out,0.00282867,39
mglcs_2_50_2_7.txt.out,0.00368883,39
mglcs_2_50_2_8.txt.out,0.00129359,38
mglcs_2_50_2_9.txt.out,0.00909759,38
mglcs_2_50_4_0.txt.out,0.0187944,28
mglcs_2_50_4_1.txt.out,0.033255,31
mglcs_2_50_4_2.txt.out,0.0225918,30
mglcs_2_50_4_3.txt.out,0.0232049,29
mglcs_2_50_4_4.txt.out,0.0196442,32
mglcs_2_50_4_5.txt.out,0.0244903,30
mglcs_2_50_4_6.txt.out,0.0204323,30
mglcs_2_50_4_7.txt.out,0.0109115,30
mglcs_2_50_4_8.txt.out,0.0200286,30
mglcs_2_50_4_9.txt.out,0.00492334,28
mglcs_3_100_2_0.txt.out,0.756773,64
mglcs_3_100_2_1.txt.out,1.1042,64
mglcs_3_100_2_2.txt.out,0.241285,61
mglcs_3_100_2_3.txt.out,0.202655,59
mglcs_3_100_2_4.txt.out,0.10306,65
mglcs_3_100_2_5.txt.out,0.443046,56
mglcs_3_100_2_6.txt.out,0.36045,64
mglcs_3_100_2_7.txt.out,0.324792,46
mglcs_3_100_2_8.txt.out,0.0853038,41
mglcs_3_100_2_9.txt.out,0.696809,65
mglcs_3_100_4_0.txt.out,0.426653,45
mglcs_3_100_4_1.txt.out,1.45096,49
mglcs_3_100_4_2.txt.out,1.28406,47
mglcs_3_100_4_3.txt.out,0.253597,47
mglcs_3_100_4_4.txt.out,0.884683,51
mglcs_3_100_4_5.txt.out,0.690307,51
mglcs_3_100_4_6.txt.out,1.50698,49
mglcs_3_100_4_7.txt.out,1.23474,45
mglcs_3_100_4_8.txt.out,1.36424,46
mglcs_3_100_4_9.txt.out,0.618137,50
mglcs_3_200_2_0.txt.out,30.2972,125
mglcs_3_200_2_1.txt.out,17.1362,113
mglcs_3_200_2_2.txt.out,23.1056,111
mglcs_3_200_2_3.txt.out,2.86879,97
mglcs_3_200_2_4.txt.out,21.9138,109
mglcs_3_200_2_5.txt.out,3.39345,106
mglcs_3_200_2_6.txt.out,6.16425,75
mglcs_3_200_2_7.txt.out,1.77841,95
mglcs_3_200_2_8.txt.out,11.1776,109
mglcs_3_200_2_9.txt.out,21.2224,102
mglcs_3_200_4_0.txt.out,37.2285,93
mglcs_3_200_4_1.txt.out,30.7967,99
mglcs_3_200_4_2.txt.out,38.5656,100
mglcs_3_200_4_3.txt.out,45.8901,94
mglcs_3_200_4_4.txt.out,20.7402,100
mglcs_3_200_4_5.txt.out,38.5602,91
mglcs_3_200_4_6.txt.out,14.6957,86
mglcs_3_200_4_7.txt.out,52.0285,98
mglcs_3_200_4_8.txt.out,24.2371,100
mglcs_3_200_4_9.txt.out,30.3265,93
mglcs_3_500_2_0.txt.out,27.3653,112
mglcs_3_500_2_1.txt.out,32.9588,176
