file,time,quality
mglcs_10_100_2_0.txt.out,0.0190377,7
mglcs_10_100_2_1.txt.out,0.0124284,8
mglcs_10_100_2_2.txt.out,0.0118592,8
mglcs_10_100_2_3.txt.out,0.0144015,9
mglcs_10_100_2_4.txt.out,0.0197265,12
mglcs_10_100_2_5.txt.out,0.0200938,10
mglcs_10_100_2_6.txt.out,0.0115019,8
mglcs_10_100_2_7.txt.out,0.0101022,8
mglcs_10_100_2_8.txt.out,0.0113274,10
mglcs_10_100_2_9.txt.out,0.0120809,7
mglcs_10_100_4_0.txt.out,0.01559,4
mglcs_10_100_4_1.txt.out,0.0157572,6
mglcs_10_100_4_2.txt.out,0.0223099,6
mglcs_10_100_4_3.txt.out,0.0230162,6
mglcs_10_100_4_4.txt.out,0.0257883,8
mglcs_10_100_4_5.txt.out,0.0240933,7
mglcs_10_100_4_6.txt.out,0.0176743,7
mglcs_10_100_4_7.txt.out,0.014975,5
mglcs_10_100_4_8.txt.out,0.0227632,5
mglcs_10_100_4_9.txt.out,0.024441,8
mglcs_10_200_2_0.txt.out,0.0236905,6
mglcs_10_200_2_1.txt.out,0.0210158,8
mglcs_10_200_2_2.txt.out,0.0281552,10
mglcs_10_200_2_3.txt.out,0.0278907,10
mglcs_10_200_2_4.txt.out,0.0210934,13
mglcs_10_200_2_5.txt.out,0.0333787,12
mglcs_10_200_2_6.txt.out,0.0304597,11
mglcs_10_200_2_7.txt.out,0.0288283,10
mglcs_10_200_2_8.txt.out,0.0457401,14
mglcs_10_200_2_9.txt.out,0.0230391,9
mglcs_10_200_4_0.txt.out,0.0230283,5
mglcs_10_200_4_1.txt.out,0.0163498,6
mglcs_10_200_4_2.txt.out,0.0200249,6
mglcs_10_200_4_3.txt.out,0.019397,10
mglcs_10_200_4_4.txt.out,0.0202144,6
mglcs_10_200_4_5.txt.out,0.0198066,6
mglcs_10_200_4_6.txt.out,0.0221118,7
mglcs_10_200_4_7.txt.out,0.0208495,4
mglcs_10_200_4_8.txt.out,0.0248241,5
mglcs_10_200_4_9.txt.out,0.0286579,7
mglcs_10_500_2_0.txt.out,0.0438801,10
mglcs_10_500_2_1.txt.out,0.0799685,11
mglcs_10_500_2_2.txt.out,0.0386599,12
mglcs_10_500_2_3.txt.out,0.0372602,8
mglcs_10_500_2_4.txt.out,0.0432339,13
mglcs_10_500_2_5.txt.out,0.0475651,9
mglcs_10_500_2_6.txt.out,0.0347653,12
mglcs_10_500_2_7.txt.out,0.0205982,6
mglcs_10_500_2_8.txt.out,0.0268609,7
mglcs_10_500_2_9.txt.out,0.0325298,7
mglcs_10_500_4_0.txt.out,0.0219475,5
mglcs_10_500_4_1.txt.out,0.0256067,6
mglcs_10_500_4_2.txt.out,0.0417329,8
mglcs_10_500_4_3.txt.out,0.031531,7
mglcs_10_500_4_4.txt.out,0.0317273,8
mglcs_10_500_4_5.txt.out,0.0279236,5
mglcs_10_500_4_6.txt.out,0.030071,5
mglcs_10_500_4_7.txt.out,0.0371034,7
mglcs_10_500_4_8.txt.out,0.0253397,5
mglcs_10_500_4_9.txt.out,0.0244186,5
mglcs_10_50_2_0.txt.out,0.0175489,12
mglcs_10_50_2_1.txt.out,0.0154076,9
mglcs_10_50_2_2.txt.out,0.0145077,8
mglcs_10_50_2_3.txt.out,0.0175342,9
mglcs_10_50_2_4.txt.out,0.013483,7
mglcs_10_50_2_5.txt.out,0.0202358,12
mglcs_10_50_2_6.txt.out,0.0164731,8
mglcs_10_50_2_7.txt.out,0.0149032,9
mglcs_10_50_2_8.txt.out,0.0148507,7
mglcs_10_50_2_9.txt.out,0.0204709,10
mglcs_10_50_4_0.txt.out,0.0199978,7
mglcs_10_50_4_1.txt.out,0.0178872,5
mglcs_10_50_4_2.txt.out,0.0191277,7
mglcs_10_50_4_3.txt.out,0.0234061,8
mglcs_10_50_4_4.txt.out,0.0186006,6
mglcs_10_50_4_5.txt.out,0.0206407,5
mglcs_10_50_4_6.txt.out,0.0193926,5
mglcs_10_50_4_7.txt.out,0.0130711,6
mglcs_10_50_4_8.txt.out,0.0132151,6
mglcs_10_50_4_9.txt.out,0.0138184,6
mglcs_2_100_2_0.txt.out,0.155209,80
mglcs_2_100_2_1.txt.out,0.0411288,54
mglcs_2_100_2_2.txt.out,0.158596,70
mglcs_2_100_2_3.txt.out,0.229058,78
mglcs_2_100_2_4.txt.out,0.124956,70
mglcs_2_100_2_5.txt.out,0.120042,76
mglcs_2_100_2_6.txt.out,0.186851,76
mglcs_2_100_2_7.txt.out,0.105434,72
mglcs_2_100_2_8.txt.out,0.195688,75
mglcs_2_100_2_9.txt.out,0.162404,76
mglcs_2_100_4_0.txt.out,0.104348,60
mglcs_2_100_4_1.txt.out,0.111896,59
mglcs_2_100_4_2.txt.out,0.106493,62
mglcs_2_100_4_3.txt.out,0.178837,60
mglcs_2_100_4_4.txt.out,0.177175,63
mglcs_2_100_4_5.txt.out,0.0932319,62
mglcs_2_100_4_6.txt.out,0.181321,60
mglcs_2_100_4_7.txt.out,0.167541,63
mglcs_2_100_4_8.txt.out,0.0912271,62
mglcs_2_100_4_9.txt.out,0.217224,62
mglcs_2_200_2_0.txt.out,0.907212,95
mglcs_2_200_2_1.txt.out,1.10595,127
mglcs_2_200_2_2.txt.out,0.874009,144
mglcs_2_200_2_3.txt.out,1.20481,144
mglcs_2_200_2_4.txt.out,1.06813,159
mglcs_2_200_2_5.txt.out,1.34871,154
mglcs_2_200_2_6.txt.out,0.775229,139
mglcs_2_200_2_7.txt.out,1.18623,154
mglcs_2_200_2_8.txt.out,0.984039,137
mglcs_2_200_2_9.txt.out,0.579458,145
mglcs_2_200_4_0.txt.out,0.910182,112
mglcs_2_200_4_1.txt.out,1.29846,123
mglcs_2_200_4_2.txt.out,1.74003,118
mglcs_2_200_4_3.txt.out,1.44702,120
mglcs_2_200_4_4.txt.out,0.32761,123
mglcs_2_200_4_5.txt.out,1.27768,112
mglcs_2_200_4_6.txt.out,1.20204,126
mglcs_2_200_4_7.txt.out,0.802831,126
mglcs_2_200_4_8.txt.out,1.27283,125
mglcs_2_200_4_9.txt.out,1.05612,126
mglcs_2_500_2_0.txt.out,15.3504,283
mglcs_2_500_2_1.txt.out,14.8885,174
mglcs_2_500_2_2.txt.out,13.6863,203
mglcs_2_500_2_3.txt.out,13.2738,327
mglcs_2_500_2_4.txt.out,23.0599,302
mglcs_2_500_2_5.txt.out,24.6862,295
mglcs_2_500_2_6.txt.out,22.5183,249
mglcs_2_500_2_7.txt.out,15.5112,317
mglcs_2_500_2_8.txt.out,18.9938,321
mglcs_2_500_2_9.txt.out,9.40305,247
mglcs_2_500_4_0.txt.out,1.63414,301
mglcs_2_500_4_1.txt.out,7.82078,296
mglcs_2_500_4_2.txt.out,9.62401,294
mglcs_2_500_4_3.txt.out,6.12103,277
mglcs_2_500_4_4.txt.out,12.3254,285
mglcs_2_500_4_5.txt.out,7.75882,300
mglcs_2_500_4_6.txt.out,10.8611,297
mglcs_2_500_4_7.txt.out,11.4239,277
mglcs_2_500_4_8.txt.out,15.9988,298
mglcs_2_500_4_9.txt.out,10.2401,288
mglcs_2_50_2_0.txt.out,0.00399972,36
mglcs_2_50_2_1.txt.out,0.0338828,37
mglcs_2_50_2_2.txt.out,0.00408877,39
mglcs_2_50_2_3.txt.out,0.00782742,38
mglcs_2_50_2_4.txt.out,0.00284013,37
mglcs_2_50_2_5.txt.out,0.0168739,36
mglcs_2_50_2_6.txt.out,0.00358437,39
mglcs_2_50_2_7.txt.out,0.00484481,39
mglcs_2_50_2_8.txt.out,0.0020278,38
mglcs_2_50_2_9.txt.out,0.00952681,38
mglcs_2_50_4_0.txt.out,0.0193873,29
mglcs_2_50_4_1.txt.out,0.039256,31
mglcs_2_50_4_2.txt.out,0.0237069,29
mglcs_2_50_4_3.txt.out,0.0297405,29
mglcs_2_50_4_4.txt.out,0.023854,32
mglcs_2_50_4_5.txt.out,0.0264699,30
mglcs_2_50_4_6.txt.out,0.0238762,30
mglcs_2_50_4_7.txt.out,0.0113403,30
mglcs_2_50_4_8.txt.out,0.0255841,30
mglcs_2_50_4_9.txt.out,0.00528097,28
mglcs_3_100_2_0.txt.out,0.777151,64
mglcs_3_100_2_1.txt.out,0.93375,64
mglcs_3_100_2_2.txt.out,0.316123,61
mglcs_3_100_2_3.txt.out,0.234872,59
mglcs_3_100_2_4.txt.out,0.129678,65
mglcs_3_100_2_5.txt.out,0.556451,56
mglcs_3_100_2_6.txt.out,0.484055,64
mglcs_3_100_2_7.txt.out,0.376401,46
mglcs_3_100_2_8.txt.out,0.124887,41
mglcs_3_100_2_9.txt.out,0.843967,65
mglcs_3_100_4_0.txt.out,0.509581,45
mglcs_3_100_4_1.txt.out,1.1193,49
mglcs_3_100_4_2.txt.out,0.902772,48
mglcs_3_100_4_3.txt.out,0.38004,47
mglcs_3_100_4_4.txt.out,0.541328,52
mglcs_3_100_4_5.txt.out,0.675286,51
mglcs_3_100_4_6.txt.out,1.26217,51
mglcs_3_100_4_7.txt.out,1.12459,45
mglcs_3_100_4_8.txt.out,1.10005,44
mglcs_3_100_4_9.txt.out,0.652067,50
mglcs_3_200_2_0.txt.out,11.0671,125
mglcs_3_200_2_1.txt.out,6.81743,112
mglcs_3_200_2_2.txt.out,4.44078,134
mglcs_3_200_2_3.txt.out,2.3166,85
mglcs_3_200_2_4.txt.out,7.9299,110
mglcs_3_200_2_5.txt.out,1.90866,106
mglcs_3_200_2_6.txt.out,0.374033,59
mglcs_3_200_2_7.txt.out,0.420645,41
mglcs_3_200_2_8.txt.out,1.39192,102
mglcs_3_200_2_9.txt.out,0.292421,41
mglcs_3_200_4_0.txt.out,16.3198,98
mglcs_3_200_4_1.txt.out,14.5494,99
mglcs_3_200_4_2.txt.out,16.3147,101
mglcs_3_200_4_3.txt.out,13.067,98
mglcs_3_200_4_4.txt.out,8.09559,99
mglcs_3_200_4_5.txt.out,11.2115,94
mglcs_3_200_4_6.txt.out,2.3979,85
mglcs_3_200_4_7.txt.out,14.4325,100
mglcs_3_200_4_8.txt.out,9.76642,100
mglcs_3_200_4_9.txt.out,10.7405,95
mglcs_3_500_2_0.txt.out,0.575773,34
mglcs_3_500_2_1.txt.out,4.92294,150
mglcs_3_500_2_2.txt.out,4.87872,92
mglcs_3_500_2_3.txt.out,7.34583,119
mglcs_3_500_2_4.txt.out,6.45176,146
mglcs_3_500_2_5.txt.out,2.34538,94
mglcs_3_500_2_6.txt.out,12.6317,104
mglcs_3_500_2_7.txt.out,2.56973,99
mglcs_3_500_2_8.txt.out,1.11401,50
mglcs_3_500_2_9.txt.out,1.39941,69
mglcs_3_500_4_0.txt.out,63.9711,208
mglcs_3_500_4_1.txt.out,47.9531,211
mglcs_3_500_4_2.txt.out,45.1867,181
mglcs_3_500_4_3.txt.out,44.9466,224
mglcs_3_500_4_4.txt.out,40.194,202
mglcs_3_500_4_5.txt.out,27.6258,101
mglcs_3_500_4_6.txt.out,6.30727,113
mglcs_3_500_4_7.txt.out,42.0837,224
mglcs_3_500_4_8.txt.out,39.0372,219
mglcs_3_500_4_9.txt.out,72.8661,204
mglcs_3_50_2_0.txt.out,0.0476193,32
mglcs_3_50_2_1.txt.out,0.015244,32
mglcs_3_50_2_2.txt.out,0.0412958,36
mglcs_3_50_2_3.txt.out,0.0106843,25
mglcs_3_50_2_4.txt.out,0.0182096,33
mglcs_3_50_2_5.txt.out,0.0054356,31
mglcs_3_50_2_6.txt.out,0.0126003,33
mglcs_3_50_2_7.txt.out,0.019145,32
mglcs_3_50_2_8.txt.out,0.0162989,30
mglcs_3_50_2_9.txt.out,0.0104634,28
mglcs_3_50_4_0.txt.out,0.036412,23
mglcs_3_50_4_1.txt.out,0.0556867,24
mglcs_3_50_4_2.txt.out,0.00660146,21
mglcs_3_50_4_3.txt.out,0.0120502,23
mglcs_3_50_4_4.txt.out,0.0242141,22
mglcs_3_50_4_5.txt.out,0.0128598,23
mglcs_3_50_4_6.txt.out,0.067677,25
mglcs_3_50_4_7.txt.out,0.0132408,21
mglcs_3_50_4_8.txt.out,0.021069,24
mglcs_3_50_4_9.txt.out,0.0190403,23
mglcs_5_100_2_0.txt.out,0.0243275,20
mglcs_5_100_2_1.txt.out,0.0703144,40
mglcs_5_100_2_2.txt.out,0.0404978,21
mglcs_5_100_2_3.txt.out,0.0190597,15
mglcs_5_100_2_4.txt.out,0.0360888,23
mglcs_5_100_2_5.txt.out,0.069248,30
mglcs_5_100_2_6.txt.out,0.0684943,20
mglcs_5_100_2_7.txt.out,0.0225693,18
mglcs_5_100_2_8.txt.out,0.01923,15
mglcs_5_100_2_9.txt.out,0.0324613,21
mglcs_5_100_4_0.txt.out,0.0297357,20
mglcs_5_100_4_1.txt.out,0.0350867,13
mglcs_5_100_4_2.txt.out,0.0307628,14
mglcs_5_100_4_3.txt.out,0.0388111,27
mglcs_5_100_4_4.txt.out,0.131157,21
mglcs_5_100_4_5.txt.out,0.0479561,26
mglcs_5_100_4_6.txt.out,0.0747625,24
mglcs_5_100_4_7.txt.out,0.093175,25
mglcs_5_100_4_8.txt.out,0.150856,35
mglcs_5_100_4_9.txt.out,0.0336544,16
mglcs_5_200_2_0.txt.out,0.0583666,23
mglcs_5_200_2_1.txt.out,0.0302489,27
mglcs_5_200_2_2.txt.out,0.0679368,21
mglcs_5_200_2_3.txt.out,0.0588956,33
mglcs_5_200_2_4.txt.out,0.168414,28
mglcs_5_200_2_5.txt.out,0.0299372,20
mglcs_5_200_2_6.txt.out,0.0586294,32
mglcs_5_200_2_7.txt.out,0.129398,30
mglcs_5_200_2_8.txt.out,0.0456031,23
mglcs_5_200_2_9.txt.out,0.0939774,29
mglcs_5_200_4_0.txt.out,0.0762878,49
mglcs_5_200_4_1.txt.out,0.031482,15
mglcs_5_200_4_2.txt.out,0.270002,30
mglcs_5_200_4_3.txt.out,0.103581,23
mglcs_5_200_4_4.txt.out,0.184775,25
mglcs_5_200_4_5.txt.out,0.0717546,30
mglcs_5_200_4_6.txt.out,0.146283,34
mglcs_5_200_4_7.txt.out,0.0425232,24
mglcs_5_200_4_8.txt.out,0.165624,31
mglcs_5_200_4_9.txt.out,0.0921885,29
mglcs_5_500_2_0.txt.out,0.464546,49
mglcs_5_500_2_1.txt.out,0.120223,28
mglcs_5_500_2_2.txt.out,0.170196,22
mglcs_5_500_2_3.txt.out,0.109781,23
mglcs_5_500_2_4.txt.out,0.0624704,16
mglcs_5_500_2_5.txt.out,0.244281,32
mglcs_5_500_2_6.txt.out,0.0799284,26
mglcs_5_500_2_7.txt.out,0.341309,34
mglcs_5_500_2_8.txt.out,0.170561,25
mglcs_5_500_2_9.txt.out,0.0649291,24
mglcs_5_500_4_0.txt.out,0.108485,19
mglcs_5_500_4_1.txt.out,0.116937,40
mglcs_5_500_4_2.txt.out,0.0968625,20
mglcs_5_500_4_3.txt.out,0.0799328,17
mglcs_5_500_4_4.txt.out,0.0439326,16
mglcs_5_500_4_5.txt.out,0.206438,31
mglcs_5_500_4_6.txt.out,0.117155,26
mglcs_5_500_4_7.txt.out,0.486029,35
mglcs_5_500_4_8.txt.out,0.200798,30
mglcs_5_500_4_9.txt.out,0.450268,35
mglcs_5_50_2_0.txt.out,0.0400156,28
mglcs_5_50_2_1.txt.out,0.0437249,24
mglcs_5_50_2_2.txt.out,0.0259668,19
mglcs_5_50_2_3.txt.out,0.0144291,15
mglcs_5_50_2_4.txt.out,0.0257281,24
mglcs_5_50_2_5.txt.out,0.0275509,17
mglcs_5_50_2_6.txt.out,0.0323464,16
mglcs_5_50_2_7.txt.out,0.0293335,20
mglcs_5_50_2_8.txt.out,0.0407057,20
mglcs_5_50_2_9.txt.out,0.0280206,17
mglcs_5_50_4_0.txt.out,0.014962,16
mglcs_5_50_4_1.txt.out,0.0199796,15
mglcs_5_50_4_2.txt.out,0.0156865,16
mglcs_5_50_4_3.txt.out,0.0260956,17
mglcs_5_50_4_4.txt.out,0.0883677,19
mglcs_5_50_4_5.txt.out,0.0169133,12
mglcs_5_50_4_6.txt.out,0.031282,14
mglcs_5_50_4_7.txt.out,0.0267162,13
mglcs_5_50_4_8.txt.out,0.0255345,11
mglcs_5_50_4_9.txt.out,0.0256194,20
