file,time,quality
4_100_600.rat.out,44.3012,1
4_100_600.virus.out,43.2542,3
4_10_600.rat.out,30.6541,25
4_10_600.virus.out,43.1388,36
4_150_600.rat.out,66.5653,1
4_150_600.virus.out,31.8026,3
4_15_600.rat.out,24.2581,11
4_15_600.virus.out,36.524,19
4_200_600.rat.out,62.5402,1
4_200_600.virus.out,48.5898,1
4_20_600.rat.out,49.3557,9
4_20_600.virus.out,26.9169,10
4_25_600.rat.out,29.6175,7
4_25_600.virus.out,30.4039,9
4_40_600.rat.out,48.6365,4
4_40_600.virus.out,32.1188,5
4_60_600.rat.out,45.2218,1
4_60_600.virus.out,34.3774,4
4_80_600.rat.out,53.0243,1
4_80_600.virus.out,40.6432,3
