file,time,quality
4_100_600.rat.out,25.715,1
4_100_600.virus.out,35.2679,3
4_10_600.rat.out,43.4436,28
4_10_600.virus.out,134.508,87
4_150_600.rat.out,39.5118,1
4_150_600.virus.out,27.7053,4
4_15_600.rat.out,23.3882,11
4_15_600.virus.out,27.079,19
4_200_600.rat.out,39.8171,1
4_200_600.virus.out,32.0577,1
4_20_600.rat.out,11.3136,10
4_20_600.virus.out,16.311,11
4_25_600.rat.out,17.5311,9
4_25_600.virus.out,16.656,13
4_40_600.rat.out,18.1842,5
4_40_600.virus.out,20.3875,7
4_60_600.rat.out,22.6158,3
4_60_600.virus.out,20.2591,5
4_80_600.rat.out,22.5151,1
4_80_600.virus.out,22.8048,4
