file,time,quality
mglcs_10_100_2_0.txt.out,4.25085,17
mglcs_10_100_2_1.txt.out,3.75874,13
mglcs_10_100_2_2.txt.out,4.3899,15
mglcs_10_100_2_3.txt.out,5.11568,16
mglcs_10_100_2_4.txt.out,4.61696,12
mglcs_10_100_2_5.txt.out,4.69376,13
mglcs_10_100_2_6.txt.out,4.82803,17
mglcs_10_100_2_7.txt.out,4.90421,15
mglcs_10_100_2_8.txt.out,4.60701,14
mglcs_10_100_2_9.txt.out,4.69739,11
mglcs_10_100_4_0.txt.out,19.1776,9
mglcs_10_100_4_1.txt.out,19.4905,7
mglcs_10_100_4_2.txt.out,19.8237,10
mglcs_10_100_4_3.txt.out,20.3273,12
mglcs_10_100_4_4.txt.out,16.5951,8
mglcs_10_100_4_5.txt.out,16.5509,10
mglcs_10_100_4_6.txt.out,20.1166,10
mglcs_10_100_4_7.txt.out,19.8005,10
mglcs_10_100_4_8.txt.out,20.0119,9
mglcs_10_100_4_9.txt.out,20.367,11
mglcs_10_200_2_0.txt.out,3.33124,12
mglcs_10_200_2_1.txt.out,3.08627,13
mglcs_10_200_2_2.txt.out,4.11833,12
mglcs_10_200_2_3.txt.out,4.7038,13
mglcs_10_200_2_4.txt.out,5.00542,15
mglcs_10_200_2_5.txt.out,5.01502,17
mglcs_10_200_2_6.txt.out,5.16254,18
mglcs_10_200_2_7.txt.out,5.08009,14
mglcs_10_200_2_8.txt.out,5.28702,19
mglcs_10_200_2_9.txt.out,4.40749,10
mglcs_10_200_4_0.txt.out,16.4544,9
mglcs_10_200_4_1.txt.out,19.748,9
mglcs_10_200_4_2.txt.out,19.8642,10
mglcs_10_200_4_3.txt.out,19.9937,11
mglcs_10_200_4_4.txt.out,22.063,10
mglcs_10_200_4_5.txt.out,21.6897,9
mglcs_10_200_4_6.txt.out,21.3603,10
mglcs_10_200_4_7.txt.out,21.3756,8
mglcs_10_200_4_8.txt.out,18.5832,10
mglcs_10_200_4_9.txt.out,18.3032,8
mglcs_10_500_2_0.txt.out,4.14156,15
mglcs_10_500_2_1.txt.out,3.80191,14
mglcs_10_500_2_2.txt.out,4.50154,13
mglcs_10_500_2_3.txt.out,5.48265,14
mglcs_10_500_2_4.txt.out,5.2154,15
mglcs_10_500_2_5.txt.out,4.1796,14
mglcs_10_500_2_6.txt.out,4.18005,16
mglcs_10_500_2_7.txt.out,4.04753,12
mglcs_10_500_2_8.txt.out,3.37538,15
mglcs_10_500_2_9.txt.out,4.11077,15
mglcs_10_500_4_0.txt.out,20.0036,8
mglcs_10_500_4_1.txt.out,19.8596,7
mglcs_10_500_4_2.txt.out,20.5193,10
mglcs_10_500_4_3.txt.out,22.1772,10
mglcs_10_500_4_4.txt.out,21.4857,12
mglcs_10_500_4_5.txt.out,21.7811,9
mglcs_10_500_4_6.txt.out,21.8153,11
mglcs_10_500_4_7.txt.out,20.1437,12
mglcs_10_500_4_8.txt.out,20.2158,10
mglcs_10_500_4_9.txt.out,19.969,11
mglcs_10_50_2_0.txt.out,0.7789,14
mglcs_10_50_2_1.txt.out,0.642659,9
mglcs_10_50_2_2.txt.out,1.45767,9
mglcs_10_50_2_3.txt.out,1.11829,14
mglcs_10_50_2_4.txt.out,0.770445,8
mglcs_10_50_2_5.txt.out,0.358322,14
mglcs_10_50_2_6.txt.out,1.07961,12
mglcs_10_50_2_7.txt.out,0.987775,12
mglcs_10_50_2_8.txt.out,1.19578,11
mglcs_10_50_2_9.txt.out,0.377612,14
mglcs_10_50_4_0.txt.out,0.59839,8
mglcs_10_50_4_1.txt.out,2.55279,7
mglcs_10_50_4_2.txt.out,2.82642,8
mglcs_10_50_4_3.txt.out,2.65075,10
mglcs_10_50_4_4.txt.out,0.641845,8
mglcs_10_50_4_5.txt.out,1.79966,5
mglcs_10_50_4_6.txt.out,0.835547,7
mglcs_10_50_4_7.txt.out,2.01134,7
mglcs_10_50_4_8.txt.out,1.20618,6
mglcs_10_50_4_9.txt.out,0.438151,7
mglcs_2_100_2_0.txt.out,0.719147,79
mglcs_2_100_2_1.txt.out,0.0487162,55
mglcs_2_100_2_2.txt.out,0.485096,70
mglcs_2_100_2_3.txt.out,1.42996,78
mglcs_2_100_2_4.txt.out,0.596424,70
mglcs_2_100_2_5.txt.out,0.33625,74
mglcs_2_100_2_6.txt.out,0.986464,77
mglcs_2_100_2_7.txt.out,0.296628,71
mglcs_2_100_2_8.txt.out,0.654808,75
mglcs_2_100_2_9.txt.out,0.555749,75
mglcs_2_100_4_0.txt.out,0.517679,62
mglcs_2_100_4_1.txt.out,0.478624,61
mglcs_2_100_4_2.txt.out,0.49026,66
mglcs_2_100_4_3.txt.out,0.967754,60
mglcs_2_100_4_4.txt.out,0.825516,62
mglcs_2_100_4_5.txt.out,0.456781,61
mglcs_2_100_4_6.txt.out,1.03345,60
mglcs_2_100_4_7.txt.out,0.810598,63
mglcs_2_100_4_8.txt.out,0.382197,62
mglcs_2_100_4_9.txt.out,1.05973,62
mglcs_2_200_2_0.txt.out,4.49829,101
mglcs_2_200_2_1.txt.out,5.37289,142
mglcs_2_200_2_2.txt.out,6.04728,134
mglcs_2_200_2_3.txt.out,6.91386,150
mglcs_2_200_2_4.txt.out,8.2884,161
mglcs_2_200_2_5.txt.out,5.91292,150
mglcs_2_200_2_6.txt.out,4.23194,143
mglcs_2_200_2_7.txt.out,8.37524,155
mglcs_2_200_2_8.txt.out,6.31434,138
mglcs_2_200_2_9.txt.out,3.90538,143
mglcs_2_200_4_0.txt.out,3.44921,122
mglcs_2_200_4_1.txt.out,5.22691,123
mglcs_2_200_4_2.txt.out,6.83106,124
mglcs_2_200_4_3.txt.out,6.1086,124
mglcs_2_200_4_4.txt.out,1.33898,128
mglcs_2_200_4_5.txt.out,6.43301,120
mglcs_2_200_4_6.txt.out,7.42981,127
mglcs_2_200_4_7.txt.out,2.30331,126
mglcs_2_200_4_8.txt.out,4.54233,124
mglcs_2_200_4_9.txt.out,4.70911,122
mglcs_2_500_2_0.txt.out,58.24,279
mglcs_2_500_2_1.txt.out,88.3824,233
mglcs_2_500_2_2.txt.out,67.8406,224
mglcs_2_500_2_3.txt.out,81.9696,333
mglcs_2_500_2_4.txt.out,80.5942,266
mglcs_2_500_2_5.txt.out,95.3588,313
mglcs_2_500_2_6.txt.out,90.9426,354
mglcs_2_500_2_7.txt.out,78.619,371
mglcs_2_500_2_8.txt.out,56.8747,374
mglcs_2_500_2_9.txt.out,39.936,247
mglcs_2_500_4_0.txt.out,12.4668,303
mglcs_2_500_4_1.txt.out,40.4245,314
mglcs_2_500_4_2.txt.out,31.4365,298
mglcs_2_500_4_3.txt.out,32.0915,308
mglcs_2_500_4_4.txt.out,31.2182,304
mglcs_2_500_4_5.txt.out,34.3297,301
mglcs_2_500_4_6.txt.out,59.8108,299
mglcs_2_500_4_7.txt.out,66.9108,308
mglcs_2_500_4_8.txt.out,73.1811,305
mglcs_2_500_4_9.txt.out,31.2638,290
mglcs_2_50_2_0.txt.out,0.00443829,34
mglcs_2_50_2_1.txt.out,0.0488553,37
mglcs_2_50_2_2.txt.out,0.00448479,39
mglcs_2_50_2_3.txt.out,0.00950386,38
mglcs_2_50_2_4.txt.out,0.00313744,37
mglcs_2_50_2_5.txt.out,0.027346,36
mglcs_2_50_2_6.txt.out,0.00439831,38
mglcs_2_50_2_7.txt.out,0.00530997,38
mglcs_2_50_2_8.txt.out,0.00205833,38
mglcs_2_50_2_9.txt.out,0.0120216,38
mglcs_2_50_4_0.txt.out,0.0476013,29
mglcs_2_50_4_1.txt.out,0.16958,30
mglcs_2_50_4_2.txt.out,0.100647,31
mglcs_2_50_4_3.txt.out,0.129148,30
mglcs_2_50_4_4.txt.out,0.0638867,32
mglcs_2_50_4_5.txt.out,0.153795,30
mglcs_2_50_4_6.txt.out,0.0616162,30
mglcs_2_50_4_7.txt.out,0.0125498,30
mglcs_2_50_4_8.txt.out,0.066231,30
mglcs_2_50_4_9.txt.out,0.00666168,28
mglcs_3_100_2_0.txt.out,1.25529,64
mglcs_3_100_2_1.txt.out,2.41324,63
mglcs_3_100_2_2.txt.out,0.348795,60
mglcs_3_100_2_3.txt.out,0.347119,59
mglcs_3_100_2_4.txt.out,0.136659,64
mglcs_3_100_2_5.txt.out,0.61298,56
mglcs_3_100_2_6.txt.out,0.572506,64
mglcs_3_100_2_7.txt.out,0.525771,46
mglcs_3_100_2_8.txt.out,0.11935,41
mglcs_3_100_2_9.txt.out,1.17482,65
mglcs_3_100_4_0.txt.out,0.638029,45
mglcs_3_100_4_1.txt.out,8.52369,50
mglcs_3_100_4_2.txt.out,9.95677,48
mglcs_3_100_4_3.txt.out,0.351748,46
mglcs_3_100_4_4.txt.out,5.10428,52
mglcs_3_100_4_5.txt.out,1.47115,50
mglcs_3_100_4_6.txt.out,7.7607,51
mglcs_3_100_4_7.txt.out,2.74291,44
mglcs_3_100_4_8.txt.out,3.32106,46
mglcs_3_100_4_9.txt.out,1.29077,49
mglcs_3_200_2_0.txt.out,146.535,122
mglcs_3_200_2_1.txt.out,90.6887,114
mglcs_3_200_2_2.txt.out,117.748,134
mglcs_3_200_2_3.txt.out,5.98839,94
mglcs_3_200_2_4.txt.out,91.5038,110
mglcs_3_200_2_5.txt.out,5.16785,105
mglcs_3_200_2_6.txt.out,12.9894,75
mglcs_3_200_2_7.txt.out,2.19708,95
mglcs_3_200_2_8.txt.out,27.7035,112
mglcs_3_200_2_9.txt.out,69.4846,104
mglcs_3_200_4_0.txt.out,265.394,100
mglcs_3_200_4_1.txt.out,193.695,103
mglcs_3_200_4_2.txt.out,261.954,102
mglcs_3_200_4_3.txt.out,276.486,97
mglcs_3_200_4_4.txt.out,103.557,98
mglcs_3_200_4_5.txt.out,283.641,96
mglcs_3_200_4_6.txt.out,55.461,86
mglcs_3_200_4_7.txt.out,324.886,101
mglcs_3_200_4_8.txt.out,176.325,100
mglcs_3_200_4_9.txt.out,156.639,95
mglcs_3_500_2_0.txt.out,163.821,131
mglcs_3_500_2_1.txt.out,139.542,174
mglcs_3_500_2_2.txt.out,535.42,149
mglcs_3_500_2_3.txt.out,693.641,183
mglcs_3_500_2_4.txt.out,545.155,147
mglcs_3_500_2_5.txt.out,314.712,150
mglcs_3_500_2_6.txt.out,412.923,127
mglcs_3_500_2_7.txt.out,753.069,150
mglcs_3_500_2_8.txt.out,175.352,128
mglcs_3_500_2_9.txt.out,667.148,203
mglcs_3_500_4_0.txt.out,1800.62,238
mglcs_3_500_4_1.txt.out,1800.59,250
mglcs_3_500_4_2.txt.out,1800.56,203
mglcs_3_500_4_3.txt.out,1800.7,232
mglcs_3_500_4_4.txt.out,1800.49,240
mglcs_3_500_4_5.txt.out,1800.26,233
mglcs_3_500_4_6.txt.out,1802.02,192
mglcs_3_500_4_7.txt.out,1800.32,244
mglcs_3_500_4_8.txt.out,1800.35,237
mglcs_3_500_4_9.txt.out,1800.78,238
mglcs_3_50_2_0.txt.out,0.0498329,32
mglcs_3_50_2_1.txt.out,0.0166897,32
mglcs_3_50_2_2.txt.out,0.0531831,36
mglcs_3_50_2_3.txt.out,0.0101438,25
mglcs_3_50_2_4.txt.out,0.019041,33
mglcs_3_50_2_5.txt.out,0.0062048,31
mglcs_3_50_2_6.txt.out,0.0124717,33
mglcs_3_50_2_7.txt.out,0.0193726,32
mglcs_3_50_2_8.txt.out,0.0164014,30
mglcs_3_50_2_9.txt.out,0.0103611,28
mglcs_3_50_4_0.txt.out,0.0672499,23
mglcs_3_50_4_1.txt.out,0.0733331,24
mglcs_3_50_4_2.txt.out,0.00750086,21
mglcs_3_50_4_3.txt.out,0.012568,23
mglcs_3_50_4_4.txt.out,0.0228689,22
mglcs_3_50_4_5.txt.out,0.0132938,23
mglcs_3_50_4_6.txt.out,0.125807,25
mglcs_3_50_4_7.txt.out,0.0173829,21
mglcs_3_50_4_8.txt.out,0.024235,24
mglcs_3_50_4_9.txt.out,0.0218396,23
mglcs_5_100_2_0.txt.out,2.51322,31
mglcs_5_100_2_1.txt.out,3.65601,47
mglcs_5_100_2_2.txt.out,2.46794,35
mglcs_5_100_2_3.txt.out,2.87225,35
mglcs_5_100_2_4.txt.out,1.8625,23
mglcs_5_100_2_5.txt.out,2.30995,38
mglcs_5_100_2_6.txt.out,1.80891,25
mglcs_5_100_2_7.txt.out,1.60168,22
mglcs_5_100_2_8.txt.out,3.18337,30
mglcs_5_100_2_9.txt.out,2.99717,40
mglcs_5_100_4_0.txt.out,2.87235,29
mglcs_5_100_4_1.txt.out,3.20891,26
mglcs_5_100_4_2.txt.out,3.19069,20
mglcs_5_100_4_3.txt.out,2.80408,27
mglcs_5_100_4_4.txt.out,2.89313,22
mglcs_5_100_4_5.txt.out,2.65794,28
mglcs_5_100_4_6.txt.out,4.56452,35
mglcs_5_100_4_7.txt.out,6.93503,29
mglcs_5_100_4_8.txt.out,3.94416,35
mglcs_5_100_4_9.txt.out,5.0763,28
mglcs_5_200_2_0.txt.out,6.78435,45
mglcs_5_200_2_1.txt.out,5.48631,41
mglcs_5_200_2_2.txt.out,10.4411,42
mglcs_5_200_2_3.txt.out,4.3362,43
mglcs_5_200_2_4.txt.out,7.53778,42
mglcs_5_200_2_5.txt.out,6.81751,48
mglcs_5_200_2_6.txt.out,8.44728,46
mglcs_5_200_2_7.txt.out,9.36797,53
mglcs_5_200_2_8.txt.out,7.15819,50
mglcs_5_200_2_9.txt.out,6.61664,51
mglcs_5_200_4_0.txt.out,38.2627,60
mglcs_5_200_4_1.txt.out,18.801,34
mglcs_5_200_4_2.txt.out,18.6204,47
mglcs_5_200_4_3.txt.out,20.8613,33
mglcs_5_200_4_4.txt.out,20.8022,52
mglcs_5_200_4_5.txt.out,30.1142,53
mglcs_5_200_4_6.txt.out,24.2718,45
mglcs_5_200_4_7.txt.out,19.4595,35
mglcs_5_200_4_8.txt.out,16.7751,32
mglcs_5_200_4_9.txt.out,23.8756,43
mglcs_5_500_2_0.txt.out,12.0344,57
mglcs_5_500_2_1.txt.out,8.33345,51
mglcs_5_500_2_2.txt.out,4.25152,44
mglcs_5_500_2_3.txt.out,5.88985,46
mglcs_5_500_2_4.txt.out,6.97221,51
mglcs_5_500_2_5.txt.out,4.60795,41
mglcs_5_500_2_6.txt.out,6.22876,44
mglcs_5_500_2_7.txt.out,7.38394,40
mglcs_5_500_2_8.txt.out,7.65598,41
mglcs_5_500_2_9.txt.out,6.93179,34
mglcs_5_500_4_0.txt.out,24.9897,43
mglcs_5_500_4_1.txt.out,22.6241,56
mglcs_5_500_4_2.txt.out,30.7028,39
mglcs_5_500_4_3.txt.out,33.9312,57
mglcs_5_500_4_4.txt.out,26.4657,50
mglcs_5_500_4_5.txt.out,56.1526,66
mglcs_5_500_4_6.txt.out,29.3788,55
mglcs_5_500_4_7.txt.out,34.0703,51
mglcs_5_500_4_8.txt.out,23.9704,47
mglcs_5_500_4_9.txt.out,75.3557,91
mglcs_5_50_2_0.txt.out,0.0539402,28
mglcs_5_50_2_1.txt.out,0.0535277,24
mglcs_5_50_2_2.txt.out,0.0246045,19
mglcs_5_50_2_3.txt.out,0.0321643,17
mglcs_5_50_2_4.txt.out,0.0290083,24
mglcs_5_50_2_5.txt.out,0.0244786,17
mglcs_5_50_2_6.txt.out,0.0244102,16
mglcs_5_50_2_7.txt.out,0.0190156,20
mglcs_5_50_2_8.txt.out,0.0465751,23
mglcs_5_50_2_9.txt.out,0.0214769,17
mglcs_5_50_4_0.txt.out,0.0172599,16
mglcs_5_50_4_1.txt.out,0.0278359,15
mglcs_5_50_4_2.txt.out,0.0206029,16
mglcs_5_50_4_3.txt.out,0.0348336,17
mglcs_5_50_4_4.txt.out,0.105224,19
mglcs_5_50_4_5.txt.out,0.0391163,12
mglcs_5_50_4_6.txt.out,0.0612716,14
mglcs_5_50_4_7.txt.out,0.0706859,13
mglcs_5_50_4_8.txt.out,0.0333709,11
mglcs_5_50_4_9.txt.out,0.0513361,20
