file,time,quality
mglcs_10_100_2_0.txt.out,0.00949721,11
mglcs_10_100_2_1.txt.out,0.00754743,9
mglcs_10_100_2_2.txt.out,0.00758052,8
mglcs_10_100_2_3.txt.out,0.00870882,11
mglcs_10_100_2_4.txt.out,0.00934954,11
mglcs_10_100_2_5.txt.out,0.00905295,8
mglcs_10_100_2_6.txt.out,0.00747865,8
mglcs_10_100_2_7.txt.out,0.00733889,11
mglcs_10_100_2_8.txt.out,0.00782037,10
mglcs_10_100_2_9.txt.out,0.00744138,9
mglcs_10_100_4_0.txt.out,0.0153171,7
mglcs_10_100_4_1.txt.out,0.0120389,7
mglcs_10_100_4_2.txt.out,0.0127592,8
mglcs_10_100_4_3.txt.out,0.0144261,10
mglcs_10_100_4_4.txt.out,0.0129477,6
mglcs_10_100_4_5.txt.out,0.0130738,7
mglcs_10_100_4_6.txt.out,0.0134792,8
mglcs_10_100_4_7.txt.out,0.012653,9
mglcs_10_100_4_8.txt.out,0.0119306,6
mglcs_10_100_4_9.txt.out,0.0134605,8
mglcs_10_200_2_0.txt.out,0.00841746,7
mglcs_10_200_2_1.txt.out,0.00739661,9
mglcs_10_200_2_2.txt.out,0.00805379,10
mglcs_10_200_2_3.txt.out,0.00864129,10
mglcs_10_200_2_4.txt.out,0.0085585,13
mglcs_10_200_2_5.txt.out,0.00860538,12
mglcs_10_200_2_6.txt.out,0.00890126,10
mglcs_10_200_2_7.txt.out,0.0089247,10
mglcs_10_200_2_8.txt.out,0.0112428,13
mglcs_10_200_2_9.txt.out,0.00713035,9
mglcs_10_200_4_0.txt.out,0.0118601,8
mglcs_10_200_4_1.txt.out,0.0115172,5
mglcs_10_200_4_2.txt.out,0.0119698,6
mglcs_10_200_4_3.txt.out,0.0141807,9
mglcs_10_200_4_4.txt.out,0.0138436,8
mglcs_10_200_4_5.txt.out,0.0122386,8
mglcs_10_200_4_6.txt.out,0.0128579,6
mglcs_10_200_4_7.txt.out,0.0179351,6
mglcs_10_200_4_8.txt.out,0.0195461,6
mglcs_10_200_4_9.txt.out,0.018615,6
mglcs_10_500_2_0.txt.out,0.0171394,11
mglcs_10_500_2_1.txt.out,0.0194822,14
mglcs_10_500_2_2.txt.out,0.0173342,12
mglcs_10_500_2_3.txt.out,0.0152459,10
mglcs_10_500_2_4.txt.out,0.017874,13
mglcs_10_500_2_5.txt.out,0.0181977,10
mglcs_10_500_2_6.txt.out,0.0175922,10
mglcs_10_500_2_7.txt.out,0.0131556,8
mglcs_10_500_2_8.txt.out,0.0192523,9
mglcs_10_500_2_9.txt.out,0.0147454,9
mglcs_10_500_4_0.txt.out,0.0183226,5
mglcs_10_500_4_1.txt.out,0.0176277,6
mglcs_10_500_4_2.txt.out,0.0255145,8
mglcs_10_500_4_3.txt.out,0.0201295,7
mglcs_10_500_4_4.txt.out,0.0192466,8
mglcs_10_500_4_5.txt.out,0.012584,6
mglcs_10_500_4_6.txt.out,0.0132903,7
mglcs_10_500_4_7.txt.out,0.0143943,6
mglcs_10_500_4_8.txt.out,0.0121152,6
mglcs_10_500_4_9.txt.out,0.0127979,6
mglcs_10_50_2_0.txt.out,0.00851517,12
mglcs_10_50_2_1.txt.out,0.00750987,9
mglcs_10_50_2_2.txt.out,0.0129924,8
mglcs_10_50_2_3.txt.out,0.0148007,11
mglcs_10_50_2_4.txt.out,0.0164774,7
mglcs_10_50_2_5.txt.out,0.016969,14
mglcs_10_50_2_6.txt.out,0.0195092,9
mglcs_10_50_2_7.txt.out,0.0181679,9
mglcs_10_50_2_8.txt.out,0.0155676,7
mglcs_10_50_2_9.txt.out,0.0225121,13
mglcs_10_50_4_0.txt.out,0.0234635,7
mglcs_10_50_4_1.txt.out,0.0177042,6
mglcs_10_50_4_2.txt.out,0.0184266,6
mglcs_10_50_4_3.txt.out,0.0189821,8
mglcs_10_50_4_4.txt.out,0.0153854,5
mglcs_10_50_4_5.txt.out,0.00994672,5
mglcs_10_50_4_6.txt.out,0.0103677,5
mglcs_10_50_4_7.txt.out,0.0103845,5
mglcs_10_50_4_8.txt.out,0.0106537,6
mglcs_10_50_4_9.txt.out,0.0126553,6
mglcs_2_100_2_0.txt.out,0.118105,80
mglcs_2_100_2_1.txt.out,0.0310559,54
mglcs_2_100_2_2.txt.out,0.113388,70
mglcs_2_100_2_3.txt.out,0.176963,72
mglcs_2_100_2_4.txt.out,0.0769221,55
mglcs_2_100_2_5.txt.out,0.0887854,76
mglcs_2_100_2_6.txt.out,0.143226,71
mglcs_2_100_2_7.txt.out,0.100327,72
mglcs_2_100_2_8.txt.out,0.140328,71
mglcs_2_100_2_9.txt.out,0.137731,76
mglcs_2_100_4_0.txt.out,0.0634249,57
mglcs_2_100_4_1.txt.out,0.0436648,45
mglcs_2_100_4_2.txt.out,0.0531725,43
mglcs_2_100_4_3.txt.out,0.132138,60
mglcs_2_100_4_4.txt.out,0.0949518,45
mglcs_2_100_4_5.txt.out,0.0434077,58
mglcs_2_100_4_6.txt.out,0.166651,58
mglcs_2_100_4_7.txt.out,0.0850195,47
mglcs_2_100_4_8.txt.out,0.040871,62
mglcs_2_100_4_9.txt.out,0.157324,62
mglcs_2_200_2_0.txt.out,0.378447,93
mglcs_2_200_2_1.txt.out,0.656398,106
mglcs_2_200_2_2.txt.out,0.520445,135
mglcs_2_200_2_3.txt.out,0.54621,140
mglcs_2_200_2_4.txt.out,0.761643,157
mglcs_2_200_2_5.txt.out,0.460536,107
mglcs_2_200_2_6.txt.out,0.661286,128
mglcs_2_200_2_7.txt.out,0.707043,125
mglcs_2_200_2_8.txt.out,0.678133,121
mglcs_2_200_2_9.txt.out,0.42397,141
mglcs_2_200_4_0.txt.out,0.294204,92
mglcs_2_200_4_1.txt.out,0.463295,115
mglcs_2_200_4_2.txt.out,0.67642,101
mglcs_2_200_4_3.txt.out,0.379518,90
mglcs_2_200_4_4.txt.out,0.128008,93
mglcs_2_200_4_5.txt.out,0.382427,100
mglcs_2_200_4_6.txt.out,0.499009,103
mglcs_2_200_4_7.txt.out,0.212165,122
mglcs_2_200_4_8.txt.out,0.429282,122
mglcs_2_200_4_9.txt.out,0.525268,126
mglcs_2_500_2_0.txt.out,2.77477,185
mglcs_2_500_2_1.txt.out,4.37129,188
mglcs_2_500_2_2.txt.out,4.50356,181
