file,time,quality
mglcs_10_100_2_0.txt.out,3.75139,16
mglcs_10_100_2_1.txt.out,3.44953,11
mglcs_10_100_2_2.txt.out,3.35633,15
mglcs_10_100_2_3.txt.out,3.91602,16
mglcs_10_100_2_4.txt.out,3.9269,16
mglcs_10_100_2_5.txt.out,3.84287,15
mglcs_10_100_2_6.txt.out,3.93438,15
mglcs_10_100_2_7.txt.out,4.06099,14
mglcs_10_100_2_8.txt.out,3.86773,14
mglcs_10_100_2_9.txt.out,3.92643,12
mglcs_10_100_4_0.txt.out,14.4053,10
mglcs_10_100_4_1.txt.out,13.6678,8
mglcs_10_100_4_2.txt.out,19.8985,10
mglcs_10_100_4_3.txt.out,21.0866,12
mglcs_10_100_4_4.txt.out,20.6655,8
mglcs_10_100_4_5.txt.out,20.665,10
mglcs_10_100_4_6.txt.out,21.0706,9
mglcs_10_100_4_7.txt.out,21.1528,11
mglcs_10_100_4_8.txt.out,20.974,9
mglcs_10_100_4_9.txt.out,21.5965,11
mglcs_10_200_2_0.txt.out,4.47227,12
mglcs_10_200_2_1.txt.out,4.20801,13
mglcs_10_200_2_2.txt.out,5.00082,14
mglcs_10_200_2_3.txt.out,4.7403,12
mglcs_10_200_2_4.txt.out,4.98863,15
mglcs_10_200_2_5.txt.out,4.99683,17
mglcs_10_200_2_6.txt.out,5.21,18
mglcs_10_200_2_7.txt.out,5.06437,15
mglcs_10_200_2_8.txt.out,5.29184,20
mglcs_10_200_2_9.txt.out,4.40866,11
mglcs_10_200_4_0.txt.out,19.4417,9
mglcs_10_200_4_1.txt.out,18.9827,10
mglcs_10_200_4_2.txt.out,19.0738,9
mglcs_10_200_4_3.txt.out,19.1476,11
mglcs_10_200_4_4.txt.out,17.4493,10
mglcs_10_200_4_5.txt.out,21.6261,9
mglcs_10_200_4_6.txt.out,21.3568,10
mglcs_10_200_4_7.txt.out,21.6052,9
mglcs_10_200_4_8.txt.out,21.7205,8
mglcs_10_200_4_9.txt.out,16.6718,9
mglcs_10_500_2_0.txt.out,4.62219,13
mglcs_10_500_2_1.txt.out,4.36696,14
mglcs_10_500_2_2.txt.out,4.5199,13
mglcs_10_500_2_3.txt.out,5.25441,14
mglcs_10_500_2_4.txt.out,5.06668,18
mglcs_10_500_2_5.txt.out,4.66125,14
mglcs_10_500_2_6.txt.out,4.72911,16
mglcs_10_500_2_7.txt.out,4.26865,15
mglcs_10_500_2_8.txt.out,3.42355,17
mglcs_10_500_2_9.txt.out,3.50088,13
mglcs_10_500_4_0.txt.out,18.1852,8
mglcs_10_500_4_1.txt.out,18.2471,8
mglcs_10_500_4_2.txt.out,15.5995,10
mglcs_10_500_4_3.txt.out,20.4655,12
mglcs_10_500_4_4.txt.out,19.96,11
mglcs_10_500_4_5.txt.out,20.1772,8
mglcs_10_500_4_6.txt.out,20.7074,11
mglcs_10_500_4_7.txt.out,20.6471,9
mglcs_10_500_4_8.txt.out,20.7401,11
mglcs_10_500_4_9.txt.out,20.7989,10
mglcs_10_50_2_0.txt.out,0.510142,14
mglcs_10_50_2_1.txt.out,0.386563,9
mglcs_10_50_2_2.txt.out,1.50935,9
mglcs_10_50_2_3.txt.out,1.16529,14
mglcs_10_50_2_4.txt.out,0.807254,8
mglcs_10_50_2_5.txt.out,0.396647,14
mglcs_10_50_2_6.txt.out,1.13614,12
mglcs_10_50_2_7.txt.out,1.0534,12
mglcs_10_50_2_8.txt.out,1.28279,11
mglcs_10_50_2_9.txt.out,0.229259,14
mglcs_10_50_4_0.txt.out,0.439513,8
mglcs_10_50_4_1.txt.out,2.52498,6
mglcs_10_50_4_2.txt.out,2.20531,8
mglcs_10_50_4_3.txt.out,2.39954,10
mglcs_10_50_4_4.txt.out,0.465261,8
mglcs_10_50_4_5.txt.out,1.64991,5
mglcs_10_50_4_6.txt.out,0.783606,7
mglcs_10_50_4_7.txt.out,1.95181,7
mglcs_10_50_4_8.txt.out,1.19921,7
mglcs_10_50_4_9.txt.out,0.481539,7
mglcs_2_100_2_0.txt.out,0.700878,80
mglcs_2_100_2_1.txt.out,0.047474,54
mglcs_2_100_2_2.txt.out,0.480422,70
mglcs_2_100_2_3.txt.out,1.31148,79
mglcs_2_100_2_4.txt.out,0.750189,70
mglcs_2_100_2_5.txt.out,0.344974,76
mglcs_2_100_2_6.txt.out,0.878656,77
mglcs_2_100_2_7.txt.out,0.273286,71
mglcs_2_100_2_8.txt.out,0.6436,75
mglcs_2_100_2_9.txt.out,0.481016,76
mglcs_2_100_4_0.txt.out,0.48539,62
mglcs_2_100_4_1.txt.out,0.444244,61
mglcs_2_100_4_2.txt.out,0.456945,66
mglcs_2_100_4_3.txt.out,0.915297,61
mglcs_2_100_4_4.txt.out,0.761338,62
mglcs_2_100_4_5.txt.out,0.407418,61
mglcs_2_100_4_6.txt.out,1.00682,60
mglcs_2_100_4_7.txt.out,0.780213,63
mglcs_2_100_4_8.txt.out,0.345149,62
mglcs_2_100_4_9.txt.out,0.974144,62
mglcs_2_200_2_0.txt.out,4.03377,95
mglcs_2_200_2_1.txt.out,5.07192,127
mglcs_2_200_2_2.txt.out,7.68447,143
mglcs_2_200_2_3.txt.out,8.37911,150
mglcs_2_200_2_4.txt.out,9.58291,160
mglcs_2_200_2_5.txt.out,7.46333,150
mglcs_2_200_2_6.txt.out,4.70735,143
mglcs_2_200_2_7.txt.out,9.18885,155
mglcs_2_200_2_8.txt.out,7.13182,139
mglcs_2_200_2_9.txt.out,4.3206,143
mglcs_2_200_4_0.txt.out,4.35636,124
mglcs_2_200_4_1.txt.out,7.50016,123
mglcs_2_200_4_2.txt.out,7.65182,126
mglcs_2_200_4_3.txt.out,6.63231,124
mglcs_2_200_4_4.txt.out,2.06991,130
mglcs_2_200_4_5.txt.out,6.6617,123
mglcs_2_200_4_6.txt.out,6.98841,128
mglcs_2_200_4_7.txt.out,2.75191,126
mglcs_2_200_4_8.txt.out,4.87357,129
mglcs_2_200_4_9.txt.out,5.72388,126
mglcs_2_500_2_0.txt.out,59.3528,283
mglcs_2_500_2_1.txt.out,81.3748,234
mglcs_2_500_2_2.txt.out,65.828,226
mglcs_2_500_2_3.txt.out,63.1939,335
mglcs_2_500_2_4.txt.out,81.2553,295
mglcs_2_500_2_5.txt.out,99.3962,315
mglcs_2_500_2_6.txt.out,83.6741,303
mglcs_2_500_2_7.txt.out,76.7144,372
mglcs_2_500_2_8.txt.out,66.5367,307
mglcs_2_500_2_9.txt.out,36.3165,247
mglcs_2_500_4_0.txt.out,34.9671,311
mglcs_2_500_4_1.txt.out,65.7544,316
mglcs_2_500_4_2.txt.out,57.8163,304
mglcs_2_500_4_3.txt.out,46.1229,313
mglcs_2_500_4_4.txt.out,69.6322,319
mglcs_2_500_4_5.txt.out,64.4351,309
mglcs_2_500_4_6.txt.out,81.8365,306
mglcs_2_500_4_7.txt.out,77.554,313
mglcs_2_500_4_8.txt.out,96.9824,313
mglcs_2_500_4_9.txt.out,86.7313,306
mglcs_2_50_2_0.txt.out,0.00452405,36
mglcs_2_50_2_1.txt.out,0.0554692,37
mglcs_2_50_2_2.txt.out,0.00532135,39
mglcs_2_50_2_3.txt.out,0.0104165,38
mglcs_2_50_2_4.txt.out,0.00347483,37
mglcs_2_50_2_5.txt.out,0.0332651,36
mglcs_2_50_2_6.txt.out,0.00470616,39
mglcs_2_50_2_7.txt.out,0.00621228,39
mglcs_2_50_2_8.txt.out,0.00202352,38
mglcs_2_50_2_9.txt.out,0.0123166,38
mglcs_2_50_4_0.txt.out,0.0491431,29
mglcs_2_50_4_1.txt.out,0.161604,31
mglcs_2_50_4_2.txt.out,0.107136,31
mglcs_2_50_4_3.txt.out,0.128016,30
mglcs_2_50_4_4.txt.out,0.0676719,32
mglcs_2_50_4_5.txt.out,0.143793,30
mglcs_2_50_4_6.txt.out,0.064123,30
mglcs_2_50_4_7.txt.out,0.0144495,30
mglcs_2_50_4_8.txt.out,0.0691017,30
mglcs_2_50_4_9.txt.out,0.00600826,28
mglcs_3_100_2_0.txt.out,1.24411,64
mglcs_3_100_2_1.txt.out,2.57138,64
mglcs_3_100_2_2.txt.out,0.354849,61
mglcs_3_100_2_3.txt.out,0.351408,59
mglcs_3_100_2_4.txt.out,0.136772,65
mglcs_3_100_2_5.txt.out,0.624092,56
mglcs_3_100_2_6.txt.out,0.644498,64
mglcs_3_100_2_7.txt.out,0.581926,46
mglcs_3_100_2_8.txt.out,0.145267,41
mglcs_3_100_2_9.txt.out,1.39954,65
mglcs_3_100_4_0.txt.out,0.777109,45
mglcs_3_100_4_1.txt.out,5.13871,50
mglcs_3_100_4_2.txt.out,5.85309,48
mglcs_3_100_4_3.txt.out,0.416533,47
mglcs_3_100_4_4.txt.out,5.52175,52
mglcs_3_100_4_5.txt.out,1.62975,51
mglcs_3_100_4_6.txt.out,8.51945,51
mglcs_3_100_4_7.txt.out,2.78054,46
mglcs_3_100_4_8.txt.out,3.55126,46
mglcs_3_100_4_9.txt.out,1.39085,51
mglcs_3_200_2_0.txt.out,153.103,123
mglcs_3_200_2_1.txt.out,88.075,114
mglcs_3_200_2_2.txt.out,117.731,134
mglcs_3_200_2_3.txt.out,5.9284,97
mglcs_3_200_2_4.txt.out,97.4529,110
mglcs_3_200_2_5.txt.out,5.99342,106
mglcs_3_200_2_6.txt.out,14.8483,75
mglcs_3_200_2_7.txt.out,2.58006,95
mglcs_3_200_2_8.txt.out,35.0917,109
mglcs_3_200_2_9.txt.out,75.7989,104
mglcs_3_200_4_0.txt.out,295.249,100
mglcs_3_200_4_1.txt.out,215.695,103
mglcs_3_200_4_2.txt.out,327.639,102
mglcs_3_200_4_3.txt.out,336.363,97
mglcs_3_200_4_4.txt.out,121.172,100
mglcs_3_200_4_5.txt.out,335.704,96
mglcs_3_200_4_6.txt.out,67.168,86
mglcs_3_200_4_7.txt.out,377.59,101
mglcs_3_200_4_8.txt.out,244.038,100
mglcs_3_200_4_9.txt.out,227.695,94
mglcs_3_500_2_0.txt.out,376.612,131
mglcs_3_500_2_1.txt.out,355.087,176
mglcs_3_500_2_2.txt.out,730.65,149
mglcs_3_500_2_3.txt.out,608.038,155
mglcs_3_500_2_4.txt.out,578.493,175
mglcs_3_500_2_5.txt.out,340.822,150
mglcs_3_500_2_6.txt.out,444.284,127
mglcs_3_500_2_7.txt.out,765.872,147
mglcs_3_500_2_8.txt.out,203.262,133
mglcs_3_500_2_9.txt.out,701.638,206
mglcs_3_500_4_0.txt.out,1801.96,242
mglcs_3_500_4_1.txt.out,1801.14,252
mglcs_3_500_4_2.txt.out,1801.25,204
mglcs_3_500_4_3.txt.out,1800.35,244
mglcs_3_500_4_4.txt.out,1800.81,245
mglcs_3_500_4_5.txt.out,1800.03,235
mglcs_3_500_4_6.txt.out,1800.19,200
mglcs_3_500_4_7.txt.out,1800.99,251
mglcs_3_500_4_8.txt.out,1800.75,247
mglcs_3_500_4_9.txt.out,1800.41,256
mglcs_3_50_2_0.txt.out,0.0512976,32
mglcs_3_50_2_1.txt.out,0.0194277,32
mglcs_3_50_2_2.txt.out,0.0527975,36
mglcs_3_50_2_3.txt.out,0.0116979,25
mglcs_3_50_2_4.txt.out,0.0234838,33
mglcs_3_50_2_5.txt.out,0.00919891,31
mglcs_3_50_2_6.txt.out,0.0157715,33
mglcs_3_50_2_7.txt.out,0.0249519,32
mglcs_3_50_2_8.txt.out,0.0263859,30
mglcs_3_50_2_9.txt.out,0.0125853,28
mglcs_3_50_4_0.txt.out,0.0588699,23
mglcs_3_50_4_1.txt.out,0.0714365,24
mglcs_3_50_4_2.txt.out,0.00658523,21
mglcs_3_50_4_3.txt.out,0.0108181,23
mglcs_3_50_4_4.txt.out,0.0234408,22
mglcs_3_50_4_5.txt.out,0.0144487,23
mglcs_3_50_4_6.txt.out,0.165496,25
mglcs_3_50_4_7.txt.out,0.018519,21
mglcs_3_50_4_8.txt.out,0.0289452,24
mglcs_3_50_4_9.txt.out,0.0189344,23
mglcs_5_100_2_0.txt.out,2.89404,31
mglcs_5_100_2_1.txt.out,2.82689,47
mglcs_5_100_2_2.txt.out,1.71443,35
