file,time,quality
mglcs_10_100_2_0.txt.out,0.0155122,7
mglcs_10_100_2_1.txt.out,0.00859738,8
mglcs_10_100_2_2.txt.out,0.00836036,8
mglcs_10_100_2_3.txt.out,0.00787405,9
mglcs_10_100_2_4.txt.out,0.010167,12
mglcs_10_100_2_5.txt.out,0.0099866,10
mglcs_10_100_2_6.txt.out,0.0073104,8
mglcs_10_100_2_7.txt.out,0.0157261,8
mglcs_10_100_2_8.txt.out,0.00803744,9
mglcs_10_100_2_9.txt.out,0.0136093,7
mglcs_10_100_4_0.txt.out,0.0181721,4
mglcs_10_100_4_1.txt.out,0.0140233,6
mglcs_10_100_4_2.txt.out,0.0204785,6
mglcs_10_100_4_3.txt.out,0.0204108,5
mglcs_10_100_4_4.txt.out,0.0242176,8
mglcs_10_100_4_5.txt.out,0.0212842,7
mglcs_10_100_4_6.txt.out,0.024229,7
mglcs_10_100_4_7.txt.out,0.0212077,5
mglcs_10_100_4_8.txt.out,0.0137274,6
mglcs_10_100_4_9.txt.out,0.0137051,8
mglcs_10_200_2_0.txt.out,0.00895503,6
mglcs_10_200_2_1.txt.out,0.00700495,8
mglcs_10_200_2_2.txt.out,0.00772829,10
mglcs_10_200_2_3.txt.out,0.00804295,10
mglcs_10_200_2_4.txt.out,0.00690271,13
mglcs_10_200_2_5.txt.out,0.00936147,12
mglcs_10_200_2_6.txt.out,0.0171378,11
mglcs_10_200_2_7.txt.out,0.0173701,10
mglcs_10_200_2_8.txt.out,0.0198313,14
mglcs_10_200_2_9.txt.out,0.0149037,9
mglcs_10_200_4_0.txt.out,0.0195516,5
mglcs_10_200_4_1.txt.out,0.0204667,6
mglcs_10_200_4_2.txt.out,0.0204842,6
mglcs_10_200_4_3.txt.out,0.0211853,10
mglcs_10_200_4_4.txt.out,0.0213841,6
mglcs_10_200_4_5.txt.out,0.0231693,6
mglcs_10_200_4_6.txt.out,0.024158,7
mglcs_10_200_4_7.txt.out,0.0200319,4
mglcs_10_200_4_8.txt.out,0.0223484,5
mglcs_10_200_4_9.txt.out,0.0228537,7
mglcs_10_500_2_0.txt.out,0.0176332,10
mglcs_10_500_2_1.txt.out,0.0137211,11
mglcs_10_500_2_2.txt.out,0.0100649,12
mglcs_10_500_2_3.txt.out,0.0166259,8
mglcs_10_500_2_4.txt.out,0.0182587,12
mglcs_10_500_2_5.txt.out,0.0172083,9
mglcs_10_500_2_6.txt.out,0.00915659,12
mglcs_10_500_2_7.txt.out,0.00771121,6
mglcs_10_500_2_8.txt.out,0.00731007,8
mglcs_10_500_2_9.txt.out,0.00868379,7
mglcs_10_500_4_0.txt.out,0.0139335,5
mglcs_10_500_4_1.txt.out,0.0156481,6
mglcs_10_500_4_2.txt.out,0.0165865,8
mglcs_10_500_4_3.txt.out,0.015238,7
mglcs_10_500_4_4.txt.out,0.0155937,8
mglcs_10_500_4_5.txt.out,0.0215621,5
mglcs_10_500_4_6.txt.out,0.0229406,5
mglcs_10_500_4_7.txt.out,0.0251146,7
mglcs_10_500_4_8.txt.out,0.0201724,5
mglcs_10_500_4_9.txt.out,0.021536,5
mglcs_10_50_2_0.txt.out,0.0183126,12
mglcs_10_50_2_1.txt.out,0.0173678,9
mglcs_10_50_2_2.txt.out,0.00794158,8
mglcs_10_50_2_3.txt.out,0.00984924,9
mglcs_10_50_2_4.txt.out,0.0081465,7
mglcs_10_50_2_5.txt.out,0.0116688,12
mglcs_10_50_2_6.txt.out,0.00964546,8
mglcs_10_50_2_7.txt.out,0.00837842,9
mglcs_10_50_2_8.txt.out,0.008207,7
mglcs_10_50_2_9.txt.out,0.0109239,10
mglcs_10_50_4_0.txt.out,0.0150655,7
mglcs_10_50_4_1.txt.out,0.0139616,5
mglcs_10_50_4_2.txt.out,0.0146257,7
mglcs_10_50_4_3.txt.out,0.0171979,8
mglcs_10_50_4_4.txt.out,0.0141447,5
