file,time,quality
mglcs_10_100_2_0.txt.out,0.0118343,11
mglcs_10_100_2_1.txt.out,0.00903986,8
mglcs_10_100_2_2.txt.out,0.00956923,8
mglcs_10_100_2_3.txt.out,0.0111812,12
mglcs_10_100_2_4.txt.out,0.0128508,12
mglcs_10_100_2_5.txt.out,0.0119782,10
mglcs_10_100_2_6.txt.out,0.00902279,8
mglcs_10_100_2_7.txt.out,0.00865526,11
mglcs_10_100_2_8.txt.out,0.00941585,9
mglcs_10_100_2_9.txt.out,0.00908812,7
mglcs_10_100_4_0.txt.out,0.0132397,6
mglcs_10_100_4_1.txt.out,0.013261,6
mglcs_10_100_4_2.txt.out,0.0134433,7
mglcs_10_100_4_3.txt.out,0.0162659,13
mglcs_10_100_4_4.txt.out,0.0150387,8
mglcs_10_100_4_5.txt.out,0.0135779,6
mglcs_10_100_4_6.txt.out,0.0138822,8
mglcs_10_100_4_7.txt.out,0.0131146,6
mglcs_10_100_4_8.txt.out,0.0132478,6
mglcs_10_100_4_9.txt.out,0.0143309,9
mglcs_10_200_2_0.txt.out,0.0132046,6
mglcs_10_200_2_1.txt.out,0.0103469,10
mglcs_10_200_2_2.txt.out,0.0120118,10
mglcs_10_200_2_3.txt.out,0.0133869,10
mglcs_10_200_2_4.txt.out,0.0129811,13
mglcs_10_200_2_5.txt.out,0.0144414,11
mglcs_10_200_2_6.txt.out,0.0149514,11
mglcs_10_200_2_7.txt.out,0.0142052,13
mglcs_10_200_2_8.txt.out,0.0196359,13
mglcs_10_200_2_9.txt.out,0.00998472,8
mglcs_10_200_4_0.txt.out,0.013552,7
mglcs_10_200_4_1.txt.out,0.0132162,6
mglcs_10_200_4_2.txt.out,0.0189486,5
mglcs_10_200_4_3.txt.out,0.0208289,10
mglcs_10_200_4_4.txt.out,0.0221986,8
mglcs_10_200_4_5.txt.out,0.0194629,7
mglcs_10_200_4_6.txt.out,0.0203586,6
mglcs_10_200_4_7.txt.out,0.0185029,6
mglcs_10_200_4_8.txt.out,0.0191459,6
mglcs_10_200_4_9.txt.out,0.0199876,7
mglcs_10_500_2_0.txt.out,0.0247114,11
mglcs_10_500_2_1.txt.out,0.0455797,12
mglcs_10_500_2_2.txt.out,0.0323172,10
mglcs_10_500_2_3.txt.out,0.029239,10
mglcs_10_500_2_4.txt.out,0.0390965,13
mglcs_10_500_2_5.txt.out,0.0374193,9
mglcs_10_500_2_6.txt.out,0.0348407,14
mglcs_10_500_2_7.txt.out,0.0226564,8
mglcs_10_500_2_8.txt.out,0.0232886,8
mglcs_10_500_2_9.txt.out,0.0337117,9
mglcs_10_500_4_0.txt.out,0.01627,6
mglcs_10_500_4_1.txt.out,0.0257677,6
mglcs_10_500_4_2.txt.out,0.0354479,8
mglcs_10_500_4_3.txt.out,0.0213823,8
mglcs_10_500_4_4.txt.out,0.0212579,8
mglcs_10_500_4_5.txt.out,0.0196043,6
mglcs_10_500_4_6.txt.out,0.0235888,7
mglcs_10_500_4_7.txt.out,0.0238908,6
mglcs_10_500_4_8.txt.out,0.020844,8
mglcs_10_500_4_9.txt.out,0.0208555,6
mglcs_10_50_2_0.txt.out,0.0105975,12
mglcs_10_50_2_1.txt.out,0.00980886,8
mglcs_10_50_2_2.txt.out,0.015887,8
mglcs_10_50_2_3.txt.out,0.016591,12
mglcs_10_50_2_4.txt.out,0.016456,7
mglcs_10_50_2_5.txt.out,0.0202419,14
mglcs_10_50_2_6.txt.out,0.0179062,9
mglcs_10_50_2_7.txt.out,0.0163118,12
mglcs_10_50_2_8.txt.out,0.0162352,7
mglcs_10_50_2_9.txt.out,0.0209649,11
mglcs_10_50_4_0.txt.out,0.0194557,7
mglcs_10_50_4_1.txt.out,0.0174795,5
mglcs_10_50_4_2.txt.out,0.0213978,6
mglcs_10_50_4_3.txt.out,0.024922,9
mglcs_10_50_4_4.txt.out,0.0188445,5
mglcs_10_50_4_5.txt.out,0.0182502,5
mglcs_10_50_4_6.txt.out,0.0183457,6
mglcs_10_50_4_7.txt.out,0.0194406,6
mglcs_10_50_4_8.txt.out,0.0190318,6
mglcs_10_50_4_9.txt.out,0.0185261,6
mglcs_2_100_2_0.txt.out,1.08189,80
mglcs_2_100_2_1.txt.out,0.0487148,54
mglcs_2_100_2_2.txt.out,0.495151,70
mglcs_2_100_2_3.txt.out,1.92783,78
mglcs_2_100_2_4.txt.out,0.925279,70
mglcs_2_100_2_5.txt.out,0.425056,76
mglcs_2_100_2_6.txt.out,1.31054,76
mglcs_2_100_2_7.txt.out,0.32635,72
mglcs_2_100_2_8.txt.out,0.628844,75
mglcs_2_100_2_9.txt.out,0.607375,76
mglcs_2_100_4_0.txt.out,0.674045,58
mglcs_2_100_4_1.txt.out,0.630411,57
mglcs_2_100_4_2.txt.out,0.741221,64
mglcs_2_100_4_3.txt.out,1.21671,60
mglcs_2_100_4_4.txt.out,1.17006,58
mglcs_2_100_4_5.txt.out,0.709486,62
mglcs_2_100_4_6.txt.out,1.51642,60
mglcs_2_100_4_7.txt.out,1.16104,62
mglcs_2_100_4_8.txt.out,0.550576,62
mglcs_2_100_4_9.txt.out,1.47211,62
mglcs_2_200_2_0.txt.out,7.83259,95
mglcs_2_200_2_1.txt.out,9.48767,127
mglcs_2_200_2_2.txt.out,19.9051,143
mglcs_2_200_2_3.txt.out,15.5355,148
mglcs_2_200_2_4.txt.out,22.1911,159
mglcs_2_200_2_5.txt.out,16.9187,152
mglcs_2_200_2_6.txt.out,12.4741,140
mglcs_2_200_2_7.txt.out,15.7014,151
mglcs_2_200_2_8.txt.out,14.4515,137
mglcs_2_200_2_9.txt.out,8.73186,144
mglcs_2_200_4_0.txt.out,6.56352,124
mglcs_2_200_4_1.txt.out,9.43695,120
mglcs_2_200_4_2.txt.out,15.894,123
mglcs_2_200_4_3.txt.out,12.3259,112
mglcs_2_200_4_4.txt.out,4.03302,126
mglcs_2_200_4_5.txt.out,11.1738,115
mglcs_2_200_4_6.txt.out,11.4818,126
mglcs_2_200_4_7.txt.out,4.68364,124
mglcs_2_200_4_8.txt.out,9.89123,122
mglcs_2_200_4_9.txt.out,12.5337,126
mglcs_2_500_2_0.txt.out,70.4102,220
mglcs_2_500_2_1.txt.out,114.305,232
mglcs_2_500_2_2.txt.out,141.223,283
mglcs_2_500_2_3.txt.out,230.637,329
mglcs_2_500_2_4.txt.out,221.847,281
