file,time,quality
mglcs_10_100_2_0.txt.out,0.0177852,11
mglcs_10_100_2_1.txt.out,0.0161154,9
mglcs_10_100_2_2.txt.out,0.0165521,8
mglcs_10_100_2_3.txt.out,0.0179034,12
mglcs_10_100_2_4.txt.out,0.0184821,10
mglcs_10_100_2_5.txt.out,0.0193924,10
mglcs_10_100_2_6.txt.out,0.0150069,10
mglcs_10_100_2_7.txt.out,0.0141554,9
mglcs_10_100_2_8.txt.out,0.0155373,9
mglcs_10_100_2_9.txt.out,0.0154493,8
mglcs_10_100_4_0.txt.out,0.0199421,7
mglcs_10_100_4_1.txt.out,0.0179762,6
mglcs_10_100_4_2.txt.out,0.0194425,7
mglcs_10_100_4_3.txt.out,0.02262,10
mglcs_10_100_4_4.txt.out,0.019919,8
mglcs_10_100_4_5.txt.out,0.0190834,8
mglcs_10_100_4_6.txt.out,0.0192844,7
mglcs_10_100_4_7.txt.out,0.0192481,7
mglcs_10_100_4_8.txt.out,0.0180723,7
mglcs_10_100_4_9.txt.out,0.0207842,8
mglcs_10_200_2_0.txt.out,0.0190563,7
mglcs_10_200_2_1.txt.out,0.0166832,12
mglcs_10_200_2_2.txt.out,0.0181277,10
mglcs_10_200_2_3.txt.out,0.0207984,10
mglcs_10_200_2_4.txt.out,0.0190915,13
mglcs_10_200_2_5.txt.out,0.0197608,11
mglcs_10_200_2_6.txt.out,0.020631,11
mglcs_10_200_2_7.txt.out,0.0214959,10
mglcs_10_200_2_8.txt.out,0.0288156,19
mglcs_10_200_2_9.txt.out,0.0163917,9
mglcs_10_200_4_0.txt.out,0.0187792,7
mglcs_10_200_4_1.txt.out,0.0179195,6
mglcs_10_200_4_2.txt.out,0.0204053,5
mglcs_10_200_4_3.txt.out,0.0254986,10
mglcs_10_200_4_4.txt.out,0.0246591,9
mglcs_10_200_4_5.txt.out,0.0243791,7
mglcs_10_200_4_6.txt.out,0.0228897,7
mglcs_10_200_4_7.txt.out,0.0198645,6
mglcs_10_200_4_8.txt.out,0.0211392,5
mglcs_10_200_4_9.txt.out,0.0203599,7
mglcs_10_500_2_0.txt.out,0.0337658,11
