file,time,quality
mglcs_10_100_2_0.txt.out,0.0192058,7
mglcs_10_100_2_1.txt.out,0.0181858,8
mglcs_10_100_2_2.txt.out,0.0175697,8
mglcs_10_100_2_3.txt.out,0.0198521,9
mglcs_10_100_2_4.txt.out,0.0238201,12
mglcs_10_100_2_5.txt.out,0.0181932,10
mglcs_10_100_2_6.txt.out,0.0170271,8
mglcs_10_100_2_7.txt.out,0.0172764,8
mglcs_10_100_2_8.txt.out,0.0188256,10
mglcs_10_100_2_9.txt.out,0.0200779,7
mglcs_10_100_4_0.txt.out,0.0213478,4
mglcs_10_100_4_1.txt.out,0.022056,6
mglcs_10_100_4_2.txt.out,0.0232152,6
mglcs_10_100_4_3.txt.out,0.0243455,6
mglcs_10_100_4_4.txt.out,0.0287621,8
mglcs_10_100_4_5.txt.out,0.0236031,7
mglcs_10_100_4_6.txt.out,0.0173211,7
mglcs_10_100_4_7.txt.out,0.0145568,5
mglcs_10_100_4_8.txt.out,0.0147451,5
mglcs_10_100_4_9.txt.out,0.0172791,8
mglcs_10_200_2_0.txt.out,0.0324295,6
mglcs_10_200_2_1.txt.out,0.0132197,8
mglcs_10_200_2_2.txt.out,0.0189291,10
mglcs_10_200_2_3.txt.out,0.0202145,10
mglcs_10_200_2_4.txt.out,0.0130557,13
mglcs_10_200_2_5.txt.out,0.0263242,12
mglcs_10_200_2_6.txt.out,0.0230622,11
mglcs_10_200_2_7.txt.out,0.0204668,10
mglcs_10_200_2_8.txt.out,0.034756,14
mglcs_10_200_2_9.txt.out,0.0152993,9
mglcs_10_200_4_0.txt.out,0.016205,5
mglcs_10_200_4_1.txt.out,0.0166703,6
mglcs_10_200_4_2.txt.out,0.0196247,5
mglcs_10_200_4_3.txt.out,0.0197017,10
mglcs_10_200_4_4.txt.out,0.0239156,6
mglcs_10_200_4_5.txt.out,0.0190689,6
mglcs_10_200_4_6.txt.out,0.0213506,7
mglcs_10_200_4_7.txt.out,0.0163375,4
mglcs_10_200_4_8.txt.out,0.0205266,5
mglcs_10_200_4_9.txt.out,0.0236865,7
mglcs_10_500_2_0.txt.out,0.0363001,10
mglcs_10_500_2_1.txt.out,0.0788136,11
mglcs_10_500_2_2.txt.out,0.0392372,12
mglcs_10_500_2_3.txt.out,0.0366644,8
