beam_width,heuristic,imbs_iters,num_roots,file,time,quality
10000,h2,1,10,mglcs_10_100_2_0.txt.out,0.001521,1
10000,h2,1,10,mglcs_10_100_2_1.txt.out,0.001657,2
10000,h2,1,10,mglcs_10_100_2_2.txt.out,0.001231,1
10000,h2,1,10,mglcs_10_100_2_3.txt.out,0.001904,1
10000,h2,1,10,mglcs_10_100_2_4.txt.out,0.001877,1
10000,h2,1,10,mglcs_10_100_2_5.txt.out,0.001301,1
10000,h2,1,10,mglcs_10_100_2_6.txt.out,0.001293,1
10000,h2,1,10,mglcs_10_100_2_7.txt.out,0.001725,1
10000,h2,1,10,mglcs_10_100_2_8.txt.out,0.001815,1
10000,h2,1,10,mglcs_10_100_2_9.txt.out,0.001884,1
10000,h2,1,10,mglcs_10_100_4_0.txt.out,0.002753,2
10000,h2,1,10,mglcs_10_100_4_1.txt.out,0.002807,3
10000,h2,1,10,mglcs_10_100_4_2.txt.out,0.002609,3
10000,h2,1,10,mglcs_10_100_4_3.txt.out,0.002725,2
10000,h2,1,10,mglcs_10_100_4_4.txt.out,0.002572,1
10000,h2,1,10,mglcs_10_100_4_5.txt.out,0.002978,4
10000,h2,1,10,mglcs_10_100_4_6.txt.out,0.002326,2
10000,h2,1,10,mglcs_10_100_4_7.txt.out,0.002254,1
10000,h2,1,10,mglcs_10_100_4_8.txt.out,0.002314,2
10000,h2,1,10,mglcs_10_100_4_9.txt.out,0.002324,2
10000,h2,1,10,mglcs_10_200_2_0.txt.out,0.004061,4
10000,h2,1,10,mglcs_10_200_2_1.txt.out,0.003754,4
10000,h2,1,10,mglcs_10_200_2_2.txt.out,0.003376,3
10000,h2,1,10,mglcs_10_200_2_3.txt.out,0.002975,2
10000,h2,1,10,mglcs_10_200_2_4.txt.out,0.002883,2
10000,h2,1,10,mglcs_10_200_2_5.txt.out,0.002735,1
10000,h2,1,10,mglcs_10_200_2_6.txt.out,0.002694,1
10000,h2,1,10,mglcs_10_200_2_7.txt.out,0.003203,4
10000,h2,1,10,mglcs_10_200_2_8.txt.out,0.003474,3
10000,h2,1,10,mglcs_10_200_2_9.txt.out,0.002798,1
10000,h2,1,10,mglcs_10_200_4_0.txt.out,0.004859,2
10000,h2,1,10,mglcs_10_200_4_1.txt.out,0.004399,2
10000,h2,1,10,mglcs_10_200_4_2.txt.out,0.004711,2
10000,h2,1,10,mglcs_10_200_4_3.txt.out,0.004596,2
10000,h2,1,10,mglcs_10_200_4_4.txt.out,0.004869,2
10000,h2,1,10,mglcs_10_200_4_5.txt.out,0.005231,4
10000,h2,1,10,mglcs_10_200_4_6.txt.out,0.004391,1
10000,h2,1,10,mglcs_10_200_4_7.txt.out,0.004517,1
10000,h2,1,10,mglcs_10_200_4_8.txt.out,0.004426,3
10000,h2,1,10,mglcs_10_200_4_9.txt.out,0.00597,3
10000,h2,1,10,mglcs_10_500_2_0.txt.out,0.006164,1
10000,h2,1,10,mglcs_10_500_2_1.txt.out,0.009155,4
10000,h2,1,10,mglcs_10_500_2_2.txt.out,0.006634,2
10000,h2,1,10,mglcs_10_500_2_3.txt.out,0.006041,2
10000,h2,1,10,mglcs_10_500_2_4.txt.out,0.005461,1
10000,h2,1,10,mglcs_10_500_2_5.txt.out,0.006928,1
10000,h2,1,10,mglcs_10_500_2_6.txt.out,0.006502,1
10000,h2,1,10,mglcs_10_500_2_7.txt.out,0.006166,1
10000,h2,1,10,mglcs_10_500_2_8.txt.out,0.006963,2
10000,h2,1,10,mglcs_10_500_2_9.txt.out,0.006566,3
10000,h2,1,10,mglcs_10_500_4_0.txt.out,0.010044,2
10000,h2,1,10,mglcs_10_500_4_1.txt.out,0.008904,1
