file	obj	time	feasible
2_100_4_0	0.0	1953.53	True
2_100_4_1	0.0	1949.19	True
2_100_4_2	0.0	1944.04	True
2_100_4_3	0.0	1948.61	True
2_100_4_4	0.0	1951.17	True
2_100_4_5	0.0	1947.03	True
2_100_4_6	0.0	1943.73	True
2_100_4_7	0.0	1966.59	True
2_100_4_8	0.0	1958.28	True
2_100_4_9	0.0	1957.78	True
2_50_2_0	36.0	85.51	True
2_50_2_1	37.0	89.13	True
2_50_2_2	39.0	67.67	True
2_50_2_3	38.0	68.05	True
2_50_2_4	38.0	59.23	True
2_50_2_5	38.0	92.88	True
2_50_2_6	40.0	98.61	True
2_50_2_7	39.0	86.2	True
2_50_2_8	38.0	67.12	True
2_50_2_9	38.0	79.81	True
2_50_4_0	29.0	17.27	True
2_50_4_1	31.0	15.14	True
2_50_4_2	31.0	17.79	True
2_50_4_3	30.0	16.56	True
2_50_4_4	32.0	16.66	True
2_50_4_5	31.0	32.9	True
2_50_4_6	30.0	14.61	True
2_50_4_7	31.0	15.05	True
2_50_4_8	30.0	18.78	True
2_50_4_9	28.0	15.21	True
