file	n	sigma	BS		BS-L	
10_200_10_10_20	200	20	13.0	0.05	13.33	0.06
10_200_10_10_4	200	4	7.67	0.0	7.67	0.0
10_200_10_2_20	200	20	13.33	0.04	13.33	0.06
10_200_10_2_4	200	4	8.33	0.0	8.33	0.0
10_200_10_4_20	200	20	14.33	0.04	14.33	0.06
10_200_10_4_4	200	4	8.67	0.0	8.67	0.0
10_200_3_10_20	200	20	13.33	0.04	13.33	0.05
10_200_3_10_4	200	4	8.33	0.0	8.33	0.0
10_200_3_2_20	200	20	13.33	0.04	13.67	0.06
10_200_3_2_4	200	4	9.0	0.0	9.0	0.0
10_200_3_4_20	200	20	12.67	0.04	12.67	0.05
10_200_3_4_4	200	4	8.0	0.0	8.0	0.0
10_200_5_10_20	200	20	13.0	0.04	13.33	0.05
10_200_5_10_4	200	4	8.33	0.0	8.33	0.0
10_200_5_2_20	200	20	13.33	0.04	13.33	0.05
10_200_5_2_4	200	4	8.33	0.0	8.33	0.0
10_200_5_4_20	200	20	13.33	0.05	13.33	0.06
10_200_5_4_4	200	4	8.67	0.0	8.67	0.0
5_200_10_10_20	200	20	21.0	0.07	21.0	0.09
5_200_10_10_4	200	4	10.33	0.0	10.33	0.0
5_200_10_2_20	200	20	22.0	0.08	22.0	0.09
5_200_10_2_4	200	4	10.67	0.0	10.67	0.01
5_200_10_4_20	200	20	21.33	0.08	22.0	0.09
5_200_10_4_4	200	4	12.0	0.0	12.0	0.01
5_200_3_10_20	200	20	22.0	0.07	22.0	0.09
5_200_3_10_4	200	4	11.0	0.0	11.0	0.0
5_200_3_2_20	200	20	21.33	0.07	21.67	0.08
5_200_3_2_4	200	4	10.67	0.0	10.67	0.01
5_200_3_4_20	200	20	21.67	0.07	21.33	0.08
5_200_3_4_4	200	4	10.67	0.0	10.67	0.0
5_200_5_10_20	200	20	20.33	0.07	20.33	0.09
5_200_5_10_4	200	4	10.67	0.0	10.67	0.0
5_200_5_2_20	200	20	21.0	0.07	21.67	0.08
5_200_5_2_4	200	4	11.67	0.0	11.67	0.01
5_200_5_4_20	200	20	20.33	0.06	20.67	0.08
5_200_5_4_4	200	4	11.67	0.0	11.67	0.01
3_200_10_10_20	200	20	34.67	0.12	34.67	0.15
3_200_10_10_4	200	4	15.33	0.0	15.33	0.01
3_200_10_2_20	200	20	34.67	0.11	34.67	0.13
3_200_10_2_4	200	4	15.33	0.0	15.33	0.01
3_200_10_4_20	200	20	33.33	0.11	33.33	0.15
3_200_10_4_4	200	4	14.67	0.0	14.67	0.01
3_200_3_10_20	200	20	34.0	0.09	34.0	0.11
3_200_3_10_4	200	4	15.33	0.0	15.33	0.01
3_200_3_2_20	200	20	33.0	0.09	33.0	0.1
3_200_3_2_4	200	4	12.67	0.0	12.67	0.0
3_200_3_4_20	200	20	34.0	0.09	34.0	0.1
3_200_3_4_4	200	4	13.67	0.0	13.67	0.0
3_200_5_10_20	200	20	32.0	0.1	32.0	0.12
3_200_5_10_4	200	4	15.67	0.0	15.67	0.01
3_200_5_2_20	200	20	34.33	0.1	34.33	0.11
3_200_5_2_4	200	4	15.0	0.0	15.0	0.01
3_200_5_4_20	200	20	34.67	0.11	34.67	0.12
3_200_5_4_4	200	4	13.67	0.0	13.67	0.0
10_500_10_10_20	500	20	37.67	0.2	38.0	0.26
10_500_10_10_4	500	4	23.33	0.02	24.33	0.03
10_500_10_25_20	500	20	37.33	0.2	37.67	0.25
10_500_10_25_4	500	4	23.67	0.02	24.0	0.03
10_500_10_5_20	500	20	38.33	0.2	38.0	0.25
10_500_10_5_4	500	4	23.33	0.02	25.0	0.03
10_500_3_10_20	500	20	37.67	0.18	37.33	0.23
10_500_3_10_4	500	4	24.67	0.02	25.0	0.03
10_500_3_25_20	500	20	37.33	0.18	37.33	0.23
10_500_3_25_4	500	4	23.67	0.01	24.33	0.02
10_500_3_5_20	500	20	38.0	0.18	37.67	0.23
10_500_3_5_4	500	4	24.33	0.02	25.33	0.03
10_500_5_10_20	500	20	37.33	0.18	38.0	0.23
