Time	Generations	Training value
7.85547	0	19.2778
37.5639	0	30.9938
139.269	0	47.1605
191.158	0	50.6667
724.146	2	52.179
2007.57	6	52.2963
3135.95	10	52.3395
3498.32	11	52.3827
4335.32	14	52.4321
5109.6	16	52.5432
5446.07	17	52.5741
6007.61	18	52.6975
6367.83	19	53.0062
7028.58	21	53.0494
8505.88	25	53.0679
9232.8	28	53.1235
12220.3	38	53.1296
12671.5	39	53.142
18847.4	60	53.1481
20005.7	63	53.1605
24636.2	79	53.1975
25023.2	80	53.2099
31082.2	102	53.2284
31555.1	104	53.2407
31688.9	104	53.3086
50084.1	171	53.3333
51065.6	174	53.3457
56384.3	192	53.3519
189406	647	53.358
195276	666	53.3642
201497	687	53.3704
211007	721	53.3827
251461	858	53.4012
