file,time,quality
mglcs_10_100_2_0.txt.out,0.0136687,7
mglcs_10_100_2_1.txt.out,0.0122212,8
mglcs_10_100_2_2.txt.out,0.0104454,8
mglcs_10_100_2_3.txt.out,0.0124099,9
mglcs_10_100_2_4.txt.out,0.0165913,12
mglcs_10_100_2_5.txt.out,0.0204258,10
mglcs_10_100_2_6.txt.out,0.0130703,8
mglcs_10_100_2_7.txt.out,0.0099654,8
mglcs_10_100_2_8.txt.out,0.0114643,9
mglcs_10_100_2_9.txt.out,0.0124414,7
mglcs_10_100_4_0.txt.out,0.0163464,4
mglcs_10_100_4_1.txt.out,0.0157653,6
mglcs_10_100_4_2.txt.out,0.018332,6
mglcs_10_100_4_3.txt.out,0.01778,6
mglcs_10_100_4_4.txt.out,0.031137,8
mglcs_10_100_4_5.txt.out,0.016702,7
mglcs_10_100_4_6.txt.out,0.0177838,7
mglcs_10_100_4_7.txt.out,0.014786,5
mglcs_10_100_4_8.txt.out,0.0173541,5
mglcs_10_100_4_9.txt.out,0.0175981,8
mglcs_10_200_2_0.txt.out,0.0237512,6
mglcs_10_200_2_1.txt.out,0.0127641,8
mglcs_10_200_2_2.txt.out,0.0183077,10
mglcs_10_200_2_3.txt.out,0.0198358,10
mglcs_10_200_2_4.txt.out,0.0125008,13
mglcs_10_200_2_5.txt.out,0.0291608,12
mglcs_10_200_2_6.txt.out,0.0245443,11
mglcs_10_200_2_7.txt.out,0.0205978,10
mglcs_10_200_2_8.txt.out,0.034564,14
mglcs_10_200_2_9.txt.out,0.0152973,9
mglcs_10_200_4_0.txt.out,0.0158671,5
mglcs_10_200_4_1.txt.out,0.0162507,6
mglcs_10_200_4_2.txt.out,0.0192164,5
mglcs_10_200_4_3.txt.out,0.0195424,10
mglcs_10_200_4_4.txt.out,0.0198088,6
mglcs_10_200_4_5.txt.out,0.0259332,6
mglcs_10_200_4_6.txt.out,0.021987,7
mglcs_10_200_4_7.txt.out,0.0159646,4
mglcs_10_200_4_8.txt.out,0.0204614,5
mglcs_10_200_4_9.txt.out,0.0229938,7
mglcs_10_500_2_0.txt.out,0.0355939,10
mglcs_10_500_2_1.txt.out,0.0758631,11
mglcs_10_500_2_2.txt.out,0.0377991,12
mglcs_10_500_2_3.txt.out,0.0356086,8
mglcs_10_500_2_4.txt.out,0.0495527,13
mglcs_10_500_2_5.txt.out,0.0495025,9
mglcs_10_500_2_6.txt.out,0.0320128,12
mglcs_10_500_2_7.txt.out,0.0164947,6
mglcs_10_500_2_8.txt.out,0.0239591,7
mglcs_10_500_2_9.txt.out,0.0273526,7
mglcs_10_500_4_0.txt.out,0.018005,5
mglcs_10_500_4_1.txt.out,0.0218382,6
mglcs_10_500_4_2.txt.out,0.0379765,8
mglcs_10_500_4_3.txt.out,0.030538,7
mglcs_10_500_4_4.txt.out,0.0281663,8
mglcs_10_500_4_5.txt.out,0.0244545,5
mglcs_10_500_4_6.txt.out,0.026226,5
mglcs_10_500_4_7.txt.out,0.0340338,7
mglcs_10_500_4_8.txt.out,0.0243188,5
mglcs_10_500_4_9.txt.out,0.0262835,5
mglcs_10_50_2_0.txt.out,0.0117082,12
mglcs_10_50_2_1.txt.out,0.0106447,9
mglcs_10_50_2_2.txt.out,0.00995561,8
mglcs_10_50_2_3.txt.out,0.0127826,9
mglcs_10_50_2_4.txt.out,0.00944059,7
mglcs_10_50_2_5.txt.out,0.0162758,12
mglcs_10_50_2_6.txt.out,0.0134291,8
mglcs_10_50_2_7.txt.out,0.0100415,9
mglcs_10_50_2_8.txt.out,0.00999673,7
mglcs_10_50_2_9.txt.out,0.0161402,10
mglcs_10_50_4_0.txt.out,0.0166455,7
mglcs_10_50_4_1.txt.out,0.0176367,5
mglcs_10_50_4_2.txt.out,0.0140992,7
mglcs_10_50_4_3.txt.out,0.026227,8
mglcs_10_50_4_4.txt.out,0.0212483,5
mglcs_10_50_4_5.txt.out,0.0200239,5
mglcs_10_50_4_6.txt.out,0.0222812,5
mglcs_10_50_4_7.txt.out,0.020368,6
mglcs_10_50_4_8.txt.out,0.0219047,6
mglcs_10_50_4_9.txt.out,0.0226754,6
mglcs_2_100_2_0.txt.out,0.183687,80
mglcs_2_100_2_1.txt.out,0.0532287,54
mglcs_2_100_2_2.txt.out,0.167491,70
mglcs_2_100_2_3.txt.out,0.279317,78
mglcs_2_100_2_4.txt.out,0.156972,70
mglcs_2_100_2_5.txt.out,0.195446,76
mglcs_2_100_2_6.txt.out,0.244424,76
mglcs_2_100_2_7.txt.out,0.131808,72
mglcs_2_100_2_8.txt.out,0.246368,75
mglcs_2_100_2_9.txt.out,0.194892,76
mglcs_2_100_4_0.txt.out,0.138175,62
mglcs_2_100_4_1.txt.out,0.143874,61
mglcs_2_100_4_2.txt.out,0.134074,62
mglcs_2_100_4_3.txt.out,0.226317,60
mglcs_2_100_4_4.txt.out,0.212033,63
mglcs_2_100_4_5.txt.out,0.106417,62
mglcs_2_100_4_6.txt.out,0.232402,60
mglcs_2_100_4_7.txt.out,0.212052,63
mglcs_2_100_4_8.txt.out,0.113939,62
mglcs_2_100_4_9.txt.out,0.277086,62
mglcs_2_200_2_0.txt.out,1.16474,95
mglcs_2_200_2_1.txt.out,1.18146,127
mglcs_2_200_2_2.txt.out,0.951125,138
mglcs_2_200_2_3.txt.out,1.28039,144
mglcs_2_200_2_4.txt.out,1.06609,159
mglcs_2_200_2_5.txt.out,1.4362,154
mglcs_2_200_2_6.txt.out,0.770017,139
mglcs_2_200_2_7.txt.out,1.26262,152
mglcs_2_200_2_8.txt.out,0.974207,138
mglcs_2_200_2_9.txt.out,0.62426,145
mglcs_2_200_4_0.txt.out,0.724858,115
mglcs_2_200_4_1.txt.out,0.952871,124
mglcs_2_200_4_2.txt.out,1.55983,118
mglcs_2_200_4_3.txt.out,1.31983,122
mglcs_2_200_4_4.txt.out,0.293302,114
mglcs_2_200_4_5.txt.out,1.06329,110
mglcs_2_200_4_6.txt.out,1.05318,126
mglcs_2_200_4_7.txt.out,0.658356,126
mglcs_2_200_4_8.txt.out,1.11378,125
mglcs_2_200_4_9.txt.out,1.01809,126
mglcs_2_500_2_0.txt.out,13.7671,283
mglcs_2_500_2_1.txt.out,11.2301,231
mglcs_2_500_2_2.txt.out,11.2756,203
mglcs_2_500_2_3.txt.out,13.7587,331
mglcs_2_500_2_4.txt.out,22.2223,302
mglcs_2_500_2_5.txt.out,26.2732,316
mglcs_2_500_2_6.txt.out,20.5187,260
mglcs_2_500_2_7.txt.out,15.7466,317
mglcs_2_500_2_8.txt.out,19.2696,321
mglcs_2_500_2_9.txt.out,9.72366,247
mglcs_2_500_4_0.txt.out,2.60427,309
mglcs_2_500_4_1.txt.out,10.3586,286
mglcs_2_500_4_2.txt.out,10.1971,298
mglcs_2_500_4_3.txt.out,3.08194,149
mglcs_2_500_4_4.txt.out,11.3929,295
mglcs_2_500_4_5.txt.out,10.3065,299
mglcs_2_500_4_6.txt.out,13.8016,298
mglcs_2_500_4_7.txt.out,14.0095,281
mglcs_2_500_4_8.txt.out,14.4951,299
mglcs_2_500_4_9.txt.out,14.9935,250
mglcs_2_50_2_0.txt.out,0.00457621,36
mglcs_2_50_2_1.txt.out,0.0409343,37
mglcs_2_50_2_2.txt.out,0.00489042,39
mglcs_2_50_2_3.txt.out,0.00955693,38
mglcs_2_50_2_4.txt.out,0.00464425,37
mglcs_2_50_2_5.txt.out,0.0209701,36
mglcs_2_50_2_6.txt.out,0.00470189,39
mglcs_2_50_2_7.txt.out,0.00638816,39
mglcs_2_50_2_8.txt.out,0.00269767,38
mglcs_2_50_2_9.txt.out,0.0118772,38
mglcs_2_50_4_0.txt.out,0.0257739,29
mglcs_2_50_4_1.txt.out,0.0488628,31
mglcs_2_50_4_2.txt.out,0.0299492,31
mglcs_2_50_4_3.txt.out,0.032294,30
mglcs_2_50_4_4.txt.out,0.0245141,32
mglcs_2_50_4_5.txt.out,0.029725,29
mglcs_2_50_4_6.txt.out,0.0260692,30
mglcs_2_50_4_7.txt.out,0.0114668,30
mglcs_2_50_4_8.txt.out,0.0294245,30
mglcs_2_50_4_9.txt.out,0.00533013,28
mglcs_3_100_2_0.txt.out,0.847055,64
mglcs_3_100_2_1.txt.out,1.04384,64
mglcs_3_100_2_2.txt.out,0.352182,61
mglcs_3_100_2_3.txt.out,0.255851,59
mglcs_3_100_2_4.txt.out,0.140277,65
mglcs_3_100_2_5.txt.out,0.577846,56
mglcs_3_100_2_6.txt.out,0.474939,64
mglcs_3_100_2_7.txt.out,0.416835,46
mglcs_3_100_2_8.txt.out,0.113685,41
mglcs_3_100_2_9.txt.out,0.952079,65
mglcs_3_100_4_0.txt.out,0.552723,45
mglcs_3_100_4_1.txt.out,1.25003,49
mglcs_3_100_4_2.txt.out,1.02298,48
mglcs_3_100_4_3.txt.out,0.3608,47
mglcs_3_100_4_4.txt.out,0.556216,52
mglcs_3_100_4_5.txt.out,0.732168,51
mglcs_3_100_4_6.txt.out,1.30003,51
mglcs_3_100_4_7.txt.out,1.33331,45
mglcs_3_100_4_8.txt.out,1.27093,44
mglcs_3_100_4_9.txt.out,0.719362,50
mglcs_3_200_2_0.txt.out,11.8125,125
mglcs_3_200_2_1.txt.out,7.32151,110
mglcs_3_200_2_2.txt.out,4.84248,134
mglcs_3_200_2_3.txt.out,2.60585,88
mglcs_3_200_2_4.txt.out,8.62894,110
mglcs_3_200_2_5.txt.out,2.04088,106
mglcs_3_200_2_6.txt.out,0.377192,59
mglcs_3_200_2_7.txt.out,0.404794,41
mglcs_3_200_2_8.txt.out,1.50201,102
mglcs_3_200_2_9.txt.out,0.28959,41
mglcs_3_200_4_0.txt.out,17.5301,98
mglcs_3_200_4_1.txt.out,14.7082,100
mglcs_3_200_4_2.txt.out,16.8275,101
mglcs_3_200_4_3.txt.out,11.7487,99
mglcs_3_200_4_4.txt.out,8.36105,99
mglcs_3_200_4_5.txt.out,11.771,94
mglcs_3_200_4_6.txt.out,2.66123,84
mglcs_3_200_4_7.txt.out,14.7931,101
mglcs_3_200_4_8.txt.out,9.85028,100
mglcs_3_200_4_9.txt.out,11.1972,95
mglcs_3_500_2_0.txt.out,0.584749,34
mglcs_3_500_2_1.txt.out,5.58204,150
mglcs_3_500_2_2.txt.out,4.17524,91
mglcs_3_500_2_3.txt.out,7.40434,120
mglcs_3_500_2_4.txt.out,6.57095,145
mglcs_3_500_2_5.txt.out,2.25304,94
mglcs_3_500_2_6.txt.out,12.8219,105
mglcs_3_500_2_7.txt.out,3.35702,99
mglcs_3_500_2_8.txt.out,1.32978,50
mglcs_3_500_2_9.txt.out,1.60573,69
mglcs_3_500_4_0.txt.out,,
mglcs_3_500_4_1.txt.out,64.7278,241
mglcs_3_500_4_2.txt.out,55.3925,193
mglcs_3_500_4_3.txt.out,54.8334,230
mglcs_3_500_4_4.txt.out,46.5291,160
mglcs_3_500_4_5.txt.out,28.9878,101
mglcs_3_500_4_6.txt.out,6.67776,113
mglcs_3_500_4_7.txt.out,46.8781,209
mglcs_3_500_4_8.txt.out,49.2852,210
mglcs_3_500_4_9.txt.out,67.0161,229
mglcs_3_50_2_0.txt.out,0.0529566,32
mglcs_3_50_2_1.txt.out,0.018792,32
mglcs_3_50_2_2.txt.out,0.0452693,36
mglcs_3_50_2_3.txt.out,0.0131868,25
mglcs_3_50_2_4.txt.out,0.0235668,33
mglcs_3_50_2_5.txt.out,0.00854267,31
mglcs_3_50_2_6.txt.out,0.0152533,33
mglcs_3_50_2_7.txt.out,0.0245287,32
mglcs_3_50_2_8.txt.out,0.0194214,30
mglcs_3_50_2_9.txt.out,0.0140024,28
mglcs_3_50_4_0.txt.out,0.0338955,23
mglcs_3_50_4_1.txt.out,0.0597466,24
mglcs_3_50_4_2.txt.out,0.00619393,21
mglcs_3_50_4_3.txt.out,0.00988299,23
mglcs_3_50_4_4.txt.out,0.0197423,22
mglcs_3_50_4_5.txt.out,0.0101322,23
mglcs_3_50_4_6.txt.out,0.0608239,25
mglcs_3_50_4_7.txt.out,0.0125269,21
mglcs_3_50_4_8.txt.out,0.0220001,24
mglcs_3_50_4_9.txt.out,0.018545,23
mglcs_5_100_2_0.txt.out,0.0209318,20
mglcs_5_100_2_1.txt.out,0.0623238,40
mglcs_5_100_2_2.txt.out,0.0349291,21
mglcs_5_100_2_3.txt.out,0.014096,15
mglcs_5_100_2_4.txt.out,0.0269861,23
mglcs_5_100_2_5.txt.out,0.0657202,30
mglcs_5_100_2_6.txt.out,0.0684752,20
mglcs_5_100_2_7.txt.out,0.0187545,18
mglcs_5_100_2_8.txt.out,0.0142671,15
mglcs_5_100_2_9.txt.out,0.0288374,21
mglcs_5_100_4_0.txt.out,0.0255131,20
mglcs_5_100_4_1.txt.out,0.0308907,13
mglcs_5_100_4_2.txt.out,0.0324879,14
mglcs_5_100_4_3.txt.out,0.0382019,27
mglcs_5_100_4_4.txt.out,0.149344,21
mglcs_5_100_4_5.txt.out,0.0445424,26
mglcs_5_100_4_6.txt.out,0.0778019,24
mglcs_5_100_4_7.txt.out,0.102214,25
mglcs_5_100_4_8.txt.out,0.166297,35
mglcs_5_100_4_9.txt.out,0.028892,16
mglcs_5_200_2_0.txt.out,0.0542713,21
mglcs_5_200_2_1.txt.out,0.0253412,27
mglcs_5_200_2_2.txt.out,0.069558,21
mglcs_5_200_2_3.txt.out,0.0608368,33
mglcs_5_200_2_4.txt.out,0.17016,28
mglcs_5_200_2_5.txt.out,0.0282128,20
mglcs_5_200_2_6.txt.out,0.0654015,32
mglcs_5_200_2_7.txt.out,0.136914,30
mglcs_5_200_2_8.txt.out,0.0390339,23
mglcs_5_200_2_9.txt.out,0.0784438,29
mglcs_5_200_4_0.txt.out,0.0610461,16
mglcs_5_200_4_1.txt.out,0.024535,15
mglcs_5_200_4_2.txt.out,0.21354,30
mglcs_5_200_4_3.txt.out,0.0876735,23
mglcs_5_200_4_4.txt.out,0.155739,25
mglcs_5_200_4_5.txt.out,0.0792813,30
mglcs_5_200_4_6.txt.out,0.159584,34
mglcs_5_200_4_7.txt.out,0.0404786,24
mglcs_5_200_4_8.txt.out,0.172875,31
mglcs_5_200_4_9.txt.out,0.0929244,29
mglcs_5_500_2_0.txt.out,0.485874,49
mglcs_5_500_2_1.txt.out,0.121708,28
mglcs_5_500_2_2.txt.out,0.175224,22
mglcs_5_500_2_3.txt.out,0.112202,23
mglcs_5_500_2_4.txt.out,0.0600067,16
mglcs_5_500_2_5.txt.out,0.253856,32
mglcs_5_500_2_6.txt.out,0.0778446,26
mglcs_5_500_2_7.txt.out,0.361086,34
mglcs_5_500_2_8.txt.out,0.16335,25
mglcs_5_500_2_9.txt.out,0.0773089,24
mglcs_5_500_4_0.txt.out,0.119242,19
mglcs_5_500_4_1.txt.out,0.130132,42
mglcs_5_500_4_2.txt.out,0.104132,20
mglcs_5_500_4_3.txt.out,0.0849744,17
mglcs_5_500_4_4.txt.out,0.0360875,16
mglcs_5_500_4_5.txt.out,0.208585,31
mglcs_5_500_4_6.txt.out,0.106034,26
mglcs_5_500_4_7.txt.out,0.456178,35
mglcs_5_500_4_8.txt.out,0.175279,30
mglcs_5_500_4_9.txt.out,0.421279,35
mglcs_5_50_2_0.txt.out,0.0411899,28
mglcs_5_50_2_1.txt.out,0.0437859,24
mglcs_5_50_2_2.txt.out,0.0263311,19
mglcs_5_50_2_3.txt.out,0.0230943,15
mglcs_5_50_2_4.txt.out,0.0363524,24
mglcs_5_50_2_5.txt.out,0.0266006,17
mglcs_5_50_2_6.txt.out,0.031794,16
mglcs_5_50_2_7.txt.out,0.028432,20
mglcs_5_50_2_8.txt.out,0.041017,20
mglcs_5_50_2_9.txt.out,0.0297128,17
mglcs_5_50_4_0.txt.out,0.0229982,16
mglcs_5_50_4_1.txt.out,0.0306106,15
mglcs_5_50_4_2.txt.out,0.0158896,16
mglcs_5_50_4_3.txt.out,0.0256951,17
mglcs_5_50_4_4.txt.out,0.0843803,19
mglcs_5_50_4_5.txt.out,0.016258,12
mglcs_5_50_4_6.txt.out,0.0304287,14
mglcs_5_50_4_7.txt.out,0.0200014,13
mglcs_5_50_4_8.txt.out,0.015966,11
mglcs_5_50_4_9.txt.out,0.0268666,20
