file,time,quality
mglcs_10_100_2_0.txt.out,0.0134341,7
mglcs_10_100_2_1.txt.out,0.01145,8
mglcs_10_100_2_2.txt.out,0.0115414,8
mglcs_10_100_2_3.txt.out,0.0129153,9
mglcs_10_100_2_4.txt.out,0.0182972,12
mglcs_10_100_2_5.txt.out,0.018769,10
mglcs_10_100_2_6.txt.out,0.0110198,8
mglcs_10_100_2_7.txt.out,0.00984467,8
mglcs_10_100_2_8.txt.out,0.0113048,9
mglcs_10_100_2_9.txt.out,0.0116921,7
mglcs_10_100_4_0.txt.out,0.0151149,4
mglcs_10_100_4_1.txt.out,0.0235775,6
mglcs_10_100_4_2.txt.out,0.0243042,6
mglcs_10_100_4_3.txt.out,0.0246761,6
mglcs_10_100_4_4.txt.out,0.0280901,8
mglcs_10_100_4_5.txt.out,0.0242111,7
mglcs_10_100_4_6.txt.out,0.0302798,7
mglcs_10_100_4_7.txt.out,0.0213543,5
mglcs_10_100_4_8.txt.out,0.0227227,6
mglcs_10_100_4_9.txt.out,0.0235648,8
mglcs_10_200_2_0.txt.out,0.0320464,6
mglcs_10_200_2_1.txt.out,0.0285033,8
mglcs_10_200_2_2.txt.out,0.039017,10
mglcs_10_200_2_3.txt.out,0.0265913,10
mglcs_10_200_2_4.txt.out,0.0200731,13
mglcs_10_200_2_5.txt.out,0.0384927,12
mglcs_10_200_2_6.txt.out,0.0297835,11
mglcs_10_200_2_7.txt.out,0.0281351,10
mglcs_10_200_2_8.txt.out,0.0417903,14
mglcs_10_200_2_9.txt.out,0.0215213,9
mglcs_10_200_4_0.txt.out,0.0215475,5
mglcs_10_200_4_1.txt.out,0.0221918,6
mglcs_10_200_4_2.txt.out,0.0247409,5
mglcs_10_200_4_3.txt.out,0.0255012,10
mglcs_10_200_4_4.txt.out,0.0262929,6
mglcs_10_200_4_5.txt.out,0.0265341,6
mglcs_10_200_4_6.txt.out,0.026916,7
mglcs_10_200_4_7.txt.out,0.0215072,4
mglcs_10_200_4_8.txt.out,0.0194176,5
mglcs_10_200_4_9.txt.out,0.0220166,7
mglcs_10_500_2_0.txt.out,0.064672,10
mglcs_10_500_2_1.txt.out,0.0949622,11
mglcs_10_500_2_2.txt.out,0.0508238,12
mglcs_10_500_2_3.txt.out,0.0474763,8
mglcs_10_500_2_4.txt.out,0.0613032,13
mglcs_10_500_2_5.txt.out,0.0560872,9
mglcs_10_500_2_6.txt.out,0.0320018,12
mglcs_10_500_2_7.txt.out,0.017292,6
mglcs_10_500_2_8.txt.out,0.0244369,7
mglcs_10_500_2_9.txt.out,0.0274141,7
mglcs_10_500_4_0.txt.out,0.0187728,5
mglcs_10_500_4_1.txt.out,0.0232694,6
mglcs_10_500_4_2.txt.out,0.0408934,8
mglcs_10_500_4_3.txt.out,0.0300082,7
mglcs_10_500_4_4.txt.out,0.0295648,8
mglcs_10_500_4_5.txt.out,0.0247116,5
mglcs_10_500_4_6.txt.out,0.0289528,5
mglcs_10_500_4_7.txt.out,0.0406934,7
mglcs_10_500_4_8.txt.out,0.0325779,5
mglcs_10_500_4_9.txt.out,0.0402888,5
mglcs_10_50_2_0.txt.out,0.0206546,12
mglcs_10_50_2_1.txt.out,0.0105262,9
mglcs_10_50_2_2.txt.out,0.00993693,8
mglcs_10_50_2_3.txt.out,0.0129326,9
mglcs_10_50_2_4.txt.out,0.00952715,7
mglcs_10_50_2_5.txt.out,0.0172573,12
mglcs_10_50_2_6.txt.out,0.0130628,8
mglcs_10_50_2_7.txt.out,0.00985837,9
mglcs_10_50_2_8.txt.out,0.0101181,7
mglcs_10_50_2_9.txt.out,0.0154981,10
mglcs_10_50_4_0.txt.out,0.0169538,7
mglcs_10_50_4_1.txt.out,0.015024,5
mglcs_10_50_4_2.txt.out,0.0162114,7
mglcs_10_50_4_3.txt.out,0.0199798,8
mglcs_10_50_4_4.txt.out,0.0155734,6
mglcs_10_50_4_5.txt.out,0.0145566,5
mglcs_10_50_4_6.txt.out,0.0165266,5
mglcs_10_50_4_7.txt.out,0.0149259,6
mglcs_10_50_4_8.txt.out,0.015606,6
mglcs_10_50_4_9.txt.out,0.0157419,6
mglcs_2_100_2_0.txt.out,0.161106,80
mglcs_2_100_2_1.txt.out,0.0441732,54
mglcs_2_100_2_2.txt.out,0.141565,70
mglcs_2_100_2_3.txt.out,0.232819,78
mglcs_2_100_2_4.txt.out,0.13023,70
mglcs_2_100_2_5.txt.out,0.127924,76
mglcs_2_100_2_6.txt.out,0.201035,76
mglcs_2_100_2_7.txt.out,0.119189,72
mglcs_2_100_2_8.txt.out,0.206052,75
mglcs_2_100_2_9.txt.out,0.164429,76
mglcs_2_100_4_0.txt.out,0.117207,61
mglcs_2_100_4_1.txt.out,0.12342,60
mglcs_2_100_4_2.txt.out,0.114938,62
mglcs_2_100_4_3.txt.out,0.197877,60
mglcs_2_100_4_4.txt.out,0.192977,63
mglcs_2_100_4_5.txt.out,0.106569,62
mglcs_2_100_4_6.txt.out,0.203719,60
mglcs_2_100_4_7.txt.out,0.205527,63
mglcs_2_100_4_8.txt.out,0.103348,62
mglcs_2_100_4_9.txt.out,0.239329,62
mglcs_2_200_2_0.txt.out,1.02805,95
mglcs_2_200_2_1.txt.out,1.20858,127
mglcs_2_200_2_2.txt.out,0.958268,144
mglcs_2_200_2_3.txt.out,1.32202,144
mglcs_2_200_2_4.txt.out,1.16448,159
mglcs_2_200_2_5.txt.out,1.43958,154
mglcs_2_200_2_6.txt.out,0.806121,139
mglcs_2_200_2_7.txt.out,1.26851,154
mglcs_2_200_2_8.txt.out,1.09267,137
mglcs_2_200_2_9.txt.out,0.644446,145
mglcs_2_200_4_0.txt.out,0.780392,112
mglcs_2_200_4_1.txt.out,1.25906,123
mglcs_2_200_4_2.txt.out,1.62552,118
mglcs_2_200_4_3.txt.out,1.37454,122
mglcs_2_200_4_4.txt.out,0.321449,123
mglcs_2_200_4_5.txt.out,1.0975,112
mglcs_2_200_4_6.txt.out,1.10233,126
mglcs_2_200_4_7.txt.out,0.745006,126
mglcs_2_200_4_8.txt.out,1.12566,125
mglcs_2_200_4_9.txt.out,1.04869,126
mglcs_2_500_2_0.txt.out,14.3758,200
mglcs_2_500_2_1.txt.out,15.979,182
mglcs_2_500_2_2.txt.out,13.1047,203
mglcs_2_500_2_3.txt.out,12.4617,327
mglcs_2_500_2_4.txt.out,22.9613,302
mglcs_2_500_2_5.txt.out,25.1734,295
mglcs_2_500_2_6.txt.out,22.7075,249
mglcs_2_500_2_7.txt.out,15.6697,317
mglcs_2_500_2_8.txt.out,20.985,321
mglcs_2_500_2_9.txt.out,10.015,247
mglcs_2_500_4_0.txt.out,1.73167,301
mglcs_2_500_4_1.txt.out,8.8138,292
mglcs_2_500_4_2.txt.out,10.4149,294
mglcs_2_500_4_3.txt.out,7.97719,282
mglcs_2_500_4_4.txt.out,13.4593,289
mglcs_2_500_4_5.txt.out,7.79146,300
mglcs_2_500_4_6.txt.out,12.3652,297
mglcs_2_500_4_7.txt.out,11.0258,277
mglcs_2_500_4_8.txt.out,12.6385,298
mglcs_2_500_4_9.txt.out,10.6266,288
mglcs_2_50_2_0.txt.out,0.00377514,36
mglcs_2_50_2_1.txt.out,0.0365198,37
mglcs_2_50_2_2.txt.out,0.00449773,39
mglcs_2_50_2_3.txt.out,0.00824031,38
mglcs_2_50_2_4.txt.out,0.00325081,37
mglcs_2_50_2_5.txt.out,0.0180818,36
mglcs_2_50_2_6.txt.out,0.00401456,39
mglcs_2_50_2_7.txt.out,0.00505446,39
mglcs_2_50_2_8.txt.out,0.00271951,38
mglcs_2_50_2_9.txt.out,0.0104654,38
mglcs_2_50_4_0.txt.out,0.0242328,29
mglcs_2_50_4_1.txt.out,0.0399113,31
mglcs_2_50_4_2.txt.out,0.036525,31
mglcs_2_50_4_3.txt.out,0.0327089,30
mglcs_2_50_4_4.txt.out,0.0272565,32
mglcs_2_50_4_5.txt.out,0.0322031,30
mglcs_2_50_4_6.txt.out,0.0271561,30
mglcs_2_50_4_7.txt.out,0.0120001,30
mglcs_2_50_4_8.txt.out,0.0256072,30
mglcs_2_50_4_9.txt.out,0.00565952,28
mglcs_3_100_2_0.txt.out,0.811991,64
mglcs_3_100_2_1.txt.out,0.916425,64
mglcs_3_100_2_2.txt.out,0.306605,61
mglcs_3_100_2_3.txt.out,0.233431,59
mglcs_3_100_2_4.txt.out,0.12608,65
mglcs_3_100_2_5.txt.out,0.518669,56
mglcs_3_100_2_6.txt.out,0.432439,64
mglcs_3_100_2_7.txt.out,0.339648,46
mglcs_3_100_2_8.txt.out,0.112383,41
mglcs_3_100_2_9.txt.out,0.795799,65
mglcs_3_100_4_0.txt.out,0.520141,45
mglcs_3_100_4_1.txt.out,1.15848,49
mglcs_3_100_4_2.txt.out,0.939262,48
mglcs_3_100_4_3.txt.out,0.336461,47
mglcs_3_100_4_4.txt.out,0.501541,52
mglcs_3_100_4_5.txt.out,0.670945,51
mglcs_3_100_4_6.txt.out,1.2089,51
mglcs_3_100_4_7.txt.out,1.20747,45
mglcs_3_100_4_8.txt.out,1.13552,44
mglcs_3_100_4_9.txt.out,0.643446,50
mglcs_3_200_2_0.txt.out,10.8561,125
mglcs_3_200_2_1.txt.out,6.73948,114
mglcs_3_200_2_2.txt.out,4.03808,134
mglcs_3_200_2_3.txt.out,2.1006,85
mglcs_3_200_2_4.txt.out,7.2497,110
mglcs_3_200_2_5.txt.out,2.04458,106
mglcs_3_200_2_6.txt.out,0.380558,59
mglcs_3_200_2_7.txt.out,0.395079,41
mglcs_3_200_2_8.txt.out,1.32084,102
mglcs_3_200_2_9.txt.out,0.265964,41
mglcs_3_200_4_0.txt.out,15.138,98
mglcs_3_200_4_1.txt.out,12.9421,99
mglcs_3_200_4_2.txt.out,15.1903,101
mglcs_3_200_4_3.txt.out,13.0574,98
mglcs_3_200_4_4.txt.out,8.91459,99
mglcs_3_200_4_5.txt.out,12.4424,94
mglcs_3_200_4_6.txt.out,2.66898,85
mglcs_3_200_4_7.txt.out,16.0943,101
mglcs_3_200_4_8.txt.out,9.9277,100
mglcs_3_200_4_9.txt.out,11.1101,95
mglcs_3_500_2_0.txt.out,0.610485,34
mglcs_3_500_2_1.txt.out,5.63428,107
mglcs_3_500_2_2.txt.out,5.44066,92
mglcs_3_500_2_3.txt.out,7.78211,120
mglcs_3_500_2_4.txt.out,7.08043,146
mglcs_3_500_2_5.txt.out,2.49253,94
mglcs_3_500_2_6.txt.out,13.4003,100
mglcs_3_500_2_7.txt.out,3.37167,99
mglcs_3_500_2_8.txt.out,1.16059,50
mglcs_3_500_2_9.txt.out,1.43594,69
mglcs_3_500_4_0.txt.out,67.2862,208
mglcs_3_500_4_1.txt.out,56.6509,242
mglcs_3_500_4_2.txt.out,49.0521,182
mglcs_3_500_4_3.txt.out,52.588,232
mglcs_3_500_4_4.txt.out,46.2137,198
mglcs_3_500_4_5.txt.out,32.0049,101
mglcs_3_500_4_6.txt.out,6.59227,113
mglcs_3_500_4_7.txt.out,46.4693,236
mglcs_3_500_4_8.txt.out,43.6227,220
mglcs_3_500_4_9.txt.out,69.1204,224
mglcs_3_50_2_0.txt.out,0.0449786,32
mglcs_3_50_2_1.txt.out,0.0152292,32
mglcs_3_50_2_2.txt.out,0.0376783,36
mglcs_3_50_2_3.txt.out,0.00994212,25
mglcs_3_50_2_4.txt.out,0.0176582,33
mglcs_3_50_2_5.txt.out,0.00514508,31
mglcs_3_50_2_6.txt.out,0.0119865,33
mglcs_3_50_2_7.txt.out,0.0187054,32
mglcs_3_50_2_8.txt.out,0.0153193,30
mglcs_3_50_2_9.txt.out,0.0105798,28
mglcs_3_50_4_0.txt.out,0.0339656,23
mglcs_3_50_4_1.txt.out,0.0582381,24
mglcs_3_50_4_2.txt.out,0.00629908,21
mglcs_3_50_4_3.txt.out,0.0102602,23
mglcs_3_50_4_4.txt.out,0.0229258,22
mglcs_3_50_4_5.txt.out,0.0125861,23
mglcs_3_50_4_6.txt.out,0.0587314,25
mglcs_3_50_4_7.txt.out,0.0150606,21
mglcs_3_50_4_8.txt.out,0.0231055,24
mglcs_3_50_4_9.txt.out,0.0211828,23
mglcs_5_100_2_0.txt.out,0.0286141,18
mglcs_5_100_2_1.txt.out,0.0728581,40
mglcs_5_100_2_2.txt.out,0.0450737,21
mglcs_5_100_2_3.txt.out,0.0235374,15
mglcs_5_100_2_4.txt.out,0.0394249,23
mglcs_5_100_2_5.txt.out,0.0752424,30
mglcs_5_100_2_6.txt.out,0.0743071,20
mglcs_5_100_2_7.txt.out,0.0275075,18
mglcs_5_100_2_8.txt.out,0.0231595,15
mglcs_5_100_2_9.txt.out,0.0368635,21
mglcs_5_100_4_0.txt.out,0.0356366,20
mglcs_5_100_4_1.txt.out,0.0401455,13
mglcs_5_100_4_2.txt.out,0.0352993,14
mglcs_5_100_4_3.txt.out,0.044415,27
mglcs_5_100_4_4.txt.out,0.142035,21
mglcs_5_100_4_5.txt.out,0.0533726,26
mglcs_5_100_4_6.txt.out,0.0835486,24
mglcs_5_100_4_7.txt.out,0.105192,25
mglcs_5_100_4_8.txt.out,0.170274,35
mglcs_5_100_4_9.txt.out,0.0372965,16
mglcs_5_200_2_0.txt.out,0.0661096,23
mglcs_5_200_2_1.txt.out,0.0341962,27
mglcs_5_200_2_2.txt.out,0.0775435,21
mglcs_5_200_2_3.txt.out,0.0683962,33
mglcs_5_200_2_4.txt.out,0.174712,28
mglcs_5_200_2_5.txt.out,0.0382892,20
mglcs_5_200_2_6.txt.out,0.0677017,32
mglcs_5_200_2_7.txt.out,0.144066,30
mglcs_5_200_2_8.txt.out,0.0498598,23
mglcs_5_200_2_9.txt.out,0.0912923,29
mglcs_5_200_4_0.txt.out,0.0767685,55
mglcs_5_200_4_1.txt.out,0.0338712,15
mglcs_5_200_4_2.txt.out,0.235129,30
mglcs_5_200_4_3.txt.out,0.0984749,23
mglcs_5_200_4_4.txt.out,0.169567,25
mglcs_5_200_4_5.txt.out,0.0943293,30
mglcs_5_200_4_6.txt.out,0.169121,34
mglcs_5_200_4_7.txt.out,0.0585728,24
mglcs_5_200_4_8.txt.out,0.179898,31
mglcs_5_200_4_9.txt.out,0.106153,29
mglcs_5_500_2_0.txt.out,0.530845,49
mglcs_5_500_2_1.txt.out,0.138841,28
mglcs_5_500_2_2.txt.out,0.19606,22
mglcs_5_500_2_3.txt.out,0.127489,23
mglcs_5_500_2_4.txt.out,0.0739497,16
mglcs_5_500_2_5.txt.out,0.268772,32
mglcs_5_500_2_6.txt.out,0.0887238,26
mglcs_5_500_2_7.txt.out,0.377135,34
mglcs_5_500_2_8.txt.out,0.179297,25
mglcs_5_500_2_9.txt.out,0.0712483,24
mglcs_5_500_4_0.txt.out,0.121024,19
mglcs_5_500_4_1.txt.out,0.129616,40
mglcs_5_500_4_2.txt.out,0.106843,20
mglcs_5_500_4_3.txt.out,0.093564,17
mglcs_5_500_4_4.txt.out,0.0482562,16
mglcs_5_500_4_5.txt.out,0.204007,31
mglcs_5_500_4_6.txt.out,0.11079,26
mglcs_5_500_4_7.txt.out,0.445091,35
mglcs_5_500_4_8.txt.out,0.19292,30
mglcs_5_500_4_9.txt.out,0.416076,35
mglcs_5_50_2_0.txt.out,0.0415847,28
mglcs_5_50_2_1.txt.out,0.0416132,24
mglcs_5_50_2_2.txt.out,0.0253636,19
mglcs_5_50_2_3.txt.out,0.0229919,15
mglcs_5_50_2_4.txt.out,0.0353821,24
mglcs_5_50_2_5.txt.out,0.0267135,17
mglcs_5_50_2_6.txt.out,0.0307809,16
mglcs_5_50_2_7.txt.out,0.0278068,20
mglcs_5_50_2_8.txt.out,0.0405873,21
mglcs_5_50_2_9.txt.out,0.0193292,17
mglcs_5_50_4_0.txt.out,0.0139932,16
mglcs_5_50_4_1.txt.out,0.0194608,15
mglcs_5_50_4_2.txt.out,0.0157525,16
mglcs_5_50_4_3.txt.out,0.0251077,17
mglcs_5_50_4_4.txt.out,0.0784164,19
mglcs_5_50_4_5.txt.out,0.0179596,12
mglcs_5_50_4_6.txt.out,0.033769,14
mglcs_5_50_4_7.txt.out,0.0214123,13
mglcs_5_50_4_8.txt.out,0.0177042,11
mglcs_5_50_4_9.txt.out,0.0303983,20
