file,time,quality
mglcs_10_100_2_0.txt.out,0.0118896,7
mglcs_10_100_2_1.txt.out,0.0106254,8
mglcs_10_100_2_2.txt.out,0.0100004,8
mglcs_10_100_2_3.txt.out,0.0119723,9
mglcs_10_100_2_4.txt.out,0.0160893,12
mglcs_10_100_2_5.txt.out,0.0176659,10
mglcs_10_100_2_6.txt.out,0.00999339,8
mglcs_10_100_2_7.txt.out,0.00873914,8
mglcs_10_100_2_8.txt.out,0.0100466,9
mglcs_10_100_2_9.txt.out,0.0109996,7
mglcs_10_100_4_0.txt.out,0.0136359,4
mglcs_10_100_4_1.txt.out,0.0140047,6
mglcs_10_100_4_2.txt.out,0.0148046,6
mglcs_10_100_4_3.txt.out,0.0158344,6
mglcs_10_100_4_4.txt.out,0.0190705,8
mglcs_10_100_4_5.txt.out,0.0150977,7
mglcs_10_100_4_6.txt.out,0.0157167,7
mglcs_10_100_4_7.txt.out,0.0130809,5
mglcs_10_100_4_8.txt.out,0.0134655,5
mglcs_10_100_4_9.txt.out,0.0152098,8
mglcs_10_200_2_0.txt.out,0.0208997,6
mglcs_10_200_2_1.txt.out,0.0116118,8
mglcs_10_200_2_2.txt.out,0.016096,10
mglcs_10_200_2_3.txt.out,0.017449,10
mglcs_10_200_2_4.txt.out,0.0109839,13
mglcs_10_200_2_5.txt.out,0.0227735,12
mglcs_10_200_2_6.txt.out,0.0196532,11
mglcs_10_200_2_7.txt.out,0.0174763,10
mglcs_10_200_2_8.txt.out,0.0300429,14
mglcs_10_200_2_9.txt.out,0.0132469,9
mglcs_10_200_4_0.txt.out,0.0138394,5
mglcs_10_200_4_1.txt.out,0.0142721,6
mglcs_10_200_4_2.txt.out,0.0268581,5
mglcs_10_200_4_3.txt.out,0.0271912,10
mglcs_10_200_4_4.txt.out,0.019832,6
mglcs_10_200_4_5.txt.out,0.018644,6
mglcs_10_200_4_6.txt.out,0.0210383,7
mglcs_10_200_4_7.txt.out,0.0162447,4
mglcs_10_200_4_8.txt.out,0.0203916,5
mglcs_10_200_4_9.txt.out,0.0209695,7
mglcs_10_500_2_0.txt.out,0.0331455,10
mglcs_10_500_2_1.txt.out,0.072371,11
mglcs_10_500_2_2.txt.out,0.0358869,12
mglcs_10_500_2_3.txt.out,0.0335797,8
mglcs_10_500_2_4.txt.out,0.0467835,13
mglcs_10_500_2_5.txt.out,0.0411774,9
mglcs_10_500_2_6.txt.out,0.0293977,12
mglcs_10_500_2_7.txt.out,0.01549,6
mglcs_10_500_2_8.txt.out,0.0236117,7
mglcs_10_500_2_9.txt.out,0.0288027,7
mglcs_10_500_4_0.txt.out,0.0195776,5
mglcs_10_500_4_1.txt.out,0.0236056,6
mglcs_10_500_4_2.txt.out,0.0359426,8
mglcs_10_500_4_3.txt.out,0.030481,7
mglcs_10_500_4_4.txt.out,0.0295799,8
mglcs_10_500_4_5.txt.out,0.0254626,5
mglcs_10_500_4_6.txt.out,0.0274528,5
mglcs_10_500_4_7.txt.out,0.0359237,7
mglcs_10_500_4_8.txt.out,0.0220325,5
mglcs_10_500_4_9.txt.out,0.0284533,5
mglcs_10_50_2_0.txt.out,0.0178182,12
mglcs_10_50_2_1.txt.out,0.01527,9
mglcs_10_50_2_2.txt.out,0.0153136,8
mglcs_10_50_2_3.txt.out,0.0178571,9
mglcs_10_50_2_4.txt.out,0.0138171,7
mglcs_10_50_2_5.txt.out,0.0208897,12
mglcs_10_50_2_6.txt.out,0.0171081,8
mglcs_10_50_2_7.txt.out,0.0148622,9
mglcs_10_50_2_8.txt.out,0.0142302,7
mglcs_10_50_2_9.txt.out,0.0192646,10
mglcs_10_50_4_0.txt.out,0.0199379,7
mglcs_10_50_4_1.txt.out,0.0187362,5
mglcs_10_50_4_2.txt.out,0.0198148,7
mglcs_10_50_4_3.txt.out,0.0230022,8
mglcs_10_50_4_4.txt.out,0.0190357,5
mglcs_10_50_4_5.txt.out,0.018668,5
mglcs_10_50_4_6.txt.out,0.019707,5
mglcs_10_50_4_7.txt.out,0.0178986,6
mglcs_10_50_4_8.txt.out,0.0188136,6
mglcs_10_50_4_9.txt.out,0.0191519,6
mglcs_2_100_2_0.txt.out,0.15646,80
mglcs_2_100_2_1.txt.out,0.0439385,54
mglcs_2_100_2_2.txt.out,0.143736,70
mglcs_2_100_2_3.txt.out,0.233399,78
mglcs_2_100_2_4.txt.out,0.132055,70
mglcs_2_100_2_5.txt.out,0.126773,76
mglcs_2_100_2_6.txt.out,0.194229,76
mglcs_2_100_2_7.txt.out,0.115988,72
mglcs_2_100_2_8.txt.out,0.211467,75
mglcs_2_100_2_9.txt.out,0.164071,76
mglcs_2_100_4_0.txt.out,0.117549,62
mglcs_2_100_4_1.txt.out,0.119674,61
mglcs_2_100_4_2.txt.out,0.122567,62
mglcs_2_100_4_3.txt.out,0.209422,60
mglcs_2_100_4_4.txt.out,0.241094,63
mglcs_2_100_4_5.txt.out,0.109689,62
mglcs_2_100_4_6.txt.out,0.219943,60
mglcs_2_100_4_7.txt.out,0.199395,63
mglcs_2_100_4_8.txt.out,0.108933,62
mglcs_2_100_4_9.txt.out,0.25,62
mglcs_2_200_2_0.txt.out,1.06746,95
mglcs_2_200_2_1.txt.out,1.2431,127
mglcs_2_200_2_2.txt.out,1.20044,138
mglcs_2_200_2_3.txt.out,1.43599,144
mglcs_2_200_2_4.txt.out,1.19362,159
mglcs_2_200_2_5.txt.out,1.55431,154
mglcs_2_200_2_6.txt.out,0.826456,139
mglcs_2_200_2_7.txt.out,1.45163,152
mglcs_2_200_2_8.txt.out,1.08273,138
mglcs_2_200_2_9.txt.out,0.740188,145
mglcs_2_200_4_0.txt.out,0.755942,113
mglcs_2_200_4_1.txt.out,1.05494,124
mglcs_2_200_4_2.txt.out,1.78867,118
mglcs_2_200_4_3.txt.out,1.55105,122
mglcs_2_200_4_4.txt.out,0.332998,114
mglcs_2_200_4_5.txt.out,1.13055,110
mglcs_2_200_4_6.txt.out,1.1583,126
mglcs_2_200_4_7.txt.out,0.695272,126
mglcs_2_200_4_8.txt.out,1.21881,125
mglcs_2_200_4_9.txt.out,1.06146,126
mglcs_2_500_2_0.txt.out,15.2308,283
mglcs_2_500_2_1.txt.out,12.2457,232
mglcs_2_500_2_2.txt.out,12.758,203
mglcs_2_500_2_3.txt.out,12.4082,331
mglcs_2_500_2_4.txt.out,20.8203,302
mglcs_2_500_2_5.txt.out,24.3514,318
mglcs_2_500_2_6.txt.out,18.0781,264
mglcs_2_500_2_7.txt.out,15.4314,317
mglcs_2_500_2_8.txt.out,18.6663,321
mglcs_2_500_2_9.txt.out,10.1874,247
mglcs_2_500_4_0.txt.out,2.74791,309
mglcs_2_500_4_1.txt.out,10.5655,286
mglcs_2_500_4_2.txt.out,10.1905,298
mglcs_2_500_4_3.txt.out,3.26502,149
mglcs_2_500_4_4.txt.out,12.7914,293
mglcs_2_500_4_5.txt.out,9.06389,298
mglcs_2_500_4_6.txt.out,13.6451,298
mglcs_2_500_4_7.txt.out,15.3924,282
mglcs_2_500_4_8.txt.out,14.7992,299
mglcs_2_500_4_9.txt.out,14.8037,278
mglcs_2_50_2_0.txt.out,0.00418434,36
mglcs_2_50_2_1.txt.out,0.0389838,37
mglcs_2_50_2_2.txt.out,0.00464388,39
mglcs_2_50_2_3.txt.out,0.0106466,38
mglcs_2_50_2_4.txt.out,0.00298555,37
mglcs_2_50_2_5.txt.out,0.0213155,36
mglcs_2_50_2_6.txt.out,0.00451543,39
mglcs_2_50_2_7.txt.out,0.00510979,39
mglcs_2_50_2_8.txt.out,0.00287661,38
mglcs_2_50_2_9.txt.out,0.0123486,38
mglcs_2_50_4_0.txt.out,0.0249736,29
mglcs_2_50_4_1.txt.out,0.046295,31
mglcs_2_50_4_2.txt.out,0.0315482,31
mglcs_2_50_4_3.txt.out,0.0369376,30
mglcs_2_50_4_4.txt.out,0.0276244,32
mglcs_2_50_4_5.txt.out,0.0313865,29
mglcs_2_50_4_6.txt.out,0.0284608,30
mglcs_2_50_4_7.txt.out,0.0127963,30
mglcs_2_50_4_8.txt.out,0.0237284,30
mglcs_2_50_4_9.txt.out,0.00481779,28
mglcs_3_100_2_0.txt.out,0.697092,64
mglcs_3_100_2_1.txt.out,0.862863,64
mglcs_3_100_2_2.txt.out,0.280329,61
mglcs_3_100_2_3.txt.out,0.210929,59
mglcs_3_100_2_4.txt.out,0.116043,65
mglcs_3_100_2_5.txt.out,0.493424,56
mglcs_3_100_2_6.txt.out,0.407559,64
mglcs_3_100_2_7.txt.out,0.412162,46
mglcs_3_100_2_8.txt.out,0.133955,41
mglcs_3_100_2_9.txt.out,0.866291,65
mglcs_3_100_4_0.txt.out,0.521009,45
mglcs_3_100_4_1.txt.out,1.23425,49
mglcs_3_100_4_2.txt.out,1.02587,48
mglcs_3_100_4_3.txt.out,0.374698,47
mglcs_3_100_4_4.txt.out,0.527807,52
mglcs_3_100_4_5.txt.out,0.880232,51
mglcs_3_100_4_6.txt.out,1.26344,51
mglcs_3_100_4_7.txt.out,1.26433,45
mglcs_3_100_4_8.txt.out,1.21591,44
mglcs_3_100_4_9.txt.out,0.726005,50
mglcs_3_200_2_0.txt.out,12.2057,125
mglcs_3_200_2_1.txt.out,7.0033,110
mglcs_3_200_2_2.txt.out,4.44453,134
mglcs_3_200_2_3.txt.out,2.55535,85
mglcs_3_200_2_4.txt.out,8.2822,110
mglcs_3_200_2_5.txt.out,2.02029,106
mglcs_3_200_2_6.txt.out,0.366194,59
mglcs_3_200_2_7.txt.out,0.404334,41
mglcs_3_200_2_8.txt.out,1.20727,102
mglcs_3_200_2_9.txt.out,0.267791,41
mglcs_3_200_4_0.txt.out,15.0172,98
mglcs_3_200_4_1.txt.out,12.4491,100
mglcs_3_200_4_2.txt.out,15.9998,101
mglcs_3_200_4_3.txt.out,12.1822,99
mglcs_3_200_4_4.txt.out,8.33466,99
mglcs_3_200_4_5.txt.out,12.7409,94
mglcs_3_200_4_6.txt.out,2.66289,85
mglcs_3_200_4_7.txt.out,16.0964,101
mglcs_3_200_4_8.txt.out,10.723,100
mglcs_3_200_4_9.txt.out,11.9945,95
mglcs_3_500_2_0.txt.out,0.659627,34
mglcs_3_500_2_1.txt.out,6.21493,150
mglcs_3_500_2_2.txt.out,4.67843,91
mglcs_3_500_2_3.txt.out,7.51256,120
mglcs_3_500_2_4.txt.out,6.56642,136
mglcs_3_500_2_5.txt.out,2.61084,94
mglcs_3_500_2_6.txt.out,14.2512,105
mglcs_3_500_2_7.txt.out,3.38787,99
mglcs_3_500_2_8.txt.out,1.28717,50
mglcs_3_500_2_9.txt.out,1.63261,69
mglcs_3_500_4_0.txt.out,67.8016,187
mglcs_3_500_4_1.txt.out,53.096,239
mglcs_3_500_4_2.txt.out,49.6383,181
mglcs_3_500_4_3.txt.out,48.8941,221
mglcs_3_500_4_4.txt.out,41.0327,165
mglcs_3_500_4_5.txt.out,28.3808,100
mglcs_3_500_4_6.txt.out,6.32606,113
mglcs_3_500_4_7.txt.out,50.2859,236
mglcs_3_500_4_8.txt.out,47.9019,219
mglcs_3_500_4_9.txt.out,62.7353,187
mglcs_3_50_2_0.txt.out,0.0505068,32
mglcs_3_50_2_1.txt.out,0.0184972,32
mglcs_3_50_2_2.txt.out,0.0401604,36
mglcs_3_50_2_3.txt.out,0.0114097,25
mglcs_3_50_2_4.txt.out,0.0263018,33
mglcs_3_50_2_5.txt.out,0.00545357,31
mglcs_3_50_2_6.txt.out,0.0122464,33
mglcs_3_50_2_7.txt.out,0.0248057,32
mglcs_3_50_2_8.txt.out,0.015965,30
mglcs_3_50_2_9.txt.out,0.0101851,28
mglcs_3_50_4_0.txt.out,0.0350209,23
mglcs_3_50_4_1.txt.out,0.0643194,24
mglcs_3_50_4_2.txt.out,0.00659434,21
mglcs_3_50_4_3.txt.out,0.0104274,23
mglcs_3_50_4_4.txt.out,0.0212257,22
mglcs_3_50_4_5.txt.out,0.0125642,23
mglcs_3_50_4_6.txt.out,0.0943992,25
mglcs_3_50_4_7.txt.out,0.0153491,21
mglcs_3_50_4_8.txt.out,0.0246649,24
mglcs_3_50_4_9.txt.out,0.0222019,23
mglcs_5_100_2_0.txt.out,0.020407,20
mglcs_5_100_2_1.txt.out,0.0586168,40
mglcs_5_100_2_2.txt.out,0.0332426,21
mglcs_5_100_2_3.txt.out,0.0130527,15
mglcs_5_100_2_4.txt.out,0.0253284,23
mglcs_5_100_2_5.txt.out,0.0605818,30
mglcs_5_100_2_6.txt.out,0.0630194,20
mglcs_5_100_2_7.txt.out,0.0176666,18
mglcs_5_100_2_8.txt.out,0.0130065,15
mglcs_5_100_2_9.txt.out,0.0267133,21
mglcs_5_100_4_0.txt.out,0.0265266,20
mglcs_5_100_4_1.txt.out,0.0293995,13
mglcs_5_100_4_2.txt.out,0.0266867,14
mglcs_5_100_4_3.txt.out,0.0374734,27
mglcs_5_100_4_4.txt.out,0.132282,21
mglcs_5_100_4_5.txt.out,0.0585359,26
mglcs_5_100_4_6.txt.out,0.0720834,24
mglcs_5_100_4_7.txt.out,0.0903724,25
