file,time,quality
mglcs_10_100_2_0.txt.out,0.0134648,7
mglcs_10_100_2_1.txt.out,0.0120471,8
mglcs_10_100_2_2.txt.out,0.0109721,8
mglcs_10_100_2_3.txt.out,0.013892,9
mglcs_10_100_2_4.txt.out,0.0184411,12
mglcs_10_100_2_5.txt.out,0.0198522,10
mglcs_10_100_2_6.txt.out,0.0117219,8
mglcs_10_100_2_7.txt.out,0.00958193,8
mglcs_10_100_2_8.txt.out,0.0109596,9
mglcs_10_100_2_9.txt.out,0.0114327,7
mglcs_10_100_4_0.txt.out,0.0154325,4
mglcs_10_100_4_1.txt.out,0.0147675,6
mglcs_10_100_4_2.txt.out,0.0163521,6
mglcs_10_100_4_3.txt.out,0.0168105,6
mglcs_10_100_4_4.txt.out,0.0256615,8
mglcs_10_100_4_5.txt.out,0.021694,7
mglcs_10_100_4_6.txt.out,0.0226256,7
mglcs_10_100_4_7.txt.out,0.0189058,5
mglcs_10_100_4_8.txt.out,0.0193142,5
mglcs_10_100_4_9.txt.out,0.0209578,8
mglcs_10_200_2_0.txt.out,0.0239201,6
mglcs_10_200_2_1.txt.out,0.0130585,8
mglcs_10_200_2_2.txt.out,0.0189107,10
mglcs_10_200_2_3.txt.out,0.0194239,10
mglcs_10_200_2_4.txt.out,0.0125195,13
mglcs_10_200_2_5.txt.out,0.0258243,12
mglcs_10_200_2_6.txt.out,0.0225033,11
mglcs_10_200_2_7.txt.out,0.0202906,10
mglcs_10_200_2_8.txt.out,0.0334301,14
mglcs_10_200_2_9.txt.out,0.0150259,9
mglcs_10_200_4_0.txt.out,0.0265232,5
mglcs_10_200_4_1.txt.out,0.0226825,6
mglcs_10_200_4_2.txt.out,0.0253996,5
mglcs_10_200_4_3.txt.out,0.0257833,10
mglcs_10_200_4_4.txt.out,0.0257876,6
mglcs_10_200_4_5.txt.out,0.02525,6
mglcs_10_200_4_6.txt.out,0.0216151,7
mglcs_10_200_4_7.txt.out,0.0161827,4
mglcs_10_200_4_8.txt.out,0.0207448,5
mglcs_10_200_4_9.txt.out,0.0236803,7
mglcs_10_500_2_0.txt.out,0.0363262,10
