key,time_1,quality_1,time_2,quality_2
10_100_2,0.010758084000000001,8.6,0.0140243,8.7
10_100_4,0.0156463,6.2,0.01768745,6.2
10_200_2,0.017391403,10.3,0.01995522,10.3
10_200_4,0.0167666,6.2,0.020334340000000003,6.1
10_500_2,0.009165559,9.5,0.03901752,9.5
10_500_4,0.018687679999999998,6.1,0.027625709999999998,6.1
10_50_2,0.013251269999999999,9.1,0.011235226000000001,9.1
10_50_4,0.014967939999999999,6.0,0.01603926,6.0
2_100_2,0.07469897,72.8,0.18935666999999998,72.7
2_100_4,0.07684304,61.7,0.17343029999999998,61.7
2_200_2,0.3296656,136.9,1.1729282,139.7
2_200_4,0.3947917,125.1,1.0650625,120.4
2_500_2,3.1561369999999997,272.1,14.869239,281.2
2_500_4,3.0259992,299.3,9.651473,293.2
2_50_2,0.006316068,37.7,0.009289849999999999,37.7
2_50_4,0.014924306,30.1,0.029296486,30.1
3_100_2,0.22933795,58.5,0.5186341999999999,58.5
3_100_4,0.4570413,48.5,0.9170423,48.2
3_200_2,0.99261691,89.7,3.9664615,91.6
3_200_4,4.984694,97.6,13.008157,97.3
3_500_2,0.64728422,105.4,4.6731703,95.8
3_500_4,9.839767,195.5,48.951216,187.6
3_50_2,0.012234476000000001,31.2,0.021963363,31.2
3_50_4,0.018474556,22.9,0.027515505,22.9
5_100_2,0.030587749999999997,22.3,0.04111353,22.3
5_100_4,0.04041482999999999,22.1,0.0704254,22.1
5_200_2,0.02236581,26.4,0.07269315999999999,26.4
5_200_4,0.04856475,25.7,0.11186583,29.6
5_500_2,0.03348133,27.9,0.20189089,27.9
5_500_4,0.043251670000000006,27.1,0.16551102,27.1
5_50_2,0.014915293000000001,20.0,0.03131152,20.1
5_50_4,0.0236139,15.3,0.03209054,15.3
