file,time,quality
mglcs_10_100_2_0.txt.out,0.0750351,13
mglcs_10_100_2_1.txt.out,0.0561769,9
mglcs_10_100_2_2.txt.out,0.0915657,9
mglcs_10_100_2_3.txt.out,0.110813,13
mglcs_10_100_2_4.txt.out,0.0978037,10
mglcs_10_100_2_5.txt.out,0.10233,11
mglcs_10_100_2_6.txt.out,0.0916057,10
mglcs_10_100_2_7.txt.out,0.102376,12
mglcs_10_100_2_8.txt.out,0.0906648,10
mglcs_10_100_2_9.txt.out,0.0889124,10
mglcs_10_100_4_0.txt.out,0.124964,9
mglcs_10_100_4_1.txt.out,0.11154,7
mglcs_10_100_4_2.txt.out,0.118988,10
mglcs_10_100_4_3.txt.out,0.141838,10
mglcs_10_100_4_4.txt.out,0.123231,8
mglcs_10_100_4_5.txt.out,0.167471,8
mglcs_10_100_4_6.txt.out,0.161392,8
mglcs_10_100_4_7.txt.out,0.16094,9
mglcs_10_100_4_8.txt.out,0.161024,9
mglcs_10_100_4_9.txt.out,0.148255,10
mglcs_10_200_2_0.txt.out,0.0932255,8
mglcs_10_200_2_1.txt.out,0.06628,12
mglcs_10_200_2_2.txt.out,0.0748521,10
mglcs_10_200_2_3.txt.out,0.0810152,10
mglcs_10_200_2_4.txt.out,0.075691,13
mglcs_10_200_2_5.txt.out,0.080514,14
mglcs_10_200_2_6.txt.out,0.0863071,11
mglcs_10_200_2_7.txt.out,0.101341,13
mglcs_10_200_2_8.txt.out,0.116281,19
mglcs_10_200_2_9.txt.out,0.0731971,10
mglcs_10_200_4_0.txt.out,0.129871,9
mglcs_10_200_4_1.txt.out,0.120006,7
mglcs_10_200_4_2.txt.out,0.120408,6
mglcs_10_200_4_3.txt.out,0.137137,10
mglcs_10_200_4_4.txt.out,0.139227,10
mglcs_10_200_4_5.txt.out,0.124316,8
mglcs_10_200_4_6.txt.out,0.126177,10
mglcs_10_200_4_7.txt.out,0.121747,6
mglcs_10_200_4_8.txt.out,0.127159,7
mglcs_10_200_4_9.txt.out,0.125928,8
mglcs_10_500_2_0.txt.out,0.173803,12
mglcs_10_500_2_1.txt.out,0.128116,14
mglcs_10_500_2_2.txt.out,0.117827,13
mglcs_10_500_2_3.txt.out,0.131943,14
mglcs_10_500_2_4.txt.out,0.161685,14
mglcs_10_500_2_5.txt.out,0.177029,12
mglcs_10_500_2_6.txt.out,0.160485,15
mglcs_10_500_2_7.txt.out,0.118049,10
mglcs_10_500_2_8.txt.out,0.096783,10
mglcs_10_500_2_9.txt.out,0.131023,9
mglcs_10_500_4_0.txt.out,0.115619,7
mglcs_10_500_4_1.txt.out,0.118311,6
mglcs_10_500_4_2.txt.out,0.15535,8
mglcs_10_500_4_3.txt.out,0.191579,9
mglcs_10_500_4_4.txt.out,0.145072,8
mglcs_10_500_4_5.txt.out,0.132896,7
mglcs_10_500_4_6.txt.out,0.148223,11
mglcs_10_500_4_7.txt.out,0.141152,7
mglcs_10_500_4_8.txt.out,0.136971,11
mglcs_10_500_4_9.txt.out,0.140426,9
mglcs_10_50_2_0.txt.out,0.0592391,12
mglcs_10_50_2_1.txt.out,0.044973,9
mglcs_10_50_2_2.txt.out,0.0485138,8
mglcs_10_50_2_3.txt.out,0.0598887,12
mglcs_10_50_2_4.txt.out,0.0425413,7
mglcs_10_50_2_5.txt.out,0.0536795,14
mglcs_10_50_2_6.txt.out,0.0493204,10
mglcs_10_50_2_7.txt.out,0.0477143,12
mglcs_10_50_2_8.txt.out,0.0491588,9
mglcs_10_50_2_9.txt.out,0.0579124,14
mglcs_10_50_4_0.txt.out,0.0651529,8
mglcs_10_50_4_1.txt.out,0.0787812,6
mglcs_10_50_4_2.txt.out,0.0858115,7
mglcs_10_50_4_3.txt.out,0.0952977,9
mglcs_10_50_4_4.txt.out,0.0613124,8
mglcs_10_50_4_5.txt.out,0.0690618,5
mglcs_10_50_4_6.txt.out,0.067052,5
mglcs_10_50_4_7.txt.out,0.0784309,6
mglcs_10_50_4_8.txt.out,0.0706615,6
mglcs_10_50_4_9.txt.out,0.057462,6
mglcs_2_100_2_0.txt.out,0.140976,80
mglcs_2_100_2_1.txt.out,0.0477752,54
mglcs_2_100_2_2.txt.out,0.172638,70
mglcs_2_100_2_3.txt.out,0.243649,71
mglcs_2_100_2_4.txt.out,0.108477,66
mglcs_2_100_2_5.txt.out,0.121541,76
mglcs_2_100_2_6.txt.out,0.177891,73
mglcs_2_100_2_7.txt.out,0.124498,72
mglcs_2_100_2_8.txt.out,0.211998,70
mglcs_2_100_2_9.txt.out,0.189688,76
mglcs_2_100_4_0.txt.out,0.0530539,53
mglcs_2_100_4_1.txt.out,0.0767843,55
mglcs_2_100_4_2.txt.out,0.0583023,62
mglcs_2_100_4_3.txt.out,0.19493,60
mglcs_2_100_4_4.txt.out,0.101319,41
mglcs_2_100_4_5.txt.out,0.0793131,58
mglcs_2_100_4_6.txt.out,0.212283,58
mglcs_2_100_4_7.txt.out,0.104515,57
mglcs_2_100_4_8.txt.out,0.0886963,62
mglcs_2_100_4_9.txt.out,0.222715,53
mglcs_2_200_2_0.txt.out,0.834407,95
mglcs_2_200_2_1.txt.out,1.06972,101
mglcs_2_200_2_2.txt.out,1.761,136
mglcs_2_200_2_3.txt.out,1.42124,140
mglcs_2_200_2_4.txt.out,1.1846,157
mglcs_2_200_2_5.txt.out,1.29752,132
mglcs_2_200_2_6.txt.out,0.962566,131
mglcs_2_200_2_7.txt.out,1.47727,129
mglcs_2_200_2_8.txt.out,1.28135,125
mglcs_2_200_2_9.txt.out,1.24465,143
mglcs_2_200_4_0.txt.out,0.557543,94
mglcs_2_200_4_1.txt.out,0.728762,104
mglcs_2_200_4_2.txt.out,1.35054,117
mglcs_2_200_4_3.txt.out,0.980266,93
mglcs_2_200_4_4.txt.out,0.192704,77
mglcs_2_200_4_5.txt.out,0.894404,99
mglcs_2_200_4_6.txt.out,0.763358,91
mglcs_2_200_4_7.txt.out,0.233384,94
mglcs_2_200_4_8.txt.out,1.16784,106
mglcs_2_200_4_9.txt.out,0.840468,109
mglcs_2_500_2_0.txt.out,18.5007,223
mglcs_2_500_2_1.txt.out,17.5208,169
mglcs_2_500_2_2.txt.out,16.7308,186
