file,time,quality
mglcs_10_100_2_0.txt_lambda_0.05.out,3.31608,15
mglcs_10_100_2_1.txt_lambda_0.05.out,3.27107,15
mglcs_10_100_2_2.txt_lambda_0.05.out,3.18894,14
mglcs_10_100_2_3.txt_lambda_0.05.out,3.77965,16
mglcs_10_100_2_4.txt_lambda_0.05.out,4.06137,12
mglcs_10_100_2_5.txt_lambda_0.05.out,3.4884,16
mglcs_10_100_2_6.txt_lambda_0.05.out,4.86733,16
mglcs_10_100_2_7.txt_lambda_0.05.out,5.40015,15
mglcs_10_100_2_8.txt_lambda_0.05.out,4.57185,13
mglcs_10_100_2_9.txt_lambda_0.05.out,3.85086,10
mglcs_10_100_4_0.txt_lambda_0.05.out,15.7928,9
mglcs_10_100_4_1.txt_lambda_0.05.out,16.1837,9
mglcs_10_100_4_2.txt_lambda_0.05.out,14.4615,9
mglcs_10_100_4_3.txt_lambda_0.05.out,19.95,12
mglcs_10_100_4_4.txt_lambda_0.05.out,22.4717,8
mglcs_10_100_4_5.txt_lambda_0.05.out,22.4836,12
mglcs_10_100_4_6.txt_lambda_0.05.out,22.266,9
mglcs_10_100_4_7.txt_lambda_0.05.out,22.5394,9
mglcs_10_100_4_8.txt_lambda_0.05.out,17.1366,9
mglcs_10_100_4_9.txt_lambda_0.05.out,18.2702,12
mglcs_10_200_2_0.txt_lambda_0.05.out,4.39262,12
mglcs_10_200_2_1.txt_lambda_0.05.out,4.13335,13
mglcs_10_200_2_2.txt_lambda_0.05.out,4.13615,12
mglcs_10_200_2_3.txt_lambda_0.05.out,3.86558,12
mglcs_10_200_2_4.txt_lambda_0.05.out,4.41205,16
mglcs_10_200_2_5.txt_lambda_0.05.out,4.87542,16
mglcs_10_200_2_6.txt_lambda_0.05.out,5.58759,19
mglcs_10_200_2_7.txt_lambda_0.05.out,5.04515,15
mglcs_10_200_2_8.txt_lambda_0.05.out,5.13175,20
mglcs_10_200_2_9.txt_lambda_0.05.out,4.3695,10
mglcs_10_200_4_0.txt_lambda_0.05.out,22.3505,10
mglcs_10_200_4_1.txt_lambda_0.05.out,22.0906,10
mglcs_10_200_4_2.txt_lambda_0.05.out,22.0956,8
mglcs_10_200_4_3.txt_lambda_0.05.out,23.8734,10
mglcs_10_200_4_4.txt_lambda_0.05.out,23.9984,10
mglcs_10_200_4_5.txt_lambda_0.05.out,23.8219,10
mglcs_10_200_4_6.txt_lambda_0.05.out,23.2606,10
mglcs_10_200_4_7.txt_lambda_0.05.out,22.2269,9
mglcs_10_200_4_8.txt_lambda_0.05.out,22.0842,9
mglcs_10_200_4_9.txt_lambda_0.05.out,22.2375,8
mglcs_10_500_2_0.txt_lambda_0.05.out,4.74439,16
mglcs_10_500_2_1.txt_lambda_0.05.out,4.38398,14
mglcs_10_500_2_2.txt_lambda_0.05.out,4.51288,13
mglcs_10_500_2_3.txt_lambda_0.05.out,5.29616,16
mglcs_10_500_2_4.txt_lambda_0.05.out,5.18859,17
mglcs_10_500_2_5.txt_lambda_0.05.out,5.04687,14
mglcs_10_500_2_6.txt_lambda_0.05.out,5.16846,16
mglcs_10_500_2_7.txt_lambda_0.05.out,5.01647,13
mglcs_10_500_2_8.txt_lambda_0.05.out,4.95603,18
mglcs_10_500_2_9.txt_lambda_0.05.out,4.8052,15
mglcs_10_500_4_0.txt_lambda_0.05.out,20.2529,8
mglcs_10_500_4_1.txt_lambda_0.05.out,19.7905,8
mglcs_10_500_4_2.txt_lambda_0.05.out,20.6623,10
mglcs_10_500_4_3.txt_lambda_0.05.out,18.6463,10
mglcs_10_500_4_4.txt_lambda_0.05.out,17.9895,12
mglcs_10_500_4_5.txt_lambda_0.05.out,18.0035,9
mglcs_10_500_4_6.txt_lambda_0.05.out,18.5295,11
mglcs_10_500_4_7.txt_lambda_0.05.out,18.5547,9
mglcs_10_500_4_8.txt_lambda_0.05.out,18.2187,11
mglcs_10_500_4_9.txt_lambda_0.05.out,17.8393,11
mglcs_10_50_2_0.txt_lambda_0.05.out,0.717726,14
mglcs_10_50_2_1.txt_lambda_0.05.out,0.371569,9
mglcs_10_50_2_2.txt_lambda_0.05.out,1.0993,9
mglcs_10_50_2_3.txt_lambda_0.05.out,0.721119,14
mglcs_10_50_2_4.txt_lambda_0.05.out,0.460702,8
mglcs_10_50_2_5.txt_lambda_0.05.out,0.203489,14
mglcs_10_50_2_6.txt_lambda_0.05.out,0.644486,12
mglcs_10_50_2_7.txt_lambda_0.05.out,0.581529,12
mglcs_10_50_2_8.txt_lambda_0.05.out,0.76263,11
mglcs_10_50_2_9.txt_lambda_0.05.out,0.214461,14
mglcs_10_50_4_0.txt_lambda_0.05.out,0.381983,8
mglcs_10_50_4_1.txt_lambda_0.05.out,2.11777,6
mglcs_10_50_4_2.txt_lambda_0.05.out,2.06852,8
mglcs_10_50_4_3.txt_lambda_0.05.out,2.03255,10
mglcs_10_50_4_4.txt_lambda_0.05.out,0.395301,8
mglcs_10_50_4_5.txt_lambda_0.05.out,1.49625,7
mglcs_10_50_4_6.txt_lambda_0.05.out,0.683887,7
mglcs_10_50_4_7.txt_lambda_0.05.out,1.64229,7
mglcs_10_50_4_8.txt_lambda_0.05.out,0.887721,7
mglcs_10_50_4_9.txt_lambda_0.05.out,0.345722,7
mglcs_2_100_2_0.txt_lambda_0.05.out,0.754609,71
mglcs_2_100_2_1.txt_lambda_0.05.out,0.040276,55
mglcs_2_100_2_2.txt_lambda_0.05.out,0.44237,70
mglcs_2_100_2_3.txt_lambda_0.05.out,1.40967,78
mglcs_2_100_2_4.txt_lambda_0.05.out,0.648232,70
mglcs_2_100_2_5.txt_lambda_0.05.out,0.295586,74
mglcs_2_100_2_6.txt_lambda_0.05.out,0.956094,76
mglcs_2_100_2_7.txt_lambda_0.05.out,0.293563,67
mglcs_2_100_2_8.txt_lambda_0.05.out,0.611421,75
mglcs_2_100_2_9.txt_lambda_0.05.out,0.534181,75
mglcs_2_100_4_0.txt_lambda_0.05.out,0.616681,62
mglcs_2_100_4_1.txt_lambda_0.05.out,0.572522,61
mglcs_2_100_4_2.txt_lambda_0.05.out,0.619821,66
mglcs_2_100_4_3.txt_lambda_0.05.out,1.1558,61
mglcs_2_100_4_4.txt_lambda_0.05.out,1.05017,63
mglcs_2_100_4_5.txt_lambda_0.05.out,0.534198,61
mglcs_2_100_4_6.txt_lambda_0.05.out,1.16943,60
mglcs_2_100_4_7.txt_lambda_0.05.out,1.09512,63
mglcs_2_100_4_8.txt_lambda_0.05.out,0.454635,62
mglcs_2_100_4_9.txt_lambda_0.05.out,1.64327,62
mglcs_2_200_2_0.txt_lambda_0.05.out,4.03962,93
mglcs_2_200_2_1.txt_lambda_0.05.out,5.79441,117
mglcs_2_200_2_2.txt_lambda_0.05.out,6.7637,134
mglcs_2_200_2_3.txt_lambda_0.05.out,8.89343,147
mglcs_2_200_2_4.txt_lambda_0.05.out,8.17217,160
mglcs_2_200_2_5.txt_lambda_0.05.out,6.99781,143
mglcs_2_200_2_6.txt_lambda_0.05.out,5.73708,143
mglcs_2_200_2_7.txt_lambda_0.05.out,10.3997,155
mglcs_2_200_2_8.txt_lambda_0.05.out,8.34205,138
mglcs_2_200_2_9.txt_lambda_0.05.out,3.98586,127
mglcs_2_200_4_0.txt_lambda_0.05.out,4.21185,119
mglcs_2_200_4_1.txt_lambda_0.05.out,6.87098,123
mglcs_2_200_4_2.txt_lambda_0.05.out,8.64668,124
mglcs_2_200_4_3.txt_lambda_0.05.out,7.99447,124
mglcs_2_200_4_4.txt_lambda_0.05.out,1.71614,129
mglcs_2_200_4_5.txt_lambda_0.05.out,7.26418,122
mglcs_2_200_4_6.txt_lambda_0.05.out,8.1437,128
mglcs_2_200_4_7.txt_lambda_0.05.out,3.00445,125
mglcs_2_200_4_8.txt_lambda_0.05.out,6.86716,129
mglcs_2_200_4_9.txt_lambda_0.05.out,7.90936,121
mglcs_2_500_2_0.txt_lambda_0.05.out,73.1006,214
mglcs_2_500_2_1.txt_lambda_0.05.out,95.3342,230
