file,time,quality
mglcs_10_100_2_0.txt.out,3.52894,15
mglcs_10_100_2_1.txt.out,3.46048,13
mglcs_10_100_2_2.txt.out,3.31027,14
mglcs_10_100_2_3.txt.out,3.7032,16
mglcs_10_100_2_4.txt.out,3.43094,16
mglcs_10_100_2_5.txt.out,3.88195,14
mglcs_10_100_2_6.txt.out,4.04673,16
mglcs_10_100_2_7.txt.out,4.7627,15
mglcs_10_100_2_8.txt.out,4.06748,11
mglcs_10_100_2_9.txt.out,4.07118,14
mglcs_10_100_4_0.txt.out,13.285,9
mglcs_10_100_4_1.txt.out,17.7559,8
mglcs_10_100_4_2.txt.out,18.8533,9
mglcs_10_100_4_3.txt.out,19.7698,11
mglcs_10_100_4_4.txt.out,20.6853,9
mglcs_10_100_4_5.txt.out,20.6032,9
mglcs_10_100_4_6.txt.out,20.7443,10
mglcs_10_100_4_7.txt.out,20.674,9
mglcs_10_100_4_8.txt.out,19.2216,9
mglcs_10_100_4_9.txt.out,19.652,10
mglcs_10_200_2_0.txt.out,2.72069,11
mglcs_10_200_2_1.txt.out,2.58392,16
mglcs_10_200_2_2.txt.out,3.07292,12
mglcs_10_200_2_3.txt.out,2.8313,12
mglcs_10_200_2_4.txt.out,2.99049,15
mglcs_10_200_2_5.txt.out,3.09651,16
mglcs_10_200_2_6.txt.out,3.14016,18
mglcs_10_200_2_7.txt.out,3.15777,14
mglcs_10_200_2_8.txt.out,3.21084,17
mglcs_10_200_2_9.txt.out,3.0343,11
mglcs_10_200_4_0.txt.out,19.0633,9
mglcs_10_200_4_1.txt.out,19.2404,9
mglcs_10_200_4_2.txt.out,19.2394,9
mglcs_10_200_4_3.txt.out,21.3014,10
mglcs_10_200_4_4.txt.out,21.6781,10
mglcs_10_200_4_5.txt.out,21.4593,9
mglcs_10_200_4_6.txt.out,21.0297,9
mglcs_10_200_4_7.txt.out,19.3351,9
mglcs_10_200_4_8.txt.out,19.6812,8
mglcs_10_200_4_9.txt.out,19.2291,8
mglcs_10_500_2_0.txt.out,3.15612,15
mglcs_10_500_2_1.txt.out,2.82503,14
mglcs_10_500_2_2.txt.out,2.96025,12
mglcs_10_500_2_3.txt.out,3.6779,14
mglcs_10_500_2_4.txt.out,3.69551,16
mglcs_10_500_2_5.txt.out,3.89991,14
mglcs_10_500_2_6.txt.out,3.81021,18
mglcs_10_500_2_7.txt.out,3.75997,13
mglcs_10_500_2_8.txt.out,3.81329,17
mglcs_10_500_2_9.txt.out,3.52587,14
mglcs_10_500_4_0.txt.out,19.3028,8
mglcs_10_500_4_1.txt.out,18.719,7
mglcs_10_500_4_2.txt.out,19.7193,12
mglcs_10_500_4_3.txt.out,21.2008,10
mglcs_10_500_4_4.txt.out,20.5264,9
mglcs_10_500_4_5.txt.out,20.7693,8
mglcs_10_500_4_6.txt.out,20.1971,11
mglcs_10_500_4_7.txt.out,18.6347,10
mglcs_10_500_4_8.txt.out,18.9587,11
mglcs_10_500_4_9.txt.out,18.4836,11
mglcs_10_50_2_0.txt.out,0.452456,14
mglcs_10_50_2_1.txt.out,0.33694,9
mglcs_10_50_2_2.txt.out,1.03377,9
mglcs_10_50_2_3.txt.out,0.682439,14
mglcs_10_50_2_4.txt.out,0.478647,8
mglcs_10_50_2_5.txt.out,0.210993,14
mglcs_10_50_2_6.txt.out,0.994574,12
mglcs_10_50_2_7.txt.out,0.903744,12
mglcs_10_50_2_8.txt.out,1.09535,11
mglcs_10_50_2_9.txt.out,0.348665,14
mglcs_10_50_4_0.txt.out,0.558983,8
mglcs_10_50_4_1.txt.out,2.53313,7
mglcs_10_50_4_2.txt.out,2.39579,8
mglcs_10_50_4_3.txt.out,2.32474,10
mglcs_10_50_4_4.txt.out,0.381341,8
mglcs_10_50_4_5.txt.out,1.3584,7
mglcs_10_50_4_6.txt.out,0.655461,7
mglcs_10_50_4_7.txt.out,1.51918,7
mglcs_10_50_4_8.txt.out,0.95467,7
mglcs_10_50_4_9.txt.out,0.361808,7
mglcs_2_100_2_0.txt.out,0.813546,80
mglcs_2_100_2_1.txt.out,0.0430531,54
mglcs_2_100_2_2.txt.out,0.454084,70
mglcs_2_100_2_3.txt.out,1.55385,78
mglcs_2_100_2_4.txt.out,0.841408,70
mglcs_2_100_2_5.txt.out,0.327493,76
mglcs_2_100_2_6.txt.out,0.981808,77
mglcs_2_100_2_7.txt.out,0.31289,72
mglcs_2_100_2_8.txt.out,0.636436,75
mglcs_2_100_2_9.txt.out,0.591428,76
