file,time,quality
4_100_600.rat_lambda_1.00.out,42.5972,1
4_100_600.virus_lambda_1.00.out,42.4015,3
4_10_600.rat_lambda_1.00.out,49.1079,28
4_10_600.virus_lambda_1.00.out,136.411,79
4_150_600.rat_lambda_1.00.out,43.6981,1
4_150_600.virus_lambda_1.00.out,32.4743,4
4_15_600.rat_lambda_1.00.out,28.2635,13
4_15_600.virus_lambda_1.00.out,32.4625,19
4_200_600.rat_lambda_1.00.out,46.3022,1
4_200_600.virus_lambda_1.00.out,46.2476,1
4_20_600.rat_lambda_1.00.out,19.6767,11
4_20_600.virus_lambda_1.00.out,21.4779,10
4_25_600.rat_lambda_1.00.out,21.5391,9
4_25_600.virus_lambda_1.00.out,22.3682,12
4_40_600.rat_lambda_1.00.out,23.5423,5
4_40_600.virus_lambda_1.00.out,24.41,7
4_60_600.rat_lambda_1.00.out,26.9652,3
4_60_600.virus_lambda_1.00.out,26.9585,5
4_80_600.rat_lambda_1.00.out,28.4369,1
4_80_600.virus_lambda_1.00.out,22.0633,4
