file,time,quality
mglcs_10_100_2_0.txt.out,0.0230826,10
mglcs_10_100_2_1.txt.out,0.0202554,9
mglcs_10_100_2_2.txt.out,0.0190759,9
mglcs_10_100_2_3.txt.out,0.0215953,14
mglcs_10_100_2_4.txt.out,0.0138536,12
mglcs_10_100_2_5.txt.out,0.0134911,10
mglcs_10_100_2_6.txt.out,0.00950576,8
mglcs_10_100_2_7.txt.out,0.00907051,9
mglcs_10_100_2_8.txt.out,0.00967474,11
mglcs_10_100_2_9.txt.out,0.0189036,8
mglcs_10_100_4_0.txt.out,0.0152433,7
mglcs_10_100_4_1.txt.out,0.0147646,6
mglcs_10_100_4_2.txt.out,0.0163518,8
mglcs_10_100_4_3.txt.out,0.0191111,8
mglcs_10_100_4_4.txt.out,0.0291596,7
mglcs_10_100_4_5.txt.out,0.0215036,6
mglcs_10_100_4_6.txt.out,0.0141064,7
mglcs_10_100_4_7.txt.out,0.0132733,8
mglcs_10_100_4_8.txt.out,0.0161044,6
mglcs_10_100_4_9.txt.out,0.0172104,8
mglcs_10_200_2_0.txt.out,0.0128849,6
mglcs_10_200_2_1.txt.out,0.0202466,12
mglcs_10_200_2_2.txt.out,0.0196696,10
mglcs_10_200_2_3.txt.out,0.0219251,10
mglcs_10_200_2_4.txt.out,0.0249586,13
mglcs_10_200_2_5.txt.out,0.0241946,11
mglcs_10_200_2_6.txt.out,0.025135,11
mglcs_10_200_2_7.txt.out,0.0236864,9
mglcs_10_200_2_8.txt.out,0.0334094,14
mglcs_10_200_2_9.txt.out,0.0120116,9
mglcs_10_200_4_0.txt.out,0.0153529,6
mglcs_10_200_4_1.txt.out,0.0192302,6
mglcs_10_200_4_2.txt.out,0.0221654,5
mglcs_10_200_4_3.txt.out,0.017492,9
mglcs_10_200_4_4.txt.out,0.0241591,9
mglcs_10_200_4_5.txt.out,0.0142517,6
mglcs_10_200_4_6.txt.out,0.0144989,6
mglcs_10_200_4_7.txt.out,0.0145847,5
mglcs_10_200_4_8.txt.out,0.0163836,6
mglcs_10_200_4_9.txt.out,0.0162167,7
mglcs_10_500_2_0.txt.out,0.0271128,11
mglcs_10_500_2_1.txt.out,0.0360292,11
mglcs_10_500_2_2.txt.out,0.0246183,12
mglcs_10_500_2_3.txt.out,0.0237315,8
mglcs_10_500_2_4.txt.out,0.0365103,14
mglcs_10_500_2_5.txt.out,0.033805,11
mglcs_10_500_2_6.txt.out,0.0297252,12
mglcs_10_500_2_7.txt.out,0.0181766,8
mglcs_10_500_2_8.txt.out,0.018579,10
mglcs_10_500_2_9.txt.out,0.0245967,7
mglcs_10_500_4_0.txt.out,0.0176326,5
mglcs_10_500_4_1.txt.out,0.0187172,6
mglcs_10_500_4_2.txt.out,0.0260283,8
mglcs_10_500_4_3.txt.out,0.0200208,7
mglcs_10_500_4_4.txt.out,0.0185662,8
mglcs_10_500_4_5.txt.out,0.0191491,7
mglcs_10_500_4_6.txt.out,0.0191181,9
mglcs_10_500_4_7.txt.out,0.0210806,6
mglcs_10_500_4_8.txt.out,0.017901,6
mglcs_10_500_4_9.txt.out,0.0194647,6
mglcs_10_50_2_0.txt.out,0.00997337,10
mglcs_10_50_2_1.txt.out,0.00868386,8
mglcs_10_50_2_2.txt.out,0.00822344,8
mglcs_10_50_2_3.txt.out,0.0101968,11
mglcs_10_50_2_4.txt.out,0.0075638,7
mglcs_10_50_2_5.txt.out,0.0115804,14
mglcs_10_50_2_6.txt.out,0.00944779,9
mglcs_10_50_2_7.txt.out,0.00832245,9
mglcs_10_50_2_8.txt.out,0.0082626,8
mglcs_10_50_2_9.txt.out,0.0140365,11
mglcs_10_50_4_0.txt.out,0.0135389,7
mglcs_10_50_4_1.txt.out,0.012559,5
mglcs_10_50_4_2.txt.out,0.0144078,7
mglcs_10_50_4_3.txt.out,0.0168035,7
mglcs_10_50_4_4.txt.out,0.012839,5
mglcs_10_50_4_5.txt.out,0.0172557,5
mglcs_10_50_4_6.txt.out,0.0236591,5
mglcs_10_50_4_7.txt.out,0.0112653,5
mglcs_10_50_4_8.txt.out,0.0126228,6
mglcs_10_50_4_9.txt.out,0.0174553,6
mglcs_2_100_2_0.txt.out,0.159425,80
mglcs_2_100_2_1.txt.out,0.0474701,54
mglcs_2_100_2_2.txt.out,0.177404,70
mglcs_2_100_2_3.txt.out,0.320401,79
mglcs_2_100_2_4.txt.out,0.132671,70
mglcs_2_100_2_5.txt.out,0.151347,76
mglcs_2_100_2_6.txt.out,0.230397,74
mglcs_2_100_2_7.txt.out,0.155766,72
mglcs_2_100_2_8.txt.out,0.256223,75
mglcs_2_100_2_9.txt.out,0.21148,76
mglcs_2_100_4_0.txt.out,0.107677,55
mglcs_2_100_4_1.txt.out,0.0951762,59
mglcs_2_100_4_2.txt.out,0.1074,64
mglcs_2_100_4_3.txt.out,0.207954,60
mglcs_2_100_4_4.txt.out,0.153794,53
mglcs_2_100_4_5.txt.out,0.10031,58
mglcs_2_100_4_6.txt.out,0.203443,60
mglcs_2_100_4_7.txt.out,0.136164,60
mglcs_2_100_4_8.txt.out,0.0883023,58
mglcs_2_100_4_9.txt.out,0.211266,62
mglcs_2_200_2_0.txt.out,0.913517,95
mglcs_2_200_2_1.txt.out,1.08919,115
mglcs_2_200_2_2.txt.out,1.18577,143
mglcs_2_200_2_3.txt.out,1.4156,144
mglcs_2_200_2_4.txt.out,1.08057,158
mglcs_2_200_2_5.txt.out,1.67252,151
mglcs_2_200_2_6.txt.out,1.58335,135
mglcs_2_200_2_7.txt.out,1.65184,154
mglcs_2_200_2_8.txt.out,2.11441,138
mglcs_2_200_2_9.txt.out,0.907636,145
mglcs_2_200_4_0.txt.out,0.656473,122
mglcs_2_200_4_1.txt.out,0.945131,118
mglcs_2_200_4_2.txt.out,1.31946,120
mglcs_2_200_4_3.txt.out,0.68304,108
mglcs_2_200_4_4.txt.out,0.290067,118
mglcs_2_200_4_5.txt.out,0.888121,110
mglcs_2_200_4_6.txt.out,0.487603,126
mglcs_2_200_4_7.txt.out,0.258666,113
mglcs_2_200_4_8.txt.out,1.08143,122
mglcs_2_200_4_9.txt.out,0.857154,126
mglcs_2_500_2_0.txt.out,10.3961,198
mglcs_2_500_2_1.txt.out,11.0908,227
mglcs_2_500_2_2.txt.out,12.98,278
mglcs_2_500_2_3.txt.out,16.2364,329
mglcs_2_500_2_4.txt.out,14.9845,285
mglcs_2_500_2_5.txt.out,18.3514,305
mglcs_2_500_2_6.txt.out,18.7077,294
mglcs_2_500_2_7.txt.out,13.5786,314
mglcs_2_500_2_8.txt.out,13.7998,300
mglcs_2_500_2_9.txt.out,7.23339,247
mglcs_2_500_4_0.txt.out,2.60835,307
mglcs_2_500_4_1.txt.out,9.7904,292
mglcs_2_500_4_2.txt.out,6.07991,267
mglcs_2_500_4_3.txt.out,6.26316,292
mglcs_2_500_4_4.txt.out,5.38015,281
mglcs_2_500_4_5.txt.out,3.69473,298
mglcs_2_500_4_6.txt.out,5.0827,298
mglcs_2_500_4_7.txt.out,5.23326,279
mglcs_2_500_4_8.txt.out,8.26971,296
mglcs_2_500_4_9.txt.out,17.0465,283
mglcs_2_50_2_0.txt.out,0.00434591,36
mglcs_2_50_2_1.txt.out,0.0412817,37
mglcs_2_50_2_2.txt.out,0.00471312,39
mglcs_2_50_2_3.txt.out,0.00949835,38
mglcs_2_50_2_4.txt.out,0.00369887,37
mglcs_2_50_2_5.txt.out,0.0212874,36
mglcs_2_50_2_6.txt.out,0.00468629,39
