file,time,quality
mglcs_10_100_2_0.txt.out,0.0139403,7
mglcs_10_100_2_1.txt.out,0.0123053,8
mglcs_10_100_2_2.txt.out,0.0117434,8
mglcs_10_100_2_3.txt.out,0.0211796,9
mglcs_10_100_2_4.txt.out,0.0272907,12
mglcs_10_100_2_5.txt.out,0.0256332,10
mglcs_10_100_2_6.txt.out,0.0179273,8
mglcs_10_100_2_7.txt.out,0.00901419,8
mglcs_10_100_2_8.txt.out,0.0105143,9
mglcs_10_100_2_9.txt.out,0.0108381,7
mglcs_10_100_4_0.txt.out,0.0138126,4
mglcs_10_100_4_1.txt.out,0.01398,6
mglcs_10_100_4_2.txt.out,0.0148329,6
mglcs_10_100_4_3.txt.out,0.0157678,6
mglcs_10_100_4_4.txt.out,0.0206852,8
mglcs_10_100_4_5.txt.out,0.0168844,7
mglcs_10_100_4_6.txt.out,0.0182593,7
mglcs_10_100_4_7.txt.out,0.0148539,5
mglcs_10_100_4_8.txt.out,0.024942,6
mglcs_10_100_4_9.txt.out,0.025823,8
mglcs_10_200_2_0.txt.out,0.0310019,6
mglcs_10_200_2_1.txt.out,0.0214041,8
mglcs_10_200_2_2.txt.out,0.027408,10
mglcs_10_200_2_3.txt.out,0.0282483,10
mglcs_10_200_2_4.txt.out,0.0128211,13
mglcs_10_200_2_5.txt.out,0.026943,12
mglcs_10_200_2_6.txt.out,0.0225604,11
mglcs_10_200_2_7.txt.out,0.0199394,10
mglcs_10_200_2_8.txt.out,0.0347549,14
mglcs_10_200_2_9.txt.out,0.0148693,9
mglcs_10_200_4_0.txt.out,0.0192153,5
mglcs_10_200_4_1.txt.out,0.0197538,6
mglcs_10_200_4_2.txt.out,0.0238014,5
mglcs_10_200_4_3.txt.out,0.0229394,10
mglcs_10_200_4_4.txt.out,0.0223663,6
mglcs_10_200_4_5.txt.out,0.0235147,6
mglcs_10_200_4_6.txt.out,0.0259952,7
mglcs_10_200_4_7.txt.out,0.0192193,4
mglcs_10_200_4_8.txt.out,0.0266033,5
mglcs_10_200_4_9.txt.out,0.0258457,7
mglcs_10_500_2_0.txt.out,0.0388608,10
mglcs_10_500_2_1.txt.out,0.0773333,11
mglcs_10_500_2_2.txt.out,0.0405996,12
mglcs_10_500_2_3.txt.out,0.0385136,8
mglcs_10_500_2_4.txt.out,0.0517633,13
mglcs_10_500_2_5.txt.out,0.0471641,9
mglcs_10_500_2_6.txt.out,0.0338146,12
mglcs_10_500_2_7.txt.out,0.02078,6
mglcs_10_500_2_8.txt.out,0.0272196,7
mglcs_10_500_2_9.txt.out,0.0309782,7
mglcs_10_500_4_0.txt.out,0.0216666,5
mglcs_10_500_4_1.txt.out,0.0260133,6
mglcs_10_500_4_2.txt.out,0.0411177,8
mglcs_10_500_4_3.txt.out,0.0317584,7
mglcs_10_500_4_4.txt.out,0.033117,8
mglcs_10_500_4_5.txt.out,0.0277207,5
mglcs_10_500_4_6.txt.out,0.0289329,5
mglcs_10_500_4_7.txt.out,0.0365979,7
mglcs_10_500_4_8.txt.out,0.0249539,5
mglcs_10_500_4_9.txt.out,0.0248116,5
mglcs_10_50_2_0.txt.out,0.0170481,12
mglcs_10_50_2_1.txt.out,0.0152526,9
mglcs_10_50_2_2.txt.out,0.0155312,8
mglcs_10_50_2_3.txt.out,0.0109896,9
mglcs_10_50_2_4.txt.out,0.0081226,7
mglcs_10_50_2_5.txt.out,0.0135712,12
mglcs_10_50_2_6.txt.out,0.0109287,8
mglcs_10_50_2_7.txt.out,0.00856796,9
mglcs_10_50_2_8.txt.out,0.00851376,7
mglcs_10_50_2_9.txt.out,0.0130077,10
mglcs_10_50_4_0.txt.out,0.0143263,7
mglcs_10_50_4_1.txt.out,0.0131561,5
mglcs_10_50_4_2.txt.out,0.0140573,7
mglcs_10_50_4_3.txt.out,0.0173672,8
mglcs_10_50_4_4.txt.out,0.0135765,6
mglcs_10_50_4_5.txt.out,0.012653,5
mglcs_10_50_4_6.txt.out,0.0144429,5
mglcs_10_50_4_7.txt.out,0.0219508,6
mglcs_10_50_4_8.txt.out,0.0155838,6
mglcs_10_50_4_9.txt.out,0.0216073,6
mglcs_2_100_2_0.txt.out,0.149444,80
mglcs_2_100_2_1.txt.out,0.0408866,54
mglcs_2_100_2_2.txt.out,0.134937,70
mglcs_2_100_2_3.txt.out,0.229311,78
mglcs_2_100_2_4.txt.out,0.128402,70
mglcs_2_100_2_5.txt.out,0.121404,76
mglcs_2_100_2_6.txt.out,0.18841,76
