file,time,quality
mglcs_10_100_2_0.txt.out,0.0206068,7
mglcs_10_100_2_1.txt.out,0.0122847,8
mglcs_10_100_2_2.txt.out,0.0134203,8
mglcs_10_100_2_3.txt.out,0.0174101,9
mglcs_10_100_2_4.txt.out,0.0189519,12
mglcs_10_100_2_5.txt.out,0.0206473,10
mglcs_10_100_2_6.txt.out,0.0117704,8
mglcs_10_100_2_7.txt.out,0.0113558,8
mglcs_10_100_2_8.txt.out,0.0187788,10
mglcs_10_100_2_9.txt.out,0.0201938,7
mglcs_10_100_4_0.txt.out,0.0225647,4
mglcs_10_100_4_1.txt.out,0.0236458,6
mglcs_10_100_4_2.txt.out,0.0247373,6
mglcs_10_100_4_3.txt.out,0.027223,6
mglcs_10_100_4_4.txt.out,0.0278252,8
mglcs_10_100_4_5.txt.out,0.0227945,7
mglcs_10_100_4_6.txt.out,0.0194455,7
mglcs_10_100_4_7.txt.out,0.0154614,5
mglcs_10_100_4_8.txt.out,0.0155602,6
mglcs_10_100_4_9.txt.out,0.0175881,8
mglcs_10_200_2_0.txt.out,0.023814,6
mglcs_10_200_2_1.txt.out,0.0138169,8
mglcs_10_200_2_2.txt.out,0.0192497,10
mglcs_10_200_2_3.txt.out,0.0200078,10
mglcs_10_200_2_4.txt.out,0.0129153,13
mglcs_10_200_2_5.txt.out,0.0262333,12
mglcs_10_200_2_6.txt.out,0.0225866,11
mglcs_10_200_2_7.txt.out,0.0197512,10
mglcs_10_200_2_8.txt.out,0.0342736,14
mglcs_10_200_2_9.txt.out,0.0155428,9
mglcs_10_200_4_0.txt.out,0.0196071,5
mglcs_10_200_4_1.txt.out,0.0175754,6
mglcs_10_200_4_2.txt.out,0.0196099,5
mglcs_10_200_4_3.txt.out,0.02724,10
mglcs_10_200_4_4.txt.out,0.0235946,6
mglcs_10_200_4_5.txt.out,0.0238254,6
mglcs_10_200_4_6.txt.out,0.0269462,7
mglcs_10_200_4_7.txt.out,0.0215843,4
mglcs_10_200_4_8.txt.out,0.024837,5
mglcs_10_200_4_9.txt.out,0.0281522,7
mglcs_10_500_2_0.txt.out,0.0407902,10
mglcs_10_500_2_1.txt.out,0.0842497,11
mglcs_10_500_2_2.txt.out,0.0436302,12
mglcs_10_500_2_3.txt.out,0.0411734,8
mglcs_10_500_2_4.txt.out,0.0550534,12
mglcs_10_500_2_5.txt.out,0.0541086,9
mglcs_10_500_2_6.txt.out,0.0494872,12
mglcs_10_500_2_7.txt.out,0.0232251,6
mglcs_10_500_2_8.txt.out,0.0306669,8
mglcs_10_500_2_9.txt.out,0.033515,7
mglcs_10_500_4_0.txt.out,0.0245536,5
mglcs_10_500_4_1.txt.out,0.0282587,6
mglcs_10_500_4_2.txt.out,0.0430712,8
mglcs_10_500_4_3.txt.out,0.033991,7
mglcs_10_500_4_4.txt.out,0.0342654,8
mglcs_10_500_4_5.txt.out,0.0300996,5
mglcs_10_500_4_6.txt.out,0.0320697,5
mglcs_10_500_4_7.txt.out,0.0422049,7
mglcs_10_500_4_8.txt.out,0.0340337,5
mglcs_10_500_4_9.txt.out,0.0272263,5
mglcs_10_50_2_0.txt.out,0.0185175,12
mglcs_10_50_2_1.txt.out,0.0171564,9
mglcs_10_50_2_2.txt.out,0.00991314,8
mglcs_10_50_2_3.txt.out,0.0129152,9
mglcs_10_50_2_4.txt.out,0.0136688,7
mglcs_10_50_2_5.txt.out,0.0161176,12
mglcs_10_50_2_6.txt.out,0.012797,8
mglcs_10_50_2_7.txt.out,0.00997888,9
mglcs_10_50_2_8.txt.out,0.01037,7
mglcs_10_50_2_9.txt.out,0.0147938,10
mglcs_10_50_4_0.txt.out,0.0165248,7
mglcs_10_50_4_1.txt.out,0.0157737,5
mglcs_10_50_4_2.txt.out,0.0167856,7
mglcs_10_50_4_3.txt.out,0.0257382,8
mglcs_10_50_4_4.txt.out,0.0153094,5
mglcs_10_50_4_5.txt.out,0.0147875,5
mglcs_10_50_4_6.txt.out,0.0167771,5
mglcs_10_50_4_7.txt.out,0.0164928,6
mglcs_10_50_4_8.txt.out,0.0160779,6
mglcs_10_50_4_9.txt.out,0.0163237,6
mglcs_2_100_2_0.txt.out,0.177663,80
mglcs_2_100_2_1.txt.out,0.0510771,54
mglcs_2_100_2_2.txt.out,0.15906,70
mglcs_2_100_2_3.txt.out,0.281171,78
mglcs_2_100_2_4.txt.out,0.146173,70
mglcs_2_100_2_5.txt.out,0.131127,76
mglcs_2_100_2_6.txt.out,0.219744,76
mglcs_2_100_2_7.txt.out,0.12218,72
mglcs_2_100_2_8.txt.out,0.228282,75
mglcs_2_100_2_9.txt.out,0.183255,76
mglcs_2_100_4_0.txt.out,0.127713,62
mglcs_2_100_4_1.txt.out,0.135408,61
mglcs_2_100_4_2.txt.out,0.112376,62
mglcs_2_100_4_3.txt.out,0.218912,60
mglcs_2_100_4_4.txt.out,0.214055,63
mglcs_2_100_4_5.txt.out,0.104185,62
mglcs_2_100_4_6.txt.out,0.206677,60
mglcs_2_100_4_7.txt.out,0.186296,63
mglcs_2_100_4_8.txt.out,0.100081,62
mglcs_2_100_4_9.txt.out,0.24138,62
mglcs_2_200_2_0.txt.out,1.01877,95
mglcs_2_200_2_1.txt.out,1.24029,127
mglcs_2_200_2_2.txt.out,0.906166,131
mglcs_2_200_2_3.txt.out,1.3018,147
mglcs_2_200_2_4.txt.out,1.1754,159
mglcs_2_200_2_5.txt.out,1.35283,154
mglcs_2_200_2_6.txt.out,0.790329,139
mglcs_2_200_2_7.txt.out,1.25353,154
mglcs_2_200_2_8.txt.out,1.02934,138
mglcs_2_200_2_9.txt.out,0.731419,145
mglcs_2_200_4_0.txt.out,0.85535,119
mglcs_2_200_4_1.txt.out,0.916932,124
mglcs_2_200_4_2.txt.out,1.72466,119
mglcs_2_200_4_3.txt.out,1.29523,124
mglcs_2_200_4_4.txt.out,0.289733,124
mglcs_2_200_4_5.txt.out,1.01213,112
mglcs_2_200_4_6.txt.out,1.03691,126
mglcs_2_200_4_7.txt.out,0.628071,126
mglcs_2_200_4_8.txt.out,1.08685,125
mglcs_2_200_4_9.txt.out,0.941868,126
mglcs_2_500_2_0.txt.out,13.2106,200
mglcs_2_500_2_1.txt.out,10.6467,179
mglcs_2_500_2_2.txt.out,11.2813,203
mglcs_2_500_2_3.txt.out,11.4335,331
mglcs_2_500_2_4.txt.out,18.7406,302
mglcs_2_500_2_5.txt.out,22.2205,314
mglcs_2_500_2_6.txt.out,18.2113,345
mglcs_2_500_2_7.txt.out,13.0821,317
mglcs_2_500_2_8.txt.out,17.7897,321
mglcs_2_500_2_9.txt.out,9.19168,247
mglcs_2_500_4_0.txt.out,3.64344,307
mglcs_2_500_4_1.txt.out,13.6735,300
mglcs_2_500_4_2.txt.out,8.84564,273
mglcs_2_500_4_3.txt.out,4.27248,241
mglcs_2_500_4_4.txt.out,12.1758,290
mglcs_2_500_4_5.txt.out,8.46238,283
mglcs_2_500_4_6.txt.out,12.3101,303
mglcs_2_500_4_7.txt.out,12.7164,277
mglcs_2_500_4_8.txt.out,13.7741,303
mglcs_2_500_4_9.txt.out,9.97218,288
mglcs_2_50_2_0.txt.out,0.00350772,36
mglcs_2_50_2_1.txt.out,0.0342812,37
