file,time,quality
4_100_600.rat_lambda_0.05.out,31.3222,1
4_100_600.virus_lambda_0.05.out,31.3521,3
4_10_600.rat_lambda_0.05.out,37.141,27
4_10_600.virus_lambda_0.05.out,80.0582,68
4_150_600.rat_lambda_0.05.out,35.0107,1
4_150_600.virus_lambda_0.05.out,26.3763,4
4_15_600.rat_lambda_0.05.out,23.3737,11
4_15_600.virus_lambda_0.05.out,26.708,19
4_200_600.rat_lambda_0.05.out,37.6479,1
4_200_600.virus_lambda_0.05.out,37.5139,1
4_20_600.rat_lambda_0.05.out,16.873,10
4_20_600.virus_lambda_0.05.out,23.5808,10
4_25_600.rat_lambda_0.05.out,23.1259,7
4_25_600.virus_lambda_0.05.out,24.0925,10
4_40_600.rat_lambda_0.05.out,25.0468,5
4_40_600.virus_lambda_0.05.out,19.4688,7
4_60_600.rat_lambda_0.05.out,22.9025,3
4_60_600.virus_lambda_0.05.out,23.1559,5
4_80_600.rat_lambda_0.05.out,24.7668,1
4_80_600.virus_lambda_0.05.out,26.6308,4
