n,quality_limsbs,time_limsbs,quality_imsbs,time_imsbs
4,1,25.715,1,44.3012
4,3,35.2679,3,43.2542
4,28,43.4436,25,30.6541
4,87,134.508,36,43.1388
4,1,39.5118,1,66.5653
4,4,27.7053,3,31.8026
4,11,23.3882,11,24.2581
4,19,27.079,19,36.524
4,1,39.8171,1,62.5402
4,1,32.0577,1,48.5898
4,10,11.3136,9,49.3557
4,11,16.311,10,26.9169
4,9,17.5311,7,29.6175
4,13,16.656,9,30.4039
4,5,18.1842,4,48.6365
4,7,20.3875,5,32.1188
4,3,22.6158,1,45.2218
4,5,20.2591,4,34.3774
4,1,22.5151,1,53.0243
4,4,22.8048,3,40.6432
