file,time,quality
mglcs_10_100_2_0.txt.out,1.69154,15
mglcs_10_100_2_1.txt.out,1.35631,11
mglcs_10_100_2_2.txt.out,1.29724,15
mglcs_10_100_2_3.txt.out,1.50813,16
mglcs_10_100_2_4.txt.out,1.76074,16
mglcs_10_100_2_5.txt.out,1.75544,13
mglcs_10_100_2_6.txt.out,1.70006,13
mglcs_10_100_2_7.txt.out,1.74199,14
mglcs_10_100_2_8.txt.out,1.47169,14
mglcs_10_100_2_9.txt.out,1.48229,10
mglcs_10_100_4_0.txt.out,4.45052,10
mglcs_10_100_4_1.txt.out,4.03951,8
mglcs_10_100_4_2.txt.out,3.49115,9
mglcs_10_100_4_3.txt.out,4.79918,12
mglcs_10_100_4_4.txt.out,4.00349,8
mglcs_10_100_4_5.txt.out,3.99791,9
mglcs_10_100_4_6.txt.out,3.97432,9
mglcs_10_100_4_7.txt.out,4.06205,9
mglcs_10_100_4_8.txt.out,3.27441,9
mglcs_10_100_4_9.txt.out,3.40054,10
mglcs_10_200_2_0.txt.out,0.917635,12
mglcs_10_200_2_1.txt.out,0.901421,13
mglcs_10_200_2_2.txt.out,1.0458,13
mglcs_10_200_2_3.txt.out,0.979726,11
mglcs_10_200_2_4.txt.out,0.976428,15
mglcs_10_200_2_5.txt.out,0.990982,17
mglcs_10_200_2_6.txt.out,1.01488,18
mglcs_10_200_2_7.txt.out,1.04315,15
mglcs_10_200_2_8.txt.out,1.04944,20
mglcs_10_200_2_9.txt.out,0.906527,11
mglcs_10_200_4_0.txt.out,5.39459,9
mglcs_10_200_4_1.txt.out,5.16333,10
mglcs_10_200_4_2.txt.out,5.23603,9
mglcs_10_200_4_3.txt.out,5.41697,10
mglcs_10_200_4_4.txt.out,5.04474,10
mglcs_10_200_4_5.txt.out,3.86736,9
mglcs_10_200_4_6.txt.out,4.95848,10
mglcs_10_200_4_7.txt.out,4.89812,9
mglcs_10_200_4_8.txt.out,3.93457,8
mglcs_10_200_4_9.txt.out,3.91703,9
mglcs_10_500_2_0.txt.out,0.984916,15
mglcs_10_500_2_1.txt.out,0.929948,14
mglcs_10_500_2_2.txt.out,0.957087,13
mglcs_10_500_2_3.txt.out,1.06425,14
mglcs_10_500_2_4.txt.out,1.08003,14
mglcs_10_500_2_5.txt.out,1.04987,15
mglcs_10_500_2_6.txt.out,1.07062,16
mglcs_10_500_2_7.txt.out,1.0053,11
mglcs_10_500_2_8.txt.out,0.958571,17
mglcs_10_500_2_9.txt.out,0.971704,11
mglcs_10_500_4_0.txt.out,3.75668,7
mglcs_10_500_4_1.txt.out,3.80597,8
mglcs_10_500_4_2.txt.out,5.68519,10
mglcs_10_500_4_3.txt.out,5.728,10
mglcs_10_500_4_4.txt.out,5.55825,9
mglcs_10_500_4_5.txt.out,5.59059,8
mglcs_10_500_4_6.txt.out,5.45214,11
mglcs_10_500_4_7.txt.out,5.06869,8
mglcs_10_500_4_8.txt.out,5.17026,11
mglcs_10_500_4_9.txt.out,5.25948,10
mglcs_10_50_2_0.txt.out,0.359646,14
mglcs_10_50_2_1.txt.out,0.301459,9
mglcs_10_50_2_2.txt.out,0.488392,9
mglcs_10_50_2_3.txt.out,0.426824,14
mglcs_10_50_2_4.txt.out,0.318618,8
mglcs_10_50_2_5.txt.out,0.209314,14
mglcs_10_50_2_6.txt.out,0.390291,11
mglcs_10_50_2_7.txt.out,0.36433,12
mglcs_10_50_2_8.txt.out,0.451665,11
mglcs_10_50_2_9.txt.out,0.208184,14
mglcs_10_50_4_0.txt.out,0.377319,8
mglcs_10_50_4_1.txt.out,0.970278,6
mglcs_10_50_4_2.txt.out,1.1656,8
mglcs_10_50_4_3.txt.out,1.24863,10
mglcs_10_50_4_4.txt.out,0.601572,8
mglcs_10_50_4_5.txt.out,0.935821,5
mglcs_10_50_4_6.txt.out,0.489423,7
mglcs_10_50_4_7.txt.out,0.798225,7
mglcs_10_50_4_8.txt.out,0.599569,7
mglcs_10_50_4_9.txt.out,0.3472,7
mglcs_2_100_2_0.txt.out,0.209745,79
mglcs_2_100_2_1.txt.out,0.0455583,55
mglcs_2_100_2_2.txt.out,0.231289,70
mglcs_2_100_2_3.txt.out,0.369695,78
mglcs_2_100_2_4.txt.out,0.166267,70
mglcs_2_100_2_5.txt.out,0.185959,74
mglcs_2_100_2_6.txt.out,0.204634,76
mglcs_2_100_2_7.txt.out,0.178823,71
mglcs_2_100_2_8.txt.out,0.233368,75
mglcs_2_100_2_9.txt.out,0.210153,75
mglcs_2_100_4_0.txt.out,0.126742,62
mglcs_2_100_4_1.txt.out,0.128545,61
mglcs_2_100_4_2.txt.out,0.156581,66
mglcs_2_100_4_3.txt.out,0.287282,61
mglcs_2_100_4_4.txt.out,0.237949,62
mglcs_2_100_4_5.txt.out,0.11009,61
mglcs_2_100_4_6.txt.out,0.327016,60
mglcs_2_100_4_7.txt.out,0.202641,63
mglcs_2_100_4_8.txt.out,0.092671,62
mglcs_2_100_4_9.txt.out,0.251222,62
mglcs_2_200_2_0.txt.out,1.28191,101
mglcs_2_200_2_1.txt.out,1.66949,142
mglcs_2_200_2_2.txt.out,1.3484,133
mglcs_2_200_2_3.txt.out,1.7529,150
mglcs_2_200_2_4.txt.out,1.66514,160
mglcs_2_200_2_5.txt.out,1.62705,150
mglcs_2_200_2_6.txt.out,1.32104,143
mglcs_2_200_2_7.txt.out,2.28447,155
mglcs_2_200_2_8.txt.out,2.10252,138
mglcs_2_200_2_9.txt.out,0.934312,143
mglcs_2_200_4_0.txt.out,0.89085,124
mglcs_2_200_4_1.txt.out,1.65734,123
mglcs_2_200_4_2.txt.out,1.85808,123
mglcs_2_200_4_3.txt.out,1.60636,124
mglcs_2_200_4_4.txt.out,0.488835,130
mglcs_2_200_4_5.txt.out,1.53023,123
mglcs_2_200_4_6.txt.out,1.1895,128
mglcs_2_200_4_7.txt.out,0.692466,126
mglcs_2_200_4_8.txt.out,1.46781,129
mglcs_2_200_4_9.txt.out,1.18701,126
mglcs_2_500_2_0.txt.out,15.3509,279
mglcs_2_500_2_1.txt.out,15.2289,233
mglcs_2_500_2_2.txt.out,15.9978,218
mglcs_2_500_2_3.txt.out,17.3129,333
mglcs_2_500_2_4.txt.out,17.2286,273
mglcs_2_500_2_5.txt.out,18.1991,315
mglcs_2_500_2_6.txt.out,19.1598,354
mglcs_2_500_2_7.txt.out,16.4752,371
mglcs_2_500_2_8.txt.out,11.0893,330
mglcs_2_500_2_9.txt.out,11.4994,247
mglcs_2_500_4_0.txt.out,5.26411,283
mglcs_2_500_4_1.txt.out,10.755,314
mglcs_2_500_4_2.txt.out,6.4145,298
mglcs_2_500_4_3.txt.out,9.50206,311
mglcs_2_500_4_4.txt.out,9.88213,319
