file,time,quality
mglcs_10_100_2_0.txt.out,1.45299,16
mglcs_10_100_2_1.txt.out,1.07428,11
mglcs_10_100_2_2.txt.out,0.888927,14
mglcs_10_100_2_3.txt.out,1.04109,16
mglcs_10_100_2_4.txt.out,1.10354,12
mglcs_10_100_2_5.txt.out,1.09066,17
mglcs_10_100_2_6.txt.out,1.1175,14
mglcs_10_100_2_7.txt.out,1.16069,14
mglcs_10_100_2_8.txt.out,1.33076,12
mglcs_10_100_2_9.txt.out,1.34972,12
mglcs_10_100_4_0.txt.out,4.09271,10
mglcs_10_100_4_1.txt.out,3.7092,9
mglcs_10_100_4_2.txt.out,3.86474,9
mglcs_10_100_4_3.txt.out,3.82898,13
mglcs_10_100_4_4.txt.out,3.51649,9
mglcs_10_100_4_5.txt.out,3.65719,10
mglcs_10_100_4_6.txt.out,3.55996,10
mglcs_10_100_4_7.txt.out,3.27844,10
mglcs_10_100_4_8.txt.out,3.77344,9
mglcs_10_100_4_9.txt.out,3.89193,11
mglcs_10_200_2_0.txt.out,1.59538,9
mglcs_10_200_2_1.txt.out,1.53962,13
mglcs_10_200_2_2.txt.out,1.44087,12
mglcs_10_200_2_3.txt.out,4.87558,12
mglcs_10_200_2_4.txt.out,1.35898,14
mglcs_10_200_2_5.txt.out,1.3276,15
mglcs_10_200_2_6.txt.out,1.36831,17
mglcs_10_200_2_7.txt.out,1.23791,14
mglcs_10_200_2_8.txt.out,1.25662,19
mglcs_10_200_2_9.txt.out,1.0539,11
mglcs_10_200_4_0.txt.out,5.13035,9
mglcs_10_200_4_1.txt.out,5.00944,11
mglcs_10_200_4_2.txt.out,5.04731,8
mglcs_10_200_4_3.txt.out,6.2079,10
mglcs_10_200_4_4.txt.out,6.2751,12
mglcs_10_200_4_5.txt.out,6.14792,10
mglcs_10_200_4_6.txt.out,6.06254,8
mglcs_10_200_4_7.txt.out,5.60107,8
mglcs_10_200_4_8.txt.out,5.63247,9
mglcs_10_200_4_9.txt.out,5.5531,9
mglcs_10_500_2_0.txt.out,1.35053,15
mglcs_10_500_2_1.txt.out,1.2259,14
mglcs_10_500_2_2.txt.out,1.24988,13
mglcs_10_500_2_3.txt.out,1.37404,14
mglcs_10_500_2_4.txt.out,1.35393,14
mglcs_10_500_2_5.txt.out,1.40586,15
mglcs_10_500_2_6.txt.out,1.43271,15
mglcs_10_500_2_7.txt.out,1.33213,13
mglcs_10_500_2_8.txt.out,1.33658,18
mglcs_10_500_2_9.txt.out,1.32389,13
mglcs_10_500_4_0.txt.out,5.55718,8
mglcs_10_500_4_1.txt.out,5.57794,7
mglcs_10_500_4_2.txt.out,5.79659,10
mglcs_10_500_4_3.txt.out,6.21488,10
mglcs_10_500_4_4.txt.out,6.16543,9
mglcs_10_500_4_5.txt.out,6.12581,9
mglcs_10_500_4_6.txt.out,6.25202,11
mglcs_10_500_4_7.txt.out,3.78942,10
mglcs_10_500_4_8.txt.out,4.40017,11
mglcs_10_500_4_9.txt.out,4.55565,11
mglcs_10_50_2_0.txt.out,0.582444,14
mglcs_10_50_2_1.txt.out,0.541219,9
mglcs_10_50_2_2.txt.out,0.753194,9
mglcs_10_50_2_3.txt.out,0.659633,13
mglcs_10_50_2_4.txt.out,0.544219,8
mglcs_10_50_2_5.txt.out,0.374102,14
mglcs_10_50_2_6.txt.out,0.645702,12
mglcs_10_50_2_7.txt.out,0.60476,12
mglcs_10_50_2_8.txt.out,0.710163,10
mglcs_10_50_2_9.txt.out,0.368812,14
mglcs_10_50_4_0.txt.out,0.585445,8
mglcs_10_50_4_1.txt.out,1.22721,6
mglcs_10_50_4_2.txt.out,1.22431,8
mglcs_10_50_4_3.txt.out,1.29111,10
mglcs_10_50_4_4.txt.out,0.582981,8
mglcs_10_50_4_5.txt.out,1.005,7
mglcs_10_50_4_6.txt.out,0.691198,7
mglcs_10_50_4_7.txt.out,1.05261,7
mglcs_10_50_4_8.txt.out,0.824546,6
mglcs_10_50_4_9.txt.out,0.569432,7
mglcs_2_100_2_0.txt.out,0.140734,80
mglcs_2_100_2_1.txt.out,0.0349662,54
mglcs_2_100_2_2.txt.out,0.115672,70
mglcs_2_100_2_3.txt.out,0.184632,77
mglcs_2_100_2_4.txt.out,0.114485,69
mglcs_2_100_2_5.txt.out,0.104159,76
mglcs_2_100_2_6.txt.out,0.174882,76
mglcs_2_100_2_7.txt.out,0.109908,72
mglcs_2_100_2_8.txt.out,0.16524,75
mglcs_2_100_2_9.txt.out,0.12259,76
mglcs_2_100_4_0.txt.out,0.0770695,58
mglcs_2_100_4_1.txt.out,0.0757674,55
mglcs_2_100_4_2.txt.out,0.0633479,64
mglcs_2_100_4_3.txt.out,0.180522,60
mglcs_2_100_4_4.txt.out,0.106328,57
mglcs_2_100_4_5.txt.out,0.0704692,62
mglcs_2_100_4_6.txt.out,0.215736,60
mglcs_2_100_4_7.txt.out,0.112036,62
mglcs_2_100_4_8.txt.out,0.0680814,62
mglcs_2_100_4_9.txt.out,0.207023,62
mglcs_2_200_2_0.txt.out,0.686874,95
mglcs_2_200_2_1.txt.out,1.0262,127
mglcs_2_200_2_2.txt.out,1.86018,142
mglcs_2_200_2_3.txt.out,1.14352,147
mglcs_2_200_2_4.txt.out,1.23283,159
mglcs_2_200_2_5.txt.out,1.32466,149
mglcs_2_200_2_6.txt.out,0.70257,139
mglcs_2_200_2_7.txt.out,1.59627,155
mglcs_2_200_2_8.txt.out,1.48781,135
mglcs_2_200_2_9.txt.out,0.719511,143
mglcs_2_200_4_0.txt.out,0.360973,124
mglcs_2_200_4_1.txt.out,0.804175,117
mglcs_2_200_4_2.txt.out,1.18698,123
mglcs_2_200_4_3.txt.out,0.94318,112
mglcs_2_200_4_4.txt.out,0.405053,126
mglcs_2_200_4_5.txt.out,1.06958,109
mglcs_2_200_4_6.txt.out,1.01606,122
mglcs_2_200_4_7.txt.out,0.543031,124
mglcs_2_200_4_8.txt.out,0.72353,122
mglcs_2_200_4_9.txt.out,0.834324,126
mglcs_2_500_2_0.txt.out,12.5763,283
mglcs_2_500_2_1.txt.out,14.1349,228
mglcs_2_500_2_2.txt.out,12.9079,280
mglcs_2_500_2_3.txt.out,14.2446,327
mglcs_2_500_2_4.txt.out,18.9669,294
mglcs_2_500_2_5.txt.out,19.5644,318
mglcs_2_500_2_6.txt.out,15.4251,339
mglcs_2_500_2_7.txt.out,11.878,365
mglcs_2_500_2_8.txt.out,12.4823,298
mglcs_2_500_2_9.txt.out,7.89824,246
mglcs_2_500_4_0.txt.out,6.11857,307
mglcs_2_500_4_1.txt.out,8.73306,290
mglcs_2_500_4_2.txt.out,9.15478,262
mglcs_2_500_4_3.txt.out,9.09127,291
mglcs_2_500_4_4.txt.out,9.98914,283
mglcs_2_500_4_5.txt.out,12.6398,296
mglcs_2_500_4_6.txt.out,15.2126,296
mglcs_2_500_4_7.txt.out,13.2157,277
mglcs_2_500_4_8.txt.out,14.266,287
mglcs_2_500_4_9.txt.out,14.6264,269
mglcs_2_50_2_0.txt.out,0.00346843,36
mglcs_2_50_2_1.txt.out,0.0270016,37
mglcs_2_50_2_2.txt.out,0.0036014,39
mglcs_2_50_2_3.txt.out,0.00660762,38
mglcs_2_50_2_4.txt.out,0.00251613,37
mglcs_2_50_2_5.txt.out,0.0188022,36
mglcs_2_50_2_6.txt.out,0.00413559,39
mglcs_2_50_2_7.txt.out,0.004234,39
mglcs_2_50_2_8.txt.out,0.00169701,38
mglcs_2_50_2_9.txt.out,0.00817222,38
mglcs_2_50_4_0.txt.out,0.0173682,29
mglcs_2_50_4_1.txt.out,0.0318172,31
mglcs_2_50_4_2.txt.out,0.0183083,29
mglcs_2_50_4_3.txt.out,0.0220649,29
mglcs_2_50_4_4.txt.out,0.0171647,32
mglcs_2_50_4_5.txt.out,0.0233711,30
mglcs_2_50_4_6.txt.out,0.0205022,30
mglcs_2_50_4_7.txt.out,0.010069,30
mglcs_2_50_4_8.txt.out,0.0194154,30
mglcs_2_50_4_9.txt.out,0.00446112,28
mglcs_3_100_2_0.txt.out,0.694953,64
mglcs_3_100_2_1.txt.out,1.09248,63
mglcs_3_100_2_2.txt.out,0.266202,61
mglcs_3_100_2_3.txt.out,0.222729,59
mglcs_3_100_2_4.txt.out,0.117629,65
mglcs_3_100_2_5.txt.out,0.452827,56
mglcs_3_100_2_6.txt.out,0.37831,64
mglcs_3_100_2_7.txt.out,0.331528,46
mglcs_3_100_2_8.txt.out,0.104193,41
mglcs_3_100_2_9.txt.out,0.751438,65
mglcs_3_100_4_0.txt.out,0.45984,44
mglcs_3_100_4_1.txt.out,1.52967,49
mglcs_3_100_4_2.txt.out,1.40174,47
mglcs_3_100_4_3.txt.out,0.280333,47
mglcs_3_100_4_4.txt.out,0.952168,51
mglcs_3_100_4_5.txt.out,0.665176,51
mglcs_3_100_4_6.txt.out,1.53684,49
mglcs_3_100_4_7.txt.out,1.23683,46
mglcs_3_100_4_8.txt.out,1.3706,45
mglcs_3_100_4_9.txt.out,0.613528,50
mglcs_3_200_2_0.txt.out,30.5742,124
mglcs_3_200_2_1.txt.out,18.0022,114
mglcs_3_200_2_2.txt.out,22.3716,132
mglcs_3_200_2_3.txt.out,2.86732,97
mglcs_3_200_2_4.txt.out,23.6475,109
mglcs_3_200_2_5.txt.out,3.27019,106
