file,time,quality
mglcs_10_100_2_0.txt.out,0.0107992,9
mglcs_10_100_2_1.txt.out,0.0093051,9
mglcs_10_100_2_2.txt.out,0.00945987,8
mglcs_10_100_2_3.txt.out,0.0197846,11
mglcs_10_100_2_4.txt.out,0.0161421,10
mglcs_10_100_2_5.txt.out,0.0173967,10
mglcs_10_100_2_6.txt.out,0.0138232,8
mglcs_10_100_2_7.txt.out,0.015146,9
mglcs_10_100_2_8.txt.out,0.0145334,9
mglcs_10_100_2_9.txt.out,0.00776405,10
mglcs_10_100_4_0.txt.out,0.0132784,8
mglcs_10_100_4_1.txt.out,0.0132448,6
mglcs_10_100_4_2.txt.out,0.0134191,6
mglcs_10_100_4_3.txt.out,0.0139417,7
mglcs_10_100_4_4.txt.out,0.0132332,8
mglcs_10_100_4_5.txt.out,0.0147319,6
mglcs_10_100_4_6.txt.out,0.0148882,7
mglcs_10_100_4_7.txt.out,0.0149598,6
mglcs_10_100_4_8.txt.out,0.0127603,6
mglcs_10_100_4_9.txt.out,0.0132318,8
mglcs_10_200_2_0.txt.out,0.00836714,6
mglcs_10_200_2_1.txt.out,0.00752157,9
mglcs_10_200_2_2.txt.out,0.00998494,10
mglcs_10_200_2_3.txt.out,0.0105257,10
mglcs_10_200_2_4.txt.out,0.00939669,13
mglcs_10_200_2_5.txt.out,0.0118506,11
mglcs_10_200_2_6.txt.out,0.0188448,11
mglcs_10_200_2_7.txt.out,0.0211082,11
mglcs_10_200_2_8.txt.out,0.0244494,17
mglcs_10_200_2_9.txt.out,0.0171704,9
mglcs_10_200_4_0.txt.out,0.0220163,7
mglcs_10_200_4_1.txt.out,0.0135451,6
mglcs_10_200_4_2.txt.out,0.014215,6
mglcs_10_200_4_3.txt.out,0.0151675,9
mglcs_10_200_4_4.txt.out,0.017155,9
mglcs_10_200_4_5.txt.out,0.0147575,7
mglcs_10_200_4_6.txt.out,0.0145807,6
mglcs_10_200_4_7.txt.out,0.0135197,6
mglcs_10_200_4_8.txt.out,0.0187907,6
mglcs_10_200_4_9.txt.out,0.014673,7
mglcs_10_500_2_0.txt.out,0.010377,9
mglcs_10_500_2_1.txt.out,0.0127474,11
mglcs_10_500_2_2.txt.out,0.00977069,11
mglcs_10_500_2_3.txt.out,0.00956638,8
mglcs_10_500_2_4.txt.out,0.0121603,14
mglcs_10_500_2_5.txt.out,0.0111376,10
mglcs_10_500_2_6.txt.out,0.0109831,14
mglcs_10_500_2_7.txt.out,0.00855611,8
mglcs_10_500_2_8.txt.out,0.00874731,10
mglcs_10_500_2_9.txt.out,0.0167698,9
mglcs_10_500_4_0.txt.out,0.0199406,5
mglcs_10_500_4_1.txt.out,0.0187829,6
mglcs_10_500_4_2.txt.out,0.022169,8
mglcs_10_500_4_3.txt.out,0.0151169,8
mglcs_10_500_4_4.txt.out,0.0137675,8
mglcs_10_500_4_5.txt.out,0.0135312,7
mglcs_10_500_4_6.txt.out,0.013104,9
mglcs_10_500_4_7.txt.out,0.013293,6
mglcs_10_500_4_8.txt.out,0.012841,5
mglcs_10_500_4_9.txt.out,0.0132961,6
mglcs_10_50_2_0.txt.out,0.0101196,12
mglcs_10_50_2_1.txt.out,0.00917777,8
mglcs_10_50_2_2.txt.out,0.00892813,8
mglcs_10_50_2_3.txt.out,0.0110089,11
mglcs_10_50_2_4.txt.out,0.00825843,7
mglcs_10_50_2_5.txt.out,0.0122808,14
mglcs_10_50_2_6.txt.out,0.0102118,11
mglcs_10_50_2_7.txt.out,0.011233,9
mglcs_10_50_2_8.txt.out,0.00785101,8
mglcs_10_50_2_9.txt.out,0.0124097,10
mglcs_10_50_4_0.txt.out,0.02056,7
mglcs_10_50_4_1.txt.out,0.0127361,5
mglcs_10_50_4_2.txt.out,0.0168512,6
mglcs_10_50_4_3.txt.out,0.0172158,8
mglcs_10_50_4_4.txt.out,0.0117853,5
mglcs_10_50_4_5.txt.out,0.0119048,5
mglcs_10_50_4_6.txt.out,0.0128437,5
mglcs_10_50_4_7.txt.out,0.0131006,5
mglcs_10_50_4_8.txt.out,0.0178181,6
mglcs_10_50_4_9.txt.out,0.0213251,6
mglcs_2_100_2_0.txt.out,0.158244,80
mglcs_2_100_2_1.txt.out,0.0338841,54
mglcs_2_100_2_2.txt.out,0.153262,70
mglcs_2_100_2_3.txt.out,0.265613,77
mglcs_2_100_2_4.txt.out,0.113898,70
mglcs_2_100_2_5.txt.out,0.118396,76
mglcs_2_100_2_6.txt.out,0.205967,76
mglcs_2_100_2_7.txt.out,0.160909,72
mglcs_2_100_2_8.txt.out,0.224635,75
mglcs_2_100_2_9.txt.out,0.203991,76
mglcs_2_100_4_0.txt.out,0.0737161,62
mglcs_2_100_4_1.txt.out,0.0638273,59
mglcs_2_100_4_2.txt.out,0.0751518,62
mglcs_2_100_4_3.txt.out,0.170898,60
mglcs_2_100_4_4.txt.out,0.121612,55
mglcs_2_100_4_5.txt.out,0.0886514,59
mglcs_2_100_4_6.txt.out,0.233214,60
mglcs_2_100_4_7.txt.out,0.117182,59
mglcs_2_100_4_8.txt.out,0.0789594,62
mglcs_2_100_4_9.txt.out,0.146664,46
mglcs_2_200_2_0.txt.out,0.883967,95
mglcs_2_200_2_1.txt.out,0.90087,127
mglcs_2_200_2_2.txt.out,0.893148,130
mglcs_2_200_2_3.txt.out,1.39955,147
mglcs_2_200_2_4.txt.out,1.2669,159
mglcs_2_200_2_5.txt.out,1.52936,147
mglcs_2_200_2_6.txt.out,0.83911,142
mglcs_2_200_2_7.txt.out,1.37854,147
mglcs_2_200_2_8.txt.out,1.22857,137
mglcs_2_200_2_9.txt.out,0.653489,143
mglcs_2_200_4_0.txt.out,0.393714,122
mglcs_2_200_4_1.txt.out,0.779876,117
mglcs_2_200_4_2.txt.out,1.28885,123
mglcs_2_200_4_3.txt.out,0.757768,116
mglcs_2_200_4_4.txt.out,0.246006,117
mglcs_2_200_4_5.txt.out,0.865678,114
mglcs_2_200_4_6.txt.out,0.97348,118
mglcs_2_200_4_7.txt.out,0.298661,124
mglcs_2_200_4_8.txt.out,0.731687,124
mglcs_2_200_4_9.txt.out,0.975545,126
mglcs_2_500_2_0.txt.out,5.33814,173
mglcs_2_500_2_1.txt.out,5.98902,232
mglcs_2_500_2_2.txt.out,5.97665,202
mglcs_2_500_2_3.txt.out,7.33247,329
mglcs_2_500_2_4.txt.out,7.57697,276
mglcs_2_500_2_5.txt.out,11.8423,292
mglcs_2_500_2_6.txt.out,12.4894,275
mglcs_2_500_2_7.txt.out,8.69226,316
mglcs_2_500_2_8.txt.out,6.51857,299
mglcs_2_500_2_9.txt.out,5.04531,247
mglcs_2_500_4_0.txt.out,0.952692,293
mglcs_2_500_4_1.txt.out,4.9431,270
mglcs_2_500_4_2.txt.out,8.24065,257
mglcs_2_500_4_3.txt.out,5.9168,262
mglcs_2_500_4_4.txt.out,6.84907,288
mglcs_2_500_4_5.txt.out,4.9268,288
mglcs_2_500_4_6.txt.out,8.39085,296
mglcs_2_500_4_7.txt.out,8.95599,277
mglcs_2_500_4_8.txt.out,11.7704,291
mglcs_2_500_4_9.txt.out,10.2704,189
mglcs_2_50_2_0.txt.out,0.00387824,36
mglcs_2_50_2_1.txt.out,0.0355918,37
mglcs_2_50_2_2.txt.out,0.00427316,39
mglcs_2_50_2_3.txt.out,0.00815279,38
mglcs_2_50_2_4.txt.out,0.0022545,37
mglcs_2_50_2_5.txt.out,0.019779,36
mglcs_2_50_2_6.txt.out,0.00438382,39
mglcs_2_50_2_7.txt.out,0.0057215,39
mglcs_2_50_2_8.txt.out,0.00245263,38
mglcs_2_50_2_9.txt.out,0.0109872,38
mglcs_2_50_4_0.txt.out,0.0263259,29
mglcs_2_50_4_1.txt.out,0.0443736,31
mglcs_2_50_4_2.txt.out,0.0299922,31
mglcs_2_50_4_3.txt.out,0.0260444,29
mglcs_2_50_4_4.txt.out,0.0267839,32
mglcs_2_50_4_5.txt.out,0.0254799,29
mglcs_2_50_4_6.txt.out,0.0230458,30
mglcs_2_50_4_7.txt.out,0.0115043,30
mglcs_2_50_4_8.txt.out,0.0196172,30
mglcs_2_50_4_9.txt.out,0.00445314,28
mglcs_3_100_2_0.txt.out,0.638969,64
mglcs_3_100_2_1.txt.out,0.993454,63
mglcs_3_100_2_2.txt.out,0.194793,61
mglcs_3_100_2_3.txt.out,0.16887,59
mglcs_3_100_2_4.txt.out,0.106922,65
mglcs_3_100_2_5.txt.out,0.309793,56
mglcs_3_100_2_6.txt.out,0.345788,64
mglcs_3_100_2_7.txt.out,0.519439,46
mglcs_3_100_2_8.txt.out,0.100203,41
mglcs_3_100_2_9.txt.out,0.480993,65
mglcs_3_100_4_0.txt.out,0.508029,45
mglcs_3_100_4_1.txt.out,1.82791,49
mglcs_3_100_4_2.txt.out,1.57629,48
mglcs_3_100_4_3.txt.out,0.240779,47
mglcs_3_100_4_4.txt.out,0.884334,50
mglcs_3_100_4_5.txt.out,0.734669,51
mglcs_3_100_4_6.txt.out,2.00952,51
mglcs_3_100_4_7.txt.out,0.893268,46
mglcs_3_100_4_8.txt.out,1.77426,44
mglcs_3_100_4_9.txt.out,0.685322,50
mglcs_3_200_2_0.txt.out,2.13074,123
mglcs_3_200_2_1.txt.out,2.71167,107
mglcs_3_200_2_2.txt.out,3.56625,134
mglcs_3_200_2_3.txt.out,0.521331,57
