file,time,quality
mglcs_10_100_2_0.txt.out,0.0136625,7
mglcs_10_100_2_1.txt.out,0.0125351,8
mglcs_10_100_2_2.txt.out,0.0120532,8
mglcs_10_100_2_3.txt.out,0.0142821,9
mglcs_10_100_2_4.txt.out,0.018959,12
mglcs_10_100_2_5.txt.out,0.0270636,10
mglcs_10_100_2_6.txt.out,0.0187305,8
mglcs_10_100_2_7.txt.out,0.0174569,8
mglcs_10_100_2_8.txt.out,0.0183378,10
mglcs_10_100_2_9.txt.out,0.0197306,7
mglcs_10_100_4_0.txt.out,0.0217187,4
mglcs_10_100_4_1.txt.out,0.0215517,6
mglcs_10_100_4_2.txt.out,0.0228008,6
mglcs_10_100_4_3.txt.out,0.0224658,6
mglcs_10_100_4_4.txt.out,0.0257365,8
mglcs_10_100_4_5.txt.out,0.0223479,7
mglcs_10_100_4_6.txt.out,0.0227298,7
mglcs_10_100_4_7.txt.out,0.0202118,5
mglcs_10_100_4_8.txt.out,0.0199478,5
mglcs_10_100_4_9.txt.out,0.0218181,8
mglcs_10_200_2_0.txt.out,0.0282852,6
mglcs_10_200_2_1.txt.out,0.0207989,8
mglcs_10_200_2_2.txt.out,0.0246857,10
mglcs_10_200_2_3.txt.out,0.0260597,10
mglcs_10_200_2_4.txt.out,0.0190413,13
mglcs_10_200_2_5.txt.out,0.0323857,12
mglcs_10_200_2_6.txt.out,0.0295437,11
mglcs_10_200_2_7.txt.out,0.0276644,10
mglcs_10_200_2_8.txt.out,0.0395147,14
mglcs_10_200_2_9.txt.out,0.0214154,9
mglcs_10_200_4_0.txt.out,0.0214349,5
mglcs_10_200_4_1.txt.out,0.021518,6
mglcs_10_200_4_2.txt.out,0.0244662,5
mglcs_10_200_4_3.txt.out,0.0246359,10
mglcs_10_200_4_4.txt.out,0.0243455,6
mglcs_10_200_4_5.txt.out,0.0239845,6
mglcs_10_200_4_6.txt.out,0.0264944,7
mglcs_10_200_4_7.txt.out,0.0227002,4
mglcs_10_200_4_8.txt.out,0.0271097,5
mglcs_10_200_4_9.txt.out,0.0301273,7
mglcs_10_500_2_0.txt.out,0.0464933,10
mglcs_10_500_2_1.txt.out,0.0752061,11
mglcs_10_500_2_2.txt.out,0.0384929,12
