file,time,quality
mglcs_10_100_2_0.txt.out,1.3794,13
mglcs_10_100_2_1.txt.out,0.872665,9
mglcs_10_100_2_2.txt.out,0.868548,11
mglcs_10_100_2_3.txt.out,1.13612,16
mglcs_10_100_2_4.txt.out,1.06839,12
mglcs_10_100_2_5.txt.out,1.01274,11
mglcs_10_100_2_6.txt.out,0.977302,9
mglcs_10_100_2_7.txt.out,1.18499,11
mglcs_10_100_2_8.txt.out,1.30216,10
mglcs_10_100_2_9.txt.out,1.14997,11
mglcs_10_100_4_0.txt.out,4.15207,7
mglcs_10_100_4_1.txt.out,4.13352,7
mglcs_10_100_4_2.txt.out,3.78528,9
mglcs_10_100_4_3.txt.out,3.8105,9
mglcs_10_100_4_4.txt.out,3.52791,8
mglcs_10_100_4_5.txt.out,4.16968,8
mglcs_10_100_4_6.txt.out,3.60344,8
mglcs_10_100_4_7.txt.out,3.443,9
mglcs_10_100_4_8.txt.out,4.40653,7
mglcs_10_100_4_9.txt.out,3.98357,9
mglcs_10_200_2_0.txt.out,0.897794,9
mglcs_10_200_2_1.txt.out,1.04295,12
mglcs_10_200_2_2.txt.out,1.17832,12
mglcs_10_200_2_3.txt.out,0.985084,11
mglcs_10_200_2_4.txt.out,1.15189,13
mglcs_10_200_2_5.txt.out,1.00051,12
mglcs_10_200_2_6.txt.out,1.05621,12
mglcs_10_200_2_7.txt.out,1.03637,14
mglcs_10_200_2_8.txt.out,1.3545,20
mglcs_10_200_2_9.txt.out,0.987654,11
mglcs_10_200_4_0.txt.out,4.85149,7
mglcs_10_200_4_1.txt.out,5.82773,6
mglcs_10_200_4_2.txt.out,5.47382,7
mglcs_10_200_4_3.txt.out,4.95996,10
mglcs_10_200_4_4.txt.out,5.3119,10
mglcs_10_200_4_5.txt.out,5.37354,8
mglcs_10_200_4_6.txt.out,4.9202,9
mglcs_10_200_4_7.txt.out,4.62384,7
mglcs_10_200_4_8.txt.out,4.09936,7
mglcs_10_200_4_9.txt.out,4.04338,8
mglcs_10_500_2_0.txt.out,1.08466,15
mglcs_10_500_2_1.txt.out,1.22723,14
mglcs_10_500_2_2.txt.out,1.08105,13
mglcs_10_500_2_3.txt.out,1.13872,10
mglcs_10_500_2_4.txt.out,1.386,14
mglcs_10_500_2_5.txt.out,1.22816,14
mglcs_10_500_2_6.txt.out,1.25645,16
mglcs_10_500_2_7.txt.out,1.04097,11
mglcs_10_500_2_8.txt.out,0.964973,10
mglcs_10_500_2_9.txt.out,1.14801,11
mglcs_10_500_4_0.txt.out,5.50641,7
mglcs_10_500_4_1.txt.out,4.15434,7
mglcs_10_500_4_2.txt.out,4.20025,8
mglcs_10_500_4_3.txt.out,5.15934,9
mglcs_10_500_4_4.txt.out,4.65086,9
mglcs_10_500_4_5.txt.out,6.14063,7
mglcs_10_500_4_6.txt.out,4.70062,11
mglcs_10_500_4_7.txt.out,3.99419,7
mglcs_10_500_4_8.txt.out,4.0103,9
mglcs_10_500_4_9.txt.out,4.16438,10
mglcs_10_50_2_0.txt.out,0.744287,14
mglcs_10_50_2_1.txt.out,0.572669,9
mglcs_10_50_2_2.txt.out,1.09572,9
mglcs_10_50_2_3.txt.out,0.986703,14
mglcs_10_50_2_4.txt.out,0.912677,8
mglcs_10_50_2_5.txt.out,0.312208,14
mglcs_10_50_2_6.txt.out,0.926652,12
mglcs_10_50_2_7.txt.out,0.871731,12
mglcs_10_50_2_8.txt.out,0.980502,10
mglcs_10_50_2_9.txt.out,0.290212,14
mglcs_10_50_4_0.txt.out,0.7645,8
mglcs_10_50_4_1.txt.out,2.90202,6
mglcs_10_50_4_2.txt.out,2.77379,8
mglcs_10_50_4_3.txt.out,2.84997,10
mglcs_10_50_4_4.txt.out,0.605434,8
mglcs_10_50_4_5.txt.out,1.9747,6
mglcs_10_50_4_6.txt.out,1.03026,7
mglcs_10_50_4_7.txt.out,2.29316,7
mglcs_10_50_4_8.txt.out,1.57677,7
mglcs_10_50_4_9.txt.out,0.747072,7
mglcs_2_100_2_0.txt.out,0.0702102,80
mglcs_2_100_2_1.txt.out,0.0187255,54
mglcs_2_100_2_2.txt.out,0.0672957,70
mglcs_2_100_2_3.txt.out,0.0995873,79
mglcs_2_100_2_4.txt.out,0.0665767,70
mglcs_2_100_2_5.txt.out,0.0527661,76
mglcs_2_100_2_6.txt.out,0.0767431,76
mglcs_2_100_2_7.txt.out,0.0483372,72
mglcs_2_100_2_8.txt.out,0.104275,75
mglcs_2_100_2_9.txt.out,0.0900025,76
mglcs_2_100_4_0.txt.out,0.0434511,62
mglcs_2_100_4_1.txt.out,0.040604,61
mglcs_2_100_4_2.txt.out,0.0530041,64
mglcs_2_100_4_3.txt.out,0.106197,61
mglcs_2_100_4_4.txt.out,0.089924,62
mglcs_2_100_4_5.txt.out,0.0509498,60
mglcs_2_100_4_6.txt.out,0.115512,60
mglcs_2_100_4_7.txt.out,0.114604,63
mglcs_2_100_4_8.txt.out,0.0405908,62
mglcs_2_100_4_9.txt.out,0.105691,62
mglcs_2_200_2_0.txt.out,0.313155,95
mglcs_2_200_2_1.txt.out,0.358051,115
mglcs_2_200_2_2.txt.out,0.297292,136
mglcs_2_200_2_3.txt.out,0.348675,149
mglcs_2_200_2_4.txt.out,0.424912,160
mglcs_2_200_2_5.txt.out,0.297875,135
mglcs_2_200_2_6.txt.out,0.308851,143
mglcs_2_200_2_7.txt.out,0.504778,155
mglcs_2_200_2_8.txt.out,0.432382,138
mglcs_2_200_2_9.txt.out,0.184416,143
mglcs_2_200_4_0.txt.out,0.291091,122
mglcs_2_200_4_1.txt.out,0.405282,124
mglcs_2_200_4_2.txt.out,1.01959,123
mglcs_2_200_4_3.txt.out,0.941212,124
mglcs_2_200_4_4.txt.out,0.153872,129
mglcs_2_200_4_5.txt.out,0.426319,121
mglcs_2_200_4_6.txt.out,0.330499,127
mglcs_2_200_4_7.txt.out,0.220529,126
mglcs_2_200_4_8.txt.out,0.361623,129
mglcs_2_200_4_9.txt.out,0.268253,126
