file,time,quality
mglcs_10_100_2_0.txt.out,3.44045,13
mglcs_10_100_2_1.txt.out,3.31741,9
mglcs_10_100_2_2.txt.out,3.1547,11
mglcs_10_100_2_3.txt.out,3.87809,16
mglcs_10_100_2_4.txt.out,3.22469,16
mglcs_10_100_2_5.txt.out,3.2703,11
mglcs_10_100_2_6.txt.out,3.09504,11
mglcs_10_100_2_7.txt.out,3.62313,11
mglcs_10_100_2_8.txt.out,3.54793,11
mglcs_10_100_2_9.txt.out,3.65864,11
mglcs_10_100_4_0.txt.out,15.7618,8
mglcs_10_100_4_1.txt.out,17.1361,8
mglcs_10_100_4_2.txt.out,14.3759,9
mglcs_10_100_4_3.txt.out,17.892,11
mglcs_10_100_4_4.txt.out,16.2029,8
mglcs_10_100_4_5.txt.out,18.8097,9
mglcs_10_100_4_6.txt.out,14.1699,9
mglcs_10_100_4_7.txt.out,15.0715,9
mglcs_10_100_4_8.txt.out,12.7958,8
mglcs_10_100_4_9.txt.out,11.5136,10
mglcs_10_200_2_0.txt.out,3.33462,9
mglcs_10_200_2_1.txt.out,2.90279,14
mglcs_10_200_2_2.txt.out,3.85553,12
mglcs_10_200_2_3.txt.out,3.71321,11
mglcs_10_200_2_4.txt.out,3.93945,13
mglcs_10_200_2_5.txt.out,3.89994,12
mglcs_10_200_2_6.txt.out,4.07619,12
mglcs_10_200_2_7.txt.out,4.14845,14
mglcs_10_200_2_8.txt.out,4.60073,20
mglcs_10_200_2_9.txt.out,3.35937,11
mglcs_10_200_4_0.txt.out,22.7706,8
mglcs_10_200_4_1.txt.out,17.3943,7
mglcs_10_200_4_2.txt.out,20.7692,8
mglcs_10_200_4_3.txt.out,18.0507,10
mglcs_10_200_4_4.txt.out,19.3429,10
mglcs_10_200_4_5.txt.out,19.4379,8
mglcs_10_200_4_6.txt.out,14.4049,9
mglcs_10_200_4_7.txt.out,16.9469,7
mglcs_10_200_4_8.txt.out,15.0461,7
mglcs_10_200_4_9.txt.out,14.7664,8
mglcs_10_500_2_0.txt.out,3.27283,15
mglcs_10_500_2_1.txt.out,3.44867,14
mglcs_10_500_2_2.txt.out,3.50588,13
mglcs_10_500_2_3.txt.out,3.65953,13
mglcs_10_500_2_4.txt.out,4.00381,14
mglcs_10_500_2_5.txt.out,4.07027,14
mglcs_10_500_2_6.txt.out,4.7709,16
mglcs_10_500_2_7.txt.out,4.07147,12
mglcs_10_500_2_8.txt.out,3.60761,10
mglcs_10_500_2_9.txt.out,3.56959,11
mglcs_10_500_4_0.txt.out,17.6518,8
mglcs_10_500_4_1.txt.out,15.756,7
mglcs_10_500_4_2.txt.out,15.8647,8
mglcs_10_500_4_3.txt.out,18.4557,9
mglcs_10_500_4_4.txt.out,16.7686,9
