file,time,quality
mglcs_10_100_2_0.txt.out,1.13931,16
mglcs_10_100_2_1.txt.out,0.978961,10
mglcs_10_100_2_2.txt.out,1.00729,14
mglcs_10_100_2_3.txt.out,1.14358,16
mglcs_10_100_2_4.txt.out,1.09768,12
mglcs_10_100_2_5.txt.out,1.007,13
mglcs_10_100_2_6.txt.out,1.11135,15
mglcs_10_100_2_7.txt.out,1.11569,14
mglcs_10_100_2_8.txt.out,1.02995,13
mglcs_10_100_2_9.txt.out,1.00536,12
mglcs_10_100_4_0.txt.out,3.3589,10
mglcs_10_100_4_1.txt.out,5.21488,8
mglcs_10_100_4_2.txt.out,5.28386,10
mglcs_10_100_4_3.txt.out,5.64462,10
mglcs_10_100_4_4.txt.out,5.37842,8
mglcs_10_100_4_5.txt.out,5.57934,11
mglcs_10_100_4_6.txt.out,5.5365,9
mglcs_10_100_4_7.txt.out,5.59238,9
mglcs_10_100_4_8.txt.out,5.48371,9
mglcs_10_100_4_9.txt.out,3.73693,12
mglcs_10_200_2_0.txt.out,1.03489,10
mglcs_10_200_2_1.txt.out,0.994072,15
mglcs_10_200_2_2.txt.out,1.2029,13
mglcs_10_200_2_3.txt.out,1.06541,13
mglcs_10_200_2_4.txt.out,1.06715,14
mglcs_10_200_2_5.txt.out,1.08321,15
mglcs_10_200_2_6.txt.out,1.13703,18
mglcs_10_200_2_7.txt.out,1.15456,14
mglcs_10_200_2_8.txt.out,1.18778,20
mglcs_10_200_2_9.txt.out,1.01317,10
mglcs_10_200_4_0.txt.out,3.82484,9
mglcs_10_200_4_1.txt.out,3.33963,8
mglcs_10_200_4_2.txt.out,4.50885,8
mglcs_10_200_4_3.txt.out,4.64323,9
mglcs_10_200_4_4.txt.out,5.27837,10
mglcs_10_200_4_5.txt.out,5.18435,9
mglcs_10_200_4_6.txt.out,5.06188,8
mglcs_10_200_4_7.txt.out,5.45345,8
mglcs_10_200_4_8.txt.out,5.48307,9
mglcs_10_200_4_9.txt.out,5.4652,9
mglcs_10_500_2_0.txt.out,1.00707,14
mglcs_10_500_2_1.txt.out,1.30809,14
mglcs_10_500_2_2.txt.out,1.32591,13
mglcs_10_500_2_3.txt.out,1.49778,15
mglcs_10_500_2_4.txt.out,1.50124,14
mglcs_10_500_2_5.txt.out,1.4596,17
mglcs_10_500_2_6.txt.out,1.48157,15
mglcs_10_500_2_7.txt.out,1.4222,12
mglcs_10_500_2_8.txt.out,1.37724,18
mglcs_10_500_2_9.txt.out,1.37867,12
mglcs_10_500_4_0.txt.out,4.84426,8
mglcs_10_500_4_1.txt.out,4.78106,7
mglcs_10_500_4_2.txt.out,5.83659,12
mglcs_10_500_4_3.txt.out,5.91267,9
mglcs_10_500_4_4.txt.out,5.77831,9
mglcs_10_500_4_5.txt.out,5.32281,9
mglcs_10_500_4_6.txt.out,5.5036,13
mglcs_10_500_4_7.txt.out,4.64201,10
mglcs_10_500_4_8.txt.out,5.48304,9
mglcs_10_500_4_9.txt.out,5.45754,9
mglcs_10_50_2_0.txt.out,0.359579,14
mglcs_10_50_2_1.txt.out,0.297679,9
mglcs_10_50_2_2.txt.out,0.513158,9
mglcs_10_50_2_3.txt.out,0.444383,13
mglcs_10_50_2_4.txt.out,0.290534,8
mglcs_10_50_2_5.txt.out,0.199006,14
mglcs_10_50_2_6.txt.out,0.387167,12
mglcs_10_50_2_7.txt.out,0.569229,12
mglcs_10_50_2_8.txt.out,0.665253,10
mglcs_10_50_2_9.txt.out,0.442814,14
mglcs_10_50_4_0.txt.out,0.875505,8
mglcs_10_50_4_1.txt.out,1.1879,8
mglcs_10_50_4_2.txt.out,1.14912,8
mglcs_10_50_4_3.txt.out,1.25251,10
mglcs_10_50_4_4.txt.out,0.57033,8
mglcs_10_50_4_5.txt.out,1.24287,5
mglcs_10_50_4_6.txt.out,0.736246,7
mglcs_10_50_4_7.txt.out,0.998695,6
mglcs_10_50_4_8.txt.out,0.80328,6
mglcs_10_50_4_9.txt.out,0.53189,7
mglcs_2_100_2_0.txt.out,0.118084,80
mglcs_2_100_2_1.txt.out,0.0326483,54
mglcs_2_100_2_2.txt.out,0.11222,70
mglcs_2_100_2_3.txt.out,0.178859,72
mglcs_2_100_2_4.txt.out,0.0745744,55
mglcs_2_100_2_5.txt.out,0.092646,76
mglcs_2_100_2_6.txt.out,0.144364,71
mglcs_2_100_2_7.txt.out,0.102576,72
mglcs_2_100_2_8.txt.out,0.144206,71
mglcs_2_100_2_9.txt.out,0.141314,76
mglcs_2_100_4_0.txt.out,0.0613656,57
mglcs_2_100_4_1.txt.out,0.04367,45
mglcs_2_100_4_2.txt.out,0.0466484,43
mglcs_2_100_4_3.txt.out,0.120285,60
mglcs_2_100_4_4.txt.out,0.083389,45
mglcs_2_100_4_5.txt.out,0.0434581,58
mglcs_2_100_4_6.txt.out,0.163498,58
mglcs_2_100_4_7.txt.out,0.0827261,47
mglcs_2_100_4_8.txt.out,0.0394469,62
mglcs_2_100_4_9.txt.out,0.159656,62
mglcs_2_200_2_0.txt.out,0.385982,93
mglcs_2_200_2_1.txt.out,0.645705,106
mglcs_2_200_2_2.txt.out,0.521734,135
mglcs_2_200_2_3.txt.out,0.541428,140
mglcs_2_200_2_4.txt.out,0.755112,157
mglcs_2_200_2_5.txt.out,0.454128,107
mglcs_2_200_2_6.txt.out,0.64534,128
mglcs_2_200_2_7.txt.out,0.694785,125
mglcs_2_200_2_8.txt.out,0.689524,121
mglcs_2_200_2_9.txt.out,0.414134,141
mglcs_2_200_4_0.txt.out,0.2892,92
mglcs_2_200_4_1.txt.out,0.44652,115
mglcs_2_200_4_2.txt.out,0.675065,101
mglcs_2_200_4_3.txt.out,0.359978,90
mglcs_2_200_4_4.txt.out,0.126934,93
mglcs_2_200_4_5.txt.out,0.422181,100
mglcs_2_200_4_6.txt.out,0.53341,103
mglcs_2_200_4_7.txt.out,0.226637,122
mglcs_2_200_4_8.txt.out,0.445097,122
mglcs_2_200_4_9.txt.out,0.546089,126
mglcs_2_500_2_0.txt.out,7.5851,191
mglcs_2_500_2_1.txt.out,5.1976,188
mglcs_2_500_2_2.txt.out,7.65024,183
mglcs_2_500_2_3.txt.out,4.94603,321
mglcs_2_500_2_4.txt.out,6.53663,232
mglcs_2_500_2_5.txt.out,6.20727,231
mglcs_2_500_2_6.txt.out,5.33928,240
mglcs_2_500_2_7.txt.out,5.66378,214
mglcs_2_500_2_8.txt.out,6.33001,285
mglcs_2_500_2_9.txt.out,6.2055,226
mglcs_2_500_4_0.txt.out,0.569265,302
mglcs_2_500_4_1.txt.out,1.94883,290
mglcs_2_500_4_2.txt.out,0.762252,203
mglcs_2_500_4_3.txt.out,1.53457,195
mglcs_2_500_4_4.txt.out,2.07042,219
mglcs_2_500_4_5.txt.out,1.38303,270
mglcs_2_500_4_6.txt.out,2.28583,296
mglcs_2_500_4_7.txt.out,3.97571,277
mglcs_2_500_4_8.txt.out,3.5366,276
mglcs_2_500_4_9.txt.out,2.16725,160
mglcs_2_50_2_0.txt.out,0.00294856,36
mglcs_2_50_2_1.txt.out,0.0259163,37
mglcs_2_50_2_2.txt.out,0.00309592,39
mglcs_2_50_2_3.txt.out,0.00618353,38
mglcs_2_50_2_4.txt.out,0.00201725,37
mglcs_2_50_2_5.txt.out,0.0142324,36
mglcs_2_50_2_6.txt.out,0.00298201,39
mglcs_2_50_2_7.txt.out,0.00369144,39
mglcs_2_50_2_8.txt.out,0.00128289,38
mglcs_2_50_2_9.txt.out,0.00792356,38
mglcs_2_50_4_0.txt.out,0.0104272,24
mglcs_2_50_4_1.txt.out,0.0268302,31
mglcs_2_50_4_2.txt.out,0.0158916,25
mglcs_2_50_4_3.txt.out,0.0142377,24
mglcs_2_50_4_4.txt.out,0.0141288,32
mglcs_2_50_4_5.txt.out,0.0211371,30
mglcs_2_50_4_6.txt.out,0.017071,30
mglcs_2_50_4_7.txt.out,0.00945828,30
mglcs_2_50_4_8.txt.out,0.0166262,30
mglcs_2_50_4_9.txt.out,0.00389264,28
mglcs_3_100_2_0.txt.out,0.649344,64
mglcs_3_100_2_1.txt.out,1.00683,64
mglcs_3_100_2_2.txt.out,0.21979,61
mglcs_3_100_2_3.txt.out,0.184434,59
mglcs_3_100_2_4.txt.out,0.0935327,65
mglcs_3_100_2_5.txt.out,0.419317,56
mglcs_3_100_2_6.txt.out,0.376023,64
mglcs_3_100_2_7.txt.out,0.308315,46
mglcs_3_100_2_8.txt.out,0.105137,41
mglcs_3_100_2_9.txt.out,0.750968,65
mglcs_3_100_4_0.txt.out,0.458514,44
mglcs_3_100_4_1.txt.out,1.33554,49
mglcs_3_100_4_2.txt.out,1.0712,47
mglcs_3_100_4_3.txt.out,0.28255,47
mglcs_3_100_4_4.txt.out,0.48716,49
mglcs_3_100_4_5.txt.out,0.553764,51
mglcs_3_100_4_6.txt.out,1.23386,48
mglcs_3_100_4_7.txt.out,1.25931,45
mglcs_3_100_4_8.txt.out,1.41121,44
mglcs_3_100_4_9.txt.out,0.671123,50
mglcs_3_200_2_0.txt.out,22.4061,115
mglcs_3_200_2_1.txt.out,15.4183,113
mglcs_3_200_2_2.txt.out,19.4972,105
mglcs_3_200_2_3.txt.out,1.96002,97
mglcs_3_200_2_4.txt.out,18.4516,106
mglcs_3_200_2_5.txt.out,3.41892,106
mglcs_3_200_2_6.txt.out,6.05506,75
