file,time,quality
mglcs_10_100_2_0.txt.out,2.19172,16
mglcs_10_100_2_1.txt.out,1.32125,12
mglcs_10_100_2_2.txt.out,1.06047,12
mglcs_10_100_2_3.txt.out,1.22491,14
mglcs_10_100_2_4.txt.out,1.37307,16
mglcs_10_100_2_5.txt.out,1.32119,13
mglcs_10_100_2_6.txt.out,1.27685,15
mglcs_10_100_2_7.txt.out,1.7685,13
mglcs_10_100_2_8.txt.out,1.4767,11
mglcs_10_100_2_9.txt.out,1.16598,12
mglcs_10_100_4_0.txt.out,4.16587,11
mglcs_10_100_4_1.txt.out,4.31261,7
mglcs_10_100_4_2.txt.out,4.63801,10
mglcs_10_100_4_3.txt.out,4.78634,13
mglcs_10_100_4_4.txt.out,4.2259,8
mglcs_10_100_4_5.txt.out,3.82505,10
mglcs_10_100_4_6.txt.out,4.47244,11
mglcs_10_100_4_7.txt.out,4.77414,9
mglcs_10_100_4_8.txt.out,4.18104,8
mglcs_10_100_4_9.txt.out,4.13835,11
mglcs_10_200_2_0.txt.out,1.13255,10
mglcs_10_200_2_1.txt.out,1.42085,12
mglcs_10_200_2_2.txt.out,1.36697,13
mglcs_10_200_2_3.txt.out,1.45072,12
mglcs_10_200_2_4.txt.out,1.69473,14
mglcs_10_200_2_5.txt.out,1.48237,16
mglcs_10_200_2_6.txt.out,1.51457,15
mglcs_10_200_2_7.txt.out,1.40125,15
mglcs_10_200_2_8.txt.out,1.61664,19
mglcs_10_200_2_9.txt.out,1.27827,10
mglcs_10_200_4_0.txt.out,3.94639,9
mglcs_10_200_4_1.txt.out,4.28229,9
mglcs_10_200_4_2.txt.out,5.80435,8
mglcs_10_200_4_3.txt.out,5.93425,10
mglcs_10_200_4_4.txt.out,4.76473,10
mglcs_10_200_4_5.txt.out,4.9646,11
mglcs_10_200_4_6.txt.out,5.13609,10
mglcs_10_200_4_7.txt.out,5.30459,8
mglcs_10_200_4_8.txt.out,5.01852,8
mglcs_10_200_4_9.txt.out,4.14948,8
mglcs_10_500_2_0.txt.out,1.16124,13
mglcs_10_500_2_1.txt.out,1.37017,14
mglcs_10_500_2_2.txt.out,3.20098,13
mglcs_10_500_2_3.txt.out,1.73552,15
mglcs_10_500_2_4.txt.out,1.3435,15
mglcs_10_500_2_5.txt.out,1.2277,14
mglcs_10_500_2_6.txt.out,1.68518,18
mglcs_10_500_2_7.txt.out,1.65517,12
mglcs_10_500_2_8.txt.out,1.41714,14
mglcs_10_500_2_9.txt.out,1.41704,16
mglcs_10_500_4_0.txt.out,5.32294,8
mglcs_10_500_4_1.txt.out,6.27973,8
mglcs_10_500_4_2.txt.out,4.38948,9
mglcs_10_500_4_3.txt.out,4.71768,10
mglcs_10_500_4_4.txt.out,4.71363,9
mglcs_10_500_4_5.txt.out,4.31373,10
mglcs_10_500_4_6.txt.out,3.92861,11
mglcs_10_500_4_7.txt.out,4.68297,11
mglcs_10_500_4_8.txt.out,3.85026,9
mglcs_10_500_4_9.txt.out,4.46166,11
mglcs_10_50_2_0.txt.out,0.528623,14
mglcs_10_50_2_1.txt.out,0.324691,9
mglcs_10_50_2_2.txt.out,0.587135,9
mglcs_10_50_2_3.txt.out,0.509504,13
mglcs_10_50_2_4.txt.out,0.357875,8
mglcs_10_50_2_5.txt.out,0.235749,14
mglcs_10_50_2_6.txt.out,0.442791,11
mglcs_10_50_2_7.txt.out,0.44656,12
mglcs_10_50_2_8.txt.out,0.418702,10
mglcs_10_50_2_9.txt.out,0.226752,14
mglcs_10_50_4_0.txt.out,0.421518,8
mglcs_10_50_4_1.txt.out,1.00073,6
mglcs_10_50_4_2.txt.out,1.26676,7
mglcs_10_50_4_3.txt.out,1.10255,10
mglcs_10_50_4_4.txt.out,0.545795,8
mglcs_10_50_4_5.txt.out,1.33998,5
mglcs_10_50_4_6.txt.out,0.594665,7
mglcs_10_50_4_7.txt.out,1.17865,6
mglcs_10_50_4_8.txt.out,0.654542,7
mglcs_10_50_4_9.txt.out,0.381848,7
mglcs_2_100_2_0.txt.out,0.135315,80
mglcs_2_100_2_1.txt.out,0.0364543,54
mglcs_2_100_2_2.txt.out,0.0956069,70
mglcs_2_100_2_3.txt.out,0.190517,76
mglcs_2_100_2_4.txt.out,0.0750308,66
mglcs_2_100_2_5.txt.out,0.0945264,76
mglcs_2_100_2_6.txt.out,0.113019,74
mglcs_2_100_2_7.txt.out,0.116385,72
mglcs_2_100_2_8.txt.out,0.190482,71
mglcs_2_100_2_9.txt.out,0.119696,76
mglcs_2_100_4_0.txt.out,0.0605035,58
mglcs_2_100_4_1.txt.out,0.0446816,41
mglcs_2_100_4_2.txt.out,0.0477924,62
mglcs_2_100_4_3.txt.out,0.124424,60
mglcs_2_100_4_4.txt.out,0.0776455,57
mglcs_2_100_4_5.txt.out,0.0474048,58
mglcs_2_100_4_6.txt.out,0.194638,60
mglcs_2_100_4_7.txt.out,0.0853846,46
mglcs_2_100_4_8.txt.out,0.0472722,62
mglcs_2_100_4_9.txt.out,0.174867,62
mglcs_2_200_2_0.txt.out,0.55694,95
mglcs_2_200_2_1.txt.out,0.670513,123
mglcs_2_200_2_2.txt.out,0.51666,136
mglcs_2_200_2_3.txt.out,0.863903,140
mglcs_2_200_2_4.txt.out,0.635308,157
mglcs_2_200_2_5.txt.out,0.767437,139
mglcs_2_200_2_6.txt.out,0.542943,131
mglcs_2_200_2_7.txt.out,0.740241,126
mglcs_2_200_2_8.txt.out,1.61123,127
mglcs_2_200_2_9.txt.out,0.766577,143
mglcs_2_200_4_0.txt.out,0.323315,115
mglcs_2_200_4_1.txt.out,0.464493,117
mglcs_2_200_4_2.txt.out,0.79583,123
mglcs_2_200_4_3.txt.out,0.547726,104
mglcs_2_200_4_4.txt.out,0.124043,109
