file,time,quality
mglcs_10_100_2_0.txt.out,0.0104765,10
mglcs_10_100_2_1.txt.out,0.00763449,8
mglcs_10_100_2_2.txt.out,0.00767901,10
mglcs_10_100_2_3.txt.out,0.00858931,13
mglcs_10_100_2_4.txt.out,0.00947438,10
mglcs_10_100_2_5.txt.out,0.00917731,10
mglcs_10_100_2_6.txt.out,0.00765891,8
mglcs_10_100_2_7.txt.out,0.00742289,9
mglcs_10_100_2_8.txt.out,0.00776839,8
mglcs_10_100_2_9.txt.out,0.00747132,8
mglcs_10_100_4_0.txt.out,0.0123652,7
mglcs_10_100_4_1.txt.out,0.0124712,6
mglcs_10_100_4_2.txt.out,0.0128238,6
mglcs_10_100_4_3.txt.out,0.0144519,7
mglcs_10_100_4_4.txt.out,0.0135583,8
mglcs_10_100_4_5.txt.out,0.012869,6
mglcs_10_100_4_6.txt.out,0.0155517,7
mglcs_10_100_4_7.txt.out,0.0126286,9
mglcs_10_100_4_8.txt.out,0.0126945,6
mglcs_10_100_4_9.txt.out,0.0133782,7
mglcs_10_200_2_0.txt.out,0.00826913,7
mglcs_10_200_2_1.txt.out,0.00747557,12
mglcs_10_200_2_2.txt.out,0.00824633,10
mglcs_10_200_2_3.txt.out,0.00869178,10
mglcs_10_200_2_4.txt.out,0.0162271,13
mglcs_10_200_2_5.txt.out,0.017557,11
mglcs_10_200_2_6.txt.out,0.0174515,11
mglcs_10_200_2_7.txt.out,0.00981111,14
mglcs_10_200_2_8.txt.out,0.0136988,19
mglcs_10_200_2_9.txt.out,0.00827634,9
mglcs_10_200_4_0.txt.out,0.011911,7
mglcs_10_200_4_1.txt.out,0.0116381,5
mglcs_10_200_4_2.txt.out,0.0121862,5
mglcs_10_200_4_3.txt.out,0.0133527,9
mglcs_10_200_4_4.txt.out,0.0131999,8
mglcs_10_200_4_5.txt.out,0.0123792,7
mglcs_10_200_4_6.txt.out,0.0124107,6
mglcs_10_200_4_7.txt.out,0.0114574,7
mglcs_10_200_4_8.txt.out,0.0120718,5
mglcs_10_200_4_9.txt.out,0.0122314,7
mglcs_10_500_2_0.txt.out,0.00905336,11
mglcs_10_500_2_1.txt.out,0.0103613,10
mglcs_10_500_2_2.txt.out,0.00825926,10
mglcs_10_500_2_3.txt.out,0.00820904,8
mglcs_10_500_2_4.txt.out,0.00983798,13
mglcs_10_500_2_5.txt.out,0.00957483,10
mglcs_10_500_2_6.txt.out,0.00939253,13
mglcs_10_500_2_7.txt.out,0.00697774,8
mglcs_10_500_2_8.txt.out,0.00739011,8
mglcs_10_500_2_9.txt.out,0.00846853,8
mglcs_10_500_4_0.txt.out,0.0115248,5
mglcs_10_500_4_1.txt.out,0.0117219,6
mglcs_10_500_4_2.txt.out,0.0137407,8
mglcs_10_500_4_3.txt.out,0.0132735,7
mglcs_10_500_4_4.txt.out,0.0125801,8
mglcs_10_500_4_5.txt.out,0.0125145,6
mglcs_10_500_4_6.txt.out,0.0124437,8
mglcs_10_500_4_7.txt.out,0.0148607,6
mglcs_10_500_4_8.txt.out,0.0143095,6
mglcs_10_500_4_9.txt.out,0.0141059,7
mglcs_10_50_2_0.txt.out,0.00936155,11
mglcs_10_50_2_1.txt.out,0.00900005,8
mglcs_10_50_2_2.txt.out,0.0084501,8
mglcs_10_50_2_3.txt.out,0.00982746,11
mglcs_10_50_2_4.txt.out,0.00673796,7
mglcs_10_50_2_5.txt.out,0.0112299,14
mglcs_10_50_2_6.txt.out,0.0093107,9
mglcs_10_50_2_7.txt.out,0.0083731,9
mglcs_10_50_2_8.txt.out,0.0140152,7
mglcs_10_50_2_9.txt.out,0.0180793,11
mglcs_10_50_4_0.txt.out,0.0174581,7
mglcs_10_50_4_1.txt.out,0.0177061,5
mglcs_10_50_4_2.txt.out,0.0116857,7
mglcs_10_50_4_3.txt.out,0.0200882,8
mglcs_10_50_4_4.txt.out,0.0105552,8
mglcs_10_50_4_5.txt.out,0.0102358,5
mglcs_10_50_4_6.txt.out,0.0151146,5
mglcs_10_50_4_7.txt.out,0.0107593,6
mglcs_10_50_4_8.txt.out,0.0103227,5
mglcs_10_50_4_9.txt.out,0.00992365,5
mglcs_2_100_2_0.txt.out,0.143423,80
mglcs_2_100_2_1.txt.out,0.0372865,54
mglcs_2_100_2_2.txt.out,0.132318,70
mglcs_2_100_2_3.txt.out,0.216188,79
mglcs_2_100_2_4.txt.out,0.106195,70
mglcs_2_100_2_5.txt.out,0.135444,76
mglcs_2_100_2_6.txt.out,0.136901,77
mglcs_2_100_2_7.txt.out,0.110595,72
mglcs_2_100_2_8.txt.out,0.188916,75
mglcs_2_100_2_9.txt.out,0.15462,76
mglcs_2_100_4_0.txt.out,0.0893958,61
mglcs_2_100_4_1.txt.out,0.0628413,56
mglcs_2_100_4_2.txt.out,0.0843348,62
mglcs_2_100_4_3.txt.out,0.142435,60
mglcs_2_100_4_4.txt.out,0.107834,53
mglcs_2_100_4_5.txt.out,0.070353,58
mglcs_2_100_4_6.txt.out,0.156294,60
mglcs_2_100_4_7.txt.out,0.113766,62
mglcs_2_100_4_8.txt.out,0.0630125,58
mglcs_2_100_4_9.txt.out,0.175653,62
mglcs_2_200_2_0.txt.out,0.576399,93
mglcs_2_200_2_1.txt.out,0.867976,125
mglcs_2_200_2_2.txt.out,0.724034,135
mglcs_2_200_2_3.txt.out,0.951848,143
mglcs_2_200_2_4.txt.out,1.09132,159
mglcs_2_200_2_5.txt.out,1.04557,146
mglcs_2_200_2_6.txt.out,0.761895,128
mglcs_2_200_2_7.txt.out,0.965743,151
mglcs_2_200_2_8.txt.out,1.18505,137
mglcs_2_200_2_9.txt.out,0.490052,143
mglcs_2_200_4_0.txt.out,0.465295,122
mglcs_2_200_4_1.txt.out,0.768442,119
mglcs_2_200_4_2.txt.out,0.833963,118
mglcs_2_200_4_3.txt.out,0.644553,115
mglcs_2_200_4_4.txt.out,0.192438,115
mglcs_2_200_4_5.txt.out,0.465391,113
mglcs_2_200_4_6.txt.out,0.597114,126
mglcs_2_200_4_7.txt.out,0.386281,123
mglcs_2_200_4_8.txt.out,0.794156,123
mglcs_2_200_4_9.txt.out,0.564027,126
mglcs_2_500_2_0.txt.out,3.84508,172
mglcs_2_500_2_1.txt.out,4.76752,225
mglcs_2_500_2_2.txt.out,6.40756,282
mglcs_2_500_2_3.txt.out,7.78286,306
mglcs_2_500_2_4.txt.out,7.63371,298
mglcs_2_500_2_5.txt.out,7.37471,323
mglcs_2_500_2_6.txt.out,15.8586,284
mglcs_2_500_2_7.txt.out,7.8438,363
mglcs_2_500_2_8.txt.out,6.94407,303
mglcs_2_500_2_9.txt.out,4.50011,247
mglcs_2_500_4_0.txt.out,2.22832,307
mglcs_2_500_4_1.txt.out,5.1835,292
mglcs_2_500_4_2.txt.out,1.28659,244
mglcs_2_500_4_3.txt.out,2.73302,293
mglcs_2_500_4_4.txt.out,6.12179,302
mglcs_2_500_4_5.txt.out,2.09274,298
mglcs_2_500_4_6.txt.out,2.19002,296
mglcs_2_500_4_7.txt.out,2.5173,281
mglcs_2_500_4_8.txt.out,3.32954,293
mglcs_2_500_4_9.txt.out,7.75149,287
mglcs_2_50_2_0.txt.out,0.00371267,36
mglcs_2_50_2_1.txt.out,0.0303892,37
mglcs_2_50_2_2.txt.out,0.00379781,39
mglcs_2_50_2_3.txt.out,0.00686639,38
mglcs_2_50_2_4.txt.out,0.00261252,37
mglcs_2_50_2_5.txt.out,0.0177105,36
mglcs_2_50_2_6.txt.out,0.00336772,39
mglcs_2_50_2_7.txt.out,0.0045477,39
mglcs_2_50_2_8.txt.out,0.00190334,38
mglcs_2_50_2_9.txt.out,0.00866671,38
