file,time,quality
mglcs_10_100_2_0.txt.out,1.59748,13
mglcs_10_100_2_1.txt.out,1.27095,9
mglcs_10_100_2_2.txt.out,1.0714,11
mglcs_10_100_2_3.txt.out,1.21784,16
mglcs_10_100_2_4.txt.out,1.14047,12
mglcs_10_100_2_5.txt.out,1.11298,11
mglcs_10_100_2_6.txt.out,1.08756,9
mglcs_10_100_2_7.txt.out,1.15377,11
mglcs_10_100_2_8.txt.out,1.23883,10
mglcs_10_100_2_9.txt.out,1.15959,11
mglcs_10_100_4_0.txt.out,5.38555,7
mglcs_10_100_4_1.txt.out,5.44352,7
mglcs_10_100_4_2.txt.out,4.92556,9
mglcs_10_100_4_3.txt.out,5.58742,9
mglcs_10_100_4_4.txt.out,3.46137,8
mglcs_10_100_4_5.txt.out,3.86172,8
mglcs_10_100_4_6.txt.out,3.89541,8
mglcs_10_100_4_7.txt.out,3.89401,9
mglcs_10_100_4_8.txt.out,4.50811,7
mglcs_10_100_4_9.txt.out,4.44887,9
mglcs_10_200_2_0.txt.out,1.07364,9
mglcs_10_200_2_1.txt.out,1.03951,12
mglcs_10_200_2_2.txt.out,1.1504,12
mglcs_10_200_2_3.txt.out,1.16526,11
mglcs_10_200_2_4.txt.out,1.25125,13
mglcs_10_200_2_5.txt.out,1.14126,12
mglcs_10_200_2_6.txt.out,1.24764,12
mglcs_10_200_2_7.txt.out,1.23051,14
mglcs_10_200_2_8.txt.out,1.50343,20
mglcs_10_200_2_9.txt.out,1.15156,11
mglcs_10_200_4_0.txt.out,4.39009,7
mglcs_10_200_4_1.txt.out,7.16899,6
mglcs_10_200_4_2.txt.out,7.66718,7
mglcs_10_200_4_3.txt.out,6.43205,10
mglcs_10_200_4_4.txt.out,5.08672,10
mglcs_10_200_4_5.txt.out,5.10624,8
mglcs_10_200_4_6.txt.out,4.6227,9
mglcs_10_200_4_7.txt.out,4.96127,7
mglcs_10_200_4_8.txt.out,3.02254,7
mglcs_10_200_4_9.txt.out,3.05896,8
mglcs_10_500_2_0.txt.out,1.71633,15
mglcs_10_500_2_1.txt.out,0.974526,14
mglcs_10_500_2_2.txt.out,0.91042,13
mglcs_10_500_2_3.txt.out,0.926274,10
mglcs_10_500_2_4.txt.out,1.16217,14
mglcs_10_500_2_5.txt.out,1.00709,14
mglcs_10_500_2_6.txt.out,1.17058,16
mglcs_10_500_2_7.txt.out,0.913921,11
mglcs_10_500_2_8.txt.out,1.02374,10
mglcs_10_500_2_9.txt.out,1.14183,11
mglcs_10_500_4_0.txt.out,5.74514,7
mglcs_10_500_4_1.txt.out,4.49577,7
mglcs_10_500_4_2.txt.out,4.5592,8
mglcs_10_500_4_3.txt.out,5.34548,9
mglcs_10_500_4_4.txt.out,4.61408,9
mglcs_10_500_4_5.txt.out,5.90245,7
mglcs_10_500_4_6.txt.out,4.60451,11
mglcs_10_500_4_7.txt.out,4.48344,7
mglcs_10_500_4_8.txt.out,3.75272,9
mglcs_10_500_4_9.txt.out,3.95859,10
mglcs_10_50_2_0.txt.out,0.651423,14
mglcs_10_50_2_1.txt.out,0.473087,9
mglcs_10_50_2_2.txt.out,0.934841,9
mglcs_10_50_2_3.txt.out,0.825011,14
mglcs_10_50_2_4.txt.out,0.688119,8
mglcs_10_50_2_5.txt.out,0.260141,14
mglcs_10_50_2_6.txt.out,0.764473,12
mglcs_10_50_2_7.txt.out,0.714948,12
mglcs_10_50_2_8.txt.out,0.798825,10
mglcs_10_50_2_9.txt.out,0.234207,14
mglcs_10_50_4_0.txt.out,0.6032,8
mglcs_10_50_4_1.txt.out,3.05191,6
mglcs_10_50_4_2.txt.out,2.85045,8
mglcs_10_50_4_3.txt.out,3.0636,10
mglcs_10_50_4_4.txt.out,0.918928,8
mglcs_10_50_4_5.txt.out,2.20381,6
mglcs_10_50_4_6.txt.out,1.34217,7
mglcs_10_50_4_7.txt.out,2.46712,7
mglcs_10_50_4_8.txt.out,1.69697,7
mglcs_10_50_4_9.txt.out,0.872407,7
mglcs_2_100_2_0.txt.out,0.0701321,80
mglcs_2_100_2_1.txt.out,0.0224022,54
mglcs_2_100_2_2.txt.out,0.0710996,70
mglcs_2_100_2_3.txt.out,0.114773,79
mglcs_2_100_2_4.txt.out,0.0658021,70
mglcs_2_100_2_5.txt.out,0.0551162,76
mglcs_2_100_2_6.txt.out,0.0696918,76
mglcs_2_100_2_7.txt.out,0.044652,72
mglcs_2_100_2_8.txt.out,0.086457,75
mglcs_2_100_2_9.txt.out,0.0710933,76
mglcs_2_100_4_0.txt.out,0.0430312,62
mglcs_2_100_4_1.txt.out,0.0396117,61
mglcs_2_100_4_2.txt.out,0.0499436,64
mglcs_2_100_4_3.txt.out,0.0901832,61
mglcs_2_100_4_4.txt.out,0.0801123,62
mglcs_2_100_4_5.txt.out,0.0430224,60
mglcs_2_100_4_6.txt.out,0.0890337,60
mglcs_2_100_4_7.txt.out,0.0751813,63
mglcs_2_100_4_8.txt.out,0.0439136,62
mglcs_2_100_4_9.txt.out,0.109545,62
mglcs_2_200_2_0.txt.out,0.275781,95
mglcs_2_200_2_1.txt.out,0.313707,115
mglcs_2_200_2_2.txt.out,0.374588,136
mglcs_2_200_2_3.txt.out,0.408361,149
mglcs_2_200_2_4.txt.out,0.459918,160
