file,time,quality
mglcs_10_100_2_0.txt.out,0.0143082,11
mglcs_10_100_2_1.txt.out,0.0103383,9
mglcs_10_100_2_2.txt.out,0.0107187,8
mglcs_10_100_2_3.txt.out,0.0123785,12
mglcs_10_100_2_4.txt.out,0.0141942,10
mglcs_10_100_2_5.txt.out,0.0137917,9
mglcs_10_100_2_6.txt.out,0.0102272,8
mglcs_10_100_2_7.txt.out,0.00945217,9
mglcs_10_100_2_8.txt.out,0.0113931,9
mglcs_10_100_2_9.txt.out,0.0100502,7
mglcs_10_100_4_0.txt.out,0.0151133,7
mglcs_10_100_4_1.txt.out,0.0140447,6
mglcs_10_100_4_2.txt.out,0.0146315,6
mglcs_10_100_4_3.txt.out,0.017361,7
mglcs_10_100_4_4.txt.out,0.0166161,8
mglcs_10_100_4_5.txt.out,0.0152743,6
mglcs_10_100_4_6.txt.out,0.0152954,7
mglcs_10_100_4_7.txt.out,0.0221482,9
mglcs_10_100_4_8.txt.out,0.0221947,6
mglcs_10_100_4_9.txt.out,0.0245163,7
mglcs_10_200_2_0.txt.out,0.0242319,7
mglcs_10_200_2_1.txt.out,0.0218014,10
mglcs_10_200_2_2.txt.out,0.0235145,10
mglcs_10_200_2_3.txt.out,0.0237848,10
mglcs_10_200_2_4.txt.out,0.0239016,13
mglcs_10_200_2_5.txt.out,0.016891,11
mglcs_10_200_2_6.txt.out,0.0245829,11
mglcs_10_200_2_7.txt.out,0.0252375,10
mglcs_10_200_2_8.txt.out,0.0338355,17
mglcs_10_200_2_9.txt.out,0.0211283,9
mglcs_10_200_4_0.txt.out,0.0219618,6
mglcs_10_200_4_1.txt.out,0.0209384,5
mglcs_10_200_4_2.txt.out,0.0216779,5
mglcs_10_200_4_3.txt.out,0.0244362,9
mglcs_10_200_4_4.txt.out,0.0251473,8
mglcs_10_200_4_5.txt.out,0.0233854,7
mglcs_10_200_4_6.txt.out,0.0164387,6
mglcs_10_200_4_7.txt.out,0.0145736,6
mglcs_10_200_4_8.txt.out,0.0147981,5
mglcs_10_200_4_9.txt.out,0.014765,7
mglcs_10_500_2_0.txt.out,0.0250717,11
mglcs_10_500_2_1.txt.out,0.0320878,12
mglcs_10_500_2_2.txt.out,0.0251848,11
mglcs_10_500_2_3.txt.out,0.0264643,8
mglcs_10_500_2_4.txt.out,0.0357102,13
mglcs_10_500_2_5.txt.out,0.0311076,9
mglcs_10_500_2_6.txt.out,0.0377777,12
mglcs_10_500_2_7.txt.out,0.0250606,9
mglcs_10_500_2_8.txt.out,0.0189181,8
mglcs_10_500_2_9.txt.out,0.0209173,7
mglcs_10_500_4_0.txt.out,0.0146924,5
mglcs_10_500_4_1.txt.out,0.0164257,6
mglcs_10_500_4_2.txt.out,0.0309843,8
mglcs_10_500_4_3.txt.out,0.0229783,8
mglcs_10_500_4_4.txt.out,0.0190454,8
mglcs_10_500_4_5.txt.out,0.0226996,6
mglcs_10_500_4_6.txt.out,0.0184082,8
mglcs_10_500_4_7.txt.out,0.0201757,6
mglcs_10_500_4_8.txt.out,0.0186176,6
mglcs_10_500_4_9.txt.out,0.0192838,6
mglcs_10_50_2_0.txt.out,0.00973591,12
mglcs_10_50_2_1.txt.out,0.00870995,8
mglcs_10_50_2_2.txt.out,0.0191175,8
mglcs_10_50_2_3.txt.out,0.0200249,11
mglcs_10_50_2_4.txt.out,0.0160075,7
mglcs_10_50_2_5.txt.out,0.0217068,14
mglcs_10_50_2_6.txt.out,0.0198687,9
mglcs_10_50_2_7.txt.out,0.0176006,8
mglcs_10_50_2_8.txt.out,0.0174487,9
mglcs_10_50_2_9.txt.out,0.021474,13
mglcs_10_50_4_0.txt.out,0.013013,7
mglcs_10_50_4_1.txt.out,0.0123746,5
mglcs_10_50_4_2.txt.out,0.0136819,7
mglcs_10_50_4_3.txt.out,0.0174401,9
mglcs_10_50_4_4.txt.out,0.0130615,5
mglcs_10_50_4_5.txt.out,0.0120364,5
mglcs_10_50_4_6.txt.out,0.0125512,5
mglcs_10_50_4_7.txt.out,0.0146195,6
mglcs_10_50_4_8.txt.out,0.0137681,6
mglcs_10_50_4_9.txt.out,0.0119163,6
mglcs_2_100_2_0.txt.out,0.221413,80
mglcs_2_100_2_1.txt.out,0.0458844,54
mglcs_2_100_2_2.txt.out,0.132551,70
mglcs_2_100_2_3.txt.out,0.208929,77
mglcs_2_100_2_4.txt.out,0.0969037,66
mglcs_2_100_2_5.txt.out,0.136063,76
mglcs_2_100_2_6.txt.out,0.187225,75
mglcs_2_100_2_7.txt.out,0.142597,72
mglcs_2_100_2_8.txt.out,0.243752,72
mglcs_2_100_2_9.txt.out,0.146695,76
mglcs_2_100_4_0.txt.out,0.114113,59
mglcs_2_100_4_1.txt.out,0.12475,57
mglcs_2_100_4_2.txt.out,0.0978892,59
mglcs_2_100_4_3.txt.out,0.209965,60
mglcs_2_100_4_4.txt.out,0.149383,51
mglcs_2_100_4_5.txt.out,0.0974703,62
mglcs_2_100_4_6.txt.out,0.23647,60
mglcs_2_100_4_7.txt.out,0.14758,60
mglcs_2_100_4_8.txt.out,0.100318,62
mglcs_2_100_4_9.txt.out,0.242123,62
mglcs_2_200_2_0.txt.out,0.893257,95
mglcs_2_200_2_1.txt.out,1.0618,125
mglcs_2_200_2_2.txt.out,1.33969,137
mglcs_2_200_2_3.txt.out,1.22059,140
mglcs_2_200_2_4.txt.out,1.14822,157
mglcs_2_200_2_5.txt.out,1.73464,147
mglcs_2_200_2_6.txt.out,0.822847,131
mglcs_2_200_2_7.txt.out,1.21916,135
mglcs_2_200_2_8.txt.out,1.14361,122
mglcs_2_200_2_9.txt.out,0.957616,144
mglcs_2_200_4_0.txt.out,0.534508,99
mglcs_2_200_4_1.txt.out,0.685775,116
mglcs_2_200_4_2.txt.out,1.21802,117
mglcs_2_200_4_3.txt.out,0.69913,103
mglcs_2_200_4_4.txt.out,0.22373,97
mglcs_2_200_4_5.txt.out,0.398157,101
mglcs_2_200_4_6.txt.out,0.786066,126
mglcs_2_200_4_7.txt.out,0.289123,105
mglcs_2_200_4_8.txt.out,0.706844,119
mglcs_2_200_4_9.txt.out,0.438589,126
mglcs_2_500_2_0.txt.out,7.70306,174
mglcs_2_500_2_1.txt.out,10.7302,224
mglcs_2_500_2_2.txt.out,10.9957,202
mglcs_2_500_2_3.txt.out,14.5131,323
mglcs_2_500_2_4.txt.out,13.1274,278
mglcs_2_500_2_5.txt.out,12.9647,253
mglcs_2_500_2_6.txt.out,16.3272,274
mglcs_2_500_2_7.txt.out,11.1762,314
mglcs_2_500_2_8.txt.out,10.8915,293
mglcs_2_500_2_9.txt.out,7.16847,247
mglcs_2_500_4_0.txt.out,3.77095,307
mglcs_2_500_4_1.txt.out,6.09373,287
mglcs_2_500_4_2.txt.out,4.30937,241
mglcs_2_500_4_3.txt.out,6.36408,264
mglcs_2_500_4_4.txt.out,9.65932,282
mglcs_2_500_4_5.txt.out,3.59856,283
mglcs_2_500_4_6.txt.out,5.51,286
mglcs_2_500_4_7.txt.out,8.72289,277
mglcs_2_500_4_8.txt.out,11.129,278
mglcs_2_500_4_9.txt.out,5.90304,250
mglcs_2_50_2_0.txt.out,0.00418542,36
mglcs_2_50_2_1.txt.out,0.0314711,37
mglcs_2_50_2_2.txt.out,0.00508745,39
mglcs_2_50_2_3.txt.out,0.00951497,38
mglcs_2_50_2_4.txt.out,0.00384553,37
mglcs_2_50_2_5.txt.out,0.0204866,36
mglcs_2_50_2_6.txt.out,0.00448088,39
mglcs_2_50_2_7.txt.out,0.00594706,39
