file	obj	time	feasible
2_100_2_0	80	0.09	True
2_100_2_1	76	0.09	True
2_100_2_2	79	0.08	True
2_100_2_3	80	0.09	True
2_100_2_4	76	0.08	True
2_100_2_5	78	0.09	True
2_100_2_6	77	0.09	True
2_100_2_7	75	0.09	True
2_100_2_8	76	0.09	True
2_100_2_9	77	0.09	True
2_100_4_0	62	0.07	True
2_100_4_1	62	0.06	True
2_100_4_2	66	0.06	True
2_100_4_3	61	0.07	True
2_100_4_4	63	0.06	True
2_100_4_5	62	0.07	True
2_100_4_6	60	0.07	True
2_100_4_7	63	0.07	True
2_100_4_8	62	0.07	True
2_100_4_9	62	0.07	True
2_200_2_0	154	0.61	True
2_200_2_1	157	0.61	True
2_200_2_2	155	0.58	True
2_200_2_3	158	0.6	True
2_200_2_4	161	0.61	True
2_200_2_5	156	0.6	True
2_200_2_6	154	0.6	True
2_200_2_7	161	0.63	True
2_200_2_8	152	0.61	True
2_200_2_9	156	0.59	True
2_200_4_0	127	0.45	True
2_200_4_1	124	0.47	True
2_200_4_2	128	0.46	True
2_200_4_3	125	0.46	True
2_200_4_4	132	0.46	True
2_200_4_5	125	0.47	True
2_200_4_6	128	0.47	True
2_200_4_7	128	0.48	True
2_200_4_8	129	0.45	True
2_200_4_9	126	0.47	True
2_50_2_0	36	0.01	True
2_50_2_1	37	0.01	True
2_50_2_2	39	0.01	True
2_50_2_3	38	0.01	True
2_50_2_4	38	0.01	True
2_50_2_5	38	0.01	True
2_50_2_6	40	0.01	True
2_50_2_7	39	0.01	True
2_50_2_8	38	0.02	True
2_50_2_9	38	0.01	True
2_50_4_0	29	0.01	True
2_50_4_1	31	0.01	True
2_50_4_2	31	0.01	True
2_50_4_3	30	0.01	True
2_50_4_4	32	0.01	True
2_50_4_5	31	0.01	True
2_50_4_6	30	0.01	True
2_50_4_7	31	0.01	True
2_50_4_8	30	0.01	True
2_50_4_9	28	0.01	True
