beam_width,heuristic,imbs_iters,num_roots,file,time,quality,feasible
10000,h2,1,10,mglcs_10_100_2_0.txt.out,2.139e-05,1,YES
10000,h2,1,10,mglcs_10_100_2_1.txt.out,8.7741e-05,2,YES
10000,h2,1,10,mglcs_10_100_2_2.txt.out,7.8151e-05,1,YES
10000,h2,1,10,mglcs_10_100_2_3.txt.out,7.8121e-05,1,YES
10000,h2,1,10,mglcs_10_100_2_4.txt.out,2.1051e-05,1,YES
10000,h2,1,10,mglcs_10_100_2_5.txt.out,5.4141e-05,1,YES
10000,h2,1,10,mglcs_10_100_2_6.txt.out,2.747e-05,1,YES
10000,h2,1,10,mglcs_10_100_2_7.txt.out,6.0201e-05,1,YES
10000,h2,1,10,mglcs_10_100_2_8.txt.out,2.344e-05,1,YES
10000,h2,1,10,mglcs_10_100_2_9.txt.out,6.7041e-05,1,YES
10000,h2,1,10,mglcs_10_100_4_0.txt.out,5.6371e-05,2,YES
10000,h2,1,10,mglcs_10_100_4_1.txt.out,0.000136473,3,YES
10000,h2,1,10,mglcs_10_100_4_2.txt.out,7.2861e-05,3,YES
10000,h2,1,10,mglcs_10_100_4_3.txt.out,0.000164802,2,YES
10000,h2,1,10,mglcs_10_100_4_4.txt.out,0.000125682,1,YES
10000,h2,1,10,mglcs_10_100_4_5.txt.out,0.000149592,4,YES
10000,h2,1,10,mglcs_10_100_4_6.txt.out,7.349e-05,2,YES
10000,h2,1,10,mglcs_10_100_4_7.txt.out,0.000160371,1,YES
10000,h2,1,10,mglcs_10_100_4_8.txt.out,8.2121e-05,2,YES
10000,h2,1,10,mglcs_10_100_4_9.txt.out,7.0281e-05,2,YES
10000,h2,1,10,mglcs_10_200_2_0.txt.out,0.000160711,4,YES
10000,h2,1,10,mglcs_10_200_2_1.txt.out,4.041e-05,4,YES
10000,h2,1,10,mglcs_10_200_2_2.txt.out,0.000137001,3,YES
10000,h2,1,10,mglcs_10_200_2_3.txt.out,6.532e-05,2,YES
10000,h2,1,10,mglcs_10_200_2_4.txt.out,2.586e-05,2,YES
10000,h2,1,10,mglcs_10_200_2_5.txt.out,4.595e-05,1,YES
10000,h2,1,10,mglcs_10_200_2_6.txt.out,1.934e-05,1,YES
10000,h2,1,10,mglcs_10_200_2_7.txt.out,0.000183061,4,YES
10000,h2,1,10,mglcs_10_200_2_8.txt.out,3.668e-05,3,YES
10000,h2,1,10,mglcs_10_200_2_9.txt.out,3.1219e-05,1,YES
10000,h2,1,10,mglcs_10_200_4_0.txt.out,0.000179284,2,YES
10000,h2,1,10,mglcs_10_200_4_1.txt.out,7.3753e-05,2,YES
10000,h2,1,10,mglcs_10_200_4_2.txt.out,0.00012816,2,YES
10000,h2,1,10,mglcs_10_200_4_3.txt.out,0.000121595,2,YES
10000,h2,1,10,mglcs_10_200_4_4.txt.out,0.000161335,2,YES
10000,h2,1,10,mglcs_10_200_4_5.txt.out,9.743e-05,4,YES
10000,h2,1,10,mglcs_10_200_4_6.txt.out,6.0972e-05,1,YES
10000,h2,1,10,mglcs_10_200_4_7.txt.out,5.2361e-05,1,YES
10000,h2,1,10,mglcs_10_200_4_8.txt.out,0.000157521,3,YES
10000,h2,1,10,mglcs_10_200_4_9.txt.out,0.000176012,3,YES
10000,h2,1,10,mglcs_10_500_2_0.txt.out,4.0451e-05,1,YES
10000,h2,1,10,mglcs_10_500_2_1.txt.out,3.4121e-05,4,YES
10000,h2,1,10,mglcs_10_500_2_2.txt.out,5.8271e-05,2,YES
10000,h2,1,10,mglcs_10_500_2_3.txt.out,4.772e-05,2,YES
10000,h2,1,10,mglcs_10_500_2_4.txt.out,3.717e-05,1,YES
