sigma,filename,beam_width,base_heuristic,length_normal,length_prob,delta_length,time_s_normal,time_s_prob,delta_time
sigma-2,mglcs_10_100_2_0.txt,10,h1,1.0,1.0,0.0,0.0005,0.0337,0.0332
sigma-2,mglcs_10_100_2_0.txt,10,h2,1.0,1.0,0.0,0.0005,0.0359,0.0354
sigma-2,mglcs_10_100_2_0.txt,10,h3,1.0,1.0,0.0,0.0005,0.0396,0.0391
sigma-2,mglcs_10_100_2_0.txt,10,h4,1.0,1.0,0.0,0.0003,0.0334,0.0331
sigma-2,mglcs_10_100_2_0.txt,10,h5,1.0,1.0,0.0,0.0006,0.0471,0.0465
sigma-2,mglcs_10_100_2_0.txt,10,h6,1.0,1.0,0.0,0.0005,0.0308,0.0303
sigma-2,mglcs_10_100_2_0.txt,10,h7,1.0,1.0,0.0,0.0005,0.0319,0.0314
sigma-2,mglcs_10_100_2_1.txt,10,h1,2.0,2.0,0.0,0.0006,0.0519,0.0513
sigma-2,mglcs_10_100_2_1.txt,10,h2,2.0,2.0,0.0,0.0005,0.0546,0.0541
sigma-2,mglcs_10_100_2_1.txt,10,h3,2.0,2.0,0.0,0.0005,0.0458,0.0453
sigma-2,mglcs_10_100_2_1.txt,10,h4,2.0,2.0,0.0,0.0004,0.0488,0.048400000000000006
sigma-2,mglcs_10_100_2_1.txt,10,h5,2.0,2.0,0.0,0.0007,0.0633,0.06259999999999999
sigma-2,mglcs_10_100_2_1.txt,10,h6,2.0,2.0,0.0,0.0004,0.0469,0.0465
sigma-2,mglcs_10_100_2_1.txt,10,h7,2.0,2.0,0.0,0.0004,0.0561,0.0557
sigma-2,mglcs_10_100_2_2.txt,10,h1,1.0,1.0,0.0,0.0005,0.0412,0.0407
sigma-2,mglcs_10_100_2_2.txt,10,h2,1.0,1.0,0.0,0.0003,0.03,0.029699999999999997
sigma-2,mglcs_10_100_2_2.txt,10,h3,1.0,1.0,0.0,0.0005,0.0373,0.0368
sigma-2,mglcs_10_100_2_2.txt,10,h4,1.0,1.0,0.0,0.0006,0.0312,0.0306
sigma-2,mglcs_10_100_2_2.txt,10,h5,1.0,1.0,0.0,0.0005,0.048,0.0475
sigma-2,mglcs_10_100_2_2.txt,10,h6,1.0,1.0,0.0,0.0004,0.0318,0.031400000000000004
sigma-2,mglcs_10_100_2_2.txt,10,h7,1.0,1.0,0.0,0.0003,0.032,0.0317
sigma-2,mglcs_10_100_2_3.txt,10,h1,1.0,1.0,0.0,0.0003,0.0331,0.032799999999999996
sigma-2,mglcs_10_100_2_3.txt,10,h2,1.0,1.0,0.0,0.0004,0.0299,0.0295
sigma-2,mglcs_10_100_2_3.txt,10,h3,1.0,1.0,0.0,0.0004,0.0384,0.038
sigma-2,mglcs_10_100_2_3.txt,10,h4,1.0,1.0,0.0,0.0003,0.0337,0.0334
sigma-2,mglcs_10_100_2_3.txt,10,h5,1.0,1.0,0.0,0.0005,0.0466,0.0461
sigma-2,mglcs_10_100_2_3.txt,10,h6,1.0,1.0,0.0,0.0003,0.0322,0.0319
sigma-2,mglcs_10_100_2_3.txt,10,h7,1.0,1.0,0.0,0.0004,0.0324,0.032
sigma-2,mglcs_10_100_2_4.txt,10,h1,1.0,1.0,0.0,0.0004,0.0338,0.0334
sigma-2,mglcs_10_100_2_4.txt,10,h2,1.0,1.0,0.0,0.0003,0.0312,0.030899999999999997
sigma-2,mglcs_10_100_2_4.txt,10,h3,1.0,1.0,0.0,0.0003,0.032,0.0317
