beam_width,heuristic,imbs_iters,num_roots,file,time,quality
10000,h2,1,10,mglcs_10_100_2_0.txt.out,0.001209,1
10000,h2,1,10,mglcs_10_100_2_1.txt.out,0.001332,2
10000,h2,1,10,mglcs_10_100_2_2.txt.out,0.001191,1
10000,h2,1,10,mglcs_10_100_2_3.txt.out,0.001221,1
10000,h2,1,10,mglcs_10_100_2_4.txt.out,0.001232,1
10000,h2,1,10,mglcs_10_100_2_5.txt.out,0.001235,1
10000,h2,1,10,mglcs_10_100_2_6.txt.out,0.001236,1
10000,h2,1,10,mglcs_10_100_2_7.txt.out,0.001285,1
10000,h2,1,10,mglcs_10_100_2_8.txt.out,0.001205,1
10000,h2,1,10,mglcs_10_100_2_9.txt.out,0.001204,1
10000,h2,1,10,mglcs_10_100_4_0.txt.out,0.002048,2
10000,h2,1,10,mglcs_10_100_4_1.txt.out,0.002377,3
10000,h2,1,10,mglcs_10_100_4_2.txt.out,0.002409,3
10000,h2,1,10,mglcs_10_100_4_3.txt.out,0.001998,2
10000,h2,1,10,mglcs_10_100_4_4.txt.out,0.00184,1
10000,h2,1,10,mglcs_10_100_4_5.txt.out,0.002374,4
10000,h2,1,10,mglcs_10_100_4_6.txt.out,0.002006,2
10000,h2,1,10,mglcs_10_100_4_7.txt.out,0.002041,1
10000,h2,1,10,mglcs_10_100_4_8.txt.out,0.00216,2
10000,h2,1,10,mglcs_10_100_4_9.txt.out,0.002128,2
10000,h2,1,10,mglcs_10_200_2_0.txt.out,0.003453,4
10000,h2,1,10,mglcs_10_200_2_1.txt.out,0.003007,4
10000,h2,1,10,mglcs_10_200_2_2.txt.out,0.002509,3
10000,h2,1,10,mglcs_10_200_2_3.txt.out,0.002628,2
10000,h2,1,10,mglcs_10_200_2_4.txt.out,0.002404,2
10000,h2,1,10,mglcs_10_200_2_5.txt.out,0.00188,1
10000,h2,1,10,mglcs_10_200_2_6.txt.out,0.001869,1
10000,h2,1,10,mglcs_10_200_2_7.txt.out,0.003252,4
10000,h2,1,10,mglcs_10_200_2_8.txt.out,0.002391,3
10000,h2,1,10,mglcs_10_200_2_9.txt.out,0.002099,1
10000,h2,1,10,mglcs_10_200_4_0.txt.out,0.003757,2
10000,h2,1,10,mglcs_10_200_4_1.txt.out,0.00376,2
10000,h2,1,10,mglcs_10_200_4_2.txt.out,0.003451,2
10000,h2,1,10,mglcs_10_200_4_3.txt.out,0.003437,2
10000,h2,1,10,mglcs_10_200_4_4.txt.out,0.003364,2
10000,h2,1,10,mglcs_10_200_4_5.txt.out,0.003885,4
10000,h2,1,10,mglcs_10_200_4_6.txt.out,0.003169,1
10000,h2,1,10,mglcs_10_200_4_7.txt.out,0.003081,1
10000,h2,1,10,mglcs_10_200_4_8.txt.out,0.003668,3
10000,h2,1,10,mglcs_10_200_4_9.txt.out,0.003896,3
10000,h2,1,10,mglcs_10_500_2_0.txt.out,0.004407,1
10000,h2,1,10,mglcs_10_500_2_1.txt.out,0.00703,4
10000,h2,1,10,mglcs_10_500_2_2.txt.out,0.005037,2
10000,h2,1,10,mglcs_10_500_2_3.txt.out,0.004916,2
10000,h2,1,10,mglcs_10_500_2_4.txt.out,0.00446,1
10000,h2,1,10,mglcs_10_500_2_5.txt.out,0.00446,1
10000,h2,1,10,mglcs_10_500_2_6.txt.out,0.004017,1
10000,h2,1,10,mglcs_10_500_2_7.txt.out,0.004447,1
10000,h2,1,10,mglcs_10_500_2_8.txt.out,0.00462,2
10000,h2,1,10,mglcs_10_500_2_9.txt.out,0.005476,3
10000,h2,1,10,mglcs_10_500_4_0.txt.out,0.009682,2
10000,h2,1,10,mglcs_10_500_4_1.txt.out,0.007692,1
10000,h2,1,10,mglcs_10_500_4_2.txt.out,0.007774,1
