sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,10,h1,4,0.0061,True
sigma-2,mglcs_10_100_2_0.txt,10,h2,4,0.0105,True
sigma-2,mglcs_10_100_2_0.txt,10,h3,4,0.0083,True
sigma-2,mglcs_10_100_2_0.txt,10,h4,4,0.0075,True
sigma-2,mglcs_10_100_2_0.txt,10,h5,6,0.009,True
sigma-2,mglcs_10_100_2_0.txt,10,h6,4,0.006,True
sigma-2,mglcs_10_100_2_0.txt,10,h7,4,0.006,True
sigma-2,mglcs_10_100_2_0.txt,10,h8,6,0.025,True
sigma-2,mglcs_10_100_2_1.txt,10,h1,3,0.0065,True
sigma-2,mglcs_10_100_2_1.txt,10,h2,3,0.006,True
sigma-2,mglcs_10_100_2_1.txt,10,h3,3,0.0062,True
sigma-2,mglcs_10_100_2_1.txt,10,h4,3,0.006,True
sigma-2,mglcs_10_100_2_1.txt,10,h5,3,0.0071,True
sigma-2,mglcs_10_100_2_1.txt,10,h6,3,0.0054,True
sigma-2,mglcs_10_100_2_1.txt,10,h7,3,0.006,True
sigma-2,mglcs_10_100_2_1.txt,10,h8,3,0.0255,True
sigma-2,mglcs_10_100_2_2.txt,10,h1,6,0.006,True
sigma-2,mglcs_10_100_2_2.txt,10,h2,6,0.0065,True
sigma-2,mglcs_10_100_2_2.txt,10,h3,6,0.005,True
sigma-2,mglcs_10_100_2_2.txt,10,h4,6,0.0064,True
sigma-2,mglcs_10_100_2_2.txt,10,h5,6,0.0085,True
sigma-2,mglcs_10_100_2_2.txt,10,h6,6,0.006,True
sigma-2,mglcs_10_100_2_2.txt,10,h7,6,0.006,True
sigma-2,mglcs_10_100_2_2.txt,10,h8,6,0.0258,True
sigma-2,mglcs_10_100_2_3.txt,10,h1,4,0.0055,True
sigma-2,mglcs_10_100_2_3.txt,10,h2,4,0.006,True
sigma-2,mglcs_10_100_2_3.txt,10,h3,4,0.0055,True
sigma-2,mglcs_10_100_2_3.txt,10,h4,4,0.005,True
sigma-2,mglcs_10_100_2_3.txt,10,h5,4,0.0082,True
sigma-2,mglcs_10_100_2_3.txt,10,h6,4,0.0058,True
sigma-2,mglcs_10_100_2_3.txt,10,h7,4,0.0055,True
sigma-2,mglcs_10_100_2_3.txt,10,h8,4,0.0231,True
sigma-2,mglcs_10_100_2_4.txt,10,h1,5,0.006,True
sigma-2,mglcs_10_100_2_4.txt,10,h2,5,0.0045,True
sigma-2,mglcs_10_100_2_4.txt,10,h3,5,0.005,True
sigma-2,mglcs_10_100_2_4.txt,10,h4,5,0.0045,True
sigma-2,mglcs_10_100_2_4.txt,10,h5,5,0.007,True
sigma-2,mglcs_10_100_2_4.txt,10,h6,5,0.005,True
sigma-2,mglcs_10_100_2_4.txt,10,h7,5,0.005,True
sigma-2,mglcs_10_100_2_4.txt,10,h8,5,0.0195,True
sigma-2,mglcs_10_100_2_5.txt,10,h1,5,0.0071,True
sigma-2,mglcs_10_100_2_5.txt,10,h2,5,0.006,True
sigma-2,mglcs_10_100_2_5.txt,10,h3,5,0.0062,True
sigma-2,mglcs_10_100_2_5.txt,10,h4,5,0.005,True
sigma-2,mglcs_10_100_2_5.txt,10,h5,5,0.0095,True
sigma-2,mglcs_10_100_2_5.txt,10,h6,5,0.0051,True
sigma-2,mglcs_10_100_2_5.txt,10,h7,5,0.006,True
sigma-2,mglcs_10_100_2_5.txt,10,h8,5,0.0252,True
sigma-2,mglcs_10_100_2_6.txt,10,h1,3,0.006,True
sigma-2,mglcs_10_100_2_6.txt,10,h2,3,0.0062,True
sigma-2,mglcs_10_100_2_6.txt,10,h3,3,0.0065,True
sigma-2,mglcs_10_100_2_6.txt,10,h4,3,0.006,True
sigma-2,mglcs_10_100_2_6.txt,10,h5,3,0.0084,True
sigma-2,mglcs_10_100_2_6.txt,10,h6,3,0.0066,True
sigma-2,mglcs_10_100_2_6.txt,10,h7,3,0.006,True
sigma-2,mglcs_10_100_2_6.txt,10,h8,3,0.0291,True
sigma-2,mglcs_10_100_2_7.txt,10,h1,4,0.0072,True
sigma-2,mglcs_10_100_2_7.txt,10,h2,4,0.006,True
sigma-2,mglcs_10_100_2_7.txt,10,h3,4,0.007,True
sigma-2,mglcs_10_100_2_7.txt,10,h4,4,0.0063,True
sigma-2,mglcs_10_100_2_7.txt,10,h5,4,0.0085,True
sigma-2,mglcs_10_100_2_7.txt,10,h6,4,0.007,True
sigma-2,mglcs_10_100_2_7.txt,10,h7,4,0.006,True
sigma-2,mglcs_10_100_2_7.txt,10,h8,4,0.0299,True
sigma-2,mglcs_10_100_2_8.txt,10,h1,3,0.006,True
sigma-2,mglcs_10_100_2_8.txt,10,h2,3,0.0052,True
sigma-2,mglcs_10_100_2_8.txt,10,h3,3,0.006,True
sigma-2,mglcs_10_100_2_8.txt,10,h4,3,0.006,True
sigma-2,mglcs_10_100_2_8.txt,10,h5,3,0.008,True
sigma-2,mglcs_10_100_2_8.txt,10,h6,3,0.005,True
sigma-2,mglcs_10_100_2_8.txt,10,h7,3,0.0061,True
sigma-2,mglcs_10_100_2_8.txt,10,h8,3,0.0279,True
sigma-2,mglcs_10_100_2_9.txt,10,h1,4,0.005,True
sigma-2,mglcs_10_100_2_9.txt,10,h2,4,0.006,True
sigma-2,mglcs_10_100_2_9.txt,10,h3,4,0.0055,True
sigma-2,mglcs_10_100_2_9.txt,10,h4,4,0.0055,True
