sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,500,h1,4,0.0084,True
sigma-2,mglcs_10_100_2_0.txt,500,h2,4,0.0079,True
sigma-2,mglcs_10_100_2_0.txt,500,h3,4,0.0090,True
sigma-2,mglcs_10_100_2_0.txt,500,h4,4,0.0102,True
sigma-2,mglcs_10_100_2_0.txt,500,h5,6,0.0109,True
sigma-2,mglcs_10_100_2_0.txt,500,h6,4,0.0081,True
sigma-2,mglcs_10_100_2_0.txt,500,h7,4,0.0079,True
sigma-2,mglcs_10_100_2_0.txt,500,h8,6,0.0500,True
sigma-2,mglcs_10_100_2_1.txt,500,h1,3,0.0131,True
sigma-2,mglcs_10_100_2_1.txt,500,h2,3,0.0071,True
sigma-2,mglcs_10_100_2_1.txt,500,h3,3,0.0071,True
sigma-2,mglcs_10_100_2_1.txt,500,h4,3,0.0072,True
sigma-2,mglcs_10_100_2_1.txt,500,h5,3,0.0112,True
sigma-2,mglcs_10_100_2_1.txt,500,h6,3,0.0082,True
sigma-2,mglcs_10_100_2_1.txt,500,h7,3,0.0082,True
sigma-2,mglcs_10_100_2_1.txt,500,h8,3,0.0435,True
sigma-2,mglcs_10_100_2_2.txt,500,h1,6,0.0074,True
sigma-2,mglcs_10_100_2_2.txt,500,h2,6,0.0092,True
sigma-2,mglcs_10_100_2_2.txt,500,h3,6,0.0076,True
sigma-2,mglcs_10_100_2_2.txt,500,h4,6,0.0075,True
sigma-2,mglcs_10_100_2_2.txt,500,h5,6,0.0175,True
sigma-2,mglcs_10_100_2_2.txt,500,h6,6,0.0111,True
sigma-2,mglcs_10_100_2_2.txt,500,h7,6,0.0085,True
sigma-2,mglcs_10_100_2_2.txt,500,h8,6,0.0445,True
sigma-2,mglcs_10_100_2_3.txt,500,h1,4,0.0077,True
sigma-2,mglcs_10_100_2_3.txt,500,h2,4,0.0073,True
sigma-2,mglcs_10_100_2_3.txt,500,h3,4,0.0075,True
sigma-2,mglcs_10_100_2_3.txt,500,h4,4,0.0090,True
sigma-2,mglcs_10_100_2_3.txt,500,h5,4,0.0126,True
sigma-2,mglcs_10_100_2_3.txt,500,h6,4,0.0088,True
sigma-2,mglcs_10_100_2_3.txt,500,h7,4,0.0084,True
sigma-2,mglcs_10_100_2_3.txt,500,h8,4,0.0403,True
sigma-2,mglcs_10_100_2_4.txt,500,h1,5,0.0072,True
sigma-2,mglcs_10_100_2_4.txt,500,h2,5,0.0067,True
sigma-2,mglcs_10_100_2_4.txt,500,h3,5,0.0068,True
sigma-2,mglcs_10_100_2_4.txt,500,h4,5,0.0067,True
sigma-2,mglcs_10_100_2_4.txt,500,h5,5,0.0091,True
sigma-2,mglcs_10_100_2_4.txt,500,h6,5,0.0074,True
sigma-2,mglcs_10_100_2_4.txt,500,h7,5,0.0065,True
sigma-2,mglcs_10_100_2_4.txt,500,h8,5,0.0373,True
sigma-2,mglcs_10_100_2_5.txt,500,h1,5,0.0087,True
sigma-2,mglcs_10_100_2_5.txt,500,h2,5,0.0090,True
sigma-2,mglcs_10_100_2_5.txt,500,h3,5,0.0088,True
sigma-2,mglcs_10_100_2_5.txt,500,h4,5,0.0106,True
sigma-2,mglcs_10_100_2_5.txt,500,h5,5,0.0124,True
sigma-2,mglcs_10_100_2_5.txt,500,h6,5,0.0086,True
sigma-2,mglcs_10_100_2_5.txt,500,h7,5,0.0102,True
