sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,2000,h1,4,0.0103,True
sigma-2,mglcs_10_100_2_0.txt,2000,h2,4,0.0099,True
sigma-2,mglcs_10_100_2_0.txt,2000,h3,4,0.0094,True
sigma-2,mglcs_10_100_2_0.txt,2000,h4,4,0.0087,True
sigma-2,mglcs_10_100_2_0.txt,2000,h5,6,0.0129,True
sigma-2,mglcs_10_100_2_0.txt,2000,h6,4,0.0092,True
sigma-2,mglcs_10_100_2_0.txt,2000,h7,4,0.0100,True
sigma-2,mglcs_10_100_2_0.txt,2000,h8,6,0.0474,True
sigma-2,mglcs_10_100_2_0.txt,2000,h9,4,0.0468,True
sigma-2,mglcs_10_100_2_1.txt,2000,h1,3,0.0090,True
sigma-2,mglcs_10_100_2_1.txt,2000,h2,3,0.0084,True
sigma-2,mglcs_10_100_2_1.txt,2000,h3,3,0.0082,True
sigma-2,mglcs_10_100_2_1.txt,2000,h4,3,0.0093,True
sigma-2,mglcs_10_100_2_1.txt,2000,h5,3,0.0123,True
sigma-2,mglcs_10_100_2_1.txt,2000,h6,3,0.0088,True
sigma-2,mglcs_10_100_2_1.txt,2000,h7,3,0.0093,True
sigma-2,mglcs_10_100_2_1.txt,2000,h8,3,0.0465,True
sigma-2,mglcs_10_100_2_1.txt,2000,h9,3,0.0463,True
sigma-2,mglcs_10_100_2_2.txt,2000,h1,6,0.0093,True
sigma-2,mglcs_10_100_2_2.txt,2000,h2,6,0.0097,True
sigma-2,mglcs_10_100_2_2.txt,2000,h3,6,0.0094,True
sigma-2,mglcs_10_100_2_2.txt,2000,h4,6,0.0095,True
sigma-2,mglcs_10_100_2_2.txt,2000,h5,6,0.0128,True
sigma-2,mglcs_10_100_2_2.txt,2000,h6,6,0.0104,True
sigma-2,mglcs_10_100_2_2.txt,2000,h7,6,0.0097,True
sigma-2,mglcs_10_100_2_2.txt,2000,h8,6,0.0482,True
sigma-2,mglcs_10_100_2_2.txt,2000,h9,6,0.0512,True
sigma-2,mglcs_10_100_2_3.txt,2000,h1,4,0.0088,True
sigma-2,mglcs_10_100_2_3.txt,2000,h2,4,0.0120,True
sigma-2,mglcs_10_100_2_3.txt,2000,h3,4,0.0090,True
sigma-2,mglcs_10_100_2_3.txt,2000,h4,4,0.0101,True
sigma-2,mglcs_10_100_2_3.txt,2000,h5,4,0.0155,True
sigma-2,mglcs_10_100_2_3.txt,2000,h6,4,0.0104,True
sigma-2,mglcs_10_100_2_3.txt,2000,h7,4,0.0098,True
sigma-2,mglcs_10_100_2_3.txt,2000,h8,4,0.0523,True
sigma-2,mglcs_10_100_2_3.txt,2000,h9,4,0.0498,True
sigma-2,mglcs_10_100_2_4.txt,2000,h1,5,0.0081,True
sigma-2,mglcs_10_100_2_4.txt,2000,h2,5,0.0089,True
sigma-2,mglcs_10_100_2_4.txt,2000,h3,5,0.0073,True
