sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,5,beam_search_glcs,h1,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,5,imbs_glcs,h1,3,0.0506,True
sigma-2,mglcs_10_100_2_0.txt,10,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,10,imbs_glcs,h1,3,0.0507,True
sigma-2,mglcs_10_100_2_0.txt,20,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,20,imbs_glcs,h1,3,0.0505,True
sigma-2,mglcs_10_100_2_0.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,50,imbs_glcs,h1,3,0.0509,True
sigma-2,mglcs_10_100_2_0.txt,100,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,100,imbs_glcs,h1,3,0.0505,True
sigma-2,mglcs_10_100_2_0.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,250,imbs_glcs,h1,3,0.0507,True
sigma-2,mglcs_10_100_2_0.txt,500,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,500,imbs_glcs,h1,3,0.0502,True
sigma-2,mglcs_10_100_2_0.txt,5,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,5,imbs_glcs,h2,3,0.0506,True
sigma-2,mglcs_10_100_2_0.txt,10,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,10,imbs_glcs,h2,3,0.0495,True
sigma-2,mglcs_10_100_2_0.txt,20,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,20,imbs_glcs,h2,3,0.0510,True
sigma-2,mglcs_10_100_2_0.txt,50,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,50,imbs_glcs,h2,3,0.0516,True
sigma-2,mglcs_10_100_2_0.txt,100,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,100,imbs_glcs,h2,3,0.0520,True
sigma-2,mglcs_10_100_2_0.txt,250,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,250,imbs_glcs,h2,3,0.0515,True
sigma-2,mglcs_10_100_2_0.txt,500,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,500,imbs_glcs,h2,3,0.0513,True
sigma-2,mglcs_10_100_2_0.txt,5,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,5,imbs_glcs,h5,3,0.0551,True
sigma-2,mglcs_10_100_2_0.txt,10,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,10,imbs_glcs,h5,3,0.0524,True
sigma-2,mglcs_10_100_2_0.txt,20,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,20,imbs_glcs,h5,3,0.0554,True
sigma-2,mglcs_10_100_2_0.txt,50,beam_search_glcs,h5,1,0.0005,True
sigma-2,mglcs_10_100_2_0.txt,50,imbs_glcs,h5,3,0.0527,True
sigma-2,mglcs_10_100_2_0.txt,100,beam_search_glcs,h5,1,0.0005,True
sigma-2,mglcs_10_100_2_0.txt,100,imbs_glcs,h5,3,0.0527,True
sigma-2,mglcs_10_100_2_0.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,250,imbs_glcs,h5,3,0.0532,True
sigma-2,mglcs_10_100_2_0.txt,500,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,500,imbs_glcs,h5,3,0.0520,True
sigma-2,mglcs_10_100_2_0.txt,5,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_0.txt,5,imbs_glcs,h8,3,0.0553,True
sigma-2,mglcs_10_100_2_0.txt,10,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_0.txt,10,imbs_glcs,h8,3,0.0528,True
sigma-2,mglcs_10_100_2_0.txt,20,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,20,imbs_glcs,h8,3,0.0540,True
sigma-2,mglcs_10_100_2_0.txt,50,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,50,imbs_glcs,h8,3,0.0531,True
sigma-2,mglcs_10_100_2_0.txt,100,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_0.txt,100,imbs_glcs,h8,3,0.0521,True
sigma-2,mglcs_10_100_2_0.txt,250,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_0.txt,250,imbs_glcs,h8,3,0.0521,True
sigma-2,mglcs_10_100_2_0.txt,500,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,500,imbs_glcs,h8,3,0.0538,True
sigma-2,mglcs_10_100_2_1.txt,5,beam_search_glcs,h1,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,5,imbs_glcs,h1,4,0.0578,True
sigma-2,mglcs_10_100_2_1.txt,10,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,10,imbs_glcs,h1,4,0.0587,True
sigma-2,mglcs_10_100_2_1.txt,20,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,20,imbs_glcs,h1,4,0.0579,True
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,h1,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,h1,4,0.0581,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,h1,2,0.0000,True
