sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,1,imbs_glcs,h1,4,0.0515,True
sigma-2,mglcs_10_100_2_0.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,1,imbs_glcs,h2,3,0.0494,True
sigma-2,mglcs_10_100_2_0.txt,1,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,1,imbs_glcs,h5,3,0.0507,True
sigma-2,mglcs_10_100_2_0.txt,1,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,1,imbs_glcs,h8,3,0.0503,True
sigma-2,mglcs_10_100_2_1.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,1,imbs_glcs,h1,4,0.0507,True
sigma-2,mglcs_10_100_2_1.txt,1,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,1,imbs_glcs,h2,4,0.0509,True
sigma-2,mglcs_10_100_2_1.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,1,imbs_glcs,h5,4,0.0543,True
sigma-2,mglcs_10_100_2_1.txt,1,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,1,imbs_glcs,h8,4,0.0522,True
sigma-2,mglcs_10_100_2_2.txt,1,beam_search_glcs,h1,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,1,imbs_glcs,h1,4,0.0503,True
sigma-2,mglcs_10_100_2_2.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,1,imbs_glcs,h2,5,0.0540,True
sigma-2,mglcs_10_100_2_2.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,1,imbs_glcs,h5,5,0.0535,True
sigma-2,mglcs_10_100_2_2.txt,1,beam_search_glcs,h8,1,0.0016,True
sigma-2,mglcs_10_100_2_2.txt,1,imbs_glcs,h8,4,0.0500,True
sigma-2,mglcs_10_100_2_3.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,1,imbs_glcs,h1,5,0.0502,True
sigma-2,mglcs_10_100_2_3.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,1,imbs_glcs,h2,5,0.0504,True
sigma-2,mglcs_10_100_2_3.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,1,imbs_glcs,h5,5,0.0558,True
sigma-2,mglcs_10_100_2_3.txt,1,beam_search_glcs,h8,1,0.0012,True
sigma-2,mglcs_10_100_2_3.txt,1,imbs_glcs,h8,5,0.0521,True
sigma-2,mglcs_10_100_2_4.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,1,imbs_glcs,h1,6,0.0485,True
sigma-2,mglcs_10_100_2_4.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,1,imbs_glcs,h2,6,0.0595,True
sigma-2,mglcs_10_100_2_4.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,1,imbs_glcs,h5,6,0.0538,True
sigma-2,mglcs_10_100_2_4.txt,1,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_4.txt,1,imbs_glcs,h8,5,0.0516,True
sigma-2,mglcs_10_100_2_5.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,1,imbs_glcs,h1,4,0.0494,True
sigma-2,mglcs_10_100_2_5.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,1,imbs_glcs,h2,4,0.0527,True
sigma-2,mglcs_10_100_2_5.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,1,imbs_glcs,h5,4,0.0539,True
sigma-2,mglcs_10_100_2_5.txt,1,beam_search_glcs,h8,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,1,imbs_glcs,h8,5,0.0543,True
sigma-2,mglcs_10_100_2_6.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_6.txt,1,imbs_glcs,h1,3,0.0501,True
sigma-2,mglcs_10_100_2_6.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_6.txt,1,imbs_glcs,h2,3,0.0516,True
sigma-2,mglcs_10_100_2_6.txt,1,beam_search_glcs,h5,1,0.0005,True
sigma-2,mglcs_10_100_2_6.txt,1,imbs_glcs,h5,3,0.0521,True
sigma-2,mglcs_10_100_2_6.txt,1,beam_search_glcs,h8,1,0.0014,True
sigma-2,mglcs_10_100_2_6.txt,1,imbs_glcs,h8,3,0.0520,True
sigma-2,mglcs_10_100_2_7.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,1,imbs_glcs,h1,3,0.0499,True
sigma-2,mglcs_10_100_2_7.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,1,imbs_glcs,h2,3,0.0488,True
sigma-2,mglcs_10_100_2_7.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,1,imbs_glcs,h5,3,0.0541,True
sigma-2,mglcs_10_100_2_7.txt,1,beam_search_glcs,h8,1,0.0011,True
sigma-2,mglcs_10_100_2_7.txt,1,imbs_glcs,h8,3,0.0505,True
sigma-2,mglcs_10_100_2_8.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_8.txt,1,imbs_glcs,h1,3,0.0470,True
sigma-2,mglcs_10_100_2_8.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_8.txt,1,imbs_glcs,h2,3,0.0469,True
sigma-2,mglcs_10_100_2_8.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_8.txt,1,imbs_glcs,h5,3,0.0562,True
sigma-2,mglcs_10_100_2_8.txt,1,beam_search_glcs,h8,1,0.0021,True
sigma-2,mglcs_10_100_2_8.txt,1,imbs_glcs,h8,3,0.0519,True
sigma-2,mglcs_10_100_2_9.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_9.txt,1,imbs_glcs,h1,3,0.0475,True
sigma-2,mglcs_10_100_2_9.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_9.txt,1,imbs_glcs,h2,3,0.0556,True
sigma-2,mglcs_10_100_2_9.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_9.txt,1,imbs_glcs,h5,3,0.0463,True
sigma-2,mglcs_10_100_2_9.txt,1,beam_search_glcs,h8,1,0.0071,True
sigma-2,mglcs_10_100_2_9.txt,1,imbs_glcs,h8,3,0.0517,True
sigma-2,mglcs_10_200_2_0.txt,1,beam_search_glcs,h1,3,0.0000,True
sigma-2,mglcs_10_200_2_0.txt,1,imbs_glcs,h1,5,0.0797,True
sigma-2,mglcs_10_200_2_0.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_200_2_0.txt,1,imbs_glcs,h2,5,0.0752,True
sigma-2,mglcs_10_200_2_0.txt,1,beam_search_glcs,h5,3,0.0000,True
sigma-2,mglcs_10_200_2_0.txt,1,imbs_glcs,h5,5,0.0906,True
sigma-2,mglcs_10_200_2_0.txt,1,beam_search_glcs,h8,1,0.0051,True
sigma-2,mglcs_10_200_2_0.txt,1,imbs_glcs,h8,5,0.0830,True
sigma-2,mglcs_10_200_2_1.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_1.txt,1,imbs_glcs,h1,5,0.0809,True
sigma-2,mglcs_10_200_2_1.txt,1,beam_search_glcs,h2,4,0.0000,True
sigma-2,mglcs_10_200_2_1.txt,1,imbs_glcs,h2,4,0.0767,True
sigma-2,mglcs_10_200_2_1.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_200_2_1.txt,1,imbs_glcs,h5,5,0.1033,True
sigma-2,mglcs_10_200_2_1.txt,1,beam_search_glcs,h8,4,0.0070,True
sigma-2,mglcs_10_200_2_1.txt,1,imbs_glcs,h8,4,0.0811,True
sigma-2,mglcs_10_200_2_2.txt,1,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_200_2_2.txt,1,imbs_glcs,h1,4,0.0865,True
sigma-2,mglcs_10_200_2_2.txt,1,beam_search_glcs,h2,3,0.0000,True
sigma-2,mglcs_10_200_2_2.txt,1,imbs_glcs,h2,4,0.0850,True
sigma-2,mglcs_10_200_2_2.txt,1,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_200_2_2.txt,1,imbs_glcs,h5,4,0.0779,True
sigma-2,mglcs_10_200_2_2.txt,1,beam_search_glcs,h8,2,0.0013,True
sigma-2,mglcs_10_200_2_2.txt,1,imbs_glcs,h8,4,0.0918,True
sigma-2,mglcs_10_200_2_3.txt,1,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_200_2_3.txt,1,imbs_glcs,h1,4,0.0935,True
sigma-2,mglcs_10_200_2_3.txt,1,beam_search_glcs,h2,2,0.0010,True
sigma-2,mglcs_10_200_2_3.txt,1,imbs_glcs,h2,4,0.0792,True
sigma-2,mglcs_10_200_2_3.txt,1,beam_search_glcs,h5,2,0.0056,True
sigma-2,mglcs_10_200_2_3.txt,1,imbs_glcs,h5,4,0.1033,True
sigma-2,mglcs_10_200_2_3.txt,1,beam_search_glcs,h8,2,0.0057,True
sigma-2,mglcs_10_200_2_3.txt,1,imbs_glcs,h8,4,0.0902,True
sigma-2,mglcs_10_200_2_4.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,1,imbs_glcs,h1,6,0.0830,True
sigma-2,mglcs_10_200_2_4.txt,1,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,1,imbs_glcs,h2,6,0.0701,True
sigma-2,mglcs_10_200_2_4.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,1,imbs_glcs,h5,8,0.0822,True
sigma-2,mglcs_10_200_2_4.txt,1,beam_search_glcs,h8,1,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,1,imbs_glcs,h8,6,0.1016,True
sigma-2,mglcs_10_200_2_5.txt,1,beam_search_glcs,h1,1,0.0003,True
sigma-2,mglcs_10_200_2_5.txt,1,imbs_glcs,h1,5,0.0860,True
sigma-2,mglcs_10_200_2_5.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_200_2_5.txt,1,imbs_glcs,h2,6,0.0802,True
sigma-2,mglcs_10_200_2_5.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_200_2_5.txt,1,imbs_glcs,h5,5,0.0920,True
sigma-2,mglcs_10_200_2_5.txt,1,beam_search_glcs,h8,1,0.0014,True
sigma-2,mglcs_10_200_2_5.txt,1,imbs_glcs,h8,5,0.0922,True
sigma-2,mglcs_10_200_2_6.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_6.txt,1,imbs_glcs,h1,6,0.0730,True
sigma-2,mglcs_10_200_2_6.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_200_2_6.txt,1,imbs_glcs,h2,7,0.0919,True
sigma-2,mglcs_10_200_2_6.txt,1,beam_search_glcs,h5,1,0.0000,True
