sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,1,imbs_glcs,h1,8,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,5,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,5,imbs_glcs,h1,10,0.0477,True
sigma-2,mglcs_10_100_2_0.txt,10,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,10,imbs_glcs,h1,6,0.1251,True
sigma-2,mglcs_10_100_2_0.txt,20,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,20,imbs_glcs,h1,6,0.1379,True
sigma-2,mglcs_10_100_2_0.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,50,imbs_glcs,h1,6,0.1434,True
sigma-2,mglcs_10_100_2_0.txt,100,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,100,imbs_glcs,h1,4,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,500,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,500,imbs_glcs,h1,4,0.0152,True
sigma-2,mglcs_10_100_2_0.txt,10000,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,1,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,1,imbs_glcs,h2,13,0.0062,True
sigma-2,mglcs_10_100_2_0.txt,5,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,5,imbs_glcs,h2,9,0.0460,True
sigma-2,mglcs_10_100_2_0.txt,10,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,10,imbs_glcs,h2,6,0.1528,True
sigma-2,mglcs_10_100_2_0.txt,20,beam_search_glcs,h2,1,0.0013,True
sigma-2,mglcs_10_100_2_0.txt,20,imbs_glcs,h2,6,0.1360,True
sigma-2,mglcs_10_100_2_0.txt,50,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,50,imbs_glcs,h2,6,0.1389,True
sigma-2,mglcs_10_100_2_0.txt,100,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,100,imbs_glcs,h2,4,0.0155,True
sigma-2,mglcs_10_100_2_0.txt,500,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,500,imbs_glcs,h2,4,0.0152,True
sigma-2,mglcs_10_100_2_0.txt,10000,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,1,beam_search_glcs,h5,1,0.0004,True
sigma-2,mglcs_10_100_2_0.txt,1,imbs_glcs,h5,6,0.0033,True
sigma-2,mglcs_10_100_2_0.txt,5,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,5,imbs_glcs,h5,10,0.0478,True
sigma-2,mglcs_10_100_2_0.txt,10,beam_search_glcs,h5,1,0.0006,True
sigma-2,mglcs_10_100_2_0.txt,10,imbs_glcs,h5,6,0.1438,True
sigma-2,mglcs_10_100_2_0.txt,20,beam_search_glcs,h5,1,0.0003,True
sigma-2,mglcs_10_100_2_0.txt,20,imbs_glcs,h5,6,0.1391,True
sigma-2,mglcs_10_100_2_0.txt,50,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,50,imbs_glcs,h5,6,0.1348,True
sigma-2,mglcs_10_100_2_0.txt,100,beam_search_glcs,h5,1,0.0046,True
