sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,250,imbs_glcs,h1,4,0.0214,True
sigma-2,mglcs_10_100_2_0.txt,250,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,250,imbs_glcs,h2,4,0.0169,True
sigma-2,mglcs_10_100_2_0.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_0.txt,250,imbs_glcs,h5,4,0.0168,True
sigma-2,mglcs_10_100_2_0.txt,250,beam_search_glcs,h8,1,0.0026,True
sigma-2,mglcs_10_100_2_0.txt,250,imbs_glcs,h8,4,0.0181,True
sigma-2,mglcs_10_100_2_1.txt,250,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,250,imbs_glcs,h1,4,0.0181,True
sigma-2,mglcs_10_100_2_1.txt,250,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,250,imbs_glcs,h2,4,0.0181,True
sigma-2,mglcs_10_100_2_1.txt,250,beam_search_glcs,h5,2,0.0014,True
sigma-2,mglcs_10_100_2_1.txt,250,imbs_glcs,h5,4,0.0181,True
sigma-2,mglcs_10_100_2_1.txt,250,beam_search_glcs,h8,2,0.0023,True
sigma-2,mglcs_10_100_2_1.txt,250,imbs_glcs,h8,4,0.0257,True
sigma-2,mglcs_10_100_2_2.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,250,imbs_glcs,h1,5,0.0180,True
sigma-2,mglcs_10_100_2_2.txt,250,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,250,imbs_glcs,h2,5,0.0156,True
sigma-2,mglcs_10_100_2_2.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,250,imbs_glcs,h5,5,0.0214,True
sigma-2,mglcs_10_100_2_2.txt,250,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,250,imbs_glcs,h8,5,0.0204,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,h1,5,0.0174,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,h2,5,0.0166,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,h5,5,0.0265,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,h8,1,0.0005,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,h8,5,0.0210,True
sigma-2,mglcs_10_100_2_4.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,250,imbs_glcs,h1,6,0.0182,True
sigma-2,mglcs_10_100_2_4.txt,250,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,250,imbs_glcs,h2,6,0.0204,True
sigma-2,mglcs_10_100_2_4.txt,250,beam_search_glcs,h5,1,0.0004,True
sigma-2,mglcs_10_100_2_4.txt,250,imbs_glcs,h5,6,0.0172,True
sigma-2,mglcs_10_100_2_4.txt,250,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_4.txt,250,imbs_glcs,h8,6,0.0166,True
sigma-2,mglcs_10_100_2_5.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,250,imbs_glcs,h1,4,0.0206,True
sigma-2,mglcs_10_100_2_5.txt,250,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,250,imbs_glcs,h2,4,0.0182,True
sigma-2,mglcs_10_100_2_5.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,250,imbs_glcs,h5,4,0.0242,True
sigma-2,mglcs_10_100_2_5.txt,250,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_5.txt,250,imbs_glcs,h8,4,0.0227,True
sigma-2,mglcs_10_100_2_6.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_6.txt,250,imbs_glcs,h1,4,0.0152,True
sigma-2,mglcs_10_100_2_6.txt,250,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_6.txt,250,imbs_glcs,h2,4,0.0199,True
sigma-2,mglcs_10_100_2_6.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_6.txt,250,imbs_glcs,h5,4,0.0173,True
sigma-2,mglcs_10_100_2_6.txt,250,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_6.txt,250,imbs_glcs,h8,4,0.0187,True
sigma-2,mglcs_10_100_2_7.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,250,imbs_glcs,h1,3,0.0153,True
sigma-2,mglcs_10_100_2_7.txt,250,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,250,imbs_glcs,h2,3,0.0153,True
sigma-2,mglcs_10_100_2_7.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,250,imbs_glcs,h5,3,0.0152,True
sigma-2,mglcs_10_100_2_7.txt,250,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_100_2_7.txt,250,imbs_glcs,h8,3,0.0179,True
sigma-2,mglcs_10_100_2_8.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_8.txt,250,imbs_glcs,h1,3,0.0163,True
sigma-2,mglcs_10_100_2_8.txt,250,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_8.txt,250,imbs_glcs,h2,3,0.0170,True
sigma-2,mglcs_10_100_2_8.txt,250,beam_search_glcs,h5,1,0.0013,True
sigma-2,mglcs_10_100_2_8.txt,250,imbs_glcs,h5,3,0.0156,True
sigma-2,mglcs_10_100_2_8.txt,250,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_100_2_8.txt,250,imbs_glcs,h8,3,0.0181,True
sigma-2,mglcs_10_100_2_9.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_9.txt,250,imbs_glcs,h1,3,0.0231,True
sigma-2,mglcs_10_100_2_9.txt,250,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_9.txt,250,imbs_glcs,h2,3,0.0182,True
sigma-2,mglcs_10_100_2_9.txt,250,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_9.txt,250,imbs_glcs,h5,3,0.0211,True
sigma-2,mglcs_10_100_2_9.txt,250,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_9.txt,250,imbs_glcs,h8,3,0.0177,True
sigma-2,mglcs_10_200_2_0.txt,250,beam_search_glcs,h1,4,0.0014,True
sigma-2,mglcs_10_200_2_0.txt,250,imbs_glcs,h1,5,0.0320,True
sigma-2,mglcs_10_200_2_0.txt,250,beam_search_glcs,h2,4,0.0020,True
sigma-2,mglcs_10_200_2_0.txt,250,imbs_glcs,h2,5,0.0327,True
sigma-2,mglcs_10_200_2_0.txt,250,beam_search_glcs,h5,4,0.0020,True
sigma-2,mglcs_10_200_2_0.txt,250,imbs_glcs,h5,5,0.0329,True
sigma-2,mglcs_10_200_2_0.txt,250,beam_search_glcs,h8,4,0.0069,True
sigma-2,mglcs_10_200_2_0.txt,250,imbs_glcs,h8,5,0.0396,True
sigma-2,mglcs_10_200_2_1.txt,250,beam_search_glcs,h1,4,0.0011,True
sigma-2,mglcs_10_200_2_1.txt,250,imbs_glcs,h1,5,0.0334,True
sigma-2,mglcs_10_200_2_1.txt,250,beam_search_glcs,h2,4,0.0011,True
sigma-2,mglcs_10_200_2_1.txt,250,imbs_glcs,h2,5,0.0358,True
