sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,1,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_0.txt,1,imbs_glcs,new_h8,8,0.0080,True
sigma-2,mglcs_10_100_2_0.txt,5,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,5,imbs_glcs,new_h8,6,0.0565,True
sigma-2,mglcs_10_100_2_0.txt,10,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_0.txt,10,imbs_glcs,new_h8,6,0.1414,True
sigma-2,mglcs_10_100_2_0.txt,20,beam_search_glcs,new_h8,1,0.0025,True
sigma-2,mglcs_10_100_2_0.txt,20,imbs_glcs,new_h8,6,0.1473,True
sigma-2,mglcs_10_100_2_0.txt,50,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_0.txt,50,imbs_glcs,new_h8,6,0.1467,True
sigma-2,mglcs_10_100_2_0.txt,100,beam_search_glcs,new_h8,1,0.0021,True
sigma-2,mglcs_10_100_2_0.txt,100,imbs_glcs,new_h8,4,0.0180,True
sigma-2,mglcs_10_100_2_0.txt,250,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_0.txt,250,imbs_glcs,new_h8,4,0.0180,True
sigma-2,mglcs_10_100_2_0.txt,500,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_0.txt,500,imbs_glcs,new_h8,4,0.0172,True
sigma-2,mglcs_10_100_2_0.txt,10000,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,1,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,1,imbs_glcs,new_h8,3,0.0096,True
sigma-2,mglcs_10_100_2_1.txt,5,beam_search_glcs,new_h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,5,imbs_glcs,new_h8,4,0.0570,True
sigma-2,mglcs_10_100_2_1.txt,10,beam_search_glcs,new_h8,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,10,imbs_glcs,new_h8,4,0.1479,True
sigma-2,mglcs_10_100_2_1.txt,20,beam_search_glcs,new_h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,20,imbs_glcs,new_h8,4,0.1475,True
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,new_h8,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,new_h8,4,0.1472,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,new_h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,100,imbs_glcs,new_h8,4,0.0208,True
sigma-2,mglcs_10_100_2_1.txt,250,beam_search_glcs,new_h8,2,0.0021,True
sigma-2,mglcs_10_100_2_1.txt,250,imbs_glcs,new_h8,4,0.0232,True
sigma-2,mglcs_10_100_2_1.txt,500,beam_search_glcs,new_h8,2,0.0014,True
sigma-2,mglcs_10_100_2_1.txt,500,imbs_glcs,new_h8,4,0.0288,True
sigma-2,mglcs_10_100_2_1.txt,10000,beam_search_glcs,new_h8,2,0.0030,True
sigma-2,mglcs_10_100_2_2.txt,1,beam_search_glcs,new_h8,1,0.0015,True
sigma-2,mglcs_10_100_2_2.txt,1,imbs_glcs,new_h8,4,0.0100,True
sigma-2,mglcs_10_100_2_2.txt,5,beam_search_glcs,new_h8,1,0.0023,True
sigma-2,mglcs_10_100_2_2.txt,5,imbs_glcs,new_h8,8,0.0624,True
sigma-2,mglcs_10_100_2_2.txt,10,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,10,imbs_glcs,new_h8,5,0.1417,True
sigma-2,mglcs_10_100_2_2.txt,20,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,20,imbs_glcs,new_h8,5,0.1369,True
sigma-2,mglcs_10_100_2_2.txt,50,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,50,imbs_glcs,new_h8,5,0.1447,True
sigma-2,mglcs_10_100_2_2.txt,100,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,100,imbs_glcs,new_h8,5,0.0210,True
sigma-2,mglcs_10_100_2_2.txt,250,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,250,imbs_glcs,new_h8,5,0.0217,True
sigma-2,mglcs_10_100_2_2.txt,500,beam_search_glcs,new_h8,1,0.0021,True
sigma-2,mglcs_10_100_2_2.txt,500,imbs_glcs,new_h8,5,0.0210,True
sigma-2,mglcs_10_100_2_2.txt,10000,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,1,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,1,imbs_glcs,new_h8,3,0.0090,True
sigma-2,mglcs_10_100_2_3.txt,5,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,5,imbs_glcs,new_h8,6,0.0450,True
sigma-2,mglcs_10_100_2_3.txt,10,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,10,imbs_glcs,new_h8,8,0.1358,True
sigma-2,mglcs_10_100_2_3.txt,20,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,20,imbs_glcs,new_h8,8,0.1394,True
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,new_h8,8,0.1359,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,new_h8,1,0.0015,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,new_h8,5,0.0175,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,new_h8,1,0.0025,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,new_h8,5,0.0190,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,new_h8,5,0.0179,True
