sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_1000_2_0.txt,1,beam_search_glcs,h2,3,0.0025,True
sigma-2,mglcs_10_1000_2_0.txt,1,imbs_glcs,h2,8,0.0290,True
sigma-2,mglcs_10_1000_2_0.txt,10,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_0.txt,10,imbs_glcs,h2,8,0.1801,True
sigma-2,mglcs_10_1000_2_0.txt,50,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_0.txt,50,imbs_glcs,h2,8,0.1840,True
sigma-2,mglcs_10_1000_2_0.txt,100,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_0.txt,100,imbs_glcs,h2,8,0.1897,True
sigma-2,mglcs_10_1000_2_0.txt,250,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_0.txt,250,imbs_glcs,h2,8,0.1910,True
sigma-2,mglcs_10_1000_2_0.txt,500,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_0.txt,500,imbs_glcs,h2,8,0.1991,True
sigma-2,mglcs_10_1000_2_0.txt,1000,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_0.txt,1000,imbs_glcs,h2,8,0.1860,True
sigma-2,mglcs_10_1000_2_0.txt,2500,beam_search_glcs,h2,3,0.0050,True
sigma-2,mglcs_10_1000_2_0.txt,2500,imbs_glcs,h2,8,0.1870,True
sigma-2,mglcs_10_1000_2_0.txt,10000,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_0.txt,1,beam_search_glcs,h5,3,0.0050,True
sigma-2,mglcs_10_1000_2_0.txt,1,imbs_glcs,h5,5,0.0314,True
sigma-2,mglcs_10_1000_2_0.txt,10,beam_search_glcs,h5,3,0.0080,True
sigma-2,mglcs_10_1000_2_0.txt,10,imbs_glcs,h5,8,0.1861,True
sigma-2,mglcs_10_1000_2_0.txt,50,beam_search_glcs,h5,3,0.0070,True
sigma-2,mglcs_10_1000_2_0.txt,50,imbs_glcs,h5,8,0.1870,True
sigma-2,mglcs_10_1000_2_0.txt,100,beam_search_glcs,h5,3,0.0070,True
sigma-2,mglcs_10_1000_2_0.txt,100,imbs_glcs,h5,8,0.1866,True
sigma-2,mglcs_10_1000_2_0.txt,250,beam_search_glcs,h5,3,0.0065,True
sigma-2,mglcs_10_1000_2_0.txt,250,imbs_glcs,h5,8,0.1845,True
sigma-2,mglcs_10_1000_2_0.txt,500,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_0.txt,500,imbs_glcs,h5,8,0.1801,True
sigma-2,mglcs_10_1000_2_0.txt,1000,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_0.txt,1000,imbs_glcs,h5,8,0.1806,True
sigma-2,mglcs_10_1000_2_0.txt,2500,beam_search_glcs,h5,3,0.0064,True
