m,n,sigma,index,heuristic,beam_width,length
10,100,2,0,h2,10,4
10,100,2,0,h5,10,6
10,100,2,0,h8,10,6
10,100,2,1,h2,10,3
10,100,2,1,h5,10,3
10,100,2,1,h8,10,3
10,100,2,2,h2,10,6
10,100,2,2,h5,10,6
10,100,2,2,h8,10,6
10,100,2,3,h2,10,4
10,100,2,3,h5,10,4
10,100,2,3,h8,10,4
10,100,2,4,h2,10,5
10,100,2,4,h5,10,5
10,100,2,4,h8,10,5
10,100,2,5,h2,10,5
10,100,2,5,h5,10,5
10,100,2,5,h8,10,5
10,100,2,6,h2,10,3
10,100,2,6,h5,10,3
10,100,2,6,h8,10,3
10,100,2,7,h2,10,4
10,100,2,7,h5,10,4
10,100,2,7,h8,10,4
10,100,2,8,h2,10,3
10,100,2,8,h5,10,3
10,100,2,8,h8,10,3
10,100,2,9,h2,10,4
10,100,2,9,h5,10,4
10,100,2,9,h8,10,4
10,200,2,0,h2,10,4
10,200,2,0,h5,10,4
10,200,2,0,h8,10,4
10,200,2,1,h2,10,5
10,200,2,1,h5,10,4
10,200,2,1,h8,10,4
10,200,2,2,h2,10,5
10,200,2,2,h5,10,5
10,200,2,2,h8,10,5
10,200,2,3,h2,10,5
10,200,2,3,h5,10,4
10,200,2,3,h8,10,4
10,200,2,4,h2,10,6
10,200,2,4,h5,10,6
10,200,2,4,h8,10,6
10,200,2,5,h2,10,7
10,200,2,5,h5,10,5
10,200,2,5,h8,10,7
10,200,2,6,h2,10,9
10,200,2,6,h5,10,7
10,200,2,6,h8,10,7
10,200,2,7,h2,10,4
10,200,2,7,h5,10,4
10,200,2,7,h8,10,4
10,200,2,8,h2,10,7
10,200,2,8,h5,10,5
10,200,2,8,h8,10,7
10,200,2,9,h2,10,6
10,200,2,9,h5,10,4
10,200,2,9,h8,10,4
10,50,2,0,h2,10,4
10,50,2,0,h5,10,4
10,50,2,0,h8,10,4
10,50,2,1,h2,10,3
10,50,2,1,h5,10,3
10,50,2,1,h8,10,3
10,50,2,2,h2,10,3
10,50,2,2,h5,10,3
10,50,2,2,h8,10,3
10,50,2,3,h2,10,6
10,50,2,3,h5,10,6
10,50,2,3,h8,10,6
10,50,2,4,h2,10,3
10,50,2,4,h5,10,3
10,50,2,4,h8,10,3
10,50,2,5,h2,10,5
10,50,2,5,h5,10,4
10,50,2,5,h8,10,5
10,50,2,6,h2,10,4
10,50,2,6,h5,10,4
10,50,2,6,h8,10,4
10,50,2,7,h2,10,3
10,50,2,7,h5,10,3
10,50,2,7,h8,10,3
10,50,2,8,h2,10,3
10,50,2,8,h5,10,3
10,50,2,8,h8,10,3
10,50,2,9,h2,10,5
10,50,2,9,h5,10,5
10,50,2,9,h8,10,5
2,100,2,0,h2,10,66
2,100,2,0,h5,10,71
2,100,2,0,h8,10,66
2,100,2,1,h2,10,19
2,100,2,1,h5,10,19
2,100,2,1,h8,10,18
2,100,2,2,h2,10,42
2,100,2,2,h5,10,42
2,100,2,2,h8,10,41
2,100,2,3,h2,10,43
2,100,2,3,h5,10,43
2,100,2,3,h8,10,36
2,100,2,4,h2,10,49
2,100,2,4,h5,10,49
2,100,2,4,h8,10,43
2,100,2,5,h2,10,46
2,100,2,5,h5,10,39
2,100,2,5,h8,10,45
2,100,2,6,h2,10,71
2,100,2,6,h5,10,73
2,100,2,6,h8,10,71
2,100,2,7,h2,10,49
2,100,2,7,h5,10,49
2,100,2,7,h8,10,49
2,100,2,8,h2,10,72
2,100,2,8,h5,10,69
2,100,2,8,h8,10,72
2,100,2,9,h2,10,47
2,100,2,9,h5,10,47
2,100,2,9,h8,10,48
2,200,2,0,h2,10,62
2,200,2,0,h5,10,93
2,200,2,0,h8,10,90
2,200,2,1,h2,10,76
2,200,2,1,h5,10,113
2,200,2,1,h8,10,108
2,200,2,2,h2,10,94
2,200,2,2,h5,10,96
2,200,2,2,h8,10,48
2,200,2,3,h2,10,53
2,200,2,3,h5,10,53
2,200,2,3,h8,10,51
2,200,2,4,h2,10,159
2,200,2,4,h5,10,159
2,200,2,4,h8,10,152
2,200,2,5,h2,10,60
2,200,2,5,h5,10,101
2,200,2,5,h8,10,133
2,200,2,6,h2,10,104
2,200,2,6,h5,10,104
