sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,10,h2,4,0.0209,True
sigma-2,mglcs_10_100_2_0.txt,10,h5,6,0.0211,True
sigma-2,mglcs_10_100_2_0.txt,10,h8,6,0.0506,True
sigma-2,mglcs_10_100_2_1.txt,10,h2,3,0.0150,True
sigma-2,mglcs_10_100_2_1.txt,10,h5,3,0.0221,True
sigma-2,mglcs_10_100_2_1.txt,10,h8,3,0.0551,True
sigma-2,mglcs_10_100_2_2.txt,10,h2,6,0.0150,True
sigma-2,mglcs_10_100_2_2.txt,10,h5,6,0.0195,True
sigma-2,mglcs_10_100_2_2.txt,10,h8,6,0.0487,True
sigma-2,mglcs_10_100_2_3.txt,10,h2,4,0.0130,True
sigma-2,mglcs_10_100_2_3.txt,10,h5,4,0.0182,True
sigma-2,mglcs_10_100_2_3.txt,10,h8,4,0.0498,True
sigma-2,mglcs_10_100_2_4.txt,10,h2,5,0.0107,True
sigma-2,mglcs_10_100_2_4.txt,10,h5,5,0.0137,True
sigma-2,mglcs_10_100_2_4.txt,10,h8,5,0.0919,True
sigma-2,mglcs_10_100_2_5.txt,10,h2,5,0.0119,True
sigma-2,mglcs_10_100_2_5.txt,10,h5,5,0.0168,True
sigma-2,mglcs_10_100_2_5.txt,10,h8,5,0.0445,True
sigma-2,mglcs_10_100_2_6.txt,10,h2,3,0.0114,True
sigma-2,mglcs_10_100_2_6.txt,10,h5,3,0.0198,True
sigma-2,mglcs_10_100_2_6.txt,10,h8,3,0.0506,True
sigma-2,mglcs_10_100_2_7.txt,10,h2,4,0.0209,True
sigma-2,mglcs_10_100_2_7.txt,10,h5,4,0.0199,True
sigma-2,mglcs_10_100_2_7.txt,10,h8,4,0.0535,True
sigma-2,mglcs_10_100_2_8.txt,10,h2,3,0.0134,True
sigma-2,mglcs_10_100_2_8.txt,10,h5,3,0.0157,True
sigma-2,mglcs_10_100_2_8.txt,10,h8,3,0.0513,True
sigma-2,mglcs_10_100_2_9.txt,10,h2,4,0.0148,True
sigma-2,mglcs_10_100_2_9.txt,10,h5,4,0.0134,True
sigma-2,mglcs_10_100_2_9.txt,10,h8,4,0.0502,True
sigma-2,mglcs_10_200_2_0.txt,10,h2,4,0.0400,True
sigma-2,mglcs_10_200_2_0.txt,10,h5,4,0.0434,True
sigma-2,mglcs_10_200_2_0.txt,10,h8,4,0.3140,True
sigma-2,mglcs_10_200_2_1.txt,10,h2,5,0.0348,True
sigma-2,mglcs_10_200_2_1.txt,10,h5,4,0.0516,True
sigma-2,mglcs_10_200_2_1.txt,10,h8,4,0.3047,True
sigma-2,mglcs_10_200_2_2.txt,10,h2,5,0.0351,True
sigma-2,mglcs_10_200_2_2.txt,10,h5,5,0.0427,True
sigma-2,mglcs_10_200_2_2.txt,10,h8,5,0.2095,True
sigma-2,mglcs_10_200_2_3.txt,10,h2,5,0.0484,True
sigma-2,mglcs_10_200_2_3.txt,10,h5,4,0.0506,True
sigma-2,mglcs_10_200_2_3.txt,10,h8,4,0.2536,True
sigma-2,mglcs_10_200_2_4.txt,10,h2,6,0.0361,True
sigma-2,mglcs_10_200_2_4.txt,10,h5,6,0.0463,True
sigma-2,mglcs_10_200_2_4.txt,10,h8,6,0.2540,True
sigma-2,mglcs_10_200_2_5.txt,10,h2,7,0.0330,True
sigma-2,mglcs_10_200_2_5.txt,10,h5,5,0.0499,True
sigma-2,mglcs_10_200_2_5.txt,10,h8,7,0.2515,True
sigma-2,mglcs_10_200_2_6.txt,10,h2,9,0.0303,True
sigma-2,mglcs_10_200_2_6.txt,10,h5,7,0.0416,True
sigma-2,mglcs_10_200_2_6.txt,10,h8,7,0.1789,True
sigma-2,mglcs_10_200_2_7.txt,10,h2,4,0.0373,True
sigma-2,mglcs_10_200_2_7.txt,10,h5,4,0.0523,True
sigma-2,mglcs_10_200_2_7.txt,10,h8,4,0.3024,True
sigma-2,mglcs_10_200_2_8.txt,10,h2,7,0.0321,True
sigma-2,mglcs_10_200_2_8.txt,10,h5,5,0.0517,True
sigma-2,mglcs_10_200_2_8.txt,10,h8,7,0.2341,True
sigma-2,mglcs_10_200_2_9.txt,10,h2,6,0.0358,True
sigma-2,mglcs_10_200_2_9.txt,10,h5,4,0.0473,True
sigma-2,mglcs_10_200_2_9.txt,10,h8,4,0.2604,True
sigma-2,mglcs_10_50_2_0.txt,10,h2,4,0.0036,True
sigma-2,mglcs_10_50_2_0.txt,10,h5,4,0.0050,True
sigma-2,mglcs_10_50_2_0.txt,10,h8,4,0.0090,True
sigma-2,mglcs_10_50_2_1.txt,10,h2,3,0.0051,True
sigma-2,mglcs_10_50_2_1.txt,10,h5,3,0.0066,True
sigma-2,mglcs_10_50_2_1.txt,10,h8,3,0.0099,True
